Subtotal Area	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN "HAWK" MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	K. PEARCE	VERONIKA FIMBRES	ARMANDO M. ARREOLA	ARMAN SOLTANI	PETER CRAWFORD VALENTINO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	824	267	821	550	22,211	172	140	38	5,327	206	56	266	87	632	552	300	543	21,711	15,977	3,135	28,240	153	188	194	336	140,264	701	0	25	0	0	1	481,991	253,583	0	4,174	5,272	244,137	220
All Precincts - Election Day	373	109	379	138	8,284	57	72	17	1,159	101	16	122	33	241	188	133	273	6,125	5,176	1,128	12,458	51	107	67	181	49,630	247	0	7	0	0	1	481,991	89,756	0	966	1,819	86,971	98
All Precincts - Vote By Mail	451	158	442	412	13,927	115	68	21	4,168	105	40	144	54	391	364	167	270	15,586	10,801	2,007	15,782	102	81	127	155	90,634	454	0	18	0	0	0	481,991	163,827	0	3,208	3,453	157,166	122
Precinct 1101 - Election Day	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	9	0	0	0	0	50	0	0	0	0	0	0	544	83	0	1	1	81	0
Precinct 1101 - Vote By Mail	0	0	0	0	18	0	0	0	2	0	0	0	0	0	1	0	0	25	20	2	13	0	0	0	0	108	3	0	0	0	0	0	544	198	0	4	2	192	0
Precinct 1102 - Election Day	0	0	1	0	28	1	0	0	3	0	0	0	0	0	1	0	0	9	10	1	24	0	0	0	1	102	1	0	0	0	0	0	964	188	0	3	3	182	0
Precinct 1102 - Vote By Mail	2	0	1	0	45	0	1	0	16	0	0	0	2	0	0	1	0	22	27	5	30	0	0	0	0	169	1	0	0	0	0	0	964	337	0	8	7	322	0
Precinct 1103 - Election Day	0	1	0	0	9	0	0	0	3	0	0	0	0	0	0	2	0	14	9	1	18	0	0	1	2	100	0	0	0	0	0	0	914	163	0	2	1	160	0
Precinct 1103 - Vote By Mail	2	0	1	2	26	0	0	0	17	0	0	0	0	0	1	1	0	31	34	3	31	1	0	0	0	185	1	0	0	0	0	0	914	348	0	6	6	336	0
Precinct 1104/1105 - Election Day	2	1	1	1	16	0	0	0	7	0	0	0	0	1	0	1	0	9	17	2	22	0	0	0	0	81	2	0	0	0	0	0	953	167	0	3	1	163	0
Precinct 1104/1105 - Vote By Mail	1	0	2	5	37	1	0	0	15	0	0	0	0	0	0	2	0	32	12	4	26	1	0	0	0	143	1	0	0	0	0	0	953	292	0	7	3	282	0
Precinct 1106 - Election Day	1	0	0	1	10	0	0	0	1	0	0	0	0	1	0	0	0	17	12	2	11	0	0	0	0	52	0	0	0	0	0	0	740	113	0	3	2	108	0
Precinct 1106 - Vote By Mail	1	1	1	0	14	1	0	0	15	1	0	0	0	1	0	0	0	15	25	6	19	1	0	0	0	117	2	0	0	0	0	0	740	231	0	6	5	220	0
Precinct 1107 - Election Day	1	0	0	0	6	0	0	0	3	0	0	0	0	1	0	0	0	9	5	1	8	0	0	0	1	62	0	0	0	0	0	0	721	101	0	1	3	97	0
Precinct 1107 - Vote By Mail	1	1	2	0	15	0	1	0	11	0	0	0	0	0	0	0	0	27	15	2	12	0	0	0	1	135	1	0	0	0	0	0	721	240	0	8	7	225	1
Precinct 1108 - Election Day	1	0	0	2	11	0	0	0	2	0	0	1	0	1	1	0	0	16	2	2	19	0	0	0	0	90	1	0	0	0	0	0	882	156	0	0	7	149	0
