Subtotal Area	JEFF BLEICH	ELENI KOUNALAKIS	CAMERON GHARABIKLOU	TIM FERREIRA	DAVID FENNELL	DANNY THOMAS	COLE HARRIS	ED HERNANDEZ	DAVID R. HERNANDEZ	LYDIA ORTEGA	GAYLE MCLAUGHLIN	MARJAN S. FARIBA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	46,082	64,451	1,996	3,336	5,561	1,941	10,946	38,935	5,163	7,176	36,407	4	481,991	253,583	0	588	30,464	222,531	533
All Precincts - None	16,302	21,531	706	1,356	1,629	662	2,860	13,390	1,959	2,045	16,181	1	481,991	89,756	0	138	10,760	78,858	236
All Precincts - None	29,780	42,920	1,290	1,980	3,932	1,279	8,086	25,545	3,204	5,131	20,226	3	481,991	163,827	0	450	19,704	143,673	297
Precinct 1101 - None	17	18	1	1	1	0	1	16	4	1	13	0	544	83	0	0	10	73	0
Precinct 1101 - None	32	46	1	1	9	2	10	40	6	10	22	0	544	198	0	1	17	180	1
Precinct 1102 - None	25	44	2	3	4	0	3	43	7	4	27	0	964	188	0	0	26	162	0
Precinct 1102 - None	37	86	2	7	11	1	24	63	7	7	45	0	964	337	0	0	47	290	0
Precinct 1103 - None	34	35	0	1	3	2	4	34	6	4	24	0	914	163	0	0	15	148	1
Precinct 1103 - None	66	78	1	5	9	3	35	52	10	20	39	0	914	348	0	1	29	318	0
Precinct 1104/1105 - None	17	32	2	3	6	2	13	38	6	6	26	0	953	167	0	1	15	151	0
Precinct 1104/1105 - None	44	45	5	5	3	5	9	65	11	11	46	0	953	292	0	1	42	249	0
Precinct 1106 - None	12	33	0	3	1	1	3	26	6	2	18	0	740	113	0	0	8	105	0
Precinct 1106 - None	28	52	2	4	7	2	20	50	5	13	29	0	740	231	0	0	18	213	1
Precinct 1107 - None	17	27	1	1	0	2	3	17	4	7	12	0	721	101	0	0	10	91	0
Precinct 1107 - None	33	50	0	5	7	0	13	50	12	6	22	0	721	240	0	1	40	199	1
Precinct 1108 - None	22	45	2	0	1	1	3	20	4	6	22	0	882	156	0	0	28	128	2
Precinct 1108 - None	38	108	3	4	5	1	9	74	12	12	29	0	882	328	0	1	32	295	0
Precinct 1109 - None	25	26	0	3	1	2	6	20	5	4	18	0	758	124	0	0	14	110	0
Precinct 1109 - None	46	50	0	4	10	4	9	65	18	10	18	0	758	265	0	0	31	234	0
Precinct 1111 - None	17	24	3	2	3	1	2	28	3	7	27	0	938	132	0	0	15	117	0
Precinct 1111 - None	42	72	2	0	4	2	21	77	12	16	33	0	938	330	0	0	47	283	2
Precinct 1112 - None	11	21	2	1	1	0	2	24	1	2	13	0	702	96	0	3	14	79	1
Precinct 1112 - None	24	45	4	1	10	1	12	61	8	4	15	0	702	221	0	2	34	185	0
Precinct 1113 - None	11	19	0	0	1	0	4	16	3	1	17	0	701	82	0	0	9	73	1
Precinct 1113 - None	31	40	1	0	10	4	16	53	17	20	35	0	701	272	0	4	40	228	1
Precinct 1114 - None	21	29	2	1	4	1	1	24	6	6	21	0	915	139	0	1	21	117	1
Precinct 1114 - None	39	43	4	6	8	1	20	70	8	18	39	0	915	280	0	0	24	256	0
Precinct 1115 - None	14	23	0	1	5	2	0	21	2	2	15	0	835	97	0	0	10	87	2
Precinct 1115 - None	29	52	4	7	13	4	23	44	6	21	22	0	835	279	0	2	52	225	0
Precinct 1116 - None	17	36	1	1	2	1	2	33	5	5	19	0	842	141	0	0	19	122	0
Precinct 1116 - None	35	64	0	3	9	2	19	59	8	11	20	0	842	275	0	4	40	231	1
Precinct 1117 - None	19	30	2	3	1	2	7	37	8	2	9	0	827	138	0	0	16	122	2
Precinct 1117 - None	22	56	3	2	4	2	19	63	9	12	25	0	827	240	0	0	22	218	1
Precinct 1118 - None	18	41	2	5	5	4	3	27	2	7	26	0	974	158	0	1	17	140	0
Precinct 1118 - None	32	94	2	1	7	3	24	75	11	16	29	0	974	335	0	4	36	295	1
Precinct 1119 - None	14	23	1	0	0	0	3	22	1	3	20	0	745	97	0	0	8	89	2
Precinct 1119 - None	29	71	3	6	4	2	22	62	7	19	23	0	745	274	0	0	25	249	1
Precinct 1121 - None	20	16	1	1	5	0	3	18	4	7	13	0	653	104	0	0	16	88	0
Precinct 1121 - None	27	46	2	0	6	1	21	48	11	6	22	0	653	221	0	1	30	190	0
Precinct 1122 - None	8	14	0	0	2	0	2	19	0	5	8	0	607	69	0	0	10	59	1
Precinct 1122 - None	20	33	1	2	7	2	25	30	7	12	20	0	607	213	0	1	52	160	1
Precinct 1123 - None	14	38	1	2	1	3	4	20	5	1	12	0	876	118	0	0	15	103	2
Precinct 1123 - None	29	56	2	1	5	0	27	61	14	16	20	0	876	254	0	1	20	233	2
Precinct 1124 - None	11	28	4	1	1	1	1	25	5	4	6	0	773	109	0	1	20	88	1
