Subtotal Area	ALEX PADILLA	GAIL K. LIGHTFOOT	C.T. WEBER	ERIK RYDBERG	RAUL RODRIGUEZ JR	MICHAEL FEINSTEIN	RUBEN MAJOR	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	165,952	4,962	2,913	2,628	4,503	8,823	9,493	18,441	481,991	253,583	0	319	35,133	218,131	416
All Precincts - None	58,448	2,087	1,050	1,166	1,721	3,694	3,647	4,870	481,991	89,756	0	88	12,808	76,860	177
All Precincts - None	107,504	2,875	1,863	1,462	2,782	5,129	5,846	13,571	481,991	163,827	0	231	22,325	141,271	239
Precinct 1101 - None	55	3	0	0	5	5	3	1	544	83	0	0	11	72	0
Precinct 1101 - None	121	4	3	0	4	5	20	18	544	198	0	1	22	175	0
Precinct 1102 - None	126	5	2	1	1	4	11	13	964	188	0	0	25	163	0
Precinct 1102 - None	213	4	7	0	14	7	22	27	964	337	0	0	43	294	0
Precinct 1103 - None	97	1	3	5	8	9	10	10	914	163	0	0	19	144	1
Precinct 1103 - None	207	4	6	5	14	13	21	40	914	348	0	1	37	310	0
Precinct 1104/1105 - None	97	4	2	2	9	6	8	16	953	167	0	1	22	144	0
Precinct 1104/1105 - None	169	2	8	4	2	13	24	25	953	292	0	1	43	248	1
Precinct 1106 - None	75	2	2	0	2	3	4	10	740	113	0	0	15	98	0
Precinct 1106 - None	123	5	5	3	3	10	17	38	740	231	0	0	26	205	1
Precinct 1107 - None	64	1	2	1	4	6	4	7	721	101	0	0	12	89	0
Precinct 1107 - None	130	5	5	2	1	8	8	31	721	240	0	1	48	191	1
Precinct 1108 - None	91	3	2	1	5	8	10	6	882	156	0	0	28	128	2
Precinct 1108 - None	207	11	8	1	7	9	19	23	882	328	0	0	43	285	0
Precinct 1109 - None	72	5	4	1	7	4	13	4	758	124	0	0	14	110	0
Precinct 1109 - None	148	5	8	4	5	5	17	34	758	265	0	0	39	226	0
Precinct 1111 - None	77	3	5	3	4	4	12	7	938	132	0	0	17	115	0
Precinct 1111 - None	178	6	10	7	8	11	17	39	938	330	0	0	54	276	0
Precinct 1112 - None	55	0	3	1	3	4	5	3	702	96	0	0	21	75	1
Precinct 1112 - None	123	6	3	3	8	0	16	17	702	221	0	1	44	176	0
Precinct 1113 - None	47	4	1	0	4	3	6	4	701	82	0	0	12	70	1
