Subtotal Area	KONSTANTINOS RODITIS	MARY LOU FINLEY	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts - Total	19,113	9,071	174,517	481,991	253,583	0	105	50,259	203,219	518
All Precincts - Election Day	5,725	3,960	59,684	481,991	89,756	0	31	20,089	69,636	267
All Precincts - Vote By Mail	13,388	5,111	114,833	481,991	163,827	0	74	30,170	133,583	251
Precinct 1101 - Election Day	7	0	55	544	83	0	0	21	62	0
Precinct 1101 - Vote By Mail	18	9	142	544	198	0	0	29	169	0
Precinct 1102 - Election Day	10	11	127	964	188	0	0	40	148	0
Precinct 1102 - Vote By Mail	33	15	226	964	337	0	0	63	274	0
Precinct 1103 - Election Day	10	7	115	914	163	0	0	30	133	1
Precinct 1103 - Vote By Mail	32	7	247	914	348	0	0	62	286	0
Precinct 1104/1105 - Election Day	17	10	102	953	167	0	0	38	129	0
Precinct 1104/1105 - Vote By Mail	26	10	204	953	292	0	0	51	241	1
Precinct 1106 - Election Day	9	6	74	740	113	0	0	24	89	0
Precinct 1106 - Vote By Mail	23	10	164	740	231	0	0	32	199	2
Precinct 1107 - Election Day	9	5	70	721	101	0	0	17	84	0
Precinct 1107 - Vote By Mail	27	12	157	721	240	0	0	43	197	1
Precinct 1108 - Election Day	5	12	98	882	156	0	0	39	117	2
Precinct 1108 - Vote By Mail	18	6	255	882	328	0	0	49	279	0
Precinct 1109 - Election Day	7	10	85	758	124	0	0	22	102	0
Precinct 1109 - Vote By Mail	25	11	180	758	265	0	0	47	218	2
Precinct 1111 - Election Day	8	8	90	938	132	0	0	26	106	0
Precinct 1111 - Vote By Mail	34	14	216	938	330	0	0	62	268	4
Precinct 1112 - Election Day	4	6	58	702	96	0	0	27	69	1
Precinct 1112 - Vote By Mail	12	4	157	702	221	0	1	46	174	1
Precinct 1113 - Election Day	6	2	59	701	82	0	0	14	68	1
Precinct 1113 - Vote By Mail	22	16	183	701	272	0	1	48	223	2
Precinct 1114 - Election Day	8	13	81	915	139	0	0	36	103	1
Precinct 1114 - Vote By Mail	31	12	190	915	280	0	0	46	234	1
Precinct 1115 - Election Day	3	6	72	835	97	0	0	15	82	1
Precinct 1115 - Vote By Mail	21	17	186	835	279	0	0	54	225	1
Precinct 1116 - Election Day	5	14	89	842	141	0	0	32	109	1
Precinct 1116 - Vote By Mail	14	15	184	842	275	0	1	60	214	1
Precinct 1117 - Election Day	8	16	81	827	138	0	0	31	107	2
Precinct 1117 - Vote By Mail	23	9	170	827	240	0	0	38	202	0
Precinct 1118 - Election Day	7	19	104	974	158	0	0	27	131	1
Precinct 1118 - Vote By Mail	16	17	228	974	335	0	1	72	262	1
Precinct 1119 - Election Day	6	6	63	745	97	0	0	20	77	2
Precinct 1119 - Vote By Mail	21	12	210	745	274	0	0	31	243	0
Precinct 1121 - Election Day	11	5	70	653	104	0	0	18	86	0
Precinct 1121 - Vote By Mail	17	15	149	653	221	0	0	40	181	0
Precinct 1122 - Election Day	8	3	47	607	69	0	0	10	59	1
Precinct 1122 - Vote By Mail	14	8	142	607	213	0	0	49	164	0
Precinct 1123 - Election Day	1	13	70	876	118	0	0	33	85	1
Precinct 1123 - Vote By Mail	22	13	181	876	254	0	0	36	218	2
Precinct 1124 - Election Day	9	8	62	773	109	0	1	28	80	1
Precinct 1124 - Vote By Mail	14	10	147	773	200	0	0	29	171	0
Precinct 1125 - Election Day	4	8	47	987	80	0	0	20	60	1
Precinct 1125 - Vote By Mail	43	14	222	987	329	0	0	48	281	2
Precinct 1126 - Election Day	4	7	59	900	92	0	0	21	71	1
Precinct 1126 - Vote By Mail	21	13	210	900	292	0	0	46	246	2
Precinct 1127 - Election Day	10	8	84	875	141	0	0	37	104	2
Precinct 1127 - Vote By Mail	35	9	174	875	277	0	0	59	218	0
Precinct 1128 - Election Day	7	6	70	813	104	0	0	20	84	1
Precinct 1128 - Vote By Mail	39	11	150	813	246	0	0	45	201	1
Precinct 1129 - Election Day	11	7	71	924	120	0	0	31	89	0
Precinct 1129 - Vote By Mail	29	4	194	924	274	0	0	46	228	1
Precinct 1131 - Election Day	9	3	52	783	85	0	0	21	64	0
Precinct 1131 - Vote By Mail	30	4	200	783	288	0	0	54	234	0
Precinct 1132 - Election Day	4	8	76	910	112	0	0	23	89	1
Precinct 1132 - Vote By Mail	32	11	213	910	324	0	1	67	256	0
Precinct 1133 - Election Day	10	5	60	826	99	0	0	24	75	0
Precinct 1133 - Vote By Mail	29	14	194	826	292	0	0	51	241	4
Precinct 1134 - Election Day	5	8	87	727	126	0	0	26	100	0
Precinct 1134 - Vote By Mail	19	5	180	727	241	0	0	37	204	0
Precinct 1135 - Election Day	3	3	47	511	71	0	0	17	54	1
Precinct 1135 - Vote By Mail	23	6	150	511	217	0	0	38	179	0
Precinct 1136 - Election Day	11	11	56	807	97	0	1	17	79	1
Precinct 1136 - Vote By Mail	31	3	202	807	287	0	0	51	236	0
Precinct 1141 - Election Day	13	8	89	998	149	0	0	39	110	0
Precinct 1141 - Vote By Mail	23	21	272	998	368	0	0	51	317	1
Precinct 1142 - Election Day	6	5	74	822	120	0	0	35	85	0
Precinct 1142 - Vote By Mail	24	20	174	822	266	0	0	48	218	0
Precinct 1143 - Election Day	6	9	99	989	147	0	0	32	115	1
Precinct 1143 - Vote By Mail	34	15	190	989	311	0	1	68	242	3
Precinct 1144 - Election Day	7	11	92	870	148	0	2	36	110	0
Precinct 1144 - Vote By Mail	39	9	182	870	264	0	0	34	230	0
Precinct 1145 - Election Day	7	6	88	879	136	0	0	34	102	1
Precinct 1145 - Vote By Mail	24	16	272	879	370	0	0	58	312	0
Precinct 1146 - Election Day	6	11	67	971	124	0	0	39	85	1
Precinct 1146 - Vote By Mail	25	22	221	971	326	0	1	57	268	0
Precinct 1147 - Election Day	8	13	105	853	166	0	0	39	127	1
Precinct 1147 - Vote By Mail	15	16	195	853	279	0	1	52	226	0
Precinct 1148 - Election Day	13	11	59	918	121	0	0	38	83	0
Precinct 1148 - Vote By Mail	29	14	222	918	314	0	0	49	265	0
Precinct 1149 - Election Day	15	16	79	873	148	0	0	38	110	0
Precinct 1149 - Vote By Mail	22	11	203	873	285	0	1	47	237	1
Precinct 1152 - Election Day	16	9	68	838	125	0	0	31	94	1
Precinct 1152 - Vote By Mail	22	14	201	838	286	0	0	49	237	0
Precinct 1153 - Election Day	17	7	76	909	139	0	0	39	100	0
Precinct 1153 - Vote By Mail	31	8	220	909	306	0	0	47	259	0
Precinct 7001 - Election Day	2	7	87	735	119	0	0	23	96	0
Precinct 7001 - Vote By Mail	5	7	192	735	266	0	0	61	205	1
Precinct 7002 - Election Day	0	3	98	641	132	0	0	31	101	0
Precinct 7002 - Vote By Mail	17	9	125	641	173	0	0	22	151	0
Precinct 7003 - Election Day	7	10	125	864	188	0	0	46	142	0
Precinct 7003 - Vote By Mail	20	10	246	864	340	0	2	62	276	0
Precinct 7004 - Election Day	8	8	114	835	175	0	0	45	130	0
Precinct 7004 - Vote By Mail	25	8	225	835	306	0	0	48	258	0
Precinct 7005 - Election Day	4	4	123	812	180	0	0	49	131	0
Precinct 7005 - Vote By Mail	14	5	228	812	295	0	0	48	247	0
Precinct 7006 - Election Day	9	13	132	884	213	0	0	59	154	0
Precinct 7006 - Vote By Mail	16	15	204	884	290	0	0	55	235	0
Precinct 7007 - Election Day	7	8	160	916	233	0	0	57	176	1
