Subtotal Area	VIVEK VISWANATHAN	JACK M. GUERRERO	KEVIN AKIN	GREG CONLON	FIONA MA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	27,433	15,384	20,926	13,496	142,062	481,991	253,583	0	251	33,551	219,781	480
All Precincts - Election Day	9,316	4,428	9,673	4,082	49,022	481,991	89,756	0	58	12,949	76,749	228
All Precincts - Vote By Mail	18,117	10,956	11,253	9,414	93,040	481,991	163,827	0	193	20,602	143,032	252
Precinct 1101 - Election Day	10	4	6	6	45	544	83	0	0	12	71	0
Precinct 1101 - Vote By Mail	22	11	7	18	118	544	198	0	1	21	176	0
Precinct 1102 - Election Day	13	8	25	7	108	964	188	0	1	26	161	0
Precinct 1102 - Vote By Mail	39	23	21	29	183	964	337	0	1	41	295	0
Precinct 1103 - Election Day	11	10	18	5	100	914	163	0	0	18	145	1
Precinct 1103 - Vote By Mail	37	30	20	28	196	914	348	0	1	36	311	0
Precinct 1104/1105 - Election Day	9	8	22	16	91	953	167	0	0	21	146	0
Precinct 1104/1105 - Vote By Mail	22	19	23	18	164	953	292	0	1	44	247	1
Precinct 1106 - Election Day	11	5	6	8	65	740	113	0	0	18	95	0
Precinct 1106 - Vote By Mail	16	27	14	21	132	740	231	0	0	20	211	1
Precinct 1107 - Election Day	4	3	7	5	70	721	101	0	0	12	89	0
Precinct 1107 - Vote By Mail	17	23	15	15	132	721	240	0	0	36	204	2
Precinct 1108 - Election Day	14	4	12	6	90	882	156	0	1	27	128	2
Precinct 1108 - Vote By Mail	28	18	19	18	214	882	328	0	0	31	297	0
Precinct 1109 - Election Day	13	4	16	5	73	758	124	0	0	13	111	0
Precinct 1109 - Vote By Mail	24	26	17	16	149	758	265	0	0	33	232	0
Precinct 1111 - Election Day	13	6	19	3	69	938	132	0	0	22	110	0
Precinct 1111 - Vote By Mail	31	30	13	22	186	938	330	0	0	47	283	1
Precinct 1112 - Election Day	7	7	7	4	52	702	96	0	0	18	78	1
Precinct 1112 - Vote By Mail	23	16	9	10	128	702	221	0	1	33	187	1
Precinct 1113 - Election Day	3	1	10	6	51	701	82	0	0	10	72	1
Precinct 1113 - Vote By Mail	15	25	28	29	136	701	272	0	1	37	234	1
Precinct 1114 - Election Day	12	3	19	14	68	915	139	0	0	22	117	1
Precinct 1114 - Vote By Mail	30	18	28	28	141	915	280	0	0	34	246	1
Precinct 1115 - Election Day	8	5	12	5	59	835	97	0	0	7	90	1
Precinct 1115 - Vote By Mail	15	24	25	22	144	835	279	0	1	48	230	0
Precinct 1116 - Election Day	10	8	12	6	80	842	141	0	0	25	116	0
Precinct 1116 - Vote By Mail	24	22	19	14	155	842	275	0	2	38	235	1
Precinct 1117 - Election Day	17	7	10	4	74	827	138	0	0	26	112	0
Precinct 1117 - Vote By Mail	22	24	14	11	136	827	240	0	1	31	208	1
Precinct 1118 - Election Day	11	10	21	3	96	974	158	0	1	14	143	2
Precinct 1118 - Vote By Mail	27	21	25	20	197	974	335	0	3	41	291	1
Precinct 1119 - Election Day	9	4	14	4	52	745	97	0	0	12	85	2
