Subtotal Area	DAVE JONES	STEVEN C BAILEY	XAVIER BECERRA	ERIC EARLY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	50,085	18,297	138,471	9,457	481,991	253,583	0	232	36,538	216,813	503
All Precincts - None	19,999	5,182	47,727	2,817	481,991	89,756	0	54	13,738	75,964	239
All Precincts - None	30,086	13,115	90,744	6,640	481,991	163,827	0	178	22,800	140,849	264
Precinct 1101 - None	15	5	46	1	544	83	0	0	16	67	0
Precinct 1101 - None	36	18	110	9	544	198	0	0	25	173	0
Precinct 1102 - None	31	12	106	7	964	188	0	0	32	156	0
Precinct 1102 - None	58	33	186	19	964	337	0	0	40	297	1
Precinct 1103 - None	29	12	90	5	914	163	0	0	26	137	1
Precinct 1103 - None	52	44	186	26	914	348	0	0	39	309	1
Precinct 1104/1105 - None	32	17	78	7	953	167	0	0	33	134	0
Precinct 1104/1105 - None	58	30	150	6	953	292	0	1	45	246	2
Precinct 1106 - None	28	9	54	5	740	113	0	0	17	96	0
Precinct 1106 - None	53	34	108	10	740	231	0	0	25	206	1
Precinct 1107 - None	22	9	57	5	721	101	0	0	8	93	0
Precinct 1107 - None	35	25	127	8	721	240	0	0	44	196	1
Precinct 1108 - None	37	11	66	2	882	156	0	0	38	118	2
Precinct 1108 - None	64	23	183	13	882	328	0	0	45	283	0
Precinct 1109 - None	27	6	65	8	758	124	0	0	18	106	0
Precinct 1109 - None	51	31	125	23	758	265	0	0	35	230	0
Precinct 1111 - None	29	7	71	4	938	132	0	0	21	111	0
Precinct 1111 - None	37	37	185	19	938	330	0	0	50	280	2
Precinct 1112 - None	21	1	52	2	702	96	0	2	17	77	1
Precinct 1112 - None	33	12	118	17	702	221	0	1	39	181	1
Precinct 1113 - None	18	5	46	1	701	82	0	0	12	70	0
Precinct 1113 - None	37	31	127	24	701	272	0	1	51	220	1
Precinct 1114 - None	20	10	67	7	915	139	0	0	34	105	1
Precinct 1114 - None	46	30	148	14	915	280	0	0	42	238	0
Precinct 1115 - None	21	7	54	3	835	97	0	0	10	87	2
Precinct 1115 - None	37	43	127	16	835	279	0	0	56	223	0
Precinct 1116 - None	29	11	73	3	842	141	0	0	25	116	0
Precinct 1116 - None	36	25	144	16	842	275	0	1	52	222	1
Precinct 1117 - None	30	9	64	5	827	138	0	0	29	109	1
Precinct 1117 - None	36	33	118	8	827	240	0	1	43	196	1
Precinct 1118 - None	37	6	78	8	974	158	0	0	26	132	3
Precinct 1118 - None	61	29	165	16	974	335	0	1	62	272	1
Precinct 1119 - None	23	4	55	1	745	97	0	0	13	84	1
Precinct 1119 - None	45	31	149	12	745	274	0	0	36	238	1
Precinct 1121 - None	26	15	42	3	653	104	0	0	18	86	0
Precinct 1121 - None	39	24	101	16	653	221	0	0	41	180	0
Precinct 1122 - None	8	8	38	3	607	69	0	0	11	58	1
Precinct 1122 - None	31	28	78	20	607	213	0	0	56	157	0
Precinct 1123 - None	31	6	53	4	876	118	0	0	22	96	2
Precinct 1123 - None	40	37	127	13	876	254	0	0	35	219	2
Precinct 1124 - None	22	4	48	6	773	109	0	1	27	81	1
Precinct 1124 - None	25	15	119	16	773	200	0	0	25	175	0
Precinct 1125 - None	18	3	41	5	987	80	0	0	11	69	2
Precinct 1125 - None	39	38	184	31	987	329	0	1	34	294	2
Precinct 1126 - None	23	3	51	2	900	92	0	0	13	79	0
Precinct 1126 - None	43	31	158	14	900	292	0	1	43	248	2
Precinct 1127 - None	34	8	59	7	875	141	0	0	30	111	3
Precinct 1127 - None	35	37	131	22	875	277	0	1	51	225	0
Precinct 1128 - None	15	6	54	7	813	104	0	0	21	83	1
Precinct 1128 - None	36	29	120	21	813	246	0	0	40	206	0
Precinct 1129 - None	25	10	56	6	924	120	0	0	22	98	1
Precinct 1129 - None	37	41	155	12	924	274	0	0	29	245	0
Precinct 1131 - None	12	11	46	4	783	85	0	0	12	73	0
Precinct 1131 - None	38	39	146	19	783	288	0	0	45	243	1
Precinct 1132 - None	23	4	60	2	910	112	0	0	23	89	0
Precinct 1132 - None	50	38	143	24	910	324	0	1	68	255	0
Precinct 1133 - None	17	8	52	5	826	99	0	0	16	83	1
Precinct 1133 - None	43	30	152	15	826	292	0	0	47	245	5
Precinct 1134 - None	19	5	76	3	727	126	0	0	22	104	1
Precinct 1134 - None	24	19	124	18	727	241	0	0	56	185	0
Precinct 1135 - None	19	3	38	1	511	71	0	0	10	61	0
Precinct 1135 - None	40	15	104	15	511	217	0	0	41	176	2
Precinct 1136 - None	19	11	43	4	807	97	0	0	19	78	1
Precinct 1136 - None	53	47	119	11	807	287	0	1	55	231	1
Precinct 1141 - None	39	11	74	9	998	149	0	0	16	133	0
Precinct 1141 - None	80	28	200	18	998	368	0	0	42	326	0
Precinct 1142 - None	25	9	61	4	822	120	0	0	20	100	1
