Subtotal Area	STEVE POIZNER	RICARDO LARA	NATHALIE HRIZI	ASIF MAHMOOD	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	61,044	85,107	29,487	33,001	481,991	253,583	246	322	43,501	209,514	875
All Precincts - None	19,481	28,673	12,788	11,775	481,991	89,756	-68	91	16,585	73,148	431
All Precincts - None	41,563	56,434	16,699	21,226	481,991	163,827	314	231	26,916	136,366	444
Precinct 1101 - None	17	29	10	14	544	83	0	0	12	71	1
Precinct 1101 - None	41	77	16	38	544	198	0	0	26	172	0
Precinct 1102 - None	35	62	34	34	964	188	-2	0	25	165	0
Precinct 1102 - None	75	128	42	48	964	337	1	0	43	293	0
Precinct 1103 - None	37	55	29	20	914	163	0	1	19	143	2
Precinct 1103 - None	88	121	37	53	914	348	1	0	48	299	0
Precinct 1104/1105 - None	32	59	27	22	953	167	0	1	26	140	0
Precinct 1104/1105 - None	59	109	37	43	953	292	0	3	41	248	0
Precinct 1106 - None	31	34	11	21	740	113	0	0	16	97	0
Precinct 1106 - None	62	76	28	34	740	231	0	0	31	200	0
Precinct 1107 - None	18	36	15	16	721	101	0	1	14	86	1
Precinct 1107 - None	52	78	23	33	721	240	5	0	48	187	1
Precinct 1108 - None	30	42	14	30	882	156	-1	1	39	117	1
Precinct 1108 - None	56	133	33	56	882	328	3	1	44	280	2
Precinct 1109 - None	23	44	24	18	758	124	0	0	15	109	0
Precinct 1109 - None	51	102	29	45	758	265	0	1	37	227	0
Precinct 1111 - None	16	48	29	23	938	132	-1	0	17	116	0
Precinct 1111 - None	65	117	42	49	938	330	3	0	51	276	3
Precinct 1112 - None	10	35	13	22	702	96	0	1	15	80	0
Precinct 1112 - None	43	78	18	49	702	221	1	0	30	190	2
Precinct 1113 - None	15	25	15	9	701	82	0	0	17	65	1
Precinct 1113 - None	71	81	31	30	701	272	2	1	53	216	3
Precinct 1114 - None	21	52	24	19	915	139	0	0	22	117	1
Precinct 1114 - None	68	99	48	34	915	280	0	0	31	249	0
Precinct 1115 - None	20	28	17	16	835	97	-1	0	15	83	2
