Subtotal Area	MARK BURNS	CATHLEEN GALGIANI	BARRY CHANG	MALIA COHEN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	24,445	38,518	22,778	109,076	481,991	253,583	246	358	56,380	196,599	1,782
All Precincts - None	7,168	14,338	6,010	39,755	481,991	89,756	-68	85	21,635	68,104	833
All Precincts - None	17,277	24,180	16,768	69,321	481,991	163,827	314	273	34,745	128,495	949
Precinct 1101 - None	9	11	9	40	544	83	0	0	14	69	0
Precinct 1101 - None	23	23	38	85	544	198	0	0	29	169	0
Precinct 1102 - None	14	26	11	97	964	188	-2	0	41	149	1
Precinct 1102 - None	41	58	28	146	964	337	1	0	61	275	2
Precinct 1103 - None	17	23	12	78	914	163	0	1	26	136	6
Precinct 1103 - None	61	30	50	157	914	348	1	1	46	300	2
Precinct 1104/1105 - None	29	22	10	76	953	167	0	1	29	137	0
Precinct 1104/1105 - None	30	31	43	131	953	292	0	1	52	239	4
Precinct 1106 - None	11	14	10	65	740	113	0	0	13	100	0
Precinct 1106 - None	41	18	41	94	740	231	0	0	37	194	0
Precinct 1107 - None	7	12	9	58	721	101	0	0	13	88	2
Precinct 1107 - None	33	25	28	111	721	240	5	0	37	198	1
Precinct 1108 - None	9	12	14	85	882	156	-1	0	35	122	2
Precinct 1108 - None	25	58	46	156	882	328	3	0	39	286	1
Precinct 1109 - None	10	18	14	63	758	124	0	0	18	106	1
Precinct 1109 - None	36	39	49	95	758	265	0	0	46	219	0
Precinct 1111 - None	8	13	16	68	938	132	-1	0	26	107	2
Precinct 1111 - None	49	42	58	119	938	330	3	1	55	271	3
Precinct 1112 - None	6	9	15	48	702	96	0	1	15	80	2
Precinct 1112 - None	24	17	50	89	702	221	1	0	39	181	1
Precinct 1113 - None	7	7	7	33	701	82	0	0	25	57	3
Precinct 1113 - None	31	30	64	93	701	272	2	1	51	218	0
Precinct 1114 - None	13	24	13	54	915	139	0	0	34	105	1
Precinct 1114 - None	43	35	53	103	915	280	0	0	44	236	2
Precinct 1115 - None	6	12	12	50	835	97	-1	0	16	82	2
Precinct 1115 - None	42	30	48	110	835	279	1	1	47	230	0
Precinct 1116 - None	11	21	5	80	842	141	0	0	23	118	1
Precinct 1116 - None	31	26	48	126	842	275	1	1	41	232	1
Precinct 1117 - None	10	13	8	88	827	138	-3	0	21	120	1
Precinct 1117 - None	29	28	33	115	827	240	1	0	33	206	1
Precinct 1118 - None	13	21	9	90	974	158	0	0	21	137	4
Precinct 1118 - None	40	38	45	156	974	335	0	1	53	281	2
Precinct 1119 - None	6	16	2	51	745	97	0	0	21	76	1
Precinct 1119 - None	40	39	27	130	745	274	0	1	36	237	1
Precinct 1121 - None	16	19	12	41	653	104	-1	0	17	88	0
Precinct 1121 - None	30	41	37	69	653	221	2	0	42	177	0
Precinct 1122 - None	7	9	11	31	607	69	0	0	10	59	1
Precinct 1122 - None	41	15	42	58	607	213	0	1	54	158	2
Precinct 1123 - None	9	13	5	73	876	118	0	0	14	104	4
Precinct 1123 - None	32	23	50	118	876	254	1	1	28	224	1
Precinct 1124 - None	10	13	6	53	773	109	0	0	24	85	3
Precinct 1124 - None	19	23	42	89	773	200	-1	1	26	174	1
Precinct 1125 - None	6	12	7	29	987	80	-1	0	24	57	3
Precinct 1125 - None	51	47	55	131	987	329	-1	2	41	287	3
Precinct 1126 - None	3	14	11	44	900	92	-2	0	19	75	3
Precinct 1126 - None	35	34	73	111	900	292	1	0	37	254	1
Precinct 1127 - None	14	32	18	56	875	141	-1	1	18	123	3
Precinct 1127 - None	48	50	40	96	875	277	1	1	40	235	1
Precinct 1128 - None	16	9	12	49	813	104	0	0	17	87	1
Precinct 1128 - None	43	34	50	86	813	246	0	0	31	215	2
Precinct 1129 - None	12	12	23	49	924	120	0	0	21	99	3
Precinct 1129 - None	43	41	41	115	924	274	2	0	30	242	2
Precinct 1131 - None	12	14	10	34	783	85	0	0	13	72	2
Precinct 1131 - None	45	55	60	86	783	288	1	3	37	247	1
Precinct 1132 - None	5	24	7	52	910	112	0	0	22	90	2
Precinct 1132 - None	51	45	66	110	910	324	0	0	52	272	0
Precinct 1133 - None	10	15	6	44	826	99	0	0	23	76	1
Precinct 1133 - None	36	55	48	98	826	292	-2	0	53	241	4
Precinct 1134 - None	8	21	16	54	727	126	0	0	25	101	2
Precinct 1134 - None	28	37	50	79	727	241	0	0	46	195	1
Precinct 1135 - None	4	15	4	29	511	71	0	0	18	53	1
Precinct 1135 - None	30	42	25	83	511	217	0	0	37	180	0
Precinct 1136 - None	10	16	11	42	807	97	0	0	17	80	1
Precinct 1136 - None	47	49	49	101	807	287	1	0	40	246	0
Precinct 1141 - None	15	21	14	72	998	149	0	0	26	123	1
Precinct 1141 - None	39	59	59	158	998	368	0	1	49	318	3
Precinct 1142 - None	7	21	17	56	822	120	0	0	19	101	0
Precinct 1142 - None	34	37	40	107	822	266	1	0	47	218	0
Precinct 1143 - None	11	22	9	74	989	147	-1	0	30	118	2
Precinct 1143 - None	39	45	40	116	989	311	0	2	66	243	3
Precinct 1144 - None	12	32	9	69	870	148	-1	1	25	123	1
Precinct 1144 - None	46	46	38	85	870	264	-2	0	46	220	5
Precinct 1145 - None	11	26	8	67	879	136	1	0	22	113	1
Precinct 1145 - None	30	56	53	159	879	370	0	0	70	300	2
Precinct 1146 - None	10	23	12	56	971	124	1	0	19	104	3
Precinct 1146 - None	28	67	64	121	971	326	0	3	42	281	1
Precinct 1147 - None	16	14	9	83	853	166	1	0	40	125	3
Precinct 1147 - None	33	49	47	97	853	279	-1	1	52	227	1
Precinct 1148 - None	17	24	9	49	918	121	0	0	22	99	0
Precinct 1148 - None	42	54	75	95	918	314	1	0	47	266	0
Precinct 1149 - None	16	23	13	69	873	148	-2	0	28	122	1
Precinct 1149 - None	38	63	37	104	873	285	0	3	39	243	1
Precinct 1152 - None	18	24	8	50	838	125	-1	0	24	102	2
Precinct 1152 - None	31	48	67	96	838	286	1	1	40	244	2
Precinct 1153 - None	21	30	13	49	909	139	0	0	26	113	0
Precinct 1153 - None	44	60	49	112	909	306	0	1	38	267	2
Precinct 7001 - None	3	18	2	60	735	119	-2	0	38	83	0
Precinct 7001 - None	15	33	15	129	735	266	6	1	66	193	1
Precinct 7002 - None	5	29	8	61	641	132	1	0	28	103	0
Precinct 7002 - None	15	37	9	82	641	173	0	0	28	145	2
Precinct 7003 - None	7	39	9	91	864	188	-1	0	42	147	1
Precinct 7003 - None	30	63	13	150	864	340	1	0	79	260	4
Precinct 7004 - None	12	35	12	70	835	175	-1	0	47	129	0
Precinct 7004 - None	26	47	17	135	835	306	6	1	73	226	1
Precinct 7005 - None	5	42	9	80	812	180	-1	0	44	137	1
Precinct 7005 - None	19	64	10	131	812	295	2	0	66	227	3
Precinct 7006 - None	9	30	14	96	884	213	-1	0	65	149	0
Precinct 7006 - None	15	47	15	132	884	290	1	1	73	215	6
Precinct 7007 - None	8	53	13	124	916	233	-4	0	37	200	2
Precinct 7007 - None	15	72	13	133	916	323	2	0	82	239	6
Precinct 7008 - None	13	43	7	75	861	187	0	0	48	139	1
Precinct 7008 - None	24	63	14	156	861	345	0	0	86	259	2
Precinct 7009 - None	6	27	12	57	864	133	-1	0	30	104	2
Precinct 7009 - None	13	72	26	144	864	312	-2	0	59	255	0
Precinct 7011 - None	4	27	6	66	976	141	0	0	37	104	1
Precinct 7011 - None	10	43	15	88	976	205	1	0	47	157	1
Precinct 7012 - None	22	49	12	97	1,061	224	0	0	43	181	1
Precinct 7012 - None	26	67	28	163	1,061	383	0	0	95	288	4
Precinct 7013 - None	3	28	4	61	805	132	0	0	33	99	3
Precinct 7013 - None	15	51	16	117	805	251	2	1	48	200	1
Precinct 7014 - None	8	42	4	94	1,213	188	-2	1	38	151	3
Precinct 7014 - None	25	63	26	245	1,213	434	-1	0	72	363	4
Precinct 7015 MB - None	2	8	2	15	93	34	0	0	6	28	1
Precinct 7016 - None	5	16	13	56	891	112	2	0	19	91	1
Precinct 7016 - None	13	33	49	81	891	221	2	0	42	177	1
Precinct 7017 - None	2	13	1	43	734	79	0	1	19	59	0
Precinct 7017 - None	5	27	15	100	734	167	1	0	19	147	0
Precinct 7018 - None	10	12	9	45	908	88	-1	0	13	76	0
Precinct 7018 - None	34	45	78	136	908	343	5	3	41	294	1
Precinct 7019 - None	4	19	6	67	864	111	2	0	13	96	0
Precinct 7019 - None	38	57	54	164	864	349	-1	1	36	313	0
Precinct 7021 - None	6	27	6	63	927	129	0	0	24	105	3
Precinct 7021 - None	16	45	27	100	927	220	-1	0	32	189	1
Precinct 7022 - None	9	22	6	105	923	164	-1	3	20	142	0
Precinct 7022 - None	16	35	36	147	923	270	2	0	34	234	0
Precinct 7023 - None	8	21	6	78	906	131	-1	0	19	113	0
Precinct 7023 - None	21	41	32	170	906	301	-3	1	36	267	3
Precinct 7024 - None	0	4	2	24	386	30	0	0	0	30	0
Precinct 7024 - None	5	6	11	22	386	47	1	0	2	44	0
Precinct 7025 - None	7	9	5	38	448	66	1	0	6	59	0
Precinct 7025 - None	4	12	7	40	448	78	2	0	11	65	2
Precinct 7026 - None	3	20	13	43	971	90	-1	0	12	79	0
Precinct 7026 - None	32	42	105	109	971	350	8	1	51	290	2
Precinct 7027 - None	6	22	6	76	845	136	2	0	21	113	3
Precinct 7027 - None	27	50	50	107	845	271	2	0	35	234	0
Precinct 7028 - None	5	19	6	109	835	157	-1	0	19	139	0
Precinct 7028 - None	4	28	27	95	835	180	0	0	23	157	3
Precinct 7029 - None	3	14	8	77	855	115	1	0	12	102	0
Precinct 7029 - None	8	17	23	97	855	166	2	1	16	147	2
Precinct 7030 - None	15	12	21	34	729	94	0	0	12	82	0
Precinct 7030 - None	49	30	68	90	729	277	0	1	38	238	1
Precinct 7031 - None	3	6	5	29	611	50	0	0	7	43	0
Precinct 7031 - None	27	32	45	91	611	224	0	0	28	196	1
Precinct 7032 - None	14	19	8	66	867	126	-2	0	21	107	0
Precinct 7032 - None	22	34	37	110	867	238	1	2	32	203	0
Precinct 7033 - None	12	15	12	77	765	135	0	1	15	119	3
Precinct 7033 - None	11	31	15	99	765	181	0	0	25	156	0
Precinct 7034 - None	6	12	5	58	914	97	0	2	14	81	0
Precinct 7034 - None	4	23	11	100	914	154	-1	0	17	138	0
Precinct 7035 - None	6	11	2	40	553	73	-1	0	15	59	0
Precinct 7035 - None	19	12	8	111	553	170	1	1	18	150	0
Precinct 7036 - None	8	7	5	26	898	52	0	0	6	46	0
Precinct 7036 - None	38	40	57	106	898	265	0	1	22	242	1
Precinct 7037 - None	5	6	5	43	730	73	0	0	14	59	0
Precinct 7037 - None	11	7	8	32	730	64	1	0	5	58	0
Precinct 7038 - None	14	13	4	41	880	84	0	0	11	73	1
Precinct 7038 - None	24	47	53	85	880	255	0	1	44	210	1
Precinct 7039 - None	19	14	12	56	768	111	0	0	10	101	0
Precinct 7039 - None	35	25	53	72	768	225	3	0	37	185	0
Precinct 7041 MB - None	3	1	5	11	60	24	1	0	3	20	0
Precinct 7042 - None	6	11	8	36	632	75	0	0	11	64	3
Precinct 7042 - None	19	29	35	81	632	191	0	0	26	165	1
Precinct 7043 - None	4	9	4	64	915	97	0	0	16	81	0
Precinct 7043 - None	15	46	55	127	915	282	0	1	38	243	0
Precinct 7044 - None	2	5	7	58	805	86	-1	0	14	73	1
Precinct 7044 - None	19	17	16	55	805	125	-1	0	19	107	0
Precinct 7045 - None	13	9	8	40	763	87	0	0	17	70	0
Precinct 7045 - None	35	31	88	67	763	282	1	0	58	223	2
Precinct 7046 - None	5	4	5	32	385	54	0	0	8	46	0
Precinct 7046 - None	19	21	22	57	385	136	-1	0	18	119	0
Precinct 7047 - None	3	9	6	38	781	68	-1	1	12	56	0
Precinct 7047 - None	36	44	71	104	781	298	2	4	36	256	1
Precinct 7048 - None	4	13	8	60	815	94	0	0	8	86	1
