Subtotal Area	GERALD PLUMMER	TOM PALZER	JOHN THOMPSON PARKER	DOUGLAS HOWARD PIERCE	HERBERT G. PETERS	JAMES P BRADLEY	ARUN K. BHUMITRA	JERRY JOSEPH LAWS	PATRICK LITTLE	TIM GILDERSLEEVE	MICHAEL FAHMY GIRGIS	DON J. GRUNDMANN	RASH BIHARI GHOSH	LING LING SHI	JOHN "JACK" CREW	ERIN CRUZ	DERRICK MICHAEL REID	DIANNE FEINSTEIN	COLLEEN SHEA FERNALD	ADRIENNE NICOLE EDWARDS	PAUL A TAYLOR	DONNIE O. TURNER	PAT HARRIS	ALISON HARTSON	JASON M. HANANIA	DAVID HILDEBRAND	LEE OLSON	ROQUE "ROCKY" DE LA FUENTE	KEVIN DE LEON	KEVIN MOTTUS	DAVID MOORE	MARIO NABLIBA	SEELAM PRABHAKAR REDDY	MICHAEL V. ZIESING	URSULA M. SCHILLING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	252	919	1,465	651	419	3,823	2,309	594	841	103	77	264	422	1,704	681	1,726	1,993	145,492	591	2,276	3,895	696	3,740	3,693	608	883	1,094	1,563	51,347	979	627	861	0	5	0	481,991	253,583	246	1,117	14,959	237,261	668
All Precincts - None	104	283	649	280	198	941	657	182	285	34	26	66	175	349	245	532	737	49,642	213	996	1,246	312	1,761	1,273	187	360	305	581	20,144	309	268	277	0	1	0	481,991	89,756	-68	313	5,648	83,863	245
All Precincts - None	148	636	816	371	221	2,882	1,652	412	556	69	51	198	247	1,355	436	1,194	1,256	95,850	378	1,280	2,649	384	1,979	2,420	421	523	789	982	31,203	670	359	584	0	4	0	481,991	163,827	314	804	9,311	153,398	423
Precinct 1101 - None	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	45	0	3	1	1	1	2	1	1	0	0	16	0	0	2	0	0	0	544	83	0	1	6	76	0
Precinct 1101 - None	0	1	0	2	0	2	3	0	3	0	0	0	0	6	0	1	8	92	1	1	1	1	6	2	0	0	2	1	48	0	0	2	0	0	0	544	198	0	1	12	185	2
Precinct 1102 - None	0	2	0	0	0	1	0	0	1	0	0	0	0	1	1	5	0	106	0	1	1	3	7	1	0	0	1	0	46	1	0	2	0	0	0	964	188	-2	0	9	181	1
Precinct 1102 - None	0	0	3	3	1	6	6	2	0	0	0	1	1	1	2	5	2	173	1	3	5	1	5	6	6	0	1	7	58	0	3	0	0	0	0	964	337	1	6	28	302	0
Precinct 1103 - None	1	0	2	1	0	1	0	0	1	0	0	0	0	1	0	2	1	90	0	5	3	0	2	4	0	0	0	1	33	1	4	0	0	0	0	914	163	0	0	8	155	2
Precinct 1103 - None	1	3	1	2	3	9	4	11	2	0	0	0	1	3	0	2	2	177	2	4	6	2	1	2	0	2	2	4	68	2	1	4	0	0	0	914	348	1	5	17	325	4
Precinct 1104/1105 - None	1	0	3	0	0	2	1	0	2	0	2	0	0	0	2	7	1	67	4	2	4	1	5	0	0	1	3	5	38	1	1	1	0	0	0	953	167	0	0	12	155	1
Precinct 1104/1105 - None	0	4	2	1	2	4	1	0	3	0	0	0	0	11	0	1	2	119	2	1	5	0	4	6	2	1	3	1	78	1	0	4	0	0	0	953	292	0	1	32	259	1
Precinct 1106 - None	1	3	0	0	1	1	5	0	0	0	0	0	0	0	1	1	0	52	2	3	1	1	5	3	0	0	1	0	20	0	2	0	0	0	0	740	113	0	0	10	103	0
Precinct 1106 - None	0	4	0	0	0	11	5	0	1	0	1	0	0	3	0	4	2	128	1	3	6	2	4	4	2	0	2	2	30	0	0	0	0	0	0	740	231	0	3	13	215	0
Precinct 1107 - None	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	56	2	3	2	0	3	1	0	2	1	2	17	0	1	0	0	0	0	721	101	0	0	7	94	0
Precinct 1107 - None	0	6	2	0	0	1	6	1	1	0	0	0	0	9	2	3	0	125	0	0	4	3	7	6	2	1	0	1	38	1	1	0	0	0	0	721	240	5	0	14	221	1
Precinct 1108 - None	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	1	86	2	3	1	0	8	3	1	0	2	0	25	0	0	2	0	0	0	882	156	-1	0	17	140	1
Precinct 1108 - None	0	3	1	1	0	3	1	0	0	0	1	1	0	3	1	1	3	220	0	2	5	0	5	5	1	0	0	3	42	0	1	2	0	0	0	882	328	3	0	20	305	0
Precinct 1109 - None	0	0	0	1	0	1	2	1	0	0	0	0	0	1	1	0	0	69	0	2	2	0	3	4	0	0	2	1	23	0	1	0	0	0	0	758	124	0	2	7	115	1
Precinct 1109 - None	2	9	3	1	1	11	5	0	2	0	0	0	0	4	0	2	0	145	0	4	7	1	4	2	1	0	8	1	34	1	0	1	0	0	0	758	265	0	0	16	249	0
Precinct 1111 - None	1	0	2	0	0	1	0	1	0	0	0	0	0	1	0	0	0	56	0	5	3	4	2	5	0	0	0	2	31	0	4	1	0	0	0	938	132	-1	0	13	120	1
Precinct 1111 - None	4	3	1	0	0	17	1	0	2	0	0	0	0	7	3	1	1	168	3	8	4	3	6	4	1	3	6	6	40	0	1	0	0	0	0	938	330	3	3	30	294	1
Precinct 1112 - None	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	43	1	2	2	2	2	0	1	1	0	3	22	0	1	1	0	0	0	702	96	0	3	7	86	1
Precinct 1112 - None	0	0	1	1	1	2	4	3	0	0	0	0	0	7	0	0	0	119	1	2	8	0	3	8	0	3	3	0	28	2	1	1	0	0	0	702	221	1	0	21	199	1
Precinct 1113 - None	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	42	0	2	1	1	1	2	0	0	2	0	20	0	0	1	0	0	0	701	82	0	0	5	77	0
Precinct 1113 - None	2	4	4	1	0	10	4	0	4	0	1	1	0	7	2	2	0	131	0	0	11	2	5	3	0	2	2	1	37	2	1	3	0	0	0	701	272	2	2	25	243	1
Precinct 1114 - None	0	1	1	4	1	1	0	1	1	0	0	0	2	0	0	0	1	63	0	3	5	1	3	4	1	1	0	2	29	1	1	1	0	0	0	915	139	0	4	6	129	1
Precinct 1114 - None	0	1	2	2	0	7	10	3	3	1	0	1	1	5	0	2	1	123	1	7	5	0	10	4	0	0	3	6	55	0	0	3	0	0	0	915	280	0	3	18	259	3
Precinct 1115 - None	1	1	2	0	0	1	0	0	0	0	0	0	0	2	0	0	1	49	0	4	3	1	4	0	0	0	1	0	20	0	0	0	0	0	0	835	97	-1	0	6	92	2
Precinct 1115 - None	2	0	4	2	0	3	5	0	1	0	0	5	0	4	3	1	3	138	5	1	8	1	3	5	0	1	5	2	38	3	0	0	0	0	0	835	279	1	6	28	244	1
Precinct 1116 - None	0	1	3	3	1	0	0	1	0	0	0	0	0	0	1	0	1	74	1	5	0	1	10	3	0	0	0	0	18	1	0	1	0	0	0	842	141	0	2	13	126	1
Precinct 1116 - None	0	0	3	0	0	6	6	2	0	0	0	1	0	12	0	0	2	142	2	5	4	3	8	2	1	0	0	3	34	2	2	2	0	0	0	842	275	1	3	27	244	2
Precinct 1117 - None	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	5	1	72	1	6	2	1	5	4	0	2	3	2	17	0	0	0	0	0	0	827	138	-3	0	15	126	1
Precinct 1117 - None	0	0	0	1	0	4	5	0	1	0	0	0	0	2	0	0	2	139	0	6	1	2	5	6	0	2	3	1	36	4	1	6	0	0	0	827	240	1	2	10	227	0
Precinct 1118 - None	0	0	4	3	0	1	0	1	0	0	0	0	1	2	2	1	1	68	1	6	2	0	7	1	0	1	3	1	37	1	1	0	0	0	0	974	158	0	1	11	146	1
Precinct 1118 - None	1	3	0	2	1	4	4	0	1	0	2	0	0	7	0	1	0	173	5	3	13	3	7	6	1	1	1	0	47	1	2	4	0	0	0	974	335	0	5	35	295	2
Precinct 1119 - None	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	46	0	2	1	0	2	1	1	0	0	2	28	0	0	0	0	0	0	745	97	0	0	8	89	2
Precinct 1119 - None	0	0	0	0	0	2	5	1	4	1	3	1	0	3	0	3	2	146	3	3	14	1	6	1	1	1	3	4	51	0	0	1	0	0	0	745	274	0	1	12	261	1
Precinct 1121 - None	0	1	0	1	0	0	2	3	1	1	0	0	1	3	0	0	2	42	0	4	3	1	2	3	0	0	0	0	19	0	1	1	0	0	0	653	104	-1	0	14	91	0
Precinct 1121 - None	0	0	4	0	0	0	3	0	3	0	0	1	1	3	0	2	1	114	0	1	6	0	5	5	1	0	3	4	27	1	0	3	0	0	0	653	221	2	0	30	189	1
Precinct 1122 - None	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	43	1	0	1	1	2	0	0	0	1	1	9	0	0	2	0	0	0	607	69	0	1	4	64	0
Precinct 1122 - None	1	0	1	0	2	8	2	0	1	0	0	0	1	9	1	2	1	106	0	2	6	0	0	1	0	1	2	1	26	3	0	3	0	0	0	607	213	0	1	32	180	0
Precinct 1123 - None	0	0	2	4	0	1	1	0	0	0	0	0	1	0	0	0	0	53	0	10	3	3	3	3	1	1	0	0	14	0	0	1	0	0	0	876	118	0	2	13	103	2
Precinct 1123 - None	0	1	4	2	0	9	6	1	4	0	2	0	0	4	0	0	0	136	7	5	4	0	8	2	2	1	7	2	29	0	0	0	0	0	0	876	254	1	1	13	239	3
Precinct 1124 - None	0	1	1	2	0	1	0	1	1	0	0	1	0	0	0	0	1	50	0	1	5	2	6	0	1	0	0	0	17	0	1	0	0	0	0	773	109	0	1	16	92	0
Precinct 1124 - None	1	0	2	0	0	3	0	0	0	0	0	0	0	10	0	1	2	114	1	2	3	4	5	5	0	1	8	1	20	4	0	0	0	0	0	773	200	-1	3	9	189	2
Precinct 1125 - None	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	2	0	34	0	3	0	1	4	3	0	1	0	2	15	1	0	0	0	0	0	987	80	-1	0	10	71	0
Precinct 1125 - None	0	4	2	2	0	8	7	3	8	0	0	0	3	4	3	4	2	177	1	6	13	2	9	2	0	3	1	3	39	0	2	3	0	0	0	987	329	-1	2	16	312	1
Precinct 1126 - None	0	0	2	0	1	1	0	0	1	0	0	0	0	1	1	1	1	51	2	1	0	0	2	2	0	0	0	0	18	0	0	0	0	0	0	900	92	-2	1	8	85	0
Precinct 1126 - None	0	2	1	1	0	7	1	0	2	0	1	0	1	5	1	2	0	156	4	7	5	1	10	1	1	2	5	1	41	5	1	1	0	0	0	900	292	1	6	19	266	1
Precinct 1127 - None	0	0	1	3	0	3	2	0	1	1	0	1	0	1	2	4	0	74	0	3	3	1	2	3	0	0	0	1	23	0	1	0	0	0	0	875	141	-1	0	10	132	2
Precinct 1127 - None	0	2	1	1	0	8	1	3	1	0	0	0	0	8	2	1	0	140	2	3	10	2	2	4	1	0	6	4	39	1	2	2	0	0	0	875	277	1	1	28	247	1
Precinct 1128 - None	0	0	0	3	0	2	1	0	1	0	0	0	1	1	0	1	2	44	0	2	2	0	3	0	3	0	1	3	18	0	0	2	0	0	0	813	104	0	1	12	91	1
Precinct 1128 - None	1	0	1	2	2	8	7	1	1	0	0	0	0	3	1	1	2	123	1	2	10	0	2	8	0	4	15	3	21	4	1	1	0	0	0	813	246	0	2	17	227	2
Precinct 1129 - None	0	1	3	1	0	1	3	0	1	0	0	0	0	0	1	2	1	50	1	10	5	0	4	5	0	0	1	1	14	1	0	2	0	0	0	924	120	0	1	11	108	0
Precinct 1129 - None	4	2	0	0	1	5	7	1	1	0	0	1	0	6	5	3	2	145	2	5	11	0	4	1	1	0	2	4	43	1	0	0	0	0	0	924	274	2	1	13	258	1
Precinct 1131 - None	0	2	0	1	0	0	0	2	1	0	0	0	1	1	0	2	2	40	1	0	3	2	3	1	0	0	1	2	12	0	0	0	0	0	0	783	85	0	0	7	78	1
Precinct 1131 - None	1	3	1	3	0	14	5	3	2	0	0	0	0	10	0	1	2	139	2	7	13	3	5	4	0	2	2	3	41	2	1	2	0	0	0	783	288	1	2	14	271	0
Precinct 1132 - None	0	0	1	1	0	0	0	0	0	1	0	1	2	0	1	1	1	52	0	6	1	3	2	0	0	1	1	1	20	2	1	0	0	0	0	910	112	0	0	13	99	0
Precinct 1132 - None	1	2	1	0	0	12	6	1	3	0	0	4	3	10	1	4	0	156	3	4	5	3	7	6	4	1	2	1	46	2	0	2	0	0	0	910	324	0	5	28	291	1
Precinct 1133 - None	1	0	3	1	0	2	2	1	1	0	0	0	0	0	1	1	1	55	0	4	1	0	1	0	0	1	1	4	11	0	1	0	0	0	0	826	99	0	1	5	93	0
Precinct 1133 - None	1	0	2	1	1	6	3	0	1	0	0	0	2	4	2	3	0	172	2	2	7	1	5	3	2	2	4	2	38	4	1	1	0	0	0	826	292	-2	0	18	276	4
Precinct 1134 - None	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	4	2	52	0	3	2	3	2	3	0	0	1	0	38	1	0	1	0	0	0	727	126	0	2	8	116	0
Precinct 1134 - None	0	0	0	1	0	5	6	0	0	0	0	1	1	6	0	1	0	132	1	3	2	1	2	2	1	1	1	0	33	2	2	1	0	0	0	727	241	0	2	32	207	2
Precinct 1135 - None	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	38	0	0	0	0	2	5	0	0	0	0	16	0	0	0	0	0	0	511	71	0	1	6	64	0
Precinct 1135 - None	1	0	0	0	1	3	5	3	0	1	0	0	1	5	0	1	0	115	1	1	2	0	4	1	0	1	1	4	36	5	0	0	0	0	0	511	217	0	1	24	192	0
Precinct 1136 - None	0	0	1	0	1	0	0	3	2	0	0	1	0	2	0	3	1	53	0	2	1	0	4	0	0	0	1	0	11	2	0	2	0	0	0	807	97	0	1	5	91	1
Precinct 1136 - None	0	3	0	1	0	9	5	2	1	1	0	0	3	8	1	3	3	162	1	2	7	1	5	2	0	0	1	3	38	5	0	1	0	0	0	807	287	1	3	14	269	1
Precinct 1141 - None	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	2	81	0	0	5	1	3	2	1	0	0	0	33	1	0	3	0	0	0	998	149	0	1	11	137	0
Precinct 1141 - None	0	0	1	0	0	12	1	0	4	0	0	2	0	6	0	6	6	221	1	1	4	0	5	2	3	1	3	4	56	4	0	1	0	0	0	998	368	0	2	22	344	0
Precinct 1142 - None	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	2	1	63	2	2	6	0	4	3	0	0	0	0	22	1	1	0	0	0	0	822	120	0	0	9	111	0
Precinct 1142 - None	0	1	4	0	2	2	6	0	2	0	0	0	0	4	1	1	6	139	0	1	7	0	2	3	1	1	3	4	59	0	2	1	0	0	0	822	266	1	1	12	252	0
Precinct 1143 - None	2	0	4	1	0	0	1	0	0	0	0	0	0	0	0	1	3	84	0	1	4	0	4	1	0	0	0	1	34	0	0	0	0	0	0	989	147	-1	0	6	142	1
Precinct 1143 - None	0	1	1	1	0	14	4	1	5	0	0	0	0	0	0	3	6	147	1	4	9	0	1	3	0	1	2	4	63	1	0	3	0	0	0	989	311	0	4	32	275	0
Precinct 1144 - None	0	0	2	2	1	0	3	1	1	0	0	0	0	1	0	1	2	90	0	0	2	0	1	1	1	0	2	3	25	1	0	1	0	0	0	870	148	-1	2	6	141	0
Precinct 1144 - None	0	3	3	2	0	9	2	0	1	0	0	0	0	6	0	5	1	126	4	4	11	1	3	5	2	0	1	1	50	0	2	0	0	0	0	870	264	-2	0	24	242	0
Precinct 1145 - None	0	0	2	1	0	3	1	0	0	0	0	0	0	0	0	1	0	65	2	1	1	2	5	4	0	0	1	3	29	1	0	4	0	0	0	879	136	1	0	9	126	0
Precinct 1145 - None	0	0	4	2	1	11	0	2	0	0	0	1	1	7	0	5	2	220	1	4	3	1	3	5	0	3	4	0	67	1	2	0	0	0	0	879	370	0	0	20	350	0
Precinct 1146 - None	0	0	1	0	0	1	0	0	0	0	0	1	0	2	0	1	2	59	0	3	3	0	2	6	2	0	1	2	29	0	0	2	0	0	0	971	124	1	1	4	118	1
Precinct 1146 - None	0	0	2	1	1	5	3	2	0	0	0	0	1	6	0	5	0	182	0	2	4	1	9	5	1	0	2	5	60	1	0	3	0	0	0	971	326	0	1	24	301	0
Precinct 1147 - None	0	0	2	1	0	0	1	0	1	0	0	0	0	2	1	2	2	86	0	1	3	0	0	2	0	0	0	5	36	0	1	0	0	0	0	853	166	1	1	16	148	2
Precinct 1147 - None	0	1	1	3	0	3	2	1	2	0	0	0	0	9	0	5	1	143	0	4	1	2	3	9	0	2	4	7	55	6	0	1	0	0	0	853	279	-1	3	12	265	0
Precinct 1148 - None	0	1	1	0	0	2	1	0	1	0	0	1	0	1	0	1	4	62	0	1	5	0	2	2	0	0	1	0	18	1	1	1	0	0	0	918	121	0	3	11	107	0
Precinct 1148 - None	1	1	2	0	0	9	3	2	3	0	0	3	0	14	1	0	3	177	6	5	4	2	6	3	1	0	1	7	35	1	0	4	0	0	0	918	314	1	0	19	294	0
Precinct 1149 - None	0	1	6	3	0	0	0	2	1	0	0	0	0	0	0	4	2	74	0	1	4	0	3	0	0	0	0	2	32	1	2	0	0	0	0	873	148	-2	0	12	138	0
Precinct 1149 - None	0	2	4	1	0	6	1	2	1	0	1	0	0	8	0	6	4	160	0	1	7	1	6	4	7	1	4	2	45	0	1	2	0	0	0	873	285	0	2	6	277	0
Precinct 1152 - None	0	2	1	2	0	1	0	0	0	0	0	0	0	1	2	4	0	51	2	1	2	2	1	1	1	1	1	1	33	0	0	1	0	0	0	838	125	-1	1	13	112	1
Precinct 1152 - None	1	0	6	0	0	3	7	3	0	0	0	0	0	3	0	2	1	169	1	0	9	1	4	2	0	2	5	1	44	2	4	0	0	0	0	838	286	1	1	14	270	0
Precinct 1153 - None	0	1	1	1	1	4	1	1	2	0	0	0	1	1	1	2	0	81	0	0	2	0	1	0	1	1	0	0	16	0	2	0	0	0	0	909	139	0	3	15	121	0
Precinct 1153 - None	0	0	2	1	0	12	4	0	1	0	0	0	0	6	2	0	3	182	1	1	10	2	4	3	0	1	2	1	45	0	3	3	0	0	0	909	306	0	3	14	289	0
Precinct 7001 - None	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	65	0	2	0	1	5	2	1	0	0	0	35	0	0	0	0	0	0	735	119	-2	0	7	114	1
Precinct 7001 - None	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	1	1	146	0	3	5	0	3	4	0	0	0	1	70	0	0	0	0	0	0	735	266	6	0	21	239	1
Precinct 7002 - None	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	78	0	0	0	0	1	4	0	1	0	1	37	0	0	0	0	0	0	641	132	1	0	5	126	0
Precinct 7002 - None	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	1	3	91	0	3	5	2	0	6	0	0	1	3	46	0	0	2	0	0	0	641	173	0	1	4	168	0
Precinct 7003 - None	0	2	3	1	1	0	0	0	0	0	0	0	2	1	1	0	3	107	0	1	1	0	5	4	0	0	0	2	48	0	0	1	0	0	0	864	188	-1	0	6	183	0
Precinct 7003 - None	0	1	3	0	0	2	4	0	2	0	0	0	2	0	0	1	1	197	0	3	4	2	2	5	0	3	0	0	90	0	1	1	0	0	0	864	340	1	1	14	324	0
Precinct 7004 - None	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	5	118	0	1	1	1	1	2	0	1	0	2	31	2	0	1	0	0	0	835	175	-1	0	5	171	1
Precinct 7004 - None	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	4	1	189	0	0	4	2	1	3	2	3	2	2	75	1	0	0	0	0	0	835	306	6	0	5	295	1
Precinct 7005 - None	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	106	0	2	0	0	3	2	0	1	0	0	57	0	0	0	0	0	0	812	180	-1	0	5	176	0
