Subtotal Area	NANCY PELOSI	STEPHEN JAFFE	SHAHID BUTTAR	RYAN A. KHOJASTEH	MICHAEL GOLDSTEIN	LISA REMMER	BARRY HERMANSON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	141,365	12,114	17,597	9,498	2,820	18,771	4,217	426,647	225,360	215	336	18,080	206,729	347
All Precincts - None	49,517	4,796	7,903	3,626	958	5,324	1,684	426,647	80,806	-49	76	6,840	73,939	131
All Precincts - None	91,848	7,318	9,694	5,872	1,862	13,447	2,533	426,647	144,554	264	260	11,240	132,790	216
Precinct 1141 - None	91	8	14	4	3	14	1	998	149	0	0	14	135	0
Precinct 1141 - None	236	15	14	27	10	30	8	998	368	0	1	25	342	2
Precinct 1142 - None	74	7	10	9	2	7	1	822	120	0	0	10	110	0
Precinct 1142 - None	167	12	25	6	3	30	7	822	266	1	0	14	251	1
Precinct 1143 - None	95	6	14	12	1	7	4	989	147	-1	0	8	140	1
Precinct 1143 - None	171	15	18	20	7	44	7	989	311	0	2	26	283	1
Precinct 1144 - None	105	4	8	6	2	7	5	870	148	-1	1	11	137	0
Precinct 1144 - None	140	17	16	16	6	41	4	870	264	-2	0	24	242	2
Precinct 1145 - None	87	8	10	4	2	12	5	879	136	1	0	7	128	0
Precinct 1145 - None	247	19	14	18	3	33	10	879	370	0	0	25	345	1
Precinct 1146 - None	64	10	16	7	2	10	2	971	124	1	0	11	112	1
Precinct 1146 - None	201	21	20	8	9	35	8	971	326	0	3	21	302	0
Precinct 1147 - None	96	8	20	8	2	15	2	853	166	1	0	14	151	0
Precinct 1147 - None	168	7	25	18	3	28	9	853	279	-1	3	19	258	0
Precinct 1148 - None	74	6	10	4	0	13	5	918	121	0	0	8	113	1
Precinct 1148 - None	167	20	9	12	9	48	9	918	314	1	0	39	274	0
Precinct 1149 - None	86	4	11	11	0	16	10	873	148	-2	0	12	138	0
Precinct 1149 - None	166	14	23	18	10	34	4	873	285	0	1	15	269	0
Precinct 1152 - None	62	8	14	7	4	13	2	838	125	-1	0	14	112	2
Precinct 1152 - None	185	13	16	11	3	30	7	838	286	1	0	18	267	2
Precinct 1153 - None	89	5	5	2	4	15	3	909	139	0	0	15	124	1
Precinct 1153 - None	196	13	7	14	6	44	9	909	306	0	1	16	289	0
Precinct 7001 - None	72	4	21	9	0	2	0	735	119	-2	0	13	108	0
Precinct 7001 - None	171	12	23	14	1	9	4	735	266	6	0	26	234	0
Precinct 7002 - None	87	12	17	4	0	3	2	641	132	1	0	6	125	0
Precinct 7002 - None	112	13	12	8	2	16	3	641	173	0	0	7	166	0
Precinct 7003 - None	118	7	26	6	0	8	9	864	188	-1	0	15	174	0
Precinct 7003 - None	226	19	35	4	6	24	3	864	340	1	0	22	317	0
Precinct 7004 - None	117	12	15	4	3	11	3	835	175	-1	0	11	165	0
Precinct 7004 - None	210	16	27	12	2	20	4	835	306	6	0	9	291	0
Precinct 7005 - None	125	11	19	9	1	4	0	812	180	-1	0	12	169	0
Precinct 7005 - None	198	12	37	12	3	17	4	812	295	2	0	10	283	0
Precinct 7006 - None	113	14	44	19	0	8	6	884	213	-1	0	10	204	0
Precinct 7006 - None	172	22	39	18	3	15	5	884	290	1	2	13	274	0
Precinct 7007 - None	168	9	19	16	5	6	4	916	233	-4	0	10	227	0
Precinct 7007 - None	235	15	33	7	1	12	5	916	323	2	0	13	308	0
Precinct 7008 - None	131	8	18	3	1	9	3	861	187	0	0	14	173	0
Precinct 7008 - None	251	16	16	5	3	19	12	861	345	0	0	23	322	0
Precinct 7009 - None	85	4	11	8	1	11	4	864	133	-1	0	10	124	0
Precinct 7009 - None	215	11	26	11	4	11	3	864	312	-2	0	32	282	1
Precinct 7011 - None	99	8	7	3	1	3	4	976	141	0	0	15	126	1
Precinct 7011 - None	147	16	10	5	3	6	5	976	205	1	1	11	192	0
Precinct 7012 - None	138	13	28	3	5	21	4	1,061	224	0	0	12	212	0
Precinct 7012 - None	235	27	34	17	2	24	10	1,061	383	0	0	32	351	2
Precinct 7013 - None	86	7	11	10	1	7	0	805	132	0	0	10	122	0
Precinct 7013 - None	162	32	22	9	1	13	2	805	251	2	0	8	241	0
Precinct 7014 - None	128	9	23	9	0	9	2	1,213	188	-2	0	10	180	0
Precinct 7014 - None	306	29	30	19	2	18	5	1,213	434	-1	0	26	409	0
Precinct 7015 MB - None	22	1	6	1	0	2	2	93	34	0	0	0	34	0
Precinct 7016 - None	68	2	8	1	0	5	5	891	112	2	1	20	89	0
Precinct 7016 - None	154	4	5	10	1	20	1	891	221	2	0	24	195	0
Precinct 7017 - None	54	1	2	1	0	2	2	734	79	0	0	17	62	0
Precinct 7017 - None	125	12	8	3	1	4	2	734	167	1	0	11	155	0
Precinct 7018 - None	62	5	7	0	1	5	1	908	88	-1	0	8	81	0
Precinct 7018 - None	243	18	10	8	5	29	1	908	343	5	1	21	316	2
Precinct 7019 - None	88	2	2	1	2	3	1	864	111	2	0	10	99	0
Precinct 7019 - None	246	17	14	5	2	32	9	864	349	-1	0	25	325	0
Precinct 7021 - None	72	11	15	5	2	3	3	927	129	0	0	18	111	0
