Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	93,212	20,639	280,269	147,301	86	58	32,145	115,012	1,161
All Precincts - None	31,164	8,394	280,269	52,419	-57	11	12,393	40,072	514
All Precincts - None	62,048	12,245	280,269	94,882	143	47	19,752	74,940	647
Precinct 1141 - None	80	34	998	149	0	0	34	115	1
Precinct 1141 - None	216	73	998	368	0	0	75	293	4
Precinct 1142 - None	71	26	822	120	0	0	22	98	1
Precinct 1142 - None	153	59	822	266	1	0	51	214	2
Precinct 1143 - None	65	48	989	147	-1	0	34	114	1
Precinct 1143 - None	154	73	989	311	0	1	79	231	4
Precinct 1144 - None	63	45	870	148	-1	1	38	110	2
Precinct 1144 - None	155	52	870	264	-2	0	46	220	13
Precinct 1145 - None	79	20	879	136	1	0	36	99	0
Precinct 1145 - None	227	65	879	370	0	0	74	296	4
Precinct 1146 - None	59	23	971	124	1	0	37	86	4
Precinct 1146 - None	216	66	971	326	0	1	41	284	2
Precinct 1147 - None	86	40	853	166	1	0	38	127	1
Precinct 1147 - None	168	53	853	279	-1	0	58	222	1
Precinct 1148 - None	59	35	918	121	0	0	26	95	1
Precinct 1148 - None	204	48	918	314	1	0	61	252	0
Precinct 1149 - None	70	48	873	148	-2	0	30	120	2
Precinct 1149 - None	184	46	873	285	0	0	54	231	1
Precinct 1152 - None	65	21	838	125	-1	0	35	91	5
Precinct 1152 - None	168	50	838	286	1	0	63	222	4
Precinct 1153 - None	74	28	909	139	0	0	34	105	3
Precinct 1153 - None	189	66	909	306	0	0	51	255	0
Precinct 7001 - None	63	18	735	119	-2	0	40	81	0
Precinct 7001 - None	172	30	735	266	6	0	58	202	0
Precinct 7002 - None	85	19	641	132	1	0	26	105	1
Precinct 7002 - None	117	27	641	173	0	0	28	145	1
Precinct 7003 - None	119	28	864	188	-1	0	38	151	4
Precinct 7003 - None	227	35	864	340	1	0	73	266	4
Precinct 7004 - None	125	11	835	175	-1	0	39	137	1
Precinct 7004 - None	201	29	835	306	6	0	68	232	2
Precinct 7005 - None	121	24	812	180	-1	0	34	147	2
Precinct 7005 - None	209	28	812	295	2	0	56	237	0
Precinct 7006 - None	124	32	884	213	-1	0	56	158	2
Precinct 7006 - None	172	47	884	290	1	0	64	225	6
Precinct 7007 - None	157	33	916	233	-4	0	45	192	2
Precinct 7007 - None	225	30	916	323	2	0	65	256	1
Precinct 7008 - None	114	28	861	187	0	0	44	143	1
Precinct 7008 - None	224	37	861	345	0	0	83	262	1
Precinct 7009 - None	74	27	864	133	-1	0	31	103	2
Precinct 7009 - None	209	33	864	312	-2	0	71	243	1
Precinct 7011 - None	89	22	976	141	0	0	27	114	3
Precinct 7011 - None	139	26	976	205	1	0	39	165	0
Precinct 7012 - None	134	42	1,061	224	0	0	44	180	4
Precinct 7012 - None	262	41	1,061	383	0	0	79	304	1
Precinct 7013 - None	87	17	805	132	0	0	25	107	3
Precinct 7013 - None	179	28	805	251	2	0	41	208	1
Precinct 7014 - None	116	27	1,213	188	-2	0	45	145	2
Precinct 7014 - None	308	35	1,213	434	-1	0	89	346	3
Precinct 7015 MB - None	21	6	93	34	0	0	7	27	0
Precinct 7016 - None	51	27	891	112	2	0	31	79	1
Precinct 7016 - None	132	41	891	221	2	0	44	175	2
Precinct 7017 - None	39	15	734	79	0	0	25	54	0
Precinct 7017 - None	108	28	734	167	1	0	30	136	0
Precinct 7018 - None	48	21	908	88	-1	0	20	69	0
Precinct 7018 - None	239	37	908	343	5	1	59	278	2
Precinct 7019 - None	60	23	864	111	2	0	25	84	1
Precinct 7019 - None	246	60	864	349	-1	0	42	308	2
Precinct 7021 - None	58	40	927	129	0	0	30	99	1
Precinct 7021 - None	141	34	927	220	-1	0	46	175	0
Precinct 7022 - None	101	31	923	164	-1	0	33	132	0
Precinct 7022 - None	180	37	923	270	2	0	48	220	3
Precinct 7023 - None	80	18	906	131	-1	0	32	100	2
Precinct 7023 - None	204	37	906	301	-3	0	62	242	1
Precinct 7024 - None	11	6	386	30	0	0	10	20	3
Precinct 7024 - None	29	11	386	47	1	0	6	40	0
