Subtotal Area	PHIL TING	KEITH BOGDON	DAVID ERNST	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	72,070	13,248	3,099	201,722	106,282	160	27	17,250	88,845	428
All Precincts - None	24,916	4,003	1,212	201,722	37,337	-11	6	7,009	30,333	202
All Precincts - None	47,154	9,245	1,887	201,722	68,945	171	21	10,241	58,512	226
Precinct 1101 - None	59	9	3	544	83	0	0	12	71	0
Precinct 1101 - None	151	19	4	544	198	0	0	23	175	1
Precinct 1102 - None	141	14	5	964	188	-2	0	29	161	1
Precinct 1102 - None	234	42	21	964	337	1	0	39	297	0
Precinct 1103 - None	109	14	10	914	163	0	0	29	134	1
Precinct 1103 - None	246	57	8	914	348	1	0	34	313	2
Precinct 1104/1105 - None	107	23	9	953	167	0	0	28	139	0
Precinct 1104/1105 - None	213	24	11	953	292	0	2	41	249	1
Precinct 1106 - None	79	13	5	740	113	0	0	16	97	0
Precinct 1106 - None	164	40	7	740	231	0	0	20	211	0
Precinct 1107 - None	76	7	5	721	101	0	0	11	90	2
Precinct 1107 - None	169	35	4	721	240	5	0	24	211	3
Precinct 1108 - None	109	10	3	882	156	-1	0	32	125	3
Precinct 1108 - None	257	25	8	882	328	3	0	35	290	0
Precinct 1109 - None	86	10	8	758	124	0	0	19	105	1
Precinct 1109 - None	188	37	6	758	265	0	1	31	233	2
Precinct 1111 - None	93	10	8	938	132	-1	0	21	112	1
Precinct 1111 - None	218	51	11	938	330	3	1	43	283	3
Precinct 1112 - None	63	8	4	702	96	0	0	19	77	2
Precinct 1112 - None	163	22	7	702	221	1	0	26	194	2
Precinct 1113 - None	57	6	5	701	82	0	0	13	69	1
Precinct 1113 - None	180	38	19	701	272	2	1	32	237	0
Precinct 1114 - None	87	13	11	915	139	0	0	27	112	1
Precinct 1114 - None	190	41	21	915	280	0	0	27	253	1
Precinct 1115 - None	78	4	5	835	97	-1	0	11	87	0
Precinct 1115 - None	178	41	15	835	279	1	0	43	235	1
Precinct 1116 - None	100	6	4	842	141	0	0	29	112	2
Precinct 1116 - None	182	27	7	842	275	1	0	56	218	2
Precinct 1117 - None	90	8	11	827	138	-3	0	30	111	2
Precinct 1117 - None	177	22	16	827	240	1	0	23	216	1
Precinct 1118 - None	116	11	12	974	158	0	0	16	142	3
Precinct 1118 - None	226	39	17	974	335	0	0	53	282	0
Precinct 1119 - None	67	7	2	745	97	0	1	19	77	1
Precinct 1119 - None	192	47	8	745	274	0	0	26	248	1
Precinct 1121 - None	62	15	8	653	104	-1	0	20	85	0
Precinct 1121 - None	142	28	14	653	221	2	0	35	184	0
Precinct 1122 - None	51	8	0	607	69	0	0	8	61	2
Precinct 1122 - None	134	35	6	607	213	0	0	38	175	0
Precinct 1123 - None	87	8	4	876	118	0	0	18	100	1
Precinct 1123 - None	179	31	15	876	254	1	0	28	225	0
Precinct 1124 - None	71	11	2	773	109	0	0	24	85	1
Precinct 1124 - None	159	17	3	773	200	-1	0	22	179	0
Precinct 1125 - None	42	9	6	987	80	-1	0	23	58	1
Precinct 1125 - None	222	49	18	987	329	-1	1	38	291	2
Precinct 1126 - None	65	7	2	900	92	-2	0	17	77	3
Precinct 1126 - None	222	31	13	900	292	1	0	21	270	4
Precinct 1127 - None	88	17	10	875	141	-1	0	24	118	3
Precinct 1127 - None	182	42	9	875	277	1	0	42	234	1
Precinct 1128 - None	66	14	6	813	104	0	1	17	86	0
Precinct 1128 - None	160	43	15	813	246	0	0	24	222	4
Precinct 1129 - None	82	14	5	924	120	0	0	18	102	1
Precinct 1129 - None	192	44	7	924	274	2	0	28	244	1
Precinct 1131 - None	54	11	5	783	85	0	0	14	71	1
Precinct 1131 - None	206	43	13	783	288	1	0	24	263	1
Precinct 1132 - None	66	8	8	910	112	0	0	30	82	0
Precinct 1132 - None	221	48	14	910	324	0	1	40	283	0
Precinct 1133 - None	62	12	6	826	99	0	0	19	80	0
Precinct 1133 - None	204	36	15	826	292	-2	0	35	259	4
Precinct 1134 - None	86	7	7	727	126	0	0	25	101	1
Precinct 1134 - None	173	26	8	727	241	0	0	33	208	1
Precinct 1135 - None	53	5	1	511	71	0	0	12	59	0
Precinct 1135 - None	153	26	11	511	217	0	0	26	191	1
Precinct 1136 - None	62	10	5	807	97	0	0	18	79	2
Precinct 1136 - None	198	39	10	807	287	1	0	37	249	2
Precinct 9001 MB - None	81	6	6	257	101	2	0	6	93	0
Precinct 9101 - None	123	22	5	833	190	0	0	40	150	0
Precinct 9101 - None	216	51	11	833	323	0	0	43	280	2
Precinct 9102 - None	109	27	6	950	182	-1	0	41	142	0
Precinct 9102 - None	246	41	10	950	335	4	0	33	298	1
Precinct 9103 - None	124	16	5	924	174	0	0	28	146	1
Precinct 9103 - None	204	48	8	924	302	0	0	38	264	4
Precinct 9104 - None	103	20	7	937	176	0	0	46	130	0
Precinct 9104 - None	228	45	8	937	332	0	0	48	284	3
Precinct 9105 - None	124	14	7	888	191	1	0	44	146	1
Precinct 9105 - None	230	43	8	888	339	-1	1	56	283	2
Precinct 9106 - None	150	23	3	907	213	1	0	36	176	0
Precinct 9106 - None	230	43	3	907	334	4	1	53	276	0
Precinct 9107 - None	115	14	2	806	164	0	0	32	132	1
Precinct 9107 - None	161	36	6	806	246	1	0	41	204	1
Precinct 9108 - None	124	19	10	761	185	-1	0	29	157	4
Precinct 9108 - None	163	16	7	761	220	-1	0	35	186	0
Precinct 9109 - None	144	20	3	848	205	-1	0	37	169	2
Precinct 9109 - None	212	18	5	848	285	4	0	46	235	0
Precinct 9111 - None	101	17	4	756	150	0	0	28	122	0
Precinct 9111 - None	149	34	9	756	226	-1	0	35	192	0
Precinct 9112 - None	152	12	8	918	211	0	0	37	174	2
Precinct 9112 - None	213	22	5	918	295	0	0	54	241	1
Precinct 9113 - None	148	21	11	959	231	0	0	49	182	2
Precinct 9113 - None	252	39	5	959	351	1	0	52	298	2
Precinct 9114 - None	112	11	5	820	170	0	1	40	129	1
Precinct 9114 - None	179	22	13	820	273	1	0	56	216	2
Precinct 9115 - None	130	11	6	873	172	0	0	24	148	1
Precinct 9115 - None	189	25	11	873	287	2	0	60	225	0
Precinct 9116 - None	128	15	8	903	193	2	0	36	155	4
Precinct 9116 - None	200	39	9	903	314	4	0	61	249	1
Precinct 9117 - None	125	16	8	756	180	2	0	29	149	0
Precinct 9117 - None	203	29	9	756	285	1	0	42	242	1
Precinct 9118 - None	119	20	5	923	184	0	0	39	145	1
Precinct 9118 - None	183	31	8	923	268	0	0	43	225	3
Precinct 9119 - None	97	12	6	856	152	-2	0	37	117	2
Precinct 9119 - None	228	40	11	856	323	0	0	43	280	1
Precinct 9121 - None	114	28	4	890	188	0	0	40	148	2
Precinct 9121 - None	200	30	7	890	274	0	0	35	239	2
Precinct 9122 - None	82	10	2	913	131	0	0	37	94	0
Precinct 9122 - None	193	47	5	913	292	1	0	46	245	0
Precinct 9123 - None	118	23	2	829	175	0	0	31	144	1
Precinct 9123 - None	190	37	11	829	270	1	0	28	241	3
Precinct 9124 - None	100	15	7	832	150	0	0	28	122	0
Precinct 9124 - None	192	45	2	832	290	1	0	49	240	1
Precinct 9125 - None	117	10	3	822	159	1	0	26	132	2
Precinct 9125 - None	215	27	12	822	299	-3	0	47	255	1
Precinct 9126 - None	117	24	6	945	186	0	0	39	147	0
Precinct 9126 - None	232	52	7	945	350	0	0	58	292	1
Precinct 9127 - None	137	21	4	908	209	0	0	47	162	0
Precinct 9127 - None	231	28	8	908	315	-1	0	49	267	0
Precinct 9128 - None	117	18	12	805	188	0	0	40	148	1
Precinct 9128 - None	205	42	7	805	296	0	0	41	255	1
Precinct 9129 - None	127	13	2	713	173	0	0	31	142	0
Precinct 9129 - None	168	20	7	713	225	3	0	25	197	2
Precinct 9131 - None	111	9	9	740	151	0	0	21	130	1
Precinct 9131 - None	186	35	8	740	274	2	0	41	231	2
Precinct 9132 - None	114	6	4	827	167	0	0	40	127	3
Precinct 9132 - None	178	18	5	827	251	0	0	48	203	2
Precinct 9133 - None	144	7	3	1,007	188	0	0	34	154	0
Precinct 9133 - None	267	32	13	1,007	388	1	0	73	314	2
Precinct 9134 - None	93	7	6	893	132	0	0	24	108	2
Precinct 9134 - None	209	29	11	893	297	3	0	44	250	1
Precinct 9135 - None	87	25	6	778	149	0	0	29	120	2
Precinct 9135 - None	166	46	14	778	269	1	0	42	226	0
Precinct 9136 - None	139	12	6	894	191	0	0	33	158	1
Precinct 9136 - None	192	28	4	894	289	4	0	61	224	0
Precinct 9137 - None	127	31	15	946	201	0	0	27	174	1
Precinct 9137 - None	200	34	20	946	323	3	0	65	255	1
Precinct 9138 - None	102	15	3	892	155	-1	0	36	120	0
