Subtotal Area	CURTIS KARNOW	MARIA EVANGELISTA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	108,648	92,425	481,991	253,583	246	122	51,191	202,024	951
All Precincts - None	31,951	37,294	481,991	89,756	-68	30	20,091	69,703	458
All Precincts - None	76,697	55,131	481,991	163,827	314	92	31,100	132,321	493
Precinct 1101 - None	19	46	544	83	0	0	18	65	0
Precinct 1101 - None	98	74	544	198	0	0	26	172	0
Precinct 1102 - None	61	93	964	188	-2	0	35	155	1
Precinct 1102 - None	136	148	964	337	1	0	52	284	0
Precinct 1103 - None	64	69	914	163	0	0	30	133	0
Precinct 1103 - None	172	123	914	348	1	0	51	296	1
Precinct 1104/1105 - None	47	85	953	167	0	0	35	132	0
Precinct 1104/1105 - None	101	132	953	292	0	0	58	234	1
Precinct 1106 - None	55	41	740	113	0	0	17	96	0
Precinct 1106 - None	109	89	740	231	0	0	32	199	1
Precinct 1107 - None	34	48	721	101	0	0	18	83	1
Precinct 1107 - None	106	77	721	240	5	0	50	185	2
Precinct 1108 - None	48	59	882	156	-1	0	47	110	3
Precinct 1108 - None	162	109	882	328	3	0	54	271	0
Precinct 1109 - None	50	46	758	124	0	0	25	99	3
Precinct 1109 - None	127	92	758	265	0	0	44	221	2
Precinct 1111 - None	48	61	938	132	-1	0	24	109	0
Precinct 1111 - None	168	96	938	330	3	2	59	266	2
Precinct 1112 - None	31	46	702	96	0	1	18	77	0
Precinct 1112 - None	106	72	702	221	1	0	37	183	5
Precinct 1113 - None	23	36	701	82	0	0	21	61	2
Precinct 1113 - None	123	88	701	272	2	1	57	212	1
Precinct 1114 - None	33	74	915	139	0	0	31	108	1
Precinct 1114 - None	131	115	915	280	0	0	34	246	0
Precinct 1115 - None	35	44	835	97	-1	0	17	81	2
Precinct 1115 - None	131	83	835	279	1	0	64	214	0
Precinct 1116 - None	35	67	842	141	0	0	38	103	1
Precinct 1116 - None	111	104	842	275	1	0	58	216	1
Precinct 1117 - None	31	68	827	138	-3	0	42	99	0
Precinct 1117 - None	113	83	827	240	1	0	42	197	1
Precinct 1118 - None	47	85	974	158	0	0	24	134	2
Precinct 1118 - None	136	131	974	335	0	0	67	268	1
Precinct 1119 - None	26	46	745	97	0	0	23	74	2
Precinct 1119 - None	124	101	745	274	0	0	48	226	1
Precinct 1121 - None	41	45	653	104	-1	0	18	87	1
Precinct 1121 - None	102	70	653	221	2	0	47	172	0
Precinct 1122 - None	26	29	607	69	0	0	12	57	2
Precinct 1122 - None	97	52	607	213	0	0	63	150	1
Precinct 1123 - None	33	52	876	118	0	0	32	86	1
Precinct 1123 - None	128	85	876	254	1	0	40	213	0
Precinct 1124 - None	33	42	773	109	0	0	33	76	1
Precinct 1124 - None	98	66	773	200	-1	1	35	165	1
Precinct 1125 - None	16	47	987	80	-1	0	16	65	2
Precinct 1125 - None	142	128	987	329	-1	1	56	273	3
Precinct 1126 - None	25	48	900	92	-2	0	20	74	1
Precinct 1126 - None	137	98	900	292	1	0	51	240	5
Precinct 1127 - None	48	61	875	141	-1	0	31	111	2
Precinct 1127 - None	146	87	875	277	1	0	42	234	1
Precinct 1128 - None	28	47	813	104	0	0	27	77	2
Precinct 1128 - None	112	87	813	246	0	0	45	201	2
Precinct 1129 - None	35	53	924	120	0	0	31	89	1
Precinct 1129 - None	130	105	924	274	2	1	36	235	0
Precinct 1131 - None	33	40	783	85	0	0	10	75	2
Precinct 1131 - None	143	90	783	288	1	0	52	235	2
Precinct 1132 - None	33	55	910	112	0	0	23	89	1
Precinct 1132 - None	166	108	910	324	0	0	50	274	0
Precinct 1133 - None	35	39	826	99	0	0	25	74	0
Precinct 1133 - None	145	91	826	292	-2	0	54	240	4
