Subtotal Area	CYNTHIA MING-MEI LEE	ELIZABETH ZAREH	KWIXUAN H. MALOOF	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts - Total	126,913	20,723	55,070	481,991	253,583	246	155	49,475	203,707	1,001
All Precincts - Election Day	38,006	8,437	22,830	481,991	89,756	-68	37	20,002	69,785	512
All Precincts - Vote By Mail	88,907	12,286	32,240	481,991	163,827	314	118	29,473	133,922	489
Precinct 1101 - Election Day	30	6	29	544	83	0	0	18	65	0
Precinct 1101 - Vote By Mail	105	16	53	544	198	0	0	24	174	0
Precinct 1102 - Election Day	74	28	49	964	188	-2	0	38	152	1
Precinct 1102 - Vote By Mail	161	47	73	964	337	1	1	54	281	0
Precinct 1103 - Election Day	83	17	31	914	163	0	0	32	131	0
Precinct 1103 - Vote By Mail	200	36	59	914	348	1	0	50	297	2
Precinct 1104/1105 - Election Day	51	30	45	953	167	0	0	40	127	1
Precinct 1104/1105 - Vote By Mail	138	30	65	953	292	0	0	56	236	3
Precinct 1106 - Election Day	45	13	33	740	113	0	0	21	92	1
Precinct 1106 - Vote By Mail	132	22	48	740	231	0	0	29	202	0
Precinct 1107 - Election Day	40	14	29	721	101	0	0	17	84	1
Precinct 1107 - Vote By Mail	117	26	47	721	240	5	0	43	192	2
Precinct 1108 - Election Day	51	27	33	882	156	-1	0	44	113	2
Precinct 1108 - Vote By Mail	188	26	57	882	328	3	0	53	272	1
Precinct 1109 - Election Day	54	15	29	758	124	0	0	24	100	2
Precinct 1109 - Vote By Mail	165	19	43	758	265	0	1	37	227	0
Precinct 1111 - Election Day	54	20	32	938	132	-1	0	26	107	1
Precinct 1111 - Vote By Mail	188	33	42	938	330	3	1	61	265	2
Precinct 1112 - Election Day	38	14	25	702	96	0	0	19	77	0
Precinct 1112 - Vote By Mail	122	16	41	702	221	1	0	38	182	3
Precinct 1113 - Election Day	29	3	24	701	82	0	0	24	58	2
Precinct 1113 - Vote By Mail	148	29	39	701	272	2	1	50	219	3
Precinct 1114 - Election Day	44	26	34	915	139	0	0	34	105	1
Precinct 1114 - Vote By Mail	142	51	63	915	280	0	0	23	257	1
Precinct 1115 - Election Day	45	9	30	835	97	-1	0	14	84	0
Precinct 1115 - Vote By Mail	156	19	46	835	279	1	0	57	221	0
Precinct 1116 - Election Day	44	17	36	842	141	0	0	43	98	1
Precinct 1116 - Vote By Mail	147	22	49	842	275	1	0	55	219	1
Precinct 1117 - Election Day	46	27	30	827	138	-3	0	38	103	0
Precinct 1117 - Vote By Mail	123	26	53	827	240	1	0	36	203	1
Precinct 1118 - Election Day	57	28	47	974	158	0	0	23	135	3
Precinct 1118 - Vote By Mail	169	37	59	974	335	0	0	68	267	2
Precinct 1119 - Election Day	31	12	32	745	97	0	0	20	77	2
Precinct 1119 - Vote By Mail	132	34	59	745	274	0	0	47	227	2
Precinct 1121 - Election Day	39	24	24	653	104	-1	0	17	88	1
Precinct 1121 - Vote By Mail	109	27	41	653	221	2	1	41	177	0
Precinct 1122 - Election Day	27	11	17	607	69	0	0	12	57	2
Precinct 1122 - Vote By Mail	118	19	30	607	213	0	0	46	167	0
Precinct 1123 - Election Day	37	18	31	876	118	0	0	31	87	1
Precinct 1123 - Vote By Mail	144	30	41	876	254	1	0	38	215	0
Precinct 1124 - Election Day	33	15	23	773	109	0	0	37	72	1
Precinct 1124 - Vote By Mail	106	22	44	773	200	-1	0	28	173	1
Precinct 1125 - Election Day	25	9	24	987	80	-1	0	20	61	3
Precinct 1125 - Vote By Mail	173	52	44	987	329	-1	0	60	270	1
Precinct 1126 - Election Day	28	23	20	900	92	-2	0	20	74	3
Precinct 1126 - Vote By Mail	160	45	31	900	292	1	0	51	240	4
Precinct 1127 - Election Day	49	23	35	875	141	-1	0	33	109	2
Precinct 1127 - Vote By Mail	156	37	36	875	277	1	0	45	231	2
Precinct 1128 - Election Day	33	14	24	813	104	0	0	30	74	3
Precinct 1128 - Vote By Mail	135	40	33	813	246	0	1	37	208	0
Precinct 1129 - Election Day	50	24	15	924	120	0	0	30	90	1
Precinct 1129 - Vote By Mail	157	33	43	924	274	2	0	39	233	0
Precinct 1131 - Election Day	38	14	21	783	85	0	0	9	76	3
Precinct 1131 - Vote By Mail	165	38	38	783	288	1	0	44	243	2
Precinct 1132 - Election Day	39	19	32	910	112	0	0	21	91	1
Precinct 1132 - Vote By Mail	202	34	43	910	324	0	1	44	279	0
