Subtotal Area	NIKI JUDITH SOLIS	JEFFREY S. ROSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	81,194	119,131	481,991	253,583	246	108	51,854	201,375	1,050
All Precincts - None	32,517	36,229	481,991	89,756	-68	29	20,556	69,239	493
All Precincts - None	48,677	82,902	481,991	163,827	314	79	31,298	132,136	557
Precinct 1101 - None	43	19	544	83	0	0	21	62	0
Precinct 1101 - None	72	101	544	198	0	0	25	173	0
Precinct 1102 - None	77	72	964	188	-2	0	40	150	1
Precinct 1102 - None	115	165	964	337	1	0	56	280	0
Precinct 1103 - None	58	71	914	163	0	0	34	129	0
Precinct 1103 - None	106	190	914	348	1	0	49	298	2
Precinct 1104/1105 - None	66	61	953	167	0	0	40	127	0
Precinct 1104/1105 - None	108	126	953	292	0	0	55	237	3
Precinct 1106 - None	43	51	740	113	0	0	19	94	0
Precinct 1106 - None	72	130	740	231	0	1	28	202	0
Precinct 1107 - None	46	37	721	101	0	0	17	84	1
Precinct 1107 - None	67	116	721	240	5	0	50	185	2
Precinct 1108 - None	55	60	882	156	-1	0	40	117	2
Precinct 1108 - None	90	181	882	328	3	0	54	271	0
Precinct 1109 - None	43	55	758	124	0	0	26	98	0
Precinct 1109 - None	78	141	758	265	0	0	43	222	3
Precinct 1111 - None	60	48	938	132	-1	0	25	108	0
Precinct 1111 - None	88	175	938	330	3	1	60	266	3
Precinct 1112 - None	35	41	702	96	0	0	20	76	0
Precinct 1112 - None	54	118	702	221	1	0	45	175	3
Precinct 1113 - None	29	26	701	82	0	0	25	57	2
Precinct 1113 - None	82	125	701	272	2	1	60	209	2
Precinct 1114 - None	52	51	915	139	0	0	35	104	1
Precinct 1114 - None	99	146	915	280	0	0	33	247	2
Precinct 1115 - None	37	41	835	97	-1	0	18	80	2
Precinct 1115 - None	84	134	835	279	1	0	60	218	0
Precinct 1116 - None	60	43	842	141	0	0	37	104	1
Precinct 1116 - None	96	114	842	275	1	0	62	212	2
Precinct 1117 - None	49	50	827	138	-3	0	40	101	2
Precinct 1117 - None	69	128	827	240	1	0	41	198	1
Precinct 1118 - None	82	49	974	158	0	0	24	134	3
Precinct 1118 - None	105	152	974	335	0	0	73	262	5
Precinct 1119 - None	45	30	745	97	0	0	21	76	1
Precinct 1119 - None	91	131	745	274	0	0	51	223	1
Precinct 1121 - None	42	45	653	104	-1	0	18	87	0
Precinct 1121 - None	63	116	653	221	2	0	40	179	0
Precinct 1122 - None	23	28	607	69	0	0	16	53	2
Precinct 1122 - None	44	110	607	213	0	0	58	155	1
Precinct 1123 - None	42	44	876	118	0	0	30	88	2
Precinct 1123 - None	79	132	876	254	1	1	40	212	1
Precinct 1124 - None	34	39	773	109	0	0	35	74	1
Precinct 1124 - None	69	98	773	200	-1	1	32	168	1
Precinct 1125 - None	35	25	987	80	-1	0	18	63	3
Precinct 1125 - None	85	182	987	329	-1	0	59	271	4
Precinct 1126 - None	35	35	900	92	-2	0	22	72	2
Precinct 1126 - None	73	162	900	292	1	0	53	238	3
Precinct 1127 - None	56	56	875	141	-1	0	28	114	2
Precinct 1127 - None	70	157	875	277	1	0	48	228	1
Precinct 1128 - None	36	36	813	104	0	0	29	75	3
Precinct 1128 - None	77	125	813	246	0	0	44	202	0
Precinct 1129 - None	41	45	924	120	0	0	33	87	1
Precinct 1129 - None	81	151	924	274	2	0	40	232	0
Precinct 1131 - None	29	46	783	85	0	0	9	76	1
Precinct 1131 - None	76	160	783	288	1	0	49	238	2
Precinct 1132 - None	49	40	910	112	0	0	23	89	0
Precinct 1132 - None	89	179	910	324	0	1	55	268	0
Precinct 1133 - None	40	37	826	99	0	0	22	77	0
Precinct 1133 - None	81	153	826	292	-2	0	55	239	5
Precinct 1134 - None	54	45	727	126	0	0	26	100	1
Precinct 1134 - None	50	138	727	241	0	0	53	188	0
Precinct 1135 - None	20	36	511	71	0	0	14	57	1
Precinct 1135 - None	58	125	511	217	0	0	32	185	2
Precinct 1136 - None	46	30	807	97	0	0	20	77	1
Precinct 1136 - None	78	155	807	287	1	0	51	235	2
Precinct 1141 - None	65	48	998	149	0	0	36	113	0
Precinct 1141 - None	126	183	998	368	0	0	58	310	1
