Subtotal Area	LILY (ESPINOZA) PLOSKI	STEVEN IRELAND	TONY K. THURMOND	MARSHALL TUCK	DOUGLAS I. VIGIL	THOMAS L. WILLIAMS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	29,197	13,498	102,886	52,185	3	0	481,991	253,583	246	231	54,260	198,846	1,077
All Precincts - Election Day	11,662	4,892	35,130	17,124	2	0	481,991	89,756	-68	58	20,460	69,306	496
All Precincts - Vote By Mail	17,535	8,606	67,756	35,061	1	0	481,991	163,827	314	173	33,800	129,540	581
Precinct 1101 - Election Day	11	4	33	15	0	0	544	83	0	0	20	63	0
Precinct 1101 - Vote By Mail	27	13	99	30	0	0	544	198	0	0	29	169	0
Precinct 1102 - Election Day	20	9	88	33	0	0	964	188	-2	0	39	151	1
Precinct 1102 - Vote By Mail	42	30	140	64	0	0	964	337	1	0	60	276	0
Precinct 1103 - Election Day	17	13	75	29	0	0	914	163	0	0	26	137	3
Precinct 1103 - Vote By Mail	37	29	172	59	0	0	914	348	1	0	47	300	3
Precinct 1104/1105 - Election Day	19	11	74	36	0	0	953	167	0	0	27	140	0
Precinct 1104/1105 - Vote By Mail	36	19	138	41	0	0	953	292	0	0	57	235	1
Precinct 1106 - Election Day	11	3	52	28	0	0	740	113	0	0	19	94	0
Precinct 1106 - Vote By Mail	22	6	117	52	0	0	740	231	0	0	34	197	0
Precinct 1107 - Election Day	3	3	54	23	0	0	721	101	0	0	16	85	2
Precinct 1107 - Vote By Mail	21	21	113	38	0	0	721	240	5	0	40	195	2
Precinct 1108 - Election Day	22	6	61	27	0	0	882	156	-1	0	39	118	2
Precinct 1108 - Vote By Mail	35	12	170	51	0	0	882	328	3	0	55	270	2
Precinct 1109 - Election Day	15	8	61	21	0	0	758	124	0	0	18	106	1
Precinct 1109 - Vote By Mail	27	20	128	45	0	0	758	265	0	0	43	222	2
Precinct 1111 - Election Day	23	6	62	19	0	0	938	132	-1	0	22	111	1
Precinct 1111 - Vote By Mail	40	18	139	77	0	0	938	330	3	0	51	276	2
Precinct 1112 - Election Day	16	4	41	17	0	0	702	96	0	1	16	79	1
Precinct 1112 - Vote By Mail	17	10	117	32	0	0	702	221	1	0	41	179	3
Precinct 1113 - Election Day	11	2	34	12	0	0	701	82	0	0	21	61	2
Precinct 1113 - Vote By Mail	16	19	103	64	0	0	701	272	2	2	65	203	1
Precinct 1114 - Election Day	20	11	52	27	0	0	915	139	0	0	28	111	1
Precinct 1114 - Vote By Mail	28	23	137	59	0	0	915	280	0	2	30	248	1
Precinct 1115 - Election Day	11	5	48	16	0	0	835	97	-1	0	17	81	1
Precinct 1115 - Vote By Mail	21	25	131	41	0	0	835	279	1	1	59	218	0
Precinct 1116 - Election Day	17	12	56	26	0	0	842	141	0	0	28	113	2
Precinct 1116 - Vote By Mail	20	15	144	36	0	0	842	275	1	1	55	218	3
Precinct 1117 - Election Day	21	12	55	20	0	0	827	138	-3	0	30	111	3
Precinct 1117 - Vote By Mail	22	14	109	47	0	0	827	240	1	1	45	193	1
Precinct 1118 - Election Day	27	15	72	21	0	0	974	158	0	0	23	135	0
Precinct 1118 - Vote By Mail	45	19	161	47	0	0	974	335	0	0	62	273	1
Precinct 1119 - Election Day	11	4	40	21	0	0	745	97	0	0	21	76	0
Precinct 1119 - Vote By Mail	21	22	148	48	0	0	745	274	0	0	35	239	0
Precinct 1121 - Election Day	12	14	43	19	0	0	653	104	-1	0	16	89	1
Precinct 1121 - Vote By Mail	31	21	68	50	0	0	653	221	2	0	49	170	0
Precinct 1122 - Election Day	8	3	30	13	0	0	607	69	0	0	14	55	1
Precinct 1122 - Vote By Mail	28	18	64	44	0	0	607	213	0	0	58	155	1
Precinct 1123 - Election Day	14	7	58	23	0	0	876	118	0	0	14	104	2
Precinct 1123 - Vote By Mail	36	17	114	51	0	0	876	254	1	0	34	219	1
Precinct 1124 - Election Day	12	4	47	19	0	0	773	109	0	0	26	83	1
Precinct 1124 - Vote By Mail	21	18	99	39	0	0	773	200	-1	0	23	178	1
Precinct 1125 - Election Day	11	7	28	14	0	0	987	80	-1	0	19	62	2
Precinct 1125 - Vote By Mail	43	30	146	53	0	0	987	329	-1	0	54	276	4
Precinct 1126 - Election Day	15	0	39	19	0	0	900	92	-2	0	19	75	2
Precinct 1126 - Vote By Mail	40	16	124	65	0	0	900	292	1	1	44	246	1
Precinct 1127 - Election Day	18	4	53	35	0	0	875	141	-1	0	30	112	2
Precinct 1127 - Vote By Mail	34	13	112	69	0	0	875	277	1	0	48	228	0
Precinct 1128 - Election Day	15	6	34	23	0	0	813	104	0	0	23	81	3
Precinct 1128 - Vote By Mail	37	26	83	54	0	0	813	246	0	0	45	201	1
Precinct 1129 - Election Day	24	5	41	26	0	0	924	120	0	0	24	96	0
Precinct 1129 - Vote By Mail	30	19	126	55	0	0	924	274	2	1	40	231	1
Precinct 1131 - Election Day	13	6	29	25	0	0	783	85	0	0	10	75	2
Precinct 1131 - Vote By Mail	35	34	105	62	0	0	783	288	1	1	47	239	3
Precinct 1132 - Election Day	22	8	40	22	0	0	910	112	0	0	19	93	1
Precinct 1132 - Vote By Mail	36	20	133	75	0	0	910	324	0	2	58	264	0
Precinct 1133 - Election Day	15	4	41	17	0	0	826	99	0	0	21	78	1
Precinct 1133 - Vote By Mail	43	17	114	60	0	0	826	292	-2	1	55	238	4
Precinct 1134 - Election Day	26	7	55	14	0	0	727	126	0	2	21	103	1
Precinct 1134 - Vote By Mail	25	14	86	53	0	0	727	241	0	0	62	179	1
Precinct 1135 - Election Day	8	5	32	13	0	0	511	71	0	0	13	58	0
Precinct 1135 - Vote By Mail	29	23	91	29	0	0	511	217	0	0	43	174	2
Precinct 1136 - Election Day	20	13	31	17	0	0	807	97	0	0	15	82	1
Precinct 1136 - Vote By Mail	32	22	105	66	0	0	807	287	1	1	58	227	2
Precinct 1141 - Election Day	26	10	48	31	0	0	998	149	0	0	34	115	0
Precinct 1141 - Vote By Mail	73	25	138	70	0	0	998	368	0	0	59	309	3
Precinct 1142 - Election Day	18	12	44	21	0	0	822	120	0	0	24	96	1
Precinct 1142 - Vote By Mail	38	20	110	57	0	0	822	266	1	0	39	226	1
Precinct 1143 - Election Day	41	9	57	17	0	0	989	147	-1	0	23	125	1
Precinct 1143 - Vote By Mail	59	18	111	52	0	0	989	311	0	1	64	246	6
Precinct 1144 - Election Day	35	9	55	27	0	0	870	148	-1	1	21	127	1
Precinct 1144 - Vote By Mail	45	16	104	55	0	0	870	264	-2	1	45	220	0
Precinct 1145 - Election Day	28	8	57	16	0	0	879	136	1	0	26	109	0
Precinct 1145 - Vote By Mail	52	26	167	61	0	0	879	370	0	0	62	308	2
Precinct 1146 - Election Day	28	13	50	15	0	0	971	124	1	0	16	107	1
Precinct 1146 - Vote By Mail	57	27	117	77	0	0	971	326	0	1	46	279	1
Precinct 1147 - Election Day	23	9	77	27	0	0	853	166	1	0	26	139	3
Precinct 1147 - Vote By Mail	70	16	106	44	0	0	853	279	-1	1	43	236	0
Precinct 1148 - Election Day	26	4	40	24	0	0	918	121	0	0	26	95	1
Precinct 1148 - Vote By Mail	61	26	103	53	0	0	918	314	1	0	68	245	2
Precinct 1149 - Election Day	38	15	48	19	0	0	873	148	-2	0	30	120	0
Precinct 1149 - Vote By Mail	45	17	117	58	0	0	873	285	0	3	43	239	2
Precinct 1152 - Election Day	23	11	47	22	0	0	838	125	-1	0	23	103	0
Precinct 1152 - Vote By Mail	63	18	115	46	0	0	838	286	1	0	43	242	0
Precinct 1153 - Election Day	24	9	42	28	0	0	909	139	0	0	35	104	1
Precinct 1153 - Vote By Mail	48	27	116	61	0	0	909	306	0	1	52	253	1
Precinct 7001 - Election Day	20	3	48	18	0	0	735	119	-2	0	31	90	1
Precinct 7001 - Vote By Mail	41	10	95	52	0	0	735	266	6	0	62	198	0
Precinct 7002 - Election Day	23	8	58	16	0	0	641	132	1	1	25	105	0
Precinct 7002 - Vote By Mail	21	11	72	38	0	0	641	173	0	0	31	142	0
Precinct 7003 - Election Day	20	6	91	24	0	0	864	188	-1	0	47	142	1
Precinct 7003 - Vote By Mail	25	10	154	86	0	0	864	340	1	0	64	275	0
Precinct 7004 - Election Day	27	7	60	31	0	0	835	175	-1	0	50	126	1
Precinct 7004 - Vote By Mail	14	11	130	87	0	0	835	306	6	0	58	242	0
Precinct 7005 - Election Day	29	5	84	20	0	0	812	180	-1	0	42	139	1
Precinct 7005 - Vote By Mail	33	15	132	59	0	0	812	295	2	0	54	239	0
Precinct 7006 - Election Day	30	9	88	34	0	0	884	213	-1	0	53	161	0
Precinct 7006 - Vote By Mail	37	12	142	50	0	0	884	290	1	0	46	243	2
Precinct 7007 - Election Day	36	14	82	46	0	0	916	233	-4	0	59	178	0
Precinct 7007 - Vote By Mail	32	6	143	77	0	0	916	323	2	0	61	260	2
Precinct 7008 - Election Day	16	9	76	33	0	0	861	187	0	0	53	134	0
Precinct 7008 - Vote By Mail	32	13	133	89	0	0	861	345	0	1	77	267	0
Precinct 7009 - Election Day	15	11	52	21	0	0	864	133	-1	0	34	100	1
Precinct 7009 - Vote By Mail	30	9	148	62	0	0	864	312	-2	0	64	250	1
Precinct 7011 - Election Day	29	8	42	23	0	0	976	141	0	0	36	105	3
Precinct 7011 - Vote By Mail	28	15	79	45	0	0	976	205	1	0	36	168	1
Precinct 7012 - Election Day	28	16	93	36	0	0	1,061	224	0	0	50	174	1
Precinct 7012 - Vote By Mail	38	20	167	76	0	0	1,061	383	0	1	79	303	2
Precinct 7013 - Election Day	22	4	47	26	0	0	805	132	0	0	31	101	2
Precinct 7013 - Vote By Mail	46	6	85	61	0	0	805	251	2	0	51	198	0
Precinct 7014 - Election Day	33	6	70	35	0	0	1,213	188	-2	0	46	144	0
Precinct 7014 - Vote By Mail	52	26	183	90	0	0	1,213	434	-1	0	83	352	1
Precinct 7015 MB - Vote By Mail	5	0	21	5	0	0	93	34	0	0	3	31	0
Precinct 7016 - Election Day	26	9	32	15	0	0	891	112	2	0	27	83	1
Precinct 7016 - Vote By Mail	30	17	85	40	0	0	891	221	2	0	46	173	1
Precinct 7017 - Election Day	9	3	27	11	0	0	734	79	0	0	27	52	2
Precinct 7017 - Vote By Mail	22	7	73	27	0	0	734	167	1	0	37	129	0
