Subtotal Area	MICHELLE BRAVO	LONDON BREED	MARK LENO	JANE KIM	RICHIE GREENBERG	ANGELA ALIOTO	AMY FARAH WEISS	ELLEN LEE ZHOU	ANTOINE R. ROGERS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	890	91,918	61,276	60,644	7,016	17,447	1,661	9,521	3	481,991	253,583	-433	621	2,527	0	250,868	492
All Precincts - Election Day	318	31,591	21,335	25,117	1,911	6,004	613	1,696	0	481,991	89,756	-35	158	890	0	88,743	158
All Precincts - Vote By Mail	572	60,327	39,941	35,527	5,105	11,443	1,048	7,825	3	481,991	163,827	-398	463	1,637	0	162,125	334
Precinct 1101 - Election Day	0	19	22	28	1	11	0	0	0	544	83	0	0	1	0	82	1
Precinct 1101 - Vote By Mail	0	53	56	44	7	17	2	17	0	544	198	1	0	1	0	196	0
Precinct 1102 - Election Day	2	74	36	44	2	23	0	6	0	964	188	0	0	0	0	188	1
Precinct 1102 - Vote By Mail	2	118	81	68	9	35	2	21	0	964	337	-3	0	4	0	336	0
Precinct 1103 - Election Day	0	65	44	34	5	12	1	2	0	914	163	0	0	0	0	163	0
Precinct 1103 - Vote By Mail	1	98	82	76	17	31	3	40	0	914	348	-2	0	2	0	348	0
Precinct 1104/1105 - Election Day	1	44	45	34	10	20	1	12	0	953	167	0	0	0	0	167	0
Precinct 1104/1105 - Vote By Mail	0	80	69	75	5	23	2	34	0	953	292	-1	1	3	0	289	1
Precinct 1106 - Election Day	0	55	22	24	1	8	2	1	0	740	113	-1	0	1	0	113	0
Precinct 1106 - Vote By Mail	1	85	42	48	10	19	0	22	0	740	231	0	0	3	0	228	1
Precinct 1107 - Election Day	1	49	13	28	2	4	1	2	0	721	101	0	0	1	0	100	0
Precinct 1107 - Vote By Mail	2	103	41	37	10	8	1	31	0	721	240	2	1	2	0	235	2
Precinct 1108 - Election Day	1	75	23	30	3	10	1	8	0	882	156	0	1	4	0	151	0
Precinct 1108 - Vote By Mail	1	147	67	56	4	20	2	27	0	882	328	1	1	0	0	326	2
Precinct 1109 - Election Day	1	54	20	36	4	3	0	4	0	758	124	0	0	2	0	122	0
Precinct 1109 - Vote By Mail	0	105	54	47	7	8	0	42	0	758	265	-1	1	2	0	263	0
Precinct 1111 - Election Day	0	42	24	32	5	11	3	12	0	938	132	0	0	2	0	130	1
Precinct 1111 - Vote By Mail	0	115	60	66	7	18	8	50	0	938	330	1	0	2	0	327	3
Precinct 1112 - Election Day	0	39	13	27	0	3	2	10	0	702	96	-3	2	3	0	94	0
Precinct 1112 - Vote By Mail	0	74	28	59	12	6	2	37	0	702	221	0	2	1	0	218	0
Precinct 1113 - Election Day	0	23	15	33	2	3	1	3	0	701	82	0	0	2	0	80	0
Precinct 1113 - Vote By Mail	3	93	35	58	17	17	2	42	0	701	272	-3	6	2	0	267	0
Precinct 1114 - Election Day	1	38	37	34	3	15	4	2	0	915	139	1	0	4	0	134	0
Precinct 1114 - Vote By Mail	11	79	61	70	8	26	3	21	0	915	280	0	0	0	0	280	1
Precinct 1115 - Election Day	0	37	27	24	0	4	0	5	0	835	97	-1	0	1	0	97	0
Precinct 1115 - Vote By Mail	4	116	51	46	4	20	2	35	0	835	279	-2	0	3	0	278	0
Precinct 1116 - Election Day	1	73	15	28	1	14	2	5	0	842	141	0	1	0	0	140	1
Precinct 1116 - Vote By Mail	0	105	46	50	10	11	3	45	0	842	275	0	1	3	0	271	1
Precinct 1117 - Election Day	2	82	13	27	4	8	1	1	0	827	138	-3	0	2	0	139	1
Precinct 1117 - Vote By Mail	2	98	37	40	10	18	0	33	0	827	240	-1	0	2	0	239	1
Precinct 1118 - Election Day	2	64	24	46	2	4	0	15	0	974	158	1	0	0	0	157	0
Precinct 1118 - Vote By Mail	1	142	59	64	1	12	3	50	0	974	335	-2	1	4	0	332	0
Precinct 1119 - Election Day	0	42	18	25	2	6	0	1	0	745	97	-1	0	3	0	95	1
Precinct 1119 - Vote By Mail	3	109	65	41	8	23	1	22	0	745	274	1	0	1	0	272	0
Precinct 1121 - Election Day	1	20	18	29	3	18	0	11	0	653	104	0	1	3	0	100	0
Precinct 1121 - Vote By Mail	2	66	39	44	8	25	3	33	0	653	221	-2	0	3	0	220	0
Precinct 1122 - Election Day	0	18	13	21	2	11	0	2	0	607	69	0	0	2	0	67	0
Precinct 1122 - Vote By Mail	0	66	38	47	4	14	2	35	0	607	213	0	0	7	0	206	0
Precinct 1123 - Election Day	1	64	16	27	1	5	0	5	0	876	118	-1	0	0	0	119	0
Precinct 1123 - Vote By Mail	4	96	39	41	12	14	3	48	0	876	254	-3	0	0	0	257	0
Precinct 1124 - Election Day	4	47	18	24	2	6	1	3	0	773	109	0	1	3	0	105	0
Precinct 1124 - Vote By Mail	1	82	21	44	3	10	1	38	0	773	200	-1	1	0	0	200	0
Precinct 1125 - Election Day	2	33	12	26	1	4	1	0	0	987	80	-1	1	0	0	80	1
Precinct 1125 - Vote By Mail	5	96	74	54	11	35	2	45	0	987	329	-2	2	4	0	325	3
Precinct 1126 - Election Day	0	32	28	21	1	7	0	3	0	900	92	-2	1	1	0	92	0
Precinct 1126 - Vote By Mail	4	100	59	67	9	24	0	25	0	900	292	0	0	3	0	289	1
Precinct 1127 - Election Day	1	45	29	39	4	14	1	4	0	875	141	1	0	2	0	138	1
Precinct 1127 - Vote By Mail	2	87	44	61	18	20	1	34	0	875	277	1	3	6	0	267	0
Precinct 1128 - Election Day	0	29	15	26	3	19	1	8	0	813	104	0	0	2	0	102	1
Precinct 1128 - Vote By Mail	0	68	47	53	10	27	2	35	0	813	246	0	3	1	0	242	0
Precinct 1129 - Election Day	0	41	22	35	1	14	1	4	0	924	120	-1	0	2	0	119	1
Precinct 1129 - Vote By Mail	2	67	54	65	5	34	0	41	0	924	274	1	0	5	0	268	0
Precinct 1131 - Election Day	1	16	21	26	4	12	0	4	0	783	85	0	0	1	0	84	0
Precinct 1131 - Vote By Mail	2	100	53	56	15	25	0	40	0	783	288	-4	0	1	0	291	0
Precinct 1132 - Election Day	1	36	19	29	4	15	1	4	0	910	112	1	0	0	0	111	2
Precinct 1132 - Vote By Mail	4	104	64	51	13	30	2	50	0	910	324	0	1	5	0	318	0
Precinct 1133 - Election Day	0	33	20	28	4	7	1	6	0	826	99	0	0	0	0	99	0
Precinct 1133 - Vote By Mail	2	107	55	53	14	34	1	20	0	826	292	-1	1	6	0	286	0
Precinct 1134 - Election Day	2	37	29	40	0	13	2	2	0	727	126	0	1	0	0	125	0
Precinct 1134 - Vote By Mail	1	70	42	56	5	22	1	36	0	727	241	1	1	4	0	235	2
Precinct 1135 - Election Day	0	28	15	18	3	3	1	4	0	511	71	-1	0	0	0	72	0
Precinct 1135 - Vote By Mail	3	65	56	36	7	17	1	28	0	511	217	0	0	3	0	214	1
Precinct 1136 - Election Day	1	40	19	17	0	10	0	7	0	807	97	0	0	2	0	95	1
Precinct 1136 - Vote By Mail	0	92	56	51	17	31	1	33	0	807	287	0	1	4	0	282	1
Precinct 1141 - Election Day	2	47	33	43	5	12	0	6	0	998	149	0	0	1	0	148	0
Precinct 1141 - Vote By Mail	0	110	84	99	12	23	1	39	0	998	368	-2	0	1	0	369	1
Precinct 1142 - Election Day	1	34	36	33	1	8	0	5	0	822	120	-1	0	3	0	118	0
Precinct 1142 - Vote By Mail	1	69	77	61	8	24	0	26	0	822	266	-1	0	0	0	267	1
Precinct 1143 - Election Day	1	31	40	51	2	15	2	3	0	989	147	-1	0	2	0	146	1
Precinct 1143 - Vote By Mail	4	95	58	73	14	26	2	33	0	989	311	0	2	3	0	306	1
Precinct 1144 - Election Day	1	43	29	51	5	15	1	2	0	870	148	0	1	0	0	147	0
Precinct 1144 - Vote By Mail	4	83	41	72	6	26	0	30	0	870	264	-1	0	3	0	262	0
Precinct 1145 - Election Day	0	44	32	46	3	8	0	2	0	879	136	1	0	0	0	135	0
Precinct 1145 - Vote By Mail	3	108	103	77	7	37	3	30	0	879	370	-1	1	2	0	368	0
Precinct 1146 - Election Day	2	38	22	44	1	9	1	6	0	971	124	0	0	1	0	123	0
Precinct 1146 - Vote By Mail	0	112	62	81	1	31	4	29	0	971	326	-1	4	2	0	321	1
Precinct 1147 - Election Day	0	49	42	48	0	14	2	6	0	853	166	2	0	2	0	162	1
Precinct 1147 - Vote By Mail	2	70	63	68	7	37	4	22	0	853	279	0	5	1	0	273	0
Precinct 1148 - Election Day	1	31	24	30	4	19	0	6	0	918	121	0	2	4	0	115	0
Precinct 1148 - Vote By Mail	2	87	64	53	10	39	4	48	0	918	314	3	1	3	0	307	0
Precinct 1149 - Election Day	1	36	29	54	0	21	1	4	0	873	148	-2	0	3	0	147	1
Precinct 1149 - Vote By Mail	3	83	40	88	7	33	3	25	0	873	285	-4	2	5	0	282	0
Precinct 1152 - Election Day	0	33	19	39	7	16	4	2	0	838	125	-1	0	3	0	123	3
Precinct 1152 - Vote By Mail	1	94	48	51	4	42	3	36	0	838	286	0	0	7	0	279	0
Precinct 1153 - Election Day	2	52	17	39	2	9	2	13	0	909	139	0	0	3	0	136	0
Precinct 1153 - Vote By Mail	3	104	53	68	5	28	1	41	0	909	306	-1	1	2	0	304	1
Precinct 7001 - Election Day	0	38	30	43	1	6	2	0	0	735	119	-1	0	0	0	120	0
Precinct 7001 - Vote By Mail	3	98	55	61	10	20	4	10	0	735	266	1	3	1	0	261	0
Precinct 7002 - Election Day	0	42	31	50	0	5	1	1	0	641	132	0	1	1	0	130	0
Precinct 7002 - Vote By Mail	1	62	41	41	3	20	4	0	0	641	173	-2	0	2	0	173	1
Precinct 7003 - Election Day	0	63	49	58	3	11	1	0	0	864	188	-1	1	3	0	185	0
Precinct 7003 - Vote By Mail	2	135	100	77	5	17	0	1	0	864	340	0	0	3	0	337	0
Precinct 7004 - Election Day	0	70	49	41	1	4	1	4	0	835	175	3	0	2	0	170	0
Precinct 7004 - Vote By Mail	0	121	82	76	9	7	2	5	0	835	306	1	0	2	0	303	1
Precinct 7005 - Election Day	0	62	45	62	1	8	1	0	0	812	180	0	0	1	0	179	0
Precinct 7005 - Vote By Mail	1	106	94	71	2	11	2	3	0	812	295	0	2	2	0	291	1
Precinct 7006 - Election Day	3	53	52	81	5	10	6	1	0	884	213	0	0	2	0	211	0
Precinct 7006 - Vote By Mail	1	81	63	104	3	28	3	2	0	884	290	-2	0	6	0	286	1
Precinct 7007 - Election Day	1	83	63	69	1	14	2	0	0	916	233	-3	1	1	0	234	1
Precinct 7007 - Vote By Mail	0	110	89	87	7	22	0	0	0	916	323	1	1	5	0	316	1
Precinct 7008 - Election Day	0	70	58	48	2	5	1	0	0	861	187	0	1	2	0	184	0
Precinct 7008 - Vote By Mail	0	141	103	68	2	21	0	3	0	861	345	1	0	6	0	338	0
Precinct 7009 - Election Day	0	47	27	49	4	4	0	3	0	864	133	-2	0	1	0	134	0
Precinct 7009 - Vote By Mail	2	103	88	78	9	12	2	11	0	864	312	-1	2	6	0	305	0
Precinct 7011 - Election Day	0	68	32	29	1	6	1	0	0	976	141	2	2	0	0	137	0
Precinct 7011 - Vote By Mail	1	87	59	41	2	12	1	2	0	976	205	0	0	0	0	205	0
Precinct 7012 - Election Day	0	76	64	53	9	15	2	2	0	1,061	224	0	0	3	0	221	0
Precinct 7012 - Vote By Mail	0	144	107	98	8	14	3	6	0	1,061	383	-1	1	2	0	381	1
Precinct 7013 - Election Day	0	59	33	30	0	6	2	1	0	805	132	0	0	1	0	131	0
Precinct 7013 - Vote By Mail	0	116	47	57	5	13	2	8	0	805	251	0	0	3	0	248	0
