Subtotal Area	JEFF SHEEHY	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	12,635	591	19,951	56,415	36,015	-52	25	2,777	0	33,265	88
All Precincts - Election Day	4,558	247	7,597	56,415	13,639	-11	6	1,204	0	12,440	38
All Precincts - Vote By Mail	8,077	344	12,354	56,415	22,376	-41	19	1,573	0	20,825	50
Precinct 7801 - Election Day	72	5	123	970	230	0	0	30	0	200	0
Precinct 7801 - Vote By Mail	137	5	251	970	424	-5	0	36	0	393	0
Precinct 7802 - Election Day	60	0	120	762	205	-1	0	25	0	181	1
Precinct 7802 - Vote By Mail	121	5	163	762	313	-2	1	25	0	289	0
Precinct 7803 - Election Day	44	2	87	823	143	0	0	10	0	133	0
Precinct 7803 - Vote By Mail	168	4	217	823	412	-1	0	24	0	389	0
Precinct 7804 - Election Day	82	4	126	891	236	0	1	20	0	215	3
Precinct 7804 - Vote By Mail	155	4	210	891	394	-1	1	21	0	373	4
Precinct 7805 - Election Day	43	1	120	785	176	2	0	9	0	165	1
Precinct 7805 - Vote By Mail	95	6	215	785	348	0	0	31	0	317	1
Precinct 7806 - Election Day	43	3	97	699	163	1	0	19	0	143	0
Precinct 7806 - Vote By Mail	82	7	169	699	283	0	1	24	0	258	0
Precinct 7807 - Election Day	57	3	151	796	228	-1	1	17	0	211	0
Precinct 7807 - Vote By Mail	88	5	157	796	273	-1	0	23	0	251	1
Precinct 7808 - Election Day	66	4	95	655	178	0	0	13	0	165	0
Precinct 7808 - Vote By Mail	72	2	151	655	243	1	0	16	0	226	1
Precinct 7809 - Election Day	40	5	91	742	160	-1	1	24	0	136	0
Precinct 7809 - Vote By Mail	78	9	154	742	267	2	1	23	0	241	0
Precinct 7811 - Election Day	57	5	112	726	186	-1	0	12	0	175	1
Precinct 7811 - Vote By Mail	63	9	152	726	243	1	0	17	0	225	1
Precinct 7812 - Election Day	48	8	131	843	207	-1	0	21	0	187	0
Precinct 7812 - Vote By Mail	89	7	170	843	292	-1	1	23	0	269	3
Precinct 7813 - Election Day	74	6	151	988	251	-1	0	21	0	231	0
Precinct 7813 - Vote By Mail	116	4	205	988	362	1	0	36	0	325	0
Precinct 7814 - Election Day	38	10	93	892	173	0	0	30	0	143	2
Precinct 7814 - Vote By Mail	83	5	110	892	223	-2	2	25	0	198	0
Precinct 7815 - Election Day	58	4	96	914	178	-1	0	21	0	158	0
Precinct 7815 - Vote By Mail	140	6	242	914	407	-1	0	20	0	388	0
Precinct 7816 - Election Day	70	3	118	858	202	1	0	10	0	191	0
Precinct 7816 - Vote By Mail	155	3	205	858	390	0	0	27	0	363	0
Precinct 7817 - Election Day	66	6	136	795	215	-1	0	8	0	208	0
Precinct 7817 - Vote By Mail	96	4	202	795	309	0	0	7	0	302	0
Precinct 7818 - Election Day	45	3	100	823	172	-1	0	25	0	148	0
Precinct 7818 - Vote By Mail	111	7	190	823	335	-2	1	25	0	311	3
Precinct 7819 - Election Day	47	2	99	760	169	0	0	21	0	148	0
Precinct 7819 - Vote By Mail	102	7	163	760	297	2	0	23	0	272	0
Precinct 7821 - Election Day	93	2	124	947	229	-1	0	11	0	219	0
Precinct 7821 - Vote By Mail	165	8	244	947	439	2	1	19	0	417	0
Precinct 7822 - Election Day	66	4	157	927	244	0	0	17	0	227	0
Precinct 7822 - Vote By Mail	115	7	198	927	343	1	0	22	0	320	0
Precinct 7823 - Election Day	78	2	142	857	237	0	0	14	0	223	1
Precinct 7823 - Vote By Mail	125	6	201	857	347	-1	0	15	0	333	1
Precinct 7824 - Election Day	60	2	91	756	170	0	0	15	0	155	2
Precinct 7824 - Vote By Mail	111	8	144	756	274	0	0	11	0	263	0
Precinct 7825 - Election Day	46	3	95	580	160	1	0	15	0	144	0
Precinct 7825 - Vote By Mail	73	4	121	580	215	1	0	16	0	198	0
Precinct 7826 - Election Day	61	3	122	665	214	-1	0	29	0	186	0
Precinct 7826 - Vote By Mail	58	3	121	665	194	-2	0	14	0	182	0
Precinct 7827 - Election Day	49	8	115	828	199	0	0	27	0	172	0
Precinct 7827 - Vote By Mail	73	2	150	828	252	0	0	25	0	227	2
Precinct 7828 - Election Day	83	7	93	976	205	0	0	22	0	183	0
Precinct 7828 - Vote By Mail	145	2	220	976	397	0	0	29	0	368	1
Precinct 7829 - Election Day	85	2	102	882	199	0	0	9	0	190	1
