Subtotal Area	YES	NO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	160,214	69,570	481,991	253,583	-56	76	23,779	229,784
All Precincts - Election Day	56,996	23,900	481,991	89,756	-87	23	8,924	80,896
All Precincts - Vote By Mail	103,218	45,670	481,991	163,827	31	53	14,855	148,888
Precinct 1101 - Election Day	53	23	544	83	-1	0	8	76
Precinct 1101 - Vote By Mail	146	42	544	198	1	0	9	188
Precinct 1102 - Election Day	136	37	964	188	1	0	14	173
Precinct 1102 - Vote By Mail	219	94	964	337	-2	0	26	313
Precinct 1103 - Election Day	112	42	914	163	0	0	9	154
Precinct 1103 - Vote By Mail	226	100	914	348	0	0	22	326
Precinct 1104/1105 - Election Day	104	41	953	167	0	0	22	145
Precinct 1104/1105 - Vote By Mail	205	64	953	292	1	0	22	269
Precinct 1106 - Election Day	71	36	740	113	0	0	6	107
Precinct 1106 - Vote By Mail	145	67	740	231	-1	1	19	212
Precinct 1107 - Election Day	55	33	721	101	0	0	13	88
Precinct 1107 - Vote By Mail	151	64	721	240	1	0	24	215
Precinct 1108 - Election Day	84	46	882	156	0	0	26	130
Precinct 1108 - Vote By Mail	201	97	882	328	1	0	29	298
Precinct 1109 - Election Day	76	36	758	124	-3	0	15	112
Precinct 1109 - Vote By Mail	156	75	758	265	3	0	31	231
Precinct 1111 - Election Day	87	29	938	132	-2	0	18	116
Precinct 1111 - Vote By Mail	217	82	938	330	5	0	26	299
Precinct 1112 - Election Day	61	22	702	96	2	0	11	83
Precinct 1112 - Vote By Mail	145	52	702	221	0	1	23	197
Precinct 1113 - Election Day	57	12	701	82	-1	0	14	69
Precinct 1113 - Vote By Mail	172	67	701	272	0	0	33	239
Precinct 1114 - Election Day	86	34	915	139	0	0	19	120
Precinct 1114 - Vote By Mail	204	54	915	280	1	0	21	258
Precinct 1115 - Election Day	59	25	835	97	0	0	13	84
Precinct 1115 - Vote By Mail	156	88	835	279	-1	0	36	244
Precinct 1116 - Election Day	73	48	842	141	-1	0	21	121
Precinct 1116 - Vote By Mail	169	70	842	275	0	0	36	239
Precinct 1117 - Election Day	72	47	827	138	-1	0	20	119
Precinct 1117 - Vote By Mail	150	70	827	240	0	1	19	220
Precinct 1118 - Election Day	93	46	974	158	2	1	16	139
Precinct 1118 - Vote By Mail	186	110	974	335	2	0	37	296
Precinct 1119 - Election Day	54	32	745	97	-1	1	11	86
Precinct 1119 - Vote By Mail	185	71	745	274	-1	0	19	256
Precinct 1121 - Election Day	66	26	653	104	0	0	12	92
Precinct 1121 - Vote By Mail	139	61	653	221	1	0	20	200
Precinct 1122 - Election Day	40	15	607	69	0	0	14	55
Precinct 1122 - Vote By Mail	135	57	607	213	-1	0	22	192
Precinct 1123 - Election Day	69	33	876	118	-1	0	17	102
Precinct 1123 - Vote By Mail	152	85	876	254	-2	0	19	237
Precinct 1124 - Election Day	55	34	773	109	0	0	20	89
Precinct 1124 - Vote By Mail	120	57	773	200	-1	0	24	177
Precinct 1125 - Election Day	46	23	987	80	-2	0	13	69
Precinct 1125 - Vote By Mail	219	76	987	329	-4	0	38	295
Precinct 1126 - Election Day	59	22	900	92	-1	0	12	81
Precinct 1126 - Vote By Mail	188	69	900	292	-1	0	36	257
Precinct 1127 - Election Day	81	45	875	141	-1	0	16	126
Precinct 1127 - Vote By Mail	179	79	875	277	-1	0	20	258
Precinct 1128 - Election Day	70	28	813	104	0	0	6	98
Precinct 1128 - Vote By Mail	152	68	813	246	-1	0	27	220
Precinct 1129 - Election Day	76	29	924	120	0	0	15	105
Precinct 1129 - Vote By Mail	191	62	924	274	2	0	19	253
Precinct 1131 - Election Day	52	24	783	85	0	0	9	76
Precinct 1131 - Vote By Mail	174	83	783	288	0	0	31	257
Precinct 1132 - Election Day	72	23	910	112	0	0	17	95
Precinct 1132 - Vote By Mail	206	89	910	324	-3	0	32	295
Precinct 1133 - Election Day	54	32	826	99	0	0	13	86
Precinct 1133 - Vote By Mail	186	83	826	292	-2	0	25	269
Precinct 1134 - Election Day	83	29	727	126	0	0	14	112
Precinct 1134 - Vote By Mail	150	67	727	241	-1	0	25	217
Precinct 1135 - Election Day	49	13	511	71	-1	0	10	62
Precinct 1135 - Vote By Mail	141	53	511	217	2	0	21	194
Precinct 1136 - Election Day	56	28	807	97	0	0	13	84
Precinct 1136 - Vote By Mail	179	75	807	287	1	0	32	254
Precinct 1141 - Election Day	92	34	998	149	1	0	22	126
Precinct 1141 - Vote By Mail	263	78	998	368	0	0	27	341
Precinct 1142 - Election Day	80	25	822	120	0	0	15	105
Precinct 1142 - Vote By Mail	175	68	822	266	0	0	23	243
Precinct 1143 - Election Day	101	31	989	147	1	0	14	132
Precinct 1143 - Vote By Mail	209	65	989	311	2	0	35	274
Precinct 1144 - Election Day	105	37	870	148	-2	0	8	142
Precinct 1144 - Vote By Mail	172	64	870	264	-1	0	29	236
Precinct 1145 - Election Day	83	32	879	136	1	1	19	115
Precinct 1145 - Vote By Mail	251	87	879	370	-2	0	34	338
Precinct 1146 - Election Day	92	23	971	124	0	0	9	115
Precinct 1146 - Vote By Mail	223	79	971	326	-1	0	25	302
Precinct 1147 - Election Day	108	39	853	166	2	0	17	147
Precinct 1147 - Vote By Mail	192	63	853	279	1	0	23	255
Precinct 1148 - Election Day	71	37	918	121	0	0	13	108
Precinct 1148 - Vote By Mail	194	86	918	314	0	0	34	280
Precinct 1149 - Election Day	103	33	873	148	-2	0	14	136
Precinct 1149 - Vote By Mail	192	65	873	285	1	0	27	257
Precinct 1152 - Election Day	80	37	838	125	-2	0	10	117
Precinct 1152 - Vote By Mail	177	78	838	286	0	0	31	255
Precinct 1153 - Election Day	82	42	909	139	0	0	15	124
Precinct 1153 - Vote By Mail	207	77	909	306	2	0	20	284
Precinct 7001 - Election Day	77	36	735	119	-1	0	7	113
Precinct 7001 - Vote By Mail	168	72	735	266	2	0	24	240
Precinct 7002 - Election Day	93	26	641	132	0	0	13	119
Precinct 7002 - Vote By Mail	109	55	641	173	1	0	8	164
Precinct 7003 - Election Day	130	41	864	188	0	0	17	171
Precinct 7003 - Vote By Mail	229	82	864	340	0	1	28	311
Precinct 7004 - Election Day	115	46	835	175	0	0	14	161
Precinct 7004 - Vote By Mail	215	78	835	306	-1	0	14	293
Precinct 7005 - Election Day	128	34	812	180	1	0	17	162
Precinct 7005 - Vote By Mail	200	73	812	295	1	0	21	273
Precinct 7006 - Election Day	146	49	884	213	1	0	17	195
Precinct 7006 - Vote By Mail	206	65	884	290	-2	0	21	271
Precinct 7007 - Election Day	155	58	916	233	-2	0	22	213
Precinct 7007 - Vote By Mail	223	80	916	323	-1	0	21	303
Precinct 7008 - Election Day	117	50	861	187	0	1	19	167
Precinct 7008 - Vote By Mail	227	87	861	345	1	1	29	314
Precinct 7009 - Election Day	81	38	864	133	-1	0	15	119
Precinct 7009 - Vote By Mail	209	69	864	312	-1	0	35	278
Precinct 7011 - Election Day	78	41	976	141	0	0	22	119
Precinct 7011 - Vote By Mail	119	68	976	205	0	0	18	187
Precinct 7012 - Election Day	150	61	1,061	224	0	0	13	211
Precinct 7012 - Vote By Mail	243	106	1,061	383	1	0	33	349
