Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	0	0	500,516	0	0	0	0	0
All Precincts - Election Day	0	0	500,516	0	0	0	0	0
All Precincts - Vote By Mail	0	0	500,516	0	0	0	0	0
Precinct 1101 - Election Day	0	0	553	0	0	0	0	0
Precinct 1101 - Vote By Mail	0	0	553	0	0	0	0	0
Precinct 1102 - Election Day	0	0	995	0	0	0	0	0
Precinct 1102 - Vote By Mail	0	0	995	0	0	0	0	0
Precinct 1103 - Election Day	0	0	951	0	0	0	0	0
Precinct 1103 - Vote By Mail	0	0	951	0	0	0	0	0
Precinct 1104/1105 - Election Day	0	0	993	0	0	0	0	0
Precinct 1104/1105 - Vote By Mail	0	0	993	0	0	0	0	0
Precinct 1106 - Election Day	0	0	765	0	0	0	0	0
Precinct 1106 - Vote By Mail	0	0	765	0	0	0	0	0
Precinct 1107 - Election Day	0	0	746	0	0	0	0	0
Precinct 1107 - Vote By Mail	0	0	746	0	0	0	0	0
Precinct 1108 - Election Day	0	0	909	0	0	0	0	0
Precinct 1108 - Vote By Mail	0	0	909	0	0	0	0	0
Precinct 1109 - Election Day	0	0	798	0	0	0	0	0
Precinct 1109 - Vote By Mail	0	0	798	0	0	0	0	0
Precinct 1111 - Election Day	0	0	1,002	0	0	0	0	0
Precinct 1111 - Vote By Mail	0	0	1,002	0	0	0	0	0
Precinct 1112 - Election Day	0	0	769	0	0	0	0	0
Precinct 1112 - Vote By Mail	0	0	769	0	0	0	0	0
Precinct 1113 - Election Day	0	0	746	0	0	0	0	0
Precinct 1113 - Vote By Mail	0	0	746	0	0	0	0	0
Precinct 1114 - Election Day	0	0	957	0	0	0	0	0
Precinct 1114 - Vote By Mail	0	0	957	0	0	0	0	0
Precinct 1115 - Election Day	0	0	895	0	0	0	0	0
Precinct 1115 - Vote By Mail	0	0	895	0	0	0	0	0
Precinct 1116 - Election Day	0	0	895	0	0	0	0	0
Precinct 1116 - Vote By Mail	0	0	895	0	0	0	0	0
Precinct 1117 - Election Day	0	0	858	0	0	0	0	0
Precinct 1117 - Vote By Mail	0	0	858	0	0	0	0	0
Precinct 1118 - Election Day	0	0	1,043	0	0	0	0	0
Precinct 1118 - Vote By Mail	0	0	1,043	0	0	0	0	0
Precinct 1119 - Election Day	0	0	791	0	0	0	0	0
Precinct 1119 - Vote By Mail	0	0	791	0	0	0	0	0
Precinct 1121 - Election Day	0	0	691	0	0	0	0	0
Precinct 1121 - Vote By Mail	0	0	691	0	0	0	0	0
Precinct 1122 - Election Day	0	0	632	0	0	0	0	0
Precinct 1122 - Vote By Mail	0	0	632	0	0	0	0	0
Precinct 1123 - Election Day	0	0	915	0	0	0	0	0
Precinct 1123 - Vote By Mail	0	0	915	0	0	0	0	0
Precinct 1124 - Election Day	0	0	819	0	0	0	0	0
Precinct 1124 - Vote By Mail	0	0	819	0	0	0	0	0
Precinct 1125 - Election Day	0	0	1,047	0	0	0	0	0
Precinct 1125 - Vote By Mail	0	0	1,047	0	0	0	0	0
Precinct 1126 - Election Day	0	0	922	0	0	0	0	0
Precinct 1126 - Vote By Mail	0	0	922	0	0	0	0	0
Precinct 1127 - Election Day	0	0	920	0	0	0	0	0
Precinct 1127 - Vote By Mail	0	0	920	0	0	0	0	0
Precinct 1128 - Election Day	0	0	838	0	0	0	0	0
Precinct 1128 - Vote By Mail	0	0	838	0	0	0	0	0
Precinct 1129 - Election Day	0	0	980	0	0	0	0	0
Precinct 1129 - Vote By Mail	0	0	980	0	0	0	0	0
Precinct 1131 - Election Day	0	0	797	0	0	0	0	0
Precinct 1131 - Vote By Mail	0	0	797	0	0	0	0	0
Precinct 1132 - Election Day	0	0	969	0	0	0	0	0
Precinct 1132 - Vote By Mail	0	0	969	0	0	0	0	0
Precinct 1133 - Election Day	0	0	863	0	0	0	0	0
Precinct 1133 - Vote By Mail	0	0	863	0	0	0	0	0
Precinct 1134 - Election Day	0	0	759	0	0	0	0	0
Precinct 1134 - Vote By Mail	0	0	759	0	0	0	0	0
Precinct 1135 - Election Day	0	0	540	0	0	0	0	0
Precinct 1135 - Vote By Mail	0	0	540	0	0	0	0	0
Precinct 1136 - Election Day	0	0	829	0	0	0	0	0
Precinct 1136 - Vote By Mail	0	0	829	0	0	0	0	0
Precinct 1141 - Election Day	0	0	1,041	0	0	0	0	0
Precinct 1141 - Vote By Mail	0	0	1,041	0	0	0	0	0
Precinct 1142 - Election Day	0	0	861	0	0	0	0	0
Precinct 1142 - Vote By Mail	0	0	861	0	0	0	0	0
Precinct 1143 - Election Day	0	0	1,034	0	0	0	0	0
Precinct 1143 - Vote By Mail	0	0	1,034	0	0	0	0	0
Precinct 1144 - Election Day	0	0	907	0	0	0	0	0
Precinct 1144 - Vote By Mail	0	0	907	0	0	0	0	0
Precinct 1145 - Election Day	0	0	888	0	0	0	0	0
Precinct 1145 - Vote By Mail	0	0	888	0	0	0	0	0
Precinct 1146 - Election Day	0	0	1,011	0	0	0	0	0
Precinct 1146 - Vote By Mail	0	0	1,011	0	0	0	0	0
Precinct 1147 - Election Day	0	0	877	0	0	0	0	0
Precinct 1147 - Vote By Mail	0	0	877	0	0	0	0	0
Precinct 1148 - Election Day	0	0	962	0	0	0	0	0
Precinct 1148 - Vote By Mail	0	0	962	0	0	0	0	0
Precinct 1149 - Election Day	0	0	907	0	0	0	0	0
Precinct 1149 - Vote By Mail	0	0	907	0	0	0	0	0
Precinct 1152 - Election Day	0	0	864	0	0	0	0	0
Precinct 1152 - Vote By Mail	0	0	864	0	0	0	0	0
Precinct 1153 - Election Day	0	0	951	0	0	0	0	0
Precinct 1153 - Vote By Mail	0	0	951	0	0	0	0	0
Precinct 7001 - Election Day	0	0	776	0	0	0	0	0
Precinct 7001 - Vote By Mail	0	0	776	0	0	0	0	0
Precinct 7002 - Election Day	0	0	706	0	0	0	0	0
Precinct 7002 - Vote By Mail	0	0	706	0	0	0	0	0
Precinct 7003 - Election Day	0	0	884	0	0	0	0	0
Precinct 7003 - Vote By Mail	0	0	884	0	0	0	0	0
Precinct 7004 - Election Day	0	0	881	0	0	0	0	0
Precinct 7004 - Vote By Mail	0	0	881	0	0	0	0	0
Precinct 7005 - Election Day	0	0	847	0	0	0	0	0
Precinct 7005 - Vote By Mail	0	0	847	0	0	0	0	0
Precinct 7006 - Election Day	0	0	917	0	0	0	0	0
