Subtotal Area	CRISTINA OSMEÑA	JACKIE SPEIER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	0	0	56,946	0	0	0	0	0
All Precincts - None	0	0	56,946	0	0	0	0	0
All Precincts - None	0	0	56,946	0	0	0	0	0
Precinct 1101 - None	0	0	553	0	0	0	0	0
Precinct 1101 - None	0	0	553	0	0	0	0	0
Precinct 1102 - None	0	0	995	0	0	0	0	0
Precinct 1102 - None	0	0	995	0	0	0	0	0
Precinct 1103 - None	0	0	951	0	0	0	0	0
Precinct 1103 - None	0	0	951	0	0	0	0	0
Precinct 1104/1105 - None	0	0	993	0	0	0	0	0
Precinct 1104/1105 - None	0	0	993	0	0	0	0	0
Precinct 1106 - None	0	0	765	0	0	0	0	0
Precinct 1106 - None	0	0	765	0	0	0	0	0
Precinct 1107 - None	0	0	746	0	0	0	0	0
Precinct 1107 - None	0	0	746	0	0	0	0	0
Precinct 1108 - None	0	0	909	0	0	0	0	0
Precinct 1108 - None	0	0	909	0	0	0	0	0
Precinct 1109 - None	0	0	798	0	0	0	0	0
Precinct 1109 - None	0	0	798	0	0	0	0	0
Precinct 1111 - None	0	0	1,002	0	0	0	0	0
Precinct 1111 - None	0	0	1,002	0	0	0	0	0
Precinct 1112 - None	0	0	769	0	0	0	0	0
Precinct 1112 - None	0	0	769	0	0	0	0	0
Precinct 1113 - None	0	0	746	0	0	0	0	0
Precinct 1113 - None	0	0	746	0	0	0	0	0
Precinct 1114 - None	0	0	957	0	0	0	0	0
Precinct 1114 - None	0	0	957	0	0	0	0	0
Precinct 1115 - None	0	0	895	0	0	0	0	0
Precinct 1115 - None	0	0	895	0	0	0	0	0
Precinct 1116 - None	0	0	895	0	0	0	0	0
Precinct 1116 - None	0	0	895	0	0	0	0	0
Precinct 1117 - None	0	0	858	0	0	0	0	0
Precinct 1117 - None	0	0	858	0	0	0	0	0
Precinct 1118 - None	0	0	1,043	0	0	0	0	0
Precinct 1118 - None	0	0	1,043	0	0	0	0	0
Precinct 1119 - None	0	0	791	0	0	0	0	0
Precinct 1119 - None	0	0	791	0	0	0	0	0
Precinct 1121 - None	0	0	691	0	0	0	0	0
Precinct 1121 - None	0	0	691	0	0	0	0	0
Precinct 1122 - None	0	0	632	0	0	0	0	0
Precinct 1122 - None	0	0	632	0	0	0	0	0
Precinct 1123 - None	0	0	915	0	0	0	0	0
Precinct 1123 - None	0	0	915	0	0	0	0	0
Precinct 1124 - None	0	0	819	0	0	0	0	0
Precinct 1124 - None	0	0	819	0	0	0	0	0
Precinct 1125 - None	0	0	1,047	0	0	0	0	0
Precinct 1125 - None	0	0	1,047	0	0	0	0	0
Precinct 1126 - None	0	0	922	0	0	0	0	0
Precinct 1126 - None	0	0	922	0	0	0	0	0
Precinct 1127 - None	0	0	920	0	0	0	0	0
Precinct 1127 - None	0	0	920	0	0	0	0	0
Precinct 1128 - None	0	0	838	0	0	0	0	0
Precinct 1128 - None	0	0	838	0	0	0	0	0
Precinct 1129 - None	0	0	980	0	0	0	0	0
Precinct 1129 - None	0	0	980	0	0	0	0	0
Precinct 1131 - None	0	0	797	0	0	0	0	0
Precinct 1131 - None	0	0	797	0	0	0	0	0
Precinct 1132 - None	0	0	969	0	0	0	0	0
Precinct 1132 - None	0	0	969	0	0	0	0	0
Precinct 1133 - None	0	0	863	0	0	0	0	0
Precinct 1133 - None	0	0	863	0	0	0	0	0
Precinct 1134 - None	0	0	759	0	0	0	0	0
Precinct 1134 - None	0	0	759	0	0	0	0	0
Precinct 1135 - None	0	0	540	0	0	0	0	0
Precinct 1135 - None	0	0	540	0	0	0	0	0
Precinct 1136 - None	0	0	829	0	0	0	0	0
Precinct 1136 - None	0	0	829	0	0	0	0	0
Precinct 9001 MB - None	0	0	273	0	0	0	0	0
Precinct 9453 - None	0	0	500	0	0	0	0	0
Precinct 9453 - None	0	0	500	0	0	0	0	0
Precinct 9712 - None	0	0	649	0	0	0	0	0
Precinct 9712 - None	0	0	649	0	0	0	0	0
Precinct 9714 - None	0	0	931	0	0	0	0	0
Precinct 9714 - None	0	0	931	0	0	0	0	0
Precinct 9715 - None	0	0	569	0	0	0	0	0
Precinct 9715 - None	0	0	569	0	0	0	0	0
Precinct 9718 - None	0	0	862	0	0	0	0	0
Precinct 9718 - None	0	0	862	0	0	0	0	0
Precinct 9719 - None	0	0	901	0	0	0	0	0
Precinct 9719 - None	0	0	901	0	0	0	0	0
Precinct 9721 - None	0	0	662	0	0	0	0	0
Precinct 9721 - None	0	0	662	0	0	0	0	0
Precinct 9722 - None	0	0	605	0	0	0	0	0
Precinct 9722 - None	0	0	605	0	0	0	0	0
Precinct 9723 - None	0	0	481	0	0	0	0	0
Precinct 9723 - None	0	0	481	0	0	0	0	0
Precinct 9724 - None	0	0	991	0	0	0	0	0
Precinct 9724 - None	0	0	991	0	0	0	0	0
Precinct 9725 - None	0	0	970	0	0	0	0	0
Precinct 9725 - None	0	0	970	0	0	0	0	0
Precinct 9726 - None	0	0	655	0	0	0	0	0
Precinct 9726 - None	0	0	655	0	0	0	0	0
Precinct 9727 - None	0	0	459	0	0	0	0	0
Precinct 9727 - None	0	0	459	0	0	0	0	0
Precinct 9728 - None	0	0	926	0	0	0	0	0
Precinct 9728 - None	0	0	926	0	0	0	0	0
Precinct 9729 - None	0	0	800	0	0	0	0	0
Precinct 9729 - None	0	0	800	0	0	0	0	0
Precinct 9731 - None	0	0	556	0	0	0	0	0
Precinct 9731 - None	0	0	556	0	0	0	0	0
Precinct 9733 MB - None	0	0	235	0	0	0	0	0
Precinct 9734 - None	0	0	603	0	0	0	0	0
Precinct 9734 - None	0	0	603	0	0	0	0	0
Precinct 9735 - None	0	0	809	0	0	0	0	0
Precinct 9735 - None	0	0	809	0	0	0	0	0
Precinct 9736 - None	0	0	713	0	0	0	0	0
Precinct 9736 - None	0	0	713	0	0	0	0	0
Precinct 9737 - None	0	0	818	0	0	0	0	0
Precinct 9737 - None	0	0	818	0	0	0	0	0
Precinct 9738 - None	0	0	848	0	0	0	0	0
Precinct 9738 - None	0	0	848	0	0	0	0	0
Precinct 9739 - None	0	0	828	0	0	0	0	0
Precinct 9739 - None	0	0	828	0	0	0	0	0
Precinct 9741 - None	0	0	552	0	0	0	0	0
Precinct 9741 - None	0	0	552	0	0	0	0	0
Precinct 9742 - None	0	0	677	0	0	0	0	0
Precinct 9742 - None	0	0	677	0	0	0	0	0
Precinct 9743 - None	0	0	1,163	0	0	0	0	0
Precinct 9743 - None	0	0	1,163	0	0	0	0	0
Precinct 9744 - None	0	0	911	0	0	0	0	0
Precinct 9744 - None	0	0	911	0	0	0	0	0
Precinct 9745 - None	0	0	991	0	0	0	0	0
Precinct 9745 - None	0	0	991	0	0	0	0	0
Precinct 9746 - None	0	0	884	0	0	0	0	0
Precinct 9746 - None	0	0	884	0	0	0	0	0
Precinct 9747 - None	0	0	973	0	0	0	0	0
Precinct 9747 - None	0	0	973	0	0	0	0	0
Precinct 9748 - None	0	0	931	0	0	0	0	0
Precinct 9748 - None	0	0	931	0	0	0	0	0
Precinct 9749 - None	0	0	913	0	0	0	0	0
Precinct 9749 - None	0	0	913	0	0	0	0	0
Precinct 9751 - None	0	0	1,016	0	0	0	0	0
Precinct 9751 - None	0	0	1,016	0	0	0	0	0
Precinct 9752 - None	0	0	710	0	0	0	0	0
Precinct 9752 - None	0	0	710	0	0	0	0	0
Precinct 9753 - None	0	0	756	0	0	0	0	0
Precinct 9753 - None	0	0	756	0	0	0	0	0
Precinct 9754 - None	0	0	707	0	0	0	0	0
Precinct 9754 - None	0	0	707	0	0	0	0	0
Precinct 9755 - None	0	0	582	0	0	0	0	0
Precinct 9755 - None	0	0	582	0	0	0	0	0
Precinct 9756 - None	0	0	941	0	0	0	0	0
Precinct 9756 - None	0	0	941	0	0	0	0	0
Precinct 9801 - None	0	0	408	0	0	0	0	0
Precinct 9801 - None	0	0	408	0	0	0	0	0
Congressional District 14	0	0	56,946	0	0	0	0	0
Assembly District 19	0	0	56,946	0	0	0	0	0
BART District 8	0	0	50,054	0	0	0	0	0
BART District 9	0	0	6,892	0	0	0	0	0
Supervisorial District 4	0	0	500	0	0	0	0	0
Supervisorial District 7	0	0	28,578	0	0	0	0	0
Supervisorial District 8	0	0	408	0	0	0	0	0
Supervisorial District 10	0	0	273	0	0	0	0	0
Supervisorial District 11	0	0	27,187	0	0	0	0	0
Excelsior	0	0	17,331	0	0	0	0	0
Ingleside	0	0	12,118	0	0	0	0	0
Lake Merced	0	0	8,390	0	0	0	0	0
Sunset	0	0	500	0	0	0	0	0
Visitation Valley	0	0	273	0	0	0	0	0
