Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	0	0	209,453	0	0	0	0	0
All Precincts - None	0	0	209,453	0	0	0	0	0
All Precincts - None	0	0	209,453	0	0	0	0	0
Precinct 1101 - None	0	0	553	0	0	0	0	0
Precinct 1101 - None	0	0	553	0	0	0	0	0
Precinct 1102 - None	0	0	995	0	0	0	0	0
Precinct 1102 - None	0	0	995	0	0	0	0	0
Precinct 1103 - None	0	0	951	0	0	0	0	0
Precinct 1103 - None	0	0	951	0	0	0	0	0
Precinct 1104/1105 - None	0	0	993	0	0	0	0	0
Precinct 1104/1105 - None	0	0	993	0	0	0	0	0
Precinct 1106 - None	0	0	765	0	0	0	0	0
Precinct 1106 - None	0	0	765	0	0	0	0	0
Precinct 1107 - None	0	0	746	0	0	0	0	0
Precinct 1107 - None	0	0	746	0	0	0	0	0
Precinct 1108 - None	0	0	909	0	0	0	0	0
Precinct 1108 - None	0	0	909	0	0	0	0	0
Precinct 1109 - None	0	0	798	0	0	0	0	0
Precinct 1109 - None	0	0	798	0	0	0	0	0
Precinct 1111 - None	0	0	1,002	0	0	0	0	0
Precinct 1111 - None	0	0	1,002	0	0	0	0	0
Precinct 1112 - None	0	0	769	0	0	0	0	0
Precinct 1112 - None	0	0	769	0	0	0	0	0
Precinct 1113 - None	0	0	746	0	0	0	0	0
Precinct 1113 - None	0	0	746	0	0	0	0	0
Precinct 1114 - None	0	0	957	0	0	0	0	0
Precinct 1114 - None	0	0	957	0	0	0	0	0
Precinct 1115 - None	0	0	895	0	0	0	0	0
Precinct 1115 - None	0	0	895	0	0	0	0	0
Precinct 1116 - None	0	0	895	0	0	0	0	0
Precinct 1116 - None	0	0	895	0	0	0	0	0
Precinct 1117 - None	0	0	858	0	0	0	0	0
Precinct 1117 - None	0	0	858	0	0	0	0	0
Precinct 1118 - None	0	0	1,043	0	0	0	0	0
Precinct 1118 - None	0	0	1,043	0	0	0	0	0
Precinct 1119 - None	0	0	791	0	0	0	0	0
Precinct 1119 - None	0	0	791	0	0	0	0	0
Precinct 1121 - None	0	0	691	0	0	0	0	0
Precinct 1121 - None	0	0	691	0	0	0	0	0
Precinct 1122 - None	0	0	632	0	0	0	0	0
Precinct 1122 - None	0	0	632	0	0	0	0	0
Precinct 1123 - None	0	0	915	0	0	0	0	0
Precinct 1123 - None	0	0	915	0	0	0	0	0
Precinct 1124 - None	0	0	819	0	0	0	0	0
Precinct 1124 - None	0	0	819	0	0	0	0	0
Precinct 1125 - None	0	0	1,047	0	0	0	0	0
Precinct 1125 - None	0	0	1,047	0	0	0	0	0
Precinct 1126 - None	0	0	922	0	0	0	0	0
Precinct 1126 - None	0	0	922	0	0	0	0	0
Precinct 1127 - None	0	0	920	0	0	0	0	0
Precinct 1127 - None	0	0	920	0	0	0	0	0
Precinct 1128 - None	0	0	838	0	0	0	0	0
Precinct 1128 - None	0	0	838	0	0	0	0	0
Precinct 1129 - None	0	0	980	0	0	0	0	0
Precinct 1129 - None	0	0	980	0	0	0	0	0
Precinct 1131 - None	0	0	797	0	0	0	0	0
Precinct 1131 - None	0	0	797	0	0	0	0	0
Precinct 1132 - None	0	0	969	0	0	0	0	0
Precinct 1132 - None	0	0	969	0	0	0	0	0
Precinct 1133 - None	0	0	863	0	0	0	0	0
Precinct 1133 - None	0	0	863	0	0	0	0	0
Precinct 1134 - None	0	0	759	0	0	0	0	0
Precinct 1134 - None	0	0	759	0	0	0	0	0
Precinct 1135 - None	0	0	540	0	0	0	0	0
Precinct 1135 - None	0	0	540	0	0	0	0	0
Precinct 1136 - None	0	0	829	0	0	0	0	0
Precinct 1136 - None	0	0	829	0	0	0	0	0
Precinct 9001 MB - None	0	0	273	0	0	0	0	0
Precinct 9101 - None	0	0	888	0	0	0	0	0
Precinct 9101 - None	0	0	888	0	0	0	0	0
Precinct 9102 - None	0	0	985	0	0	0	0	0
Precinct 9102 - None	0	0	985	0	0	0	0	0
Precinct 9103 - None	0	0	954	0	0	0	0	0
Precinct 9103 - None	0	0	954	0	0	0	0	0
Precinct 9104 - None	0	0	988	0	0	0	0	0
Precinct 9104 - None	0	0	988	0	0	0	0	0
Precinct 9105 - None	0	0	919	0	0	0	0	0
Precinct 9105 - None	0	0	919	0	0	0	0	0
Precinct 9106 - None	0	0	937	0	0	0	0	0
Precinct 9106 - None	0	0	937	0	0	0	0	0
Precinct 9107 - None	0	0	849	0	0	0	0	0
Precinct 9107 - None	0	0	849	0	0	0	0	0
Precinct 9108 - None	0	0	790	0	0	0	0	0
Precinct 9108 - None	0	0	790	0	0	0	0	0
Precinct 9109 - None	0	0	884	0	0	0	0	0
Precinct 9109 - None	0	0	884	0	0	0	0	0
Precinct 9111 - None	0	0	779	0	0	0	0	0
Precinct 9111 - None	0	0	779	0	0	0	0	0
Precinct 9112 - None	0	0	976	0	0	0	0	0
Precinct 9112 - None	0	0	976	0	0	0	0	0
Precinct 9113 - None	0	0	999	0	0	0	0	0
Precinct 9113 - None	0	0	999	0	0	0	0	0
Precinct 9114 - None	0	0	877	0	0	0	0	0
Precinct 9114 - None	0	0	877	0	0	0	0	0
Precinct 9115 - None	0	0	911	0	0	0	0	0
Precinct 9115 - None	0	0	911	0	0	0	0	0
Precinct 9116 - None	0	0	944	0	0	0	0	0
Precinct 9116 - None	0	0	944	0	0	0	0	0
Precinct 9117 - None	0	0	783	0	0	0	0	0
Precinct 9117 - None	0	0	783	0	0	0	0	0
Precinct 9118 - None	0	0	974	0	0	0	0	0
Precinct 9118 - None	0	0	974	0	0	0	0	0
Precinct 9119 - None	0	0	891	0	0	0	0	0
Precinct 9119 - None	0	0	891	0	0	0	0	0
Precinct 9121 - None	0	0	930	0	0	0	0	0
Precinct 9121 - None	0	0	930	0	0	0	0	0
Precinct 9122 - None	0	0	953	0	0	0	0	0
Precinct 9122 - None	0	0	953	0	0	0	0	0
Precinct 9123 - None	0	0	858	0	0	0	0	0
Precinct 9123 - None	0	0	858	0	0	0	0	0
Precinct 9124 - None	0	0	874	0	0	0	0	0
Precinct 9124 - None	0	0	874	0	0	0	0	0
Precinct 9125 - None	0	0	861	0	0	0	0	0
Precinct 9125 - None	0	0	861	0	0	0	0	0
Precinct 9126 - None	0	0	1,015	0	0	0	0	0
Precinct 9126 - None	0	0	1,015	0	0	0	0	0
Precinct 9127 - None	0	0	960	0	0	0	0	0
Precinct 9127 - None	0	0	960	0	0	0	0	0
Precinct 9128 - None	0	0	828	0	0	0	0	0
Precinct 9128 - None	0	0	828	0	0	0	0	0
Precinct 9129 - None	0	0	741	0	0	0	0	0
Precinct 9129 - None	0	0	741	0	0	0	0	0
Precinct 9131 - None	0	0	759	0	0	0	0	0
Precinct 9131 - None	0	0	759	0	0	0	0	0
Precinct 9132 - None	0	0	837	0	0	0	0	0
Precinct 9132 - None	0	0	837	0	0	0	0	0
Precinct 9133 - None	0	0	1,021	0	0	0	0	0
Precinct 9133 - None	0	0	1,021	0	0	0	0	0
Precinct 9134 - None	0	0	893	0	0	0	0	0
Precinct 9134 - None	0	0	893	0	0	0	0	0
Precinct 9135 - None	0	0	808	0	0	0	0	0
Precinct 9135 - None	0	0	808	0	0	0	0	0
Precinct 9136 - None	0	0	929	0	0	0	0	0
Precinct 9136 - None	0	0	929	0	0	0	0	0
Precinct 9137 - None	0	0	1,006	0	0	0	0	0
Precinct 9137 - None	0	0	1,006	0	0	0	0	0
Precinct 9138 - None	0	0	943	0	0	0	0	0
Precinct 9138 - None	0	0	943	0	0	0	0	0
Precinct 9139 - None	0	0	975	0	0	0	0	0
Precinct 9139 - None	0	0	975	0	0	0	0	0
Precinct 9141 - None	0	0	953	0	0	0	0	0
Precinct 9141 - None	0	0	953	0	0	0	0	0
Precinct 9142 - None	0	0	966	0	0	0	0	0
Precinct 9142 - None	0	0	966	0	0	0	0	0
Precinct 9143 - None	0	0	920	0	0	0	0	0
Precinct 9143 - None	0	0	920	0	0	0	0	0
Precinct 9144 - None	0	0	962	0	0	0	0	0
Precinct 9144 - None	0	0	962	0	0	0	0	0
Precinct 9145 - None	0	0	861	0	0	0	0	0
Precinct 9145 - None	0	0	861	0	0	0	0	0
Precinct 9146 - None	0	0	885	0	0	0	0	0
Precinct 9146 - None	0	0	885	0	0	0	0	0
Precinct 9147 - None	0	0	971	0	0	0	0	0
Precinct 9147 - None	0	0	971	0	0	0	0	0
Precinct 9148 - None	0	0	1,034	0	0	0	0	0
Precinct 9148 - None	0	0	1,034	0	0	0	0	0
Precinct 9149 - None	0	0	948	0	0	0	0	0
Precinct 9149 - None	0	0	948	0	0	0	0	0
Precinct 9151 - None	0	0	872	0	0	0	0	0
Precinct 9151 - None	0	0	872	0	0	0	0	0
Precinct 9152 - None	0	0	721	0	0	0	0	0
Precinct 9152 - None	0	0	721	0	0	0	0	0
Precinct 9201 - None	0	0	1,004	0	0	0	0	0
Precinct 9201 - None	0	0	1,004	0	0	0	0	0
Precinct 9202 - None	0	0	971	0	0	0	0	0
Precinct 9202 - None	0	0	971	0	0	0	0	0
Precinct 9203 - None	0	0	1,002	0	0	0	0	0
Precinct 9203 - None	0	0	1,002	0	0	0	0	0
Precinct 9204 - None	0	0	873	0	0	0	0	0
Precinct 9204 - None	0	0	873	0	0	0	0	0
Precinct 9205 - None	0	0	728	0	0	0	0	0
Precinct 9205 - None	0	0	728	0	0	0	0	0
Precinct 9206 - None	0	0	931	0	0	0	0	0
Precinct 9206 - None	0	0	931	0	0	0	0	0
Precinct 9207 - None	0	0	981	0	0	0	0	0
Precinct 9207 - None	0	0	981	0	0	0	0	0
Precinct 9208 - None	0	0	1,002	0	0	0	0	0
Precinct 9208 - None	0	0	1,002	0	0	0	0	0
Precinct 9209 - None	0	0	711	0	0	0	0	0
Precinct 9209 - None	0	0	711	0	0	0	0	0
Precinct 9211 - None	0	0	889	0	0	0	0	0
Precinct 9211 - None	0	0	889	0	0	0	0	0
Precinct 9212 - None	0	0	803	0	0	0	0	0
Precinct 9212 - None	0	0	803	0	0	0	0	0
Precinct 9213 - None	0	0	951	0	0	0	0	0
Precinct 9213 - None	0	0	951	0	0	0	0	0
Precinct 9214 - None	0	0	640	0	0	0	0	0
Precinct 9214 - None	0	0	640	0	0	0	0	0
Precinct 9215 - None	0	0	652	0	0	0	0	0
Precinct 9215 - None	0	0	652	0	0	0	0	0
Precinct 9216 - None	0	0	845	0	0	0	0	0
Precinct 9216 - None	0	0	845	0	0	0	0	0
Precinct 9217 - None	0	0	698	0	0	0	0	0
Precinct 9217 - None	0	0	698	0	0	0	0	0
Precinct 9218 - None	0	0	841	0	0	0	0	0
Precinct 9218 - None	0	0	841	0	0	0	0	0
Precinct 9219 - None	0	0	802	0	0	0	0	0
Precinct 9219 - None	0	0	802	0	0	0	0	0
Precinct 9221 - None	0	0	651	0	0	0	0	0
Precinct 9221 - None	0	0	651	0	0	0	0	0
Precinct 9222 - None	0	0	883	0	0	0	0	0
Precinct 9222 - None	0	0	883	0	0	0	0	0
Precinct 9223 - None	0	0	638	0	0	0	0	0
Precinct 9223 - None	0	0	638	0	0	0	0	0
Precinct 9224 - None	0	0	960	0	0	0	0	0
Precinct 9224 - None	0	0	960	0	0	0	0	0
Precinct 9225 - None	0	0	958	0	0	0	0	0
Precinct 9225 - None	0	0	958	0	0	0	0	0
Precinct 9226 - None	0	0	926	0	0	0	0	0
Precinct 9226 - None	0	0	926	0	0	0	0	0
Precinct 9227 - None	0	0	738	0	0	0	0	0
Precinct 9227 - None	0	0	738	0	0	0	0	0
Precinct 9228 - None	0	0	747	0	0	0	0	0
Precinct 9228 - None	0	0	747	0	0	0	0	0
Precinct 9229 - None	0	0	598	0	0	0	0	0
Precinct 9229 - None	0	0	598	0	0	0	0	0
Precinct 9231 - None	0	0	953	0	0	0	0	0
Precinct 9231 - None	0	0	953	0	0	0	0	0
Precinct 9232 - None	0	0	735	0	0	0	0	0
