Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts - Total	0	0	0	0	0	0	223,735	0	0	0	0	0	0
All Precincts - Election Day	0	0	0	0	0	0	223,735	0	0	0	0	0	0
All Precincts - Vote By Mail	0	0	0	0	0	0	223,735	0	0	0	0	0	0
Precinct 1106 - Election Day	0	0	0	0	0	0	765	0	0	0	0	0	0
Precinct 1106 - Vote By Mail	0	0	0	0	0	0	765	0	0	0	0	0	0
Precinct 1107 - Election Day	0	0	0	0	0	0	746	0	0	0	0	0	0
Precinct 1107 - Vote By Mail	0	0	0	0	0	0	746	0	0	0	0	0	0
Precinct 1108 - Election Day	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 1108 - Vote By Mail	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 1109 - Election Day	0	0	0	0	0	0	798	0	0	0	0	0	0
Precinct 1109 - Vote By Mail	0	0	0	0	0	0	798	0	0	0	0	0	0
Precinct 1111 - Election Day	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 1111 - Vote By Mail	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 1112 - Election Day	0	0	0	0	0	0	769	0	0	0	0	0	0
Precinct 1112 - Vote By Mail	0	0	0	0	0	0	769	0	0	0	0	0	0
Precinct 1115 - Election Day	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 1115 - Vote By Mail	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 1116 - Election Day	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 1116 - Vote By Mail	0	0	0	0	0	0	895	0	0	0	0	0	0
Precinct 1117 - Election Day	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 1117 - Vote By Mail	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 1118 - Election Day	0	0	0	0	0	0	1,043	0	0	0	0	0	0
Precinct 1118 - Vote By Mail	0	0	0	0	0	0	1,043	0	0	0	0	0	0
Precinct 1119 - Election Day	0	0	0	0	0	0	791	0	0	0	0	0	0
Precinct 1119 - Vote By Mail	0	0	0	0	0	0	791	0	0	0	0	0	0
Precinct 1121 - Election Day	0	0	0	0	0	0	691	0	0	0	0	0	0
Precinct 1121 - Vote By Mail	0	0	0	0	0	0	691	0	0	0	0	0	0
Precinct 1122 - Election Day	0	0	0	0	0	0	632	0	0	0	0	0	0
Precinct 1122 - Vote By Mail	0	0	0	0	0	0	632	0	0	0	0	0	0
Precinct 1123 - Election Day	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 1123 - Vote By Mail	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 1124 - Election Day	0	0	0	0	0	0	819	0	0	0	0	0	0
Precinct 1124 - Vote By Mail	0	0	0	0	0	0	819	0	0	0	0	0	0
Precinct 1125 - Election Day	0	0	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 1125 - Vote By Mail	0	0	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 1126 - Election Day	0	0	0	0	0	0	922	0	0	0	0	0	0
Precinct 1126 - Vote By Mail	0	0	0	0	0	0	922	0	0	0	0	0	0
Precinct 1127 - Election Day	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 1127 - Vote By Mail	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 1128 - Election Day	0	0	0	0	0	0	838	0	0	0	0	0	0
Precinct 1128 - Vote By Mail	0	0	0	0	0	0	838	0	0	0	0	0	0
Precinct 1129 - Election Day	0	0	0	0	0	0	980	0	0	0	0	0	0
Precinct 1129 - Vote By Mail	0	0	0	0	0	0	980	0	0	0	0	0	0
Precinct 1131 - Election Day	0	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 1131 - Vote By Mail	0	0	0	0	0	0	797	0	0	0	0	0	0
Precinct 1132 - Election Day	0	0	0	0	0	0	969	0	0	0	0	0	0
Precinct 1132 - Vote By Mail	0	0	0	0	0	0	969	0	0	0	0	0	0
Precinct 1133 - Election Day	0	0	0	0	0	0	863	0	0	0	0	0	0
Precinct 1133 - Vote By Mail	0	0	0	0	0	0	863	0	0	0	0	0	0
Precinct 1134 - Election Day	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 1134 - Vote By Mail	0	0	0	0	0	0	759	0	0	0	0	0	0
Precinct 1135 - Election Day	0	0	0	0	0	0	540	0	0	0	0	0	0
Precinct 1135 - Vote By Mail	0	0	0	0	0	0	540	0	0	0	0	0	0
Precinct 1136 - Election Day	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 1136 - Vote By Mail	0	0	0	0	0	0	829	0	0	0	0	0	0
Precinct 7036 - Election Day	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7036 - Vote By Mail	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7037 - Election Day	0	0	0	0	0	0	735	0	0	0	0	0	0
Precinct 7037 - Vote By Mail	0	0	0	0	0	0	735	0	0	0	0	0	0
Precinct 7038 - Election Day	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 7038 - Vote By Mail	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 7039 - Election Day	0	0	0	0	0	0	784	0	0	0	0	0	0
Precinct 7039 - Vote By Mail	0	0	0	0	0	0	784	0	0	0	0	0	0
Precinct 7045 - Election Day	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 7045 - Vote By Mail	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 7047 - Election Day	0	0	0	0	0	0	823	0	0	0	0	0	0
Precinct 7047 - Vote By Mail	0	0	0	0	0	0	823	0	0	0	0	0	0
Precinct 7048 - Election Day	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 7048 - Vote By Mail	0	0	0	0	0	0	858	0	0	0	0	0	0
Precinct 7049 - Election Day	0	0	0	0	0	0	792	0	0	0	0	0	0
Precinct 7049 - Vote By Mail	0	0	0	0	0	0	792	0	0	0	0	0	0
Precinct 7051 - Election Day	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 7051 - Vote By Mail	0	0	0	0	0	0	861	0	0	0	0	0	0
Precinct 7052 - Election Day	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7052 - Vote By Mail	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7201 - Election Day	0	0	0	0	0	0	936	0	0	0	0	0	0
Precinct 7201 - Vote By Mail	0	0	0	0	0	0	936	0	0	0	0	0	0
Precinct 7202 - Election Day	0	0	0	0	0	0	850	0	0	0	0	0	0
Precinct 7202 - Vote By Mail	0	0	0	0	0	0	850	0	0	0	0	0	0
Precinct 7203 - Election Day	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7203 - Vote By Mail	0	0	0	0	0	0	921	0	0	0	0	0	0
Precinct 7204 - Election Day	0	0	0	0	0	0	918	0	0	0	0	0	0
Precinct 7204 - Vote By Mail	0	0	0	0	0	0	918	0	0	0	0	0	0
Precinct 7205 - Election Day	0	0	0	0	0	0	875	0	0	0	0	0	0
Precinct 7205 - Vote By Mail	0	0	0	0	0	0	875	0	0	0	0	0	0
Precinct 7301 - Election Day	0	0	0	0	0	0	1,016	0	0	0	0	0	0
Precinct 7301 - Vote By Mail	0	0	0	0	0	0	1,016	0	0	0	0	0	0
Precinct 7302 - Election Day	0	0	0	0	0	0	814	0	0	0	0	0	0
Precinct 7302 - Vote By Mail	0	0	0	0	0	0	814	0	0	0	0	0	0
Precinct 7303 - Election Day	0	0	0	0	0	0	1,042	0	0	0	0	0	0
Precinct 7303 - Vote By Mail	0	0	0	0	0	0	1,042	0	0	0	0	0	0
Precinct 7304 - Election Day	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7304 - Vote By Mail	0	0	0	0	0	0	1,002	0	0	0	0	0	0
Precinct 7305 - Election Day	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7305 - Vote By Mail	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7306 - Election Day	0	0	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 7306 - Vote By Mail	0	0	0	0	0	0	1,056	0	0	0	0	0	0
Precinct 7307 - Election Day	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 7307 - Vote By Mail	0	0	0	0	0	0	767	0	0	0	0	0	0
Precinct 7308 - Election Day	0	0	0	0	0	0	603	0	0	0	0	0	0
Precinct 7308 - Vote By Mail	0	0	0	0	0	0	603	0	0	0	0	0	0
Precinct 7309 - Election Day	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 7309 - Vote By Mail	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 7311 - Election Day	0	0	0	0	0	0	917	0	0	0	0	0	0
Precinct 7311 - Vote By Mail	0	0	0	0	0	0	917	0	0	0	0	0	0
Precinct 7312 - Election Day	0	0	0	0	0	0	821	0	0	0	0	0	0
Precinct 7312 - Vote By Mail	0	0	0	0	0	0	821	0	0	0	0	0	0
Precinct 7313 - Election Day	0	0	0	0	0	0	968	0	0	0	0	0	0
Precinct 7313 - Vote By Mail	0	0	0	0	0	0	968	0	0	0	0	0	0
Precinct 7314 - Election Day	0	0	0	0	0	0	787	0	0	0	0	0	0
Precinct 7314 - Vote By Mail	0	0	0	0	0	0	787	0	0	0	0	0	0
Precinct 7315 - Election Day	0	0	0	0	0	0	760	0	0	0	0	0	0
Precinct 7315 - Vote By Mail	0	0	0	0	0	0	760	0	0	0	0	0	0
Precinct 7316 - Election Day	0	0	0	0	0	0	853	0	0	0	0	0	0
Precinct 7316 - Vote By Mail	0	0	0	0	0	0	853	0	0	0	0	0	0
Precinct 7317 - Election Day	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7317 - Vote By Mail	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7318 - Election Day	0	0	0	0	0	0	727	0	0	0	0	0	0
Precinct 7318 - Vote By Mail	0	0	0	0	0	0	727	0	0	0	0	0	0
Precinct 7321 - Election Day	0	0	0	0	0	0	671	0	0	0	0	0	0
Precinct 7321 - Vote By Mail	0	0	0	0	0	0	671	0	0	0	0	0	0
Precinct 7322 - Election Day	0	0	0	0	0	0	874	0	0	0	0	0	0
Precinct 7322 - Vote By Mail	0	0	0	0	0	0	874	0	0	0	0	0	0
Precinct 7325 - Election Day	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7325 - Vote By Mail	0	0	0	0	0	0	904	0	0	0	0	0	0
Precinct 7326 - Election Day	0	0	0	0	0	0	876	0	0	0	0	0	0
Precinct 7326 - Vote By Mail	0	0	0	0	0	0	876	0	0	0	0	0	0
Precinct 7327 - Election Day	0	0	0	0	0	0	699	0	0	0	0	0	0
Precinct 7327 - Vote By Mail	0	0	0	0	0	0	699	0	0	0	0	0	0
Precinct 7328 - Election Day	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7328 - Vote By Mail	0	0	0	0	0	0	973	0	0	0	0	0	0
Precinct 7329 - Election Day	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 7329 - Vote By Mail	0	0	0	0	0	0	640	0	0	0	0	0	0
Precinct 7331 - Election Day	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7331 - Vote By Mail	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7338 - Election Day	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 7338 - Vote By Mail	0	0	0	0	0	0	915	0	0	0	0	0	0
Precinct 7706 - Election Day	0	0	0	0	0	0	840	0	0	0	0	0	0
Precinct 7706 - Vote By Mail	0	0	0	0	0	0	840	0	0	0	0	0	0
Precinct 7707 - Election Day	0	0	0	0	0	0	857	0	0	0	0	0	0
Precinct 7707 - Vote By Mail	0	0	0	0	0	0	857	0	0	0	0	0	0
Precinct 7708 - Election Day	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7708 - Vote By Mail	0	0	0	0	0	0	871	0	0	0	0	0	0
Precinct 7709 - Election Day	0	0	0	0	0	0	391	0	0	0	0	0	0
Precinct 7709 - Vote By Mail	0	0	0	0	0	0	391	0	0	0	0	0	0
Precinct 9001 MB - Vote By Mail	0	0	0	0	0	0	273	0	0	0	0	0	0
Precinct 9101 - Election Day	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 9101 - Vote By Mail	0	0	0	0	0	0	888	0	0	0	0	0	0
Precinct 9102 - Election Day	0	0	0	0	0	0	985	0	0	0	0	0	0
Precinct 9102 - Vote By Mail	0	0	0	0	0	0	985	0	0	0	0	0	0
Precinct 9103 - Election Day	0	0	0	0	0	0	954	0	0	0	0	0	0
Precinct 9103 - Vote By Mail	0	0	0	0	0	0	954	0	0	0	0	0	0
Precinct 9104 - Election Day	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 9104 - Vote By Mail	0	0	0	0	0	0	988	0	0	0	0	0	0
Precinct 9105 - Election Day	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 9105 - Vote By Mail	0	0	0	0	0	0	919	0	0	0	0	0	0
Precinct 9106 - Election Day	0	0	0	0	0	0	937	0	0	0	0	0	0
Precinct 9106 - Vote By Mail	0	0	0	0	0	0	937	0	0	0	0	0	0
Precinct 9107 - Election Day	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 9107 - Vote By Mail	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 9108 - Election Day	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 9108 - Vote By Mail	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 9109 - Election Day	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 9109 - Vote By Mail	0	0	0	0	0	0	884	0	0	0	0	0	0
Precinct 9111 - Election Day	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 9111 - Vote By Mail	0	0	0	0	0	0	779	0	0	0	0	0	0
Precinct 9112 - Election Day	0	0	0	0	0	0	976	0	0	0	0	0	0
Precinct 9112 - Vote By Mail	0	0	0	0	0	0	976	0	0	0	0	0	0
Precinct 9113 - Election Day	0	0	0	0	0	0	999	0	0	0	0	0	0
Precinct 9113 - Vote By Mail	0	0	0	0	0	0	999	0	0	0	0	0	0
Precinct 9114 - Election Day	0	0	0	0	0	0	877	0	0	0	0	0	0
Precinct 9114 - Vote By Mail	0	0	0	0	0	0	877	0	0	0	0	0	0
Precinct 9115 - Election Day	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 9115 - Vote By Mail	0	0	0	0	0	0	911	0	0	0	0	0	0
Precinct 9116 - Election Day	0	0	0	0	0	0	944	0	0	0	0	0	0
Precinct 9116 - Vote By Mail	0	0	0	0	0	0	944	0	0	0	0	0	0
Precinct 9117 - Election Day	0	0	0	0	0	0	783	0	0	0	0	0	0
Precinct 9117 - Vote By Mail	0	0	0	0	0	0	783	0	0	0	0	0	0
Precinct 9118 - Election Day	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 9118 - Vote By Mail	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 9119 - Election Day	0	0	0	0	0	0	891	0	0	0	0	0	0
Precinct 9119 - Vote By Mail	0	0	0	0	0	0	891	0	0	0	0	0	0
Precinct 9121 - Election Day	0	0	0	0	0	0	930	0	0	0	0	0	0
