Subtotal Area	JESSICA HO	ADAM KIM	TUAN NGUYEN	ARTHUR TOM	TREVOR MCNEIL	GORDON MAR	MIKE MURPHY	LOU ANN BASSAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	0	0	0	0	0	0	0	0	42,953	0	0	0	0	0	0	0
All Precincts - Election Day	0	0	0	0	0	0	0	0	42,953	0	0	0	0	0	0	0
All Precincts - Vote By Mail	0	0	0	0	0	0	0	0	42,953	0	0	0	0	0	0	0
Precinct 9401 - Election Day	0	0	0	0	0	0	0	0	1,012	0	0	0	0	0	0	0
Precinct 9401 - Vote By Mail	0	0	0	0	0	0	0	0	1,012	0	0	0	0	0	0	0
Precinct 9402 - Election Day	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0
Precinct 9402 - Vote By Mail	0	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0
Precinct 9403 - Election Day	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0
Precinct 9403 - Vote By Mail	0	0	0	0	0	0	0	0	897	0	0	0	0	0	0	0
Precinct 9404 - Election Day	0	0	0	0	0	0	0	0	930	0	0	0	0	0	0	0
Precinct 9404 - Vote By Mail	0	0	0	0	0	0	0	0	930	0	0	0	0	0	0	0
Precinct 9405 - Election Day	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0
Precinct 9405 - Vote By Mail	0	0	0	0	0	0	0	0	786	0	0	0	0	0	0	0
Precinct 9406 - Election Day	0	0	0	0	0	0	0	0	868	0	0	0	0	0	0	0
Precinct 9406 - Vote By Mail	0	0	0	0	0	0	0	0	868	0	0	0	0	0	0	0
Precinct 9407 - Election Day	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0
Precinct 9407 - Vote By Mail	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0
Precinct 9408 - Election Day	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0
Precinct 9408 - Vote By Mail	0	0	0	0	0	0	0	0	886	0	0	0	0	0	0	0
Precinct 9409 - Election Day	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0
Precinct 9409 - Vote By Mail	0	0	0	0	0	0	0	0	590	0	0	0	0	0	0	0
Precinct 9411 - Election Day	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0
Precinct 9411 - Vote By Mail	0	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0
Precinct 9412 - Election Day	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0
Precinct 9412 - Vote By Mail	0	0	0	0	0	0	0	0	848	0	0	0	0	0	0	0
Precinct 9413 - Election Day	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0
Precinct 9413 - Vote By Mail	0	0	0	0	0	0	0	0	894	0	0	0	0	0	0	0
Precinct 9414 - Election Day	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0
Precinct 9414 - Vote By Mail	0	0	0	0	0	0	0	0	916	0	0	0	0	0	0	0
Precinct 9415 - Election Day	0	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0
Precinct 9415 - Vote By Mail	0	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0
Precinct 9416 - Election Day	0	0	0	0	0	0	0	0	1,008	0	0	0	0	0	0	0
Precinct 9416 - Vote By Mail	0	0	0	0	0	0	0	0	1,008	0	0	0	0	0	0	0
Precinct 9417 - Election Day	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0
Precinct 9417 - Vote By Mail	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0
Precinct 9418 - Election Day	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0
Precinct 9418 - Vote By Mail	0	0	0	0	0	0	0	0	790	0	0	0	0	0	0	0
Precinct 9419 - Election Day	0	0	0	0	0	0	0	0	924	0	0	0	0	0	0	0
Precinct 9419 - Vote By Mail	0	0	0	0	0	0	0	0	924	0	0	0	0	0	0	0
Precinct 9421 - Election Day	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0
Precinct 9421 - Vote By Mail	0	0	0	0	0	0	0	0	906	0	0	0	0	0	0	0
Precinct 9422 - Election Day	0	0	0	0	0	0	0	0	1,056	0	0	0	0	0	0	0
Precinct 9422 - Vote By Mail	0	0	0	0	0	0	0	0	1,056	0	0	0	0	0	0	0
Precinct 9423 - Election Day	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0
Precinct 9423 - Vote By Mail	0	0	0	0	0	0	0	0	889	0	0	0	0	0	0	0
Precinct 9424 - Election Day	0	0	0	0	0	0	0	0	952	0	0	0	0	0	0	0
Precinct 9424 - Vote By Mail	0	0	0	0	0	0	0	0	952	0	0	0	0	0	0	0
