Subtotal Area	CHRISTINE JOHNSON	MATT HANEY	SONJA TRAUSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	0	0	0	43,321	0	0	0	0	0	0	0
All Precincts - None	0	0	0	43,321	0	0	0	0	0	0	0
All Precincts - None	0	0	0	43,321	0	0	0	0	0	0	0
Precinct 7601 - None	0	0	0	767	0	0	0	0	0	0	0
Precinct 7601 - None	0	0	0	767	0	0	0	0	0	0	0
Precinct 7602 - None	0	0	0	901	0	0	0	0	0	0	0
Precinct 7602 - None	0	0	0	901	0	0	0	0	0	0	0
Precinct 7603 - None	0	0	0	830	0	0	0	0	0	0	0
Precinct 7603 - None	0	0	0	830	0	0	0	0	0	0	0
Precinct 7604 - None	0	0	0	954	0	0	0	0	0	0	0
Precinct 7604 - None	0	0	0	954	0	0	0	0	0	0	0
Precinct 7605 - None	0	0	0	648	0	0	0	0	0	0	0
Precinct 7605 - None	0	0	0	648	0	0	0	0	0	0	0
Precinct 7606 - None	0	0	0	924	0	0	0	0	0	0	0
Precinct 7606 - None	0	0	0	924	0	0	0	0	0	0	0
Precinct 7607 - None	0	0	0	960	0	0	0	0	0	0	0
Precinct 7607 - None	0	0	0	960	0	0	0	0	0	0	0
Precinct 7608 - None	0	0	0	392	0	0	0	0	0	0	0
Precinct 7608 - None	0	0	0	392	0	0	0	0	0	0	0
Precinct 7609 - None	0	0	0	926	0	0	0	0	0	0	0
Precinct 7609 - None	0	0	0	926	0	0	0	0	0	0	0
Precinct 7611 - None	0	0	0	755	0	0	0	0	0	0	0
Precinct 7611 - None	0	0	0	755	0	0	0	0	0	0	0
Precinct 7612 - None	0	0	0	583	0	0	0	0	0	0	0
Precinct 7612 - None	0	0	0	583	0	0	0	0	0	0	0
Precinct 7613 - None	0	0	0	908	0	0	0	0	0	0	0
Precinct 7613 - None	0	0	0	908	0	0	0	0	0	0	0
Precinct 7614 - None	0	0	0	1,029	0	0	0	0	0	0	0
Precinct 7614 - None	0	0	0	1,029	0	0	0	0	0	0	0
Precinct 7615 - None	0	0	0	762	0	0	0	0	0	0	0
Precinct 7615 - None	0	0	0	762	0	0	0	0	0	0	0
Precinct 7616 - None	0	0	0	1,203	0	0	0	0	0	0	0
Precinct 7616 - None	0	0	0	1,203	0	0	0	0	0	0	0
Precinct 7617 - None	0	0	0	768	0	0	0	0	0	0	0
Precinct 7617 - None	0	0	0	768	0	0	0	0	0	0	0
Precinct 7618 - None	0	0	0	862	0	0	0	0	0	0	0
Precinct 7618 - None	0	0	0	862	0	0	0	0	0	0	0
Precinct 7619 - None	0	0	0	1,063	0	0	0	0	0	0	0
Precinct 7619 - None	0	0	0	1,063	0	0	0	0	0	0	0
Precinct 7621 - None	0	0	0	1,320	0	0	0	0	0	0	0
Precinct 7621 - None	0	0	0	1,320	0	0	0	0	0	0	0
Precinct 7622 - None	0	0	0	988	0	0	0	0	0	0	0
Precinct 7622 - None	0	0	0	988	0	0	0	0	0	0	0
Precinct 7623 - None	0	0	0	746	0	0	0	0	0	0	0
Precinct 7623 - None	0	0	0	746	0	0	0	0	0	0	0
Precinct 7624 - None	0	0	0	859	0	0	0	0	0	0	0
Precinct 7624 - None	0	0	0	859	0	0	0	0	0	0	0
Precinct 7625 - None	0	0	0	822	0	0	0	0	0	0	0
Precinct 7625 - None	0	0	0	822	0	0	0	0	0	0	0
Precinct 7626 - None	0	0	0	1,114	0	0	0	0	0	0	0
Precinct 7626 - None	0	0	0	1,114	0	0	0	0	0	0	0
Precinct 7627 - None	0	0	0	1,187	0	0	0	0	0	0	0
Precinct 7627 - None	0	0	0	1,187	0	0	0	0	0	0	0
Precinct 7628 - None	0	0	0	960	0	0	0	0	0	0	0
Precinct 7628 - None	0	0	0	960	0	0	0	0	0	0	0
Precinct 7629 - None	0	0	0	809	0	0	0	0	0	0	0
Precinct 7629 - None	0	0	0	809	0	0	0	0	0	0	0
Precinct 7631 - None	0	0	0	1,155	0	0	0	0	0	0	0
Precinct 7631 - None	0	0	0	1,155	0	0	0	0	0	0	0
Precinct 7632 - None	0	0	0	1,124	0	0	0	0	0	0	0
Precinct 7632 - None	0	0	0	1,124	0	0	0	0	0	0	0
Precinct 7633 - None	0	0	0	741	0	0	0	0	0	0	0
Precinct 7633 - None	0	0	0	741	0	0	0	0	0	0	0
Precinct 7634 - None	0	0	0	900	0	0	0	0	0	0	0
Precinct 7634 - None	0	0	0	900	0	0	0	0	0	0	0
Precinct 7635 - None	0	0	0	840	0	0	0	0	0	0	0
Precinct 7635 - None	0	0	0	840	0	0	0	0	0	0	0
Precinct 7636 - None	0	0	0	938	0	0	0	0	0	0	0
Precinct 7636 - None	0	0	0	938	0	0	0	0	0	0	0
Precinct 7637 - None	0	0	0	809	0	0	0	0	0	0	0
Precinct 7637 - None	0	0	0	809	0	0	0	0	0	0	0
Precinct 7638 - None	0	0	0	1,467	0	0	0	0	0	0	0
Precinct 7638 - None	0	0	0	1,467	0	0	0	0	0	0	0
Precinct 7639 - None	0	0	0	1,011	0	0	0	0	0	0	0
Precinct 7639 - None	0	0	0	1,011	0	0	0	0	0	0	0
Precinct 7641 - None	0	0	0	972	0	0	0	0	0	0	0
Precinct 7641 - None	0	0	0	972	0	0	0	0	0	0	0
Precinct 7642 - None	0	0	0	937	0	0	0	0	0	0	0
Precinct 7642 - None	0	0	0	937	0	0	0	0	0	0	0
Precinct 7643 - None	0	0	0	920	0	0	0	0	0	0	0
Precinct 7643 - None	0	0	0	920	0	0	0	0	0	0	0
Precinct 7644 - None	0	0	0	1,175	0	0	0	0	0	0	0
Precinct 7644 - None	0	0	0	1,175	0	0	0	0	0	0	0
Precinct 7645 - None	0	0	0	640	0	0	0	0	0	0	0
Precinct 7645 - None	0	0	0	640	0	0	0	0	0	0	0
Precinct 7646 - None	0	0	0	1,100	0	0	0	0	0	0	0
Precinct 7646 - None	0	0	0	1,100	0	0	0	0	0	0	0
Precinct 7647 - None	0	0	0	1,075	0	0	0	0	0	0	0
Precinct 7647 - None	0	0	0	1,075	0	0	0	0	0	0	0
Precinct 7648 MB - None	0	0	0	1	0	0	0	0	0	0	0
Precinct 7649 - None	0	0	0	891	0	0	0	0	0	0	0
Precinct 7649 - None	0	0	0	891	0	0	0	0	0	0	0
Precinct 7651 - None	0	0	0	677	0	0	0	0	0	0	0
Precinct 7651 - None	0	0	0	677	0	0	0	0	0	0	0
Precinct 7652 - None	0	0	0	628	0	0	0	0	0	0	0
Precinct 7652 - None	0	0	0	628	0	0	0	0	0	0	0
Precinct 7653 - None	0	0	0	1,280	0	0	0	0	0	0	0
Precinct 7653 - None	0	0	0	1,280	0	0	0	0	0	0	0
Congressional District 12	0	0	0	43,321	0	0	0	0	0	0	0
Assembly District 17	0	0	0	43,321	0	0	0	0	0	0	0
BART District 7	0	0	0	15,657	0	0	0	0	0	0	0
BART District 9	0	0	0	27,664	0	0	0	0	0	0	0
Supervisorial District 6	0	0	0	43,321	0	0	0	0	0	0	0
Civic Center/Downtown	0	0	0	13,310	0	0	0	0	0	0	0
Mission	0	0	0	862	0	0	0	0	0	0	0
Potrero Hill	0	0	0	4,475	0	0	0	0	0	0	0
South of Market	0	0	0	24,674	0	0	0	0	0	0	0
