Subtotal Area	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	0	0	58,122	0	0	0	0	0	0	0
All Precincts - Election Day	0	0	58,122	0	0	0	0	0	0	0
All Precincts - Vote By Mail	0	0	58,122	0	0	0	0	0	0	0
Precinct 7801 - Election Day	0	0	1,001	0	0	0	0	0	0	0
Precinct 7801 - Vote By Mail	0	0	1,001	0	0	0	0	0	0	0
Precinct 7802 - Election Day	0	0	788	0	0	0	0	0	0	0
Precinct 7802 - Vote By Mail	0	0	788	0	0	0	0	0	0	0
Precinct 7803 - Election Day	0	0	828	0	0	0	0	0	0	0
Precinct 7803 - Vote By Mail	0	0	828	0	0	0	0	0	0	0
Precinct 7804 - Election Day	0	0	893	0	0	0	0	0	0	0
Precinct 7804 - Vote By Mail	0	0	893	0	0	0	0	0	0	0
Precinct 7805 - Election Day	0	0	825	0	0	0	0	0	0	0
Precinct 7805 - Vote By Mail	0	0	825	0	0	0	0	0	0	0
Precinct 7806 - Election Day	0	0	716	0	0	0	0	0	0	0
Precinct 7806 - Vote By Mail	0	0	716	0	0	0	0	0	0	0
Precinct 7807 - Election Day	0	0	844	0	0	0	0	0	0	0
Precinct 7807 - Vote By Mail	0	0	844	0	0	0	0	0	0	0
Precinct 7808 - Election Day	0	0	655	0	0	0	0	0	0	0
Precinct 7808 - Vote By Mail	0	0	655	0	0	0	0	0	0	0
Precinct 7809 - Election Day	0	0	781	0	0	0	0	0	0	0
Precinct 7809 - Vote By Mail	0	0	781	0	0	0	0	0	0	0
Precinct 7811 - Election Day	0	0	783	0	0	0	0	0	0	0
Precinct 7811 - Vote By Mail	0	0	783	0	0	0	0	0	0	0
Precinct 7812 - Election Day	0	0	877	0	0	0	0	0	0	0
Precinct 7812 - Vote By Mail	0	0	877	0	0	0	0	0	0	0
Precinct 7813 - Election Day	0	0	1,064	0	0	0	0	0	0	0
Precinct 7813 - Vote By Mail	0	0	1,064	0	0	0	0	0	0	0
Precinct 7814 - Election Day	0	0	936	0	0	0	0	0	0	0
Precinct 7814 - Vote By Mail	0	0	936	0	0	0	0	0	0	0
Precinct 7815 - Election Day	0	0	954	0	0	0	0	0	0	0
Precinct 7815 - Vote By Mail	0	0	954	0	0	0	0	0	0	0
Precinct 7816 - Election Day	0	0	865	0	0	0	0	0	0	0
Precinct 7816 - Vote By Mail	0	0	865	0	0	0	0	0	0	0
Precinct 7817 - Election Day	0	0	823	0	0	0	0	0	0	0
Precinct 7817 - Vote By Mail	0	0	823	0	0	0	0	0	0	0
Precinct 7818 - Election Day	0	0	860	0	0	0	0	0	0	0
Precinct 7818 - Vote By Mail	0	0	860	0	0	0	0	0	0	0
Precinct 7819 - Election Day	0	0	793	0	0	0	0	0	0	0
Precinct 7819 - Vote By Mail	0	0	793	0	0	0	0	0	0	0
Precinct 7821 - Election Day	0	0	985	0	0	0	0	0	0	0
Precinct 7821 - Vote By Mail	0	0	985	0	0	0	0	0	0	0
Precinct 7822 - Election Day	0	0	908	0	0	0	0	0	0	0
Precinct 7822 - Vote By Mail	0	0	908	0	0	0	0	0	0	0
Precinct 7823 - Election Day	0	0	879	0	0	0	0	0	0	0
Precinct 7823 - Vote By Mail	0	0	879	0	0	0	0	0	0	0
Precinct 7824 - Election Day	0	0	768	0	0	0	0	0	0	0
Precinct 7824 - Vote By Mail	0	0	768	0	0	0	0	0	0	0
Precinct 7825 - Election Day	0	0	597	0	0	0	0	0	0	0
Precinct 7825 - Vote By Mail	0	0	597	0	0	0	0	0	0	0
Precinct 7826 - Election Day	0	0	684	0	0	0	0	0	0	0
Precinct 7826 - Vote By Mail	0	0	684	0	0	0	0	0	0	0
Precinct 7827 - Election Day	0	0	831	0	0	0	0	0	0	0
Precinct 7827 - Vote By Mail	0	0	831	0	0	0	0	0	0	0
Precinct 7828 - Election Day	0	0	1,018	0	0	0	0	0	0	0
Precinct 7828 - Vote By Mail	0	0	1,018	0	0	0	0	0	0	0
Precinct 7829 - Election Day	0	0	907	0	0	0	0	0	0	0
Precinct 7829 - Vote By Mail	0	0	907	0	0	0	0	0	0	0
Precinct 7831 - Election Day	0	0	882	0	0	0	0	0	0	0
Precinct 7831 - Vote By Mail	0	0	882	0	0	0	0	0	0	0
Precinct 7832 - Election Day	0	0	780	0	0	0	0	0	0	0
Precinct 7832 - Vote By Mail	0	0	780	0	0	0	0	0	0	0
Precinct 7833 - Election Day	0	0	747	0	0	0	0	0	0	0
Precinct 7833 - Vote By Mail	0	0	747	0	0	0	0	0	0	0
Precinct 7834 - Election Day	0	0	867	0	0	0	0	0	0	0
Precinct 7834 - Vote By Mail	0	0	867	0	0	0	0	0	0	0
Precinct 7835 - Election Day	0	0	847	0	0	0	0	0	0	0
Precinct 7835 - Vote By Mail	0	0	847	0	0	0	0	0	0	0
Precinct 7836 - Election Day	0	0	1,023	0	0	0	0	0	0	0
Precinct 7836 - Vote By Mail	0	0	1,023	0	0	0	0	0	0	0
Precinct 7837 - Election Day	0	0	911	0	0	0	0	0	0	0
Precinct 7837 - Vote By Mail	0	0	911	0	0	0	0	0	0	0
Precinct 7838 - Election Day	0	0	926	0	0	0	0	0	0	0
Precinct 7838 - Vote By Mail	0	0	926	0	0	0	0	0	0	0
Precinct 7839 - Election Day	0	0	842	0	0	0	0	0	0	0
Precinct 7839 - Vote By Mail	0	0	842	0	0	0	0	0	0	0
Precinct 7841 - Election Day	0	0	937	0	0	0	0	0	0	0
Precinct 7841 - Vote By Mail	0	0	937	0	0	0	0	0	0	0
Precinct 7842 - Election Day	0	0	903	0	0	0	0	0	0	0
Precinct 7842 - Vote By Mail	0	0	903	0	0	0	0	0	0	0
Precinct 7843 - Election Day	0	0	767	0	0	0	0	0	0	0
Precinct 7843 - Vote By Mail	0	0	767	0	0	0	0	0	0	0
Precinct 7844 - Election Day	0	0	663	0	0	0	0	0	0	0
