Subtotal Area	ASALE CHANDLER	UZURI PEASE-GREENE	TONY KELLY	SHAMANN WALTON	THEO ELLINGTON	GLORIA BERRY	NEO VEAVEA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	0	0	0	0	0	0	0	41,862	0	0	0	0	0	0	0
All Precincts - None	0	0	0	0	0	0	0	41,862	0	0	0	0	0	0	0
All Precincts - None	0	0	0	0	0	0	0	41,862	0	0	0	0	0	0	0
Precinct 7001 - None	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0
Precinct 7001 - None	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0
Precinct 7002 - None	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0
Precinct 7002 - None	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0
Precinct 7003 - None	0	0	0	0	0	0	0	884	0	0	0	0	0	0	0
Precinct 7003 - None	0	0	0	0	0	0	0	884	0	0	0	0	0	0	0
Precinct 7004 - None	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0
Precinct 7004 - None	0	0	0	0	0	0	0	881	0	0	0	0	0	0	0
Precinct 7005 - None	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0
Precinct 7005 - None	0	0	0	0	0	0	0	847	0	0	0	0	0	0	0
Precinct 7006 - None	0	0	0	0	0	0	0	917	0	0	0	0	0	0	0
Precinct 7006 - None	0	0	0	0	0	0	0	917	0	0	0	0	0	0	0
Precinct 7007 - None	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0
Precinct 7007 - None	0	0	0	0	0	0	0	949	0	0	0	0	0	0	0
Precinct 7008 - None	0	0	0	0	0	0	0	932	0	0	0	0	0	0	0
Precinct 7008 - None	0	0	0	0	0	0	0	932	0	0	0	0	0	0	0
Precinct 7009 - None	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0
Precinct 7009 - None	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0
Precinct 7011 - None	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0
Precinct 7011 - None	0	0	0	0	0	0	0	985	0	0	0	0	0	0	0
Precinct 7012 - None	0	0	0	0	0	0	0	1,109	0	0	0	0	0	0	0
Precinct 7012 - None	0	0	0	0	0	0	0	1,109	0	0	0	0	0	0	0
Precinct 7013 - None	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0
Precinct 7013 - None	0	0	0	0	0	0	0	956	0	0	0	0	0	0	0
Precinct 7014 - None	0	0	0	0	0	0	0	1,460	0	0	0	0	0	0	0
Precinct 7014 - None	0	0	0	0	0	0	0	1,460	0	0	0	0	0	0	0
Precinct 7015 MB - None	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0
Precinct 7016 - None	0	0	0	0	0	0	0	918	0	0	0	0	0	0	0
Precinct 7016 - None	0	0	0	0	0	0	0	918	0	0	0	0	0	0	0
Precinct 7017 - None	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0
Precinct 7017 - None	0	0	0	0	0	0	0	754	0	0	0	0	0	0	0
Precinct 7018 - None	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0
Precinct 7018 - None	0	0	0	0	0	0	0	977	0	0	0	0	0	0	0
Precinct 7019 - None	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0
Precinct 7019 - None	0	0	0	0	0	0	0	899	0	0	0	0	0	0	0
Precinct 7021 - None	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0
Precinct 7021 - None	0	0	0	0	0	0	0	947	0	0	0	0	0	0	0
Precinct 7022 - None	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0
Precinct 7022 - None	0	0	0	0	0	0	0	945	0	0	0	0	0	0	0
Precinct 7023 - None	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0
Precinct 7023 - None	0	0	0	0	0	0	0	928	0	0	0	0	0	0	0
Precinct 7024 - None	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0
Precinct 7024 - None	0	0	0	0	0	0	0	414	0	0	0	0	0	0	0
Precinct 7025 - None	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0
Precinct 7025 - None	0	0	0	0	0	0	0	477	0	0	0	0	0	0	0
Precinct 7026 - None	0	0	0	0	0	0	0	1,011	0	0	0	0	0	0	0
Precinct 7026 - None	0	0	0	0	0	0	0	1,011	0	0	0	0	0	0	0
Precinct 7027 - None	0	0	0	0	0	0	0	869	0	0	0	0	0	0	0
Precinct 7027 - None	0	0	0	0	0	0	0	869	0	0	0	0	0	0	0
Precinct 7028 - None	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0
Precinct 7028 - None	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0
Precinct 7029 - None	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0
Precinct 7029 - None	0	0	0	0	0	0	0	901	0	0	0	0	0	0	0
Precinct 7030 - None	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0
Precinct 7030 - None	0	0	0	0	0	0	0	759	0	0	0	0	0	0	0
Precinct 7031 - None	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0
Precinct 7031 - None	0	0	0	0	0	0	0	641	0	0	0	0	0	0	0
Precinct 7032 - None	0	0	0	0	0	0	0	904	0	0	0	0	0	0	0
Precinct 7032 - None	0	0	0	0	0	0	0	904	0	0	0	0	0	0	0
Precinct 7033 - None	0	0	0	0	0	0	0	798	0	0	0	0	0	0	0
Precinct 7033 - None	0	0	0	0	0	0	0	798	0	0	0	0	0	0	0
Precinct 7034 - None	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0
Precinct 7034 - None	0	0	0	0	0	0	0	958	0	0	0	0	0	0	0
Precinct 7035 - None	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0
Precinct 7035 - None	0	0	0	0	0	0	0	606	0	0	0	0	0	0	0
Precinct 7036 - None	0	0	0	0	0	0	0	921	0	0	0	0	0	0	0
Precinct 7036 - None	0	0	0	0	0	0	0	921	0	0	0	0	0	0	0
Precinct 7037 - None	0	0	0	0	0	0	0	735	0	0	0	0	0	0	0
Precinct 7037 - None	0	0	0	0	0	0	0	735	0	0	0	0	0	0	0
Precinct 7038 - None	0	0	0	0	0	0	0	911	0	0	0	0	0	0	0
Precinct 7038 - None	0	0	0	0	0	0	0	911	0	0	0	0	0	0	0
Precinct 7039 - None	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0
Precinct 7039 - None	0	0	0	0	0	0	0	784	0	0	0	0	0	0	0
Precinct 7041 MB - None	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0
Precinct 7042 - None	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0
Precinct 7042 - None	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0
Precinct 7043 - None	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0
Precinct 7043 - None	0	0	0	0	0	0	0	957	0	0	0	0	0	0	0
Precinct 7044 - None	0	0	0	0	0	0	0	827	0	0	0	0	0	0	0
Precinct 7044 - None	0	0	0	0	0	0	0	827	0	0	0	0	0	0	0
Precinct 7045 - None	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0
Precinct 7045 - None	0	0	0	0	0	0	0	779	0	0	0	0	0	0	0
Precinct 7046 - None	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0
Precinct 7046 - None	0	0	0	0	0	0	0	402	0	0	0	0	0	0	0
Precinct 7047 - None	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0
Precinct 7047 - None	0	0	0	0	0	0	0	823	0	0	0	0	0	0	0
Precinct 7048 - None	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0
Precinct 7048 - None	0	0	0	0	0	0	0	858	0	0	0	0	0	0	0
Precinct 7049 - None	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0
Precinct 7049 - None	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0
Precinct 7051 - None	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0
Precinct 7051 - None	0	0	0	0	0	0	0	861	0	0	0	0	0	0	0
Precinct 7052 - None	0	0	0	0	0	0	0	852	0	0	0	0	0	0	0
Precinct 7052 - None	0	0	0	0	0	0	0	852	0	0	0	0	0	0	0
Precinct 7053 - None	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0
Precinct 7053 - None	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0
Precinct 7054 - None	0	0	0	0	0	0	0	1,073	0	0	0	0	0	0	0
Precinct 7054 - None	0	0	0	0	0	0	0	1,073	0	0	0	0	0	0	0
Precinct 7055 - None	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0
Precinct 7055 - None	0	0	0	0	0	0	0	808	0	0	0	0	0	0	0
Precinct 9001 MB - None	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0
Congressional District 12	0	0	0	0	0	0	0	41,589	0	0	0	0	0	0	0
Congressional District 14	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0
Assembly District 17	0	0	0	0	0	0	0	41,589	0	0	0	0	0	0	0
Assembly District 19	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0
BART District 7	0	0	0	0	0	0	0	22,513	0	0	0	0	0	0	0
BART District 8	0	0	0	0	0	0	0	8,589	0	0	0	0	0	0	0
BART District 9	0	0	0	0	0	0	0	10,760	0	0	0	0	0	0	0
Supervisorial District 10	0	0	0	0	0	0	0	41,862	0	0	0	0	0	0	0
Bayview/Hunters Point	0	0	0	0	0	0	0	19,908	0	0	0	0	0	0	0
Mission	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0
Portola	0	0	0	0	0	0	0	700	0	0	0	0	0	0	0
Potrero Hill	0	0	0	0	0	0	0	12,339	0	0	0	0	0	0	0
Visitation Valley	0	0	0	0	0	0	0	8,139	0	0	0	0	0	0	0
