Subtotal Area	JOHN H. COX	GAVIN NEWSOM	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	49,181	312,181	500,516	372,848	106	144	11,236	361,362
All Precincts - None	15,432	108,088	500,516	127,886	80	39	4,247	123,520
All Precincts - None	33,749	204,093	500,516	244,962	26	105	6,989	237,842
Precinct 1101 - None	14	107	553	126	0	0	5	121
Precinct 1101 - None	47	208	553	266	0	0	11	255
Precinct 1102 - None	28	235	995	266	0	0	3	263
Precinct 1102 - None	94	375	995	480	0	0	11	469
Precinct 1103 - None	34	206	951	246	1	0	5	240
Precinct 1103 - None	82	349	951	445	0	1	13	431
Precinct 1104/1105 - None	40	197	993	249	0	0	12	237
Precinct 1104/1105 - None	68	331	993	414	0	0	15	399
Precinct 1106 - None	28	149	765	191	0	0	14	177
Precinct 1106 - None	75	255	765	343	0	0	13	330
Precinct 1107 - None	21	137	746	163	0	0	5	158
Precinct 1107 - None	56	269	746	336	0	1	10	325
Precinct 1108 - None	31	194	909	232	0	0	7	225
Precinct 1108 - None	61	369	909	438	0	0	8	430
Precinct 1109 - None	23	139	798	166	0	0	4	162
Precinct 1109 - None	83	271	798	365	0	0	11	354
Precinct 1111 - None	24	167	1,002	205	0	0	14	191
Precinct 1111 - None	88	354	1,002	460	0	0	18	442
Precinct 1112 - None	23	122	769	151	0	0	6	145
Precinct 1112 - None	57	282	769	344	0	0	5	339
Precinct 1113 - None	15	115	746	135	0	0	5	130
Precinct 1113 - None	70	272	746	360	0	0	18	342
Precinct 1114 - None	43	179	957	226	0	0	4	222
Precinct 1114 - None	78	307	957	404	0	1	18	385
Precinct 1115 - None	22	144	895	174	0	0	8	166
Precinct 1115 - None	80	279	895	371	0	1	11	359
Precinct 1116 - None	13	206	895	225	0	0	6	219
Precinct 1116 - None	73	289	895	376	0	0	14	362
Precinct 1117 - None	19	159	858	185	0	0	7	178
Precinct 1117 - None	57	286	858	357	0	0	14	343
Precinct 1118 - None	17	189	1,043	213	0	0	7	206
Precinct 1118 - None	95	365	1,043	476	0	1	15	460
Precinct 1119 - None	22	133	791	165	0	0	10	155
Precinct 1119 - None	63	315	791	386	0	1	7	378
Precinct 1121 - None	33	119	691	160	0	0	8	152
Precinct 1121 - None	71	231	691	313	0	0	11	302
Precinct 1122 - None	18	92	632	110	0	0	0	110
Precinct 1122 - None	84	220	632	310	0	0	6	304
Precinct 1123 - None	20	155	915	179	0	0	4	175
Precinct 1123 - None	72	281	915	364	0	0	11	353
Precinct 1124 - None	18	129	819	152	0	0	5	147
Precinct 1124 - None	42	254	819	302	0	0	6	296
Precinct 1125 - None	29	124	1,047	159	0	0	6	153
Precinct 1125 - None	91	366	1,047	466	0	0	9	457
Precinct 1126 - None	24	164	922	191	0	0	3	188
Precinct 1126 - None	53	335	922	400	0	0	12	388
Precinct 1127 - None	36	159	920	200	0	0	5	195
Precinct 1127 - None	83	285	920	382	0	0	14	368
Precinct 1128 - None	27	123	838	154	0	0	4	150
Precinct 1128 - None	75	279	838	362	0	0	8	354
Precinct 1129 - None	44	177	980	227	0	0	6	221
Precinct 1129 - None	102	309	980	416	0	1	4	411
Precinct 1131 - None	17	111	797	132	0	0	4	128
Precinct 1131 - None	113	250	797	371	0	0	8	363
Precinct 1132 - None	28	143	969	179	0	0	8	171
Precinct 1132 - None	101	310	969	427	0	0	16	411
Precinct 1133 - None	22	136	863	161	0	0	3	158
Precinct 1133 - None	91	309	863	410	0	0	10	400
Precinct 1134 - None	14	141	759	170	0	0	15	155
Precinct 1134 - None	72	243	759	318	0	1	2	315
Precinct 1135 - None	10	75	540	87	0	0	2	85
Precinct 1135 - None	57	223	540	295	0	0	15	280
Precinct 1136 - None	28	109	829	144	0	1	6	137
Precinct 1136 - None	78	324	829	412	0	0	10	402
Precinct 1141 - None	32	180	1,041	223	0	0	11	212
Precinct 1141 - None	67	405	1,041	484	0	0	12	472
Precinct 1142 - None	28	141	861	175	0	0	6	169
Precinct 1142 - None	72	308	861	393	0	0	13	380
Precinct 1143 - None	23	198	1,034	229	0	0	8	221
Precinct 1143 - None	85	336	1,034	440	0	0	19	421
Precinct 1144 - None	32	164	907	205	0	1	8	196
Precinct 1144 - None	76	302	907	387	0	0	9	378
Precinct 1145 - None	28	153	888	189	0	0	8	181
Precinct 1145 - None	63	381	888	461	0	1	16	444
Precinct 1146 - None	24	151	1,011	186	0	0	11	175
Precinct 1146 - None	70	368	1,011	454	0	1	15	438
Precinct 1147 - None	33	170	877	210	0	0	7	203
Precinct 1147 - None	70	310	877	396	0	1	15	380
Precinct 1148 - None	27	157	962	196	0	0	12	184
Precinct 1148 - None	96	339	962	444	0	2	7	435
Precinct 1149 - None	26	177	907	210	0	0	7	203
Precinct 1149 - None	69	326	907	407	0	0	12	395
Precinct 1152 - None	38	153	864	198	0	0	7	191
Precinct 1152 - None	68	309	864	388	0	1	10	377
Precinct 1153 - None	44	154	951	210	0	1	11	198
Precinct 1153 - None	93	307	951	415	0	0	15	400
Precinct 7001 - None	12	158	776	176	2	0	4	170
Precinct 7001 - None	38	371	776	429	0	0	20	409
Precinct 7002 - None	12	161	706	176	0	0	3	173
Precinct 7002 - None	35	283	706	332	0	1	13	318
Precinct 7003 - None	23	204	884	238	0	0	11	227
Precinct 7003 - None	50	439	884	498	0	0	9	489
Precinct 7004 - None	14	215	881	241	1	0	11	229
Precinct 7004 - None	27	465	881	496	0	0	4	492
Precinct 7005 - None	13	228	847	253	0	0	12	241
Precinct 7005 - None	25	440	847	480	0	0	15	465
Precinct 7006 - None	22	218	917	254	0	0	14	240
Precinct 7006 - None	27	390	917	442	0	0	25	417
Precinct 7007 - None	14	259	949	283	0	0	10	273
Precinct 7007 - None	37	460	949	516	0	0	19	497
Precinct 7008 - None	20	231	932	264	1	0	12	251
Precinct 7008 - None	48	489	932	546	1	0	8	537
Precinct 7009 - None	25	155	905	185	0	0	5	180
Precinct 7009 - None	44	451	905	513	0	0	18	495
Precinct 7011 - None	12	183	985	204	0	0	9	195
Precinct 7011 - None	18	273	985	294	0	0	3	291
Precinct 7012 - None	42	263	1,109	313	0	0	8	305
Precinct 7012 - None	54	526	1,109	594	0	0	14	580
Precinct 7013 - None	25	228	956	267	0	0	14	253
Precinct 7013 - None	35	452	956	501	0	0	14	487
Precinct 7014 - None	30	327	1,460	367	0	0	10	357
Precinct 7014 - None	48	733	1,460	802	0	0	21	781
Precinct 7015 MB - None	3	41	95	44	0	0	0	44
Precinct 7016 - None	16	153	918	171	0	0	2	169
Precinct 7016 - None	49	224	918	280	0	0	7	273
Precinct 7017 - None	12	134	754	149	0	0	3	146
Precinct 7017 - None	11	236	754	252	0	0	5	247
Precinct 7018 - None	22	128	977	155	0	0	5	150
Precinct 7018 - None	83	345	977	448	0	1	19	428
Precinct 7019 - None	10	166	899	182	0	1	5	176
Precinct 7019 - None	65	336	899	413	0	0	12	401
Precinct 7021 - None	14	160	947	184	0	0	10	174
Precinct 7021 - None	30	264	947	305	0	0	11	294
Precinct 7022 - None	13	190	945	215	0	0	12	203
Precinct 7022 - None	42	292	945	352	0	0	18	334
Precinct 7023 - None	14	161	928	178	0	0	3	175
Precinct 7023 - None	41	345	928	400	0	0	14	386
Precinct 7024 - None	4	65	414	70	0	0	1	69
Precinct 7024 - None	11	65	414	78	0	0	2	76
Precinct 7025 - None	5	77	477	85	0	0	3	82
Precinct 7025 - None	10	116	477	128	0	0	2	126
Precinct 7026 - None	21	124	1,011	149	0	0	4	145
Precinct 7026 - None	76	361	1,011	455	0	0	18	437
Precinct 7027 - None	18	171	869	195	0	0	6	189
Precinct 7027 - None	68	278	869	353	0	0	7	346
Precinct 7028 - None	15	189	850	213	0	0	9	204
Precinct 7028 - None	20	257	850	282	0	0	5	277
Precinct 7029 - None	8	167	901	184	0	0	9	175
Precinct 7029 - None	22	220	901	251	0	0	9	242
Precinct 7030 - None	32	82	759	119	0	0	5	114
Precinct 7030 - None	93	247	759	357	0	0	17	340
Precinct 7031 - None	7	82	641	91	0	0	2	89
Precinct 7031 - None	50	253	641	309	0	0	6	303
Precinct 7032 - None	18	145	904	173	1	0	9	163
Precinct 7032 - None	43	264	904	316	0	0	9	307
Precinct 7033 - None	23	163	798	191	0	0	5	186
Precinct 7033 - None	24	220	798	247	0	0	3	244
Precinct 7034 - None	15	175	958	197	0	1	6	190
Precinct 7034 - None	22	175	958	201	0	0	4	197
Precinct 7035 - None	11	108	606	122	0	0	3	119
Precinct 7035 - None	29	228	606	262	0	0	5	257
Precinct 7036 - None	12	100	921	117	0	0	5	112
Precinct 7036 - None	83	250	921	342	0	0	9	333
Precinct 7037 - None	8	118	735	135	0	0	9	126
Precinct 7037 - None	17	78	735	98	0	0	3	95
Precinct 7038 - None	23	107	911	135	0	0	5	130
Precinct 7038 - None	82	260	911	351	0	0	9	342
Precinct 7039 - None	29	142	784	178	0	0	7	171
Precinct 7039 - None	72	224	784	306	0	0	10	296
Precinct 7041 MB - None	7	24	61	33	0	0	2	31
Precinct 7042 - None	15	99	639	118	0	0	4	114
Precinct 7042 - None	41	214	639	258	0	1	2	255
Precinct 7043 - None	18	149	957	176	0	0	9	167
Precinct 7043 - None	54	340	957	404	0	0	10	394
Precinct 7044 - None	18	144	827	167	0	0	5	162
Precinct 7044 - None	32	154	827	193	0	0	7	186
Precinct 7045 - None	22	90	779	120	0	0	8	112
Precinct 7045 - None	76	252	779	344	0	0	16	328
Precinct 7046 - None	7	81	402	94	0	0	6	88
Precinct 7046 - None	44	122	402	175	0	0	9	166
Precinct 7047 - None	13	105	823	119	0	0	1	118
Precinct 7047 - None	74	304	823	388	0	0	10	378
Precinct 7048 - None	14	128	858	150	3	0	5	142
Precinct 7048 - None	64	241	858	318	0	1	12	305
Precinct 7049 - None	39	132	792	173	0	0	2	171
Precinct 7049 - None	73	221	792	305	0	0	11	294
Precinct 7051 - None	14	98	861	114	0	0	2	112
Precinct 7051 - None	96	266	861	380	0	0	18	362
Precinct 7052 - None	24	133	852	161	0	0	4	157
Precinct 7052 - None	86	296	852	402	0	0	20	382
Precinct 7053 - None	12	89	548	102	0	0	1	101
Precinct 7053 - None	58	214	548	278	0	0	6	272
Precinct 7054 - None	21	192	1,073	215	0	0	2	213
Precinct 7054 - None	69	327	1,073	410	0	0	14	396
Precinct 7055 - None	13	173	808	190	0	0	4	186
Precinct 7055 - None	70	356	808	440	0	0	14	426
Precinct 7101 MB - None	4	112	155	120	1	0	3	116
Precinct 7201 - None	31	206	936	245	0	0	8	237
Precinct 7201 - None	86	420	936	518	0	0	12	506
Precinct 7202 - None	31	193	850	227	0	0	3	224
Precinct 7202 - None	107	320	850	431	0	0	4	427
Precinct 7203 - None	38	249	921	291	1	0	3	287
Precinct 7203 - None	45	368	921	423	0	0	10	413
Precinct 7204 - None	43	185	918	233	0	0	5	228
Precinct 7204 - None	83	434	918	531	0	1	13	517
Precinct 7205 - None	41	199	875	251	0	0	11	240
Precinct 7205 - None	87	387	875	485	0	0	11	474
Precinct 7206 - None	12	118	378	135	0	0	5	130
Precinct 7206 - None	28	161	378	191	0	0	2	189
Precinct 7207 - None	21	164	812	196	0	1	10	185
Precinct 7207 - None	50	377	812	434	0	0	7	427
Precinct 7208 - None	9	100	600	111	0	0	2	109
Precinct 7208 - None	49	271	600	328	0	0	8	320
Precinct 7209 - None	10	92	626	107	0	0	5	102
Precinct 7209 - None	61	358	626	423	0	0	4	419
Precinct 7301 - None	35	185	1,016	228	0	0	8	220
Precinct 7301 - None	69	357	1,016	435	0	0	9	426
Precinct 7302 - None	31	151	814	188	0	0	6	182
Precinct 7302 - None	69	377	814	458	0	0	12	446
Precinct 7303 - None	37	232	1,042	281	0	0	12	269
Precinct 7303 - None	63	409	1,042	482	0	0	10	472
Precinct 7304 - None	40	233	1,002	278	0	0	5	273
Precinct 7304 - None	79	399	1,002	493	0	0	15	478
Precinct 7305 - None	48	183	871	240	0	0	9	231
Precinct 7305 - None	91	356	871	460	0	0	13	447
Precinct 7306 - None	43	263	1,056	317	0	0	11	306
Precinct 7306 - None	78	406	1,056	498	0	0	14	484
Precinct 7307 - None	21	178	767	210	0	0	11	199
Precinct 7307 - None	54	278	767	346	0	0	14	332
Precinct 7308 - None	20	151	603	177	0	0	6	171
Precinct 7308 - None	45	258	603	313	0	0	10	303
Precinct 7309 - None	33	226	884	263	0	0	4	259
Precinct 7309 - None	82	348	884	439	0	1	8	430
Precinct 7311 - None	20	242	917	268	0	0	6	262
Precinct 7311 - None	58	382	917	448	0	0	8	440
Precinct 7312 - None	37	161	821	203	0	0	5	198
Precinct 7312 - None	83	376	821	470	0	0	11	459
Precinct 7313 - None	24	191	968	225	1	0	9	215
Precinct 7313 - None	77	391	968	485	0	1	16	468
Precinct 7314 - None	24	98	787	125	0	1	2	122
Precinct 7314 - None	35	217	787	271	0	1	18	252
Precinct 7315 - None	36	175	760	220	0	0	9	211
Precinct 7315 - None	38	234	760	282	0	0	10	272
Precinct 7316 - None	21	175	853	205	0	0	9	196
Precinct 7316 - None	57	288	853	367	0	0	22	345
Precinct 7317 - None	29	156	904	189	0	0	4	185
Precinct 7317 - None	80	361	904	454	0	0	13	441
Precinct 7318 - None	19	154	727	179	0	0	6	173
Precinct 7318 - None	60	313	727	390	0	0	17	373
Precinct 7319 - None	34	259	1,079	301	0	0	8	293
