Subtotal Area	ED HERNANDEZ	ELENI KOUNALAKIS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	153,733	172,741	500,516	372,848	106	348	45,920	326,474
All Precincts - None	55,843	57,035	500,516	127,886	80	122	14,806	112,878
All Precincts - None	97,890	115,706	500,516	244,962	26	226	31,114	213,596
Precinct 1101 - None	60	48	553	126	0	0	18	108
Precinct 1101 - None	130	103	553	266	0	0	33	233
Precinct 1102 - None	147	91	995	266	0	0	28	238
Precinct 1102 - None	219	204	995	480	0	1	56	423
Precinct 1103 - None	128	93	951	246	1	0	24	221
Precinct 1103 - None	227	177	951	445	0	0	41	404
Precinct 1104/1105 - None	133	93	993	249	0	0	23	226
Precinct 1104/1105 - None	207	159	993	414	0	1	47	366
Precinct 1106 - None	81	94	765	191	0	0	16	175
Precinct 1106 - None	136	145	765	343	0	0	62	281
Precinct 1107 - None	80	72	746	163	0	0	11	152
Precinct 1107 - None	113	163	746	336	0	0	60	276
Precinct 1108 - None	120	87	909	232	0	0	25	207
Precinct 1108 - None	167	220	909	438	0	0	51	387
Precinct 1109 - None	73	70	798	166	0	0	23	143
Precinct 1109 - None	154	151	798	365	0	1	59	305
Precinct 1111 - None	100	76	1,002	205	0	0	29	176
Precinct 1111 - None	201	187	1,002	460	0	0	72	388
Precinct 1112 - None	79	52	769	151	0	0	20	131
Precinct 1112 - None	158	142	769	344	0	1	43	300
Precinct 1113 - None	63	55	746	135	0	0	17	118
Precinct 1113 - None	139	149	746	360	0	0	72	288
Precinct 1114 - None	103	87	957	226	0	2	34	190
Precinct 1114 - None	181	168	957	404	0	1	54	349
Precinct 1115 - None	84	74	895	174	0	1	15	158
Precinct 1115 - None	164	166	895	371	0	2	39	330
Precinct 1116 - None	97	101	895	225	0	0	27	198
Precinct 1116 - None	156	159	895	376	0	0	61	315
Precinct 1117 - None	75	83	858	185	0	0	27	158
Precinct 1117 - None	163	143	858	357	0	1	50	306
Precinct 1118 - None	109	83	1,043	213	0	0	21	192
Precinct 1118 - None	196	216	1,043	476	0	0	64	412
Precinct 1119 - None	88	54	791	165	0	0	23	142
Precinct 1119 - None	157	191	791	386	0	2	36	348
