Subtotal Area	ALEX PADILLA	MARK P. MEUSER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	309,367	43,538	500,516	372,848	106	109	19,728	352,905
All Precincts - Election Day	107,668	13,324	500,516	127,886	80	49	6,765	120,992
All Precincts - Vote By Mail	201,699	30,214	500,516	244,962	26	60	12,963	231,913
Precinct 1101 - Election Day	107	12	553	126	0	0	7	119
Precinct 1101 - Vote By Mail	214	40	553	266	0	0	12	254
Precinct 1102 - Election Day	240	18	995	266	0	1	7	258
Precinct 1102 - Vote By Mail	393	71	995	480	0	0	16	464
Precinct 1103 - Election Day	211	20	951	246	1	0	14	231
Precinct 1103 - Vote By Mail	352	78	951	445	0	0	15	430
Precinct 1104/1105 - Election Day	201	32	993	249	0	0	16	233
Precinct 1104/1105 - Vote By Mail	335	57	993	414	0	1	21	392
Precinct 1106 - Election Day	157	24	765	191	0	0	10	181
Precinct 1106 - Vote By Mail	255	67	765	343	0	0	21	322
Precinct 1107 - Election Day	146	11	746	163	0	0	6	157
Precinct 1107 - Vote By Mail	261	45	746	336	0	0	30	306
Precinct 1108 - Election Day	198	19	909	232	0	0	15	217
Precinct 1108 - Vote By Mail	363	47	909	438	0	0	28	410
Precinct 1109 - Election Day	137	20	798	166	0	0	9	157
Precinct 1109 - Vote By Mail	286	63	798	365	0	0	16	349
Precinct 1111 - Election Day	173	17	1,002	205	0	0	15	190
Precinct 1111 - Vote By Mail	355	78	1,002	460	0	0	27	433
Precinct 1112 - Election Day	127	11	769	151	0	0	13	138
Precinct 1112 - Vote By Mail	280	43	769	344	0	0	21	323
Precinct 1113 - Election Day	114	13	746	135	0	0	8	127
Precinct 1113 - Vote By Mail	250	68	746	360	0	0	42	318
Precinct 1114 - Election Day	175	32	957	226	0	0	19	207
Precinct 1114 - Vote By Mail	308	67	957	404	0	0	29	375
Precinct 1115 - Election Day	154	14	895	174	0	0	6	168
Precinct 1115 - Vote By Mail	283	68	895	371	0	1	19	351
Precinct 1116 - Election Day	193	15	895	225	0	0	17	208
Precinct 1116 - Vote By Mail	285	65	895	376	0	0	26	350
Precinct 1117 - Election Day	147	21	858	185	0	0	17	168
Precinct 1117 - Vote By Mail	278	44	858	357	0	0	35	322
Precinct 1118 - Election Day	187	16	1,043	213	0	0	10	203
Precinct 1118 - Vote By Mail	361	79	1,043	476	0	0	36	440
Precinct 1119 - Election Day	139	14	791	165	0	0	12	153
Precinct 1119 - Vote By Mail	311	62	791	386	0	0	13	373
Precinct 1121 - Election Day	121	26	691	160	0	0	13	147
Precinct 1121 - Vote By Mail	220	57	691	313	0	1	35	277
Precinct 1122 - Election Day	90	10	632	110	0	1	9	100
Precinct 1122 - Vote By Mail	214	70	632	310	0	0	26	284
Precinct 1123 - Election Day	158	13	915	179	0	0	8	171
Precinct 1123 - Vote By Mail	280	56	915	364	0	0	28	336
Precinct 1124 - Election Day	121	18	819	152	0	0	13	139
Precinct 1124 - Vote By Mail	240	47	819	302	0	0	15	287
Precinct 1125 - Election Day	126	27	1,047	159	0	0	6	153
Precinct 1125 - Vote By Mail	359	84	1,047	466	0	0	23	443
Precinct 1126 - Election Day	163	18	922	191	0	1	9	181
Precinct 1126 - Vote By Mail	322	51	922	400	0	0	27	373
Precinct 1127 - Election Day	154	34	920	200	0	0	12	188
Precinct 1127 - Vote By Mail	286	75	920	382	0	0	21	361
Precinct 1128 - Election Day	120	28	838	154	0	0	6	148
Precinct 1128 - Vote By Mail	278	67	838	362	0	0	17	345
Precinct 1129 - Election Day	167	45	980	227	0	0	15	212
Precinct 1129 - Vote By Mail	311	91	980	416	0	0	14	402
Precinct 1131 - Election Day	111	15	797	132	0	0	6	126
Precinct 1131 - Vote By Mail	261	87	797	371	0	0	23	348
Precinct 1132 - Election Day	148	22	969	179	0	0	9	170
Precinct 1132 - Vote By Mail	315	74	969	427	0	0	38	389
Precinct 1133 - Election Day	132	19	863	161	0	0	10	151
Precinct 1133 - Vote By Mail	310	80	863	410	0	0	20	390
Precinct 1134 - Election Day	141	9	759	170	0	0	20	150
Precinct 1134 - Vote By Mail	240	52	759	318	0	0	26	292
Precinct 1135 - Election Day	70	12	540	87	0	0	5	82
Precinct 1135 - Vote By Mail	221	53	540	295	0	0	21	274
Precinct 1136 - Election Day	120	15	829	144	0	0	9	135
Precinct 1136 - Vote By Mail	309	75	829	412	0	0	28	384
Precinct 1141 - Election Day	184	23	1,041	223	0	0	16	207
Precinct 1141 - Vote By Mail	399	59	1,041	484	0	0	26	458
Precinct 1142 - Election Day	152	18	861	175	0	0	5	170
Precinct 1142 - Vote By Mail	309	60	861	393	0	0	24	369
Precinct 1143 - Election Day	210	15	1,034	229	0	0	4	225
Precinct 1143 - Vote By Mail	331	85	1,034	440	0	0	24	416
Precinct 1144 - Election Day	168	27	907	205	0	1	9	195
Precinct 1144 - Vote By Mail	297	62	907	387	0	0	28	359
Precinct 1145 - Election Day	157	19	888	189	0	1	12	176
Precinct 1145 - Vote By Mail	374	63	888	461	0	0	24	437
Precinct 1146 - Election Day	150	22	1,011	186	0	0	14	172
Precinct 1146 - Vote By Mail	358	54	1,011	454	0	1	41	412
Precinct 1147 - Election Day	170	27	877	210	0	0	13	197
