Subtotal Area	KONSTANTINOS RODITIS	BETTY T. YEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	43,021	311,559	500,516	372,848	106	85	18,077	354,580
All Precincts - None	13,956	107,031	500,516	127,886	80	31	6,788	120,987
All Precincts - None	29,065	204,528	500,516	244,962	26	54	11,289	233,593
Precinct 1101 - None	14	105	553	126	0	0	7	119
Precinct 1101 - None	30	227	553	266	0	0	9	257
Precinct 1102 - None	23	230	995	266	0	0	13	253
Precinct 1102 - None	72	397	995	480	0	0	11	469
Precinct 1103 - None	28	205	951	246	1	0	12	233
Precinct 1103 - None	71	360	951	445	0	0	14	431
Precinct 1104/1105 - None	37	199	993	249	0	0	13	236
Precinct 1104/1105 - None	51	348	993	414	0	0	15	399
Precinct 1106 - None	25	158	765	191	0	0	8	183
Precinct 1106 - None	64	265	765	343	0	0	14	329
Precinct 1107 - None	11	145	746	163	0	0	7	156
Precinct 1107 - None	43	275	746	336	0	0	18	318
Precinct 1108 - None	15	203	909	232	0	0	14	218
Precinct 1108 - None	33	384	909	438	0	0	21	417
Precinct 1109 - None	18	139	798	166	0	0	9	157
Precinct 1109 - None	51	300	798	365	0	0	14	351
Precinct 1111 - None	22	170	1,002	205	0	0	13	192
Precinct 1111 - None	59	376	1,002	460	0	0	25	435
Precinct 1112 - None	10	130	769	151	0	0	11	140
Precinct 1112 - None	32	302	769	344	0	0	10	334
Precinct 1113 - None	16	111	746	135	0	0	8	127
Precinct 1113 - None	51	287	746	360	0	0	22	338
Precinct 1114 - None	29	177	957	226	0	0	20	206
Precinct 1114 - None	60	318	957	404	0	0	26	378
Precinct 1115 - None	9	156	895	174	0	0	9	165
Precinct 1115 - None	44	306	895	371	0	1	20	350
Precinct 1116 - None	11	199	895	225	0	0	15	210
Precinct 1116 - None	48	307	895	376	0	0	21	355
Precinct 1117 - None	16	153	858	185	0	0	16	169
Precinct 1117 - None	42	291	858	357	0	0	24	333
Precinct 1118 - None	18	185	1,043	213	0	0	10	203
Precinct 1118 - None	60	385	1,043	476	0	0	31	445
Precinct 1119 - None	17	135	791	165	0	0	13	152
Precinct 1119 - None	45	327	791	386	0	0	14	372
Precinct 1121 - None	25	124	691	160	0	0	11	149
Precinct 1121 - None	47	231	691	313	0	1	34	278
Precinct 1122 - None	13	89	632	110	0	1	7	102
Precinct 1122 - None	48	244	632	310	0	0	18	292
Precinct 1123 - None	10	161	915	179	0	0	8	171
Precinct 1123 - None	53	287	915	364	0	0	24	340
Precinct 1124 - None	17	123	819	152	0	0	12	140
Precinct 1124 - None	34	253	819	302	0	0	15	287
Precinct 1125 - None	28	123	1,047	159	0	0	8	151
Precinct 1125 - None	71	374	1,047	466	0	0	21	445
Precinct 1126 - None	19	163	922	191	0	0	9	182
Precinct 1126 - None	39	335	922	400	0	0	26	374
Precinct 1127 - None	29	158	920	200	0	0	13	187
Precinct 1127 - None	64	300	920	382	0	0	18	364
Precinct 1128 - None	22	126	838	154	0	0	6	148
Precinct 1128 - None	58	285	838	362	0	0	19	343
Precinct 1129 - None	41	170	980	227	0	0	16	211
Precinct 1129 - None	70	337	980	416	0	0	9	407
Precinct 1131 - None	15	107	797	132	0	0	10	122
Precinct 1131 - None	77	279	797	371	0	0	15	356
Precinct 1132 - None	15	157	969	179	0	0	7	172
Precinct 1132 - None	66	327	969	427	0	1	33	393
Precinct 1133 - None	17	134	863	161	0	0	10	151
Precinct 1133 - None	77	316	863	410	0	0	17	393
Precinct 1134 - None	11	139	759	170	0	0	20	150
Precinct 1134 - None	47	252	759	318	0	1	18	299
Precinct 1135 - None	10	73	540	87	0	0	4	83
Precinct 1135 - None	43	239	540	295	0	0	13	282
Precinct 1136 - None	16	119	829	144	0	0	9	135
Precinct 1136 - None	62	326	829	412	0	0	24	388
Precinct 1141 - None	26	184	1,041	223	0	0	13	210
Precinct 1141 - None	51	418	1,041	484	0	0	15	469
Precinct 1142 - None	19	150	861	175	0	0	6	169
Precinct 1142 - None	44	328	861	393	0	0	21	372
Precinct 1143 - None	14	209	1,034	229	0	0	6	223
Precinct 1143 - None	79	343	1,034	440	0	0	18	422
Precinct 1144 - None	22	171	907	205	0	1	11	193
Precinct 1144 - None	57	311	907	387	0	0	19	368
Precinct 1145 - None	24	153	888	189	0	0	12	177
Precinct 1145 - None	49	399	888	461	0	0	13	448
Precinct 1146 - None	23	150	1,011	186	0	0	13	173
Precinct 1146 - None	45	377	1,011	454	0	1	31	422
Precinct 1147 - None	29	169	877	210	0	0	12	198
Precinct 1147 - None	43	325	877	396	0	0	28	368
Precinct 1148 - None	27	154	962	196	0	0	15	181
Precinct 1148 - None	67	356	962	444	0	2	19	423
Precinct 1149 - None	22	174	907	210	0	0	14	196
Precinct 1149 - None	48	345	907	407	0	0	14	393
Precinct 1152 - None	31	157	864	198	0	0	10	188
Precinct 1152 - None	43	332	864	388	0	0	13	375
Precinct 1153 - None	35	156	951	210	0	1	18	191
Precinct 1153 - None	74	318	951	415	0	0	23	392
Precinct 7001 - None	15	150	776	176	2	0	9	165
Precinct 7001 - None	33	376	776	429	0	0	20	409
Precinct 7002 - None	12	156	706	176	0	0	8	168
Precinct 7002 - None	35	287	706	332	0	0	10	322
Precinct 7003 - None	22	210	884	238	0	0	6	232
Precinct 7003 - None	45	439	884	498	0	1	13	484
Precinct 7004 - None	19	212	881	241	1	0	9	231
Precinct 7004 - None	33	444	881	496	0	0	19	477
Precinct 7005 - None	13	227	847	253	0	0	13	240
Precinct 7005 - None	27	432	847	480	0	0	21	459
Precinct 7006 - None	20	226	917	254	0	0	8	246
Precinct 7006 - None	24	405	917	442	0	1	12	429
Precinct 7007 - None	14	260	949	283	0	0	9	274
Precinct 7007 - None	38	461	949	516	0	0	17	499
Precinct 7008 - None	23	229	932	264	1	0	11	252
Precinct 7008 - None	51	474	932	546	1	0	20	525
Precinct 7009 - None	19	158	905	185	0	0	8	177
Precinct 7009 - None	42	453	905	513	0	0	18	495
Precinct 7011 - None	10	183	985	204	0	0	11	193
Precinct 7011 - None	16	264	985	294	0	0	14	280
Precinct 7012 - None	41	269	1,109	313	0	0	3	310
Precinct 7012 - None	54	519	1,109	594	0	0	21	573
Precinct 7013 - None	24	224	956	267	0	0	19	248
Precinct 7013 - None	43	440	956	501	0	0	18	483
Precinct 7014 - None	29	322	1,460	367	0	0	16	351
Precinct 7014 - None	60	717	1,460	802	0	0	25	777
Precinct 7015 MB - None	2	41	95	44	0	0	1	43
Precinct 7016 - None	12	146	918	171	0	0	13	158
Precinct 7016 - None	29	236	918	280	0	0	15	265
Precinct 7017 - None	12	125	754	149	0	0	12	137
Precinct 7017 - None	10	233	754	252	0	0	9	243
Precinct 7018 - None	18	129	977	155	0	0	8	147
Precinct 7018 - None	43	374	977	448	0	0	31	417
Precinct 7019 - None	10	159	899	182	0	0	13	169
Precinct 7019 - None	40	357	899	413	0	0	16	397
Precinct 7021 - None	14	153	947	184	0	1	16	167
Precinct 7021 - None	29	255	947	305	0	0	21	284
Precinct 7022 - None	6	191	945	215	0	0	18	197
Precinct 7022 - None	32	309	945	352	0	0	11	341
Precinct 7023 - None	11	160	928	178	0	0	7	171
Precinct 7023 - None	32	346	928	400	0	1	21	378
Precinct 7024 - None	3	57	414	70	0	0	10	60
Precinct 7024 - None	10	62	414	78	0	0	6	72
Precinct 7025 - None	3	71	477	85	0	0	11	74
Precinct 7025 - None	10	112	477	128	0	0	6	122
Precinct 7026 - None	18	122	1,011	149	0	0	9	140
Precinct 7026 - None	55	375	1,011	455	0	0	25	430
Precinct 7027 - None	16	167	869	195	0	0	12	183
Precinct 7027 - None	49	288	869	353	0	1	15	337
Precinct 7028 - None	13	187	850	213	0	0	13	200
Precinct 7028 - None	12	259	850	282	0	0	11	271
Precinct 7029 - None	7	154	901	184	0	0	23	161
Precinct 7029 - None	19	227	901	251	0	0	5	246
Precinct 7030 - None	21	92	759	119	0	0	6	113
Precinct 7030 - None	76	254	759	357	0	0	27	330
Precinct 7031 - None	7	79	641	91	0	0	5	86
Precinct 7031 - None	41	247	641	309	0	1	20	288
Precinct 7032 - None	16	136	904	173	1	0	20	152
Precinct 7032 - None	31	259	904	316	0	0	26	290
Precinct 7033 - None	16	161	798	191	0	0	14	177
Precinct 7033 - None	19	220	798	247	0	0	8	239
Precinct 7034 - None	12	154	958	197	0	0	31	166
Precinct 7034 - None	9	174	958	201	0	0	18	183
Precinct 7035 - None	7	110	606	122	0	0	5	117
Precinct 7035 - None	27	223	606	262	0	0	12	250
Precinct 7036 - None	11	96	921	117	0	0	10	107
Precinct 7036 - None	76	254	921	342	0	0	12	330
Precinct 7037 - None	5	102	735	135	0	0	28	107
Precinct 7037 - None	13	71	735	98	0	0	14	84
Precinct 7038 - None	20	103	911	135	0	0	12	123
Precinct 7038 - None	62	268	911	351	0	0	21	330
Precinct 7039 - None	22	148	784	178	0	0	8	170
Precinct 7039 - None	55	237	784	306	0	0	14	292
Precinct 7041 MB - None	7	25	61	33	0	0	1	32
Precinct 7042 - None	17	94	639	118	0	0	7	111
Precinct 7042 - None	37	209	639	258	0	0	12	246
Precinct 7043 - None	15	151	957	176	0	0	10	166
Precinct 7043 - None	36	344	957	404	0	0	24	380
Precinct 7044 - None	12	131	827	167	0	0	24	143
Precinct 7044 - None	29	156	827	193	0	0	8	185
Precinct 7045 - None	15	92	779	120	0	0	13	107
Precinct 7045 - None	72	249	779	344	0	0	23	321
Precinct 7046 - None	6	84	402	94	0	0	4	90
Precinct 7046 - None	35	135	402	175	0	0	5	170
Precinct 7047 - None	10	101	823	119	0	0	8	111
Precinct 7047 - None	51	318	823	388	0	0	19	369
Precinct 7048 - None	15	119	858	150	3	0	13	134
Precinct 7048 - None	37	265	858	318	0	0	16	302
Precinct 7049 - None	29	123	792	173	0	0	21	152
Precinct 7049 - None	50	218	792	305	0	0	37	268
Precinct 7051 - None	13	93	861	114	0	0	8	106
Precinct 7051 - None	64	277	861	380	0	0	39	341
Precinct 7052 - None	17	133	852	161	0	0	11	150
Precinct 7052 - None	68	304	852	402	0	0	30	372
Precinct 7053 - None	10	85	548	102	0	0	7	95
Precinct 7053 - None	45	225	548	278	0	0	8	270
Precinct 7054 - None	18	186	1,073	215	0	0	11	204
Precinct 7054 - None	52	341	1,073	410	0	0	17	393
Precinct 7055 - None	11	168	808	190	0	0	11	179
Precinct 7055 - None	48	374	808	440	0	0	18	422
Precinct 7101 MB - None	5	110	155	120	1	0	4	115
Precinct 7201 - None	39	190	936	245	0	0	16	229
Precinct 7201 - None	95	401	936	518	0	0	22	496
Precinct 7202 - None	41	174	850	227	0	0	12	215
Precinct 7202 - None	96	319	850	431	0	0	16	415
Precinct 7203 - None	43	238	921	291	1	1	8	281
Precinct 7203 - None	62	342	921	423	0	0	19	404
Precinct 7204 - None	46	176	918	233	0	0	11	222
Precinct 7204 - None	88	427	918	531	0	0	16	515
Precinct 7205 - None	43	185	875	251	0	0	23	228
Precinct 7205 - None	96	366	875	485	0	0	23	462
Precinct 7206 - None	17	112	378	135	0	0	6	129
Precinct 7206 - None	30	153	378	191	0	0	8	183
Precinct 7207 - None	23	163	812	196	0	0	10	186
Precinct 7207 - None	49	356	812	434	0	0	29	405
Precinct 7208 - None	7	97	600	111	0	0	7	104
Precinct 7208 - None	48	268	600	328	0	0	12	316
Precinct 7209 - None	9	91	626	107	0	0	7	100
Precinct 7209 - None	62	340	626	423	0	0	21	402
