Subtotal Area	STEVEN C BAILEY	XAVIER BECERRA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	47,070	305,501	500,516	372,848	106	94	20,077	352,571
All Precincts - None	14,659	105,934	500,516	127,886	80	35	7,178	120,593
All Precincts - None	32,411	199,567	500,516	244,962	26	59	12,899	231,978
Precinct 1101 - None	16	103	553	126	0	0	7	119
Precinct 1101 - None	38	218	553	266	0	0	10	256
Precinct 1102 - None	24	232	995	266	0	1	9	256
Precinct 1102 - None	87	381	995	480	0	0	12	468
Precinct 1103 - None	24	209	951	246	1	0	12	233
Precinct 1103 - None	86	344	951	445	0	0	15	430
Precinct 1104/1105 - None	35	197	993	249	0	0	17	232
Precinct 1104/1105 - None	61	334	993	414	0	0	19	395
Precinct 1106 - None	24	156	765	191	0	0	11	180
Precinct 1106 - None	68	250	765	343	0	0	25	318
Precinct 1107 - None	18	135	746	163	0	0	10	153
Precinct 1107 - None	44	262	746	336	0	0	30	306
Precinct 1108 - None	22	189	909	232	0	0	21	211
Precinct 1108 - None	47	362	909	438	0	0	29	409
Precinct 1109 - None	24	132	798	166	0	0	10	156
Precinct 1109 - None	67	281	798	365	0	0	17	348
Precinct 1111 - None	21	167	1,002	205	0	0	17	188
Precinct 1111 - None	80	349	1,002	460	0	1	30	429
Precinct 1112 - None	14	123	769	151	0	1	13	137
Precinct 1112 - None	54	266	769	344	0	0	24	320
Precinct 1113 - None	16	111	746	135	0	0	8	127
Precinct 1113 - None	63	258	746	360	0	0	39	321
Precinct 1114 - None	36	166	957	226	0	0	24	202
Precinct 1114 - None	68	315	957	404	0	0	21	383
Precinct 1115 - None	12	150	895	174	0	0	12	162
Precinct 1115 - None	83	265	895	371	0	0	23	348
Precinct 1116 - None	20	190	895	225	0	0	15	210
Precinct 1116 - None	67	278	895	376	0	0	31	345
Precinct 1117 - None	19	147	858	185	0	0	19	166
Precinct 1117 - None	43	281	858	357	0	0	33	324
Precinct 1118 - None	19	184	1,043	213	0	1	9	203
Precinct 1118 - None	92	345	1,043	476	0	0	39	437
Precinct 1119 - None	11	142	791	165	0	0	12	153
Precinct 1119 - None	60	312	791	386	0	0	14	372
Precinct 1121 - None	29	119	691	160	0	0	12	148
Precinct 1121 - None	52	230	691	313	0	0	31	282
Precinct 1122 - None	16	84	632	110	0	0	10	100
Precinct 1122 - None	79	200	632	310	0	0	31	279
Precinct 1123 - None	13	157	915	179	0	0	9	170
Precinct 1123 - None	62	272	915	364	0	0	30	334
Precinct 1124 - None	23	117	819	152	0	0	12	140
Precinct 1124 - None	50	239	819	302	0	0	13	289
Precinct 1125 - None	28	119	1,047	159	0	0	12	147
Precinct 1125 - None	89	352	1,047	466	0	0	25	441
Precinct 1126 - None	24	163	922	191	0	0	4	187
Precinct 1126 - None	58	314	922	400	0	1	27	372
Precinct 1127 - None	38	148	920	200	0	0	14	186
Precinct 1127 - None	77	275	920	382	0	0	30	352
Precinct 1128 - None	24	122	838	154	0	0	8	146
Precinct 1128 - None	72	272	838	362	0	0	18	344
Precinct 1129 - None	47	163	980	227	0	0	17	210
Precinct 1129 - None	93	311	980	416	0	0	12	404
Precinct 1131 - None	16	105	797	132	0	0	11	121
Precinct 1131 - None	96	254	797	371	0	1	20	350
Precinct 1132 - None	17	148	969	179	0	0	14	165
Precinct 1132 - None	84	305	969	427	0	0	38	389
Precinct 1133 - None	19	128	863	161	0	0	14	147
Precinct 1133 - None	87	300	863	410	0	0	23	387
Precinct 1134 - None	11	145	759	170	0	0	14	156
Precinct 1134 - None	68	217	759	318	0	0	33	285
Precinct 1135 - None	11	69	540	87	0	0	7	80
Precinct 1135 - None	62	215	540	295	0	0	18	277
Precinct 1136 - None	21	111	829	144	0	0	12	132
Precinct 1136 - None	83	298	829	412	0	0	31	381
Precinct 1141 - None	24	183	1,041	223	0	0	16	207
Precinct 1141 - None	64	394	1,041	484	0	1	25	458
Precinct 1142 - None	23	145	861	175	0	0	7	168
Precinct 1142 - None	64	306	861	393	0	0	23	370
Precinct 1143 - None	19	207	1,034	229	0	0	3	226
Precinct 1143 - None	91	324	1,034	440	0	1	24	415
Precinct 1144 - None	30	166	907	205	0	1	8	196
Precinct 1144 - None	70	295	907	387	0	1	21	365
Precinct 1145 - None	18	159	888	189	0	1	11	177
Precinct 1145 - None	70	370	888	461	0	0	21	440
Precinct 1146 - None	26	145	1,011	186	0	0	15	171
Precinct 1146 - None	57	358	1,011	454	0	1	38	415
Precinct 1147 - None	28	170	877	210	0	0	12	198
Precinct 1147 - None	67	298	877	396	0	0	31	365
Precinct 1148 - None	26	157	962	196	0	0	13	183
Precinct 1148 - None	83	326	962	444	0	2	33	409
Precinct 1149 - None	23	175	907	210	0	0	12	198
Precinct 1149 - None	59	326	907	407	0	0	22	385
Precinct 1152 - None	33	154	864	198	0	0	11	187
Precinct 1152 - None	67	303	864	388	0	0	18	370
Precinct 1153 - None	34	160	951	210	0	1	15	194
Precinct 1153 - None	86	290	951	415	0	0	39	376
Precinct 7001 - None	11	156	776	176	2	0	7	167
Precinct 7001 - None	27	375	776	429	0	1	26	402
Precinct 7002 - None	12	156	706	176	0	0	8	168
Precinct 7002 - None	35	285	706	332	0	0	12	320
Precinct 7003 - None	22	203	884	238	0	0	13	225
Precinct 7003 - None	38	445	884	498	0	0	15	483
Precinct 7004 - None	17	214	881	241	1	0	9	231
Precinct 7004 - None	26	453	881	496	0	1	16	479
Precinct 7005 - None	12	230	847	253	0	0	11	242
Precinct 7005 - None	22	444	847	480	0	0	14	466
Precinct 7006 - None	16	229	917	254	0	0	9	245
Precinct 7006 - None	25	397	917	442	0	0	20	422
Precinct 7007 - None	14	258	949	283	0	1	10	272
Precinct 7007 - None	35	466	949	516	0	0	15	501
Precinct 7008 - None	20	238	932	264	1	0	5	258
Precinct 7008 - None	47	473	932	546	1	0	25	520
Precinct 7009 - None	20	155	905	185	0	0	10	175
Precinct 7009 - None	49	453	905	513	0	0	11	502
Precinct 7011 - None	18	177	985	204	0	0	9	195
Precinct 7011 - None	15	268	985	294	0	0	11	283
Precinct 7012 - None	37	271	1,109	313	0	0	5	308
Precinct 7012 - None	47	521	1,109	594	0	1	25	568
Precinct 7013 - None	19	227	956	267	0	0	21	246
