Subtotal Area	RICARDO LARA	STEVE POIZNER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	235,299	102,364	500,516	372,848	106	157	34,922	337,663
All Precincts - Election Day	83,691	32,124	500,516	127,886	80	44	11,947	115,815
All Precincts - Vote By Mail	151,608	70,240	500,516	244,962	26	113	22,975	221,848
Precinct 1101 - Election Day	87	27	553	126	0	0	12	114
Precinct 1101 - Vote By Mail	181	66	553	266	0	0	19	247
Precinct 1102 - Election Day	189	59	995	266	0	0	18	248
Precinct 1102 - Vote By Mail	326	129	995	480	0	0	25	455
Precinct 1103 - Election Day	166	55	951	246	1	0	24	221
Precinct 1103 - Vote By Mail	281	136	951	445	0	0	28	417
Precinct 1104/1105 - Election Day	171	52	993	249	0	0	26	223
Precinct 1104/1105 - Vote By Mail	286	91	993	414	0	0	37	377
Precinct 1106 - Election Day	136	41	765	191	0	0	14	177
Precinct 1106 - Vote By Mail	209	105	765	343	0	0	29	314
Precinct 1107 - Election Day	112	36	746	163	0	0	15	148
Precinct 1107 - Vote By Mail	209	82	746	336	0	0	45	291
Precinct 1108 - Election Day	160	43	909	232	0	0	29	203
Precinct 1108 - Vote By Mail	281	117	909	438	0	0	40	398
Precinct 1109 - Election Day	116	36	798	166	0	0	14	152
Precinct 1109 - Vote By Mail	233	96	798	365	0	0	36	329
Precinct 1111 - Election Day	149	36	1,002	205	0	0	20	185
Precinct 1111 - Vote By Mail	288	118	1,002	460	0	2	52	406
Precinct 1112 - Election Day	99	35	769	151	0	0	17	134
Precinct 1112 - Vote By Mail	222	89	769	344	0	0	33	311
Precinct 1113 - Election Day	97	27	746	135	0	0	11	124
Precinct 1113 - Vote By Mail	208	102	746	360	0	0	50	310
Precinct 1114 - Election Day	158	35	957	226	0	0	33	193
Precinct 1114 - Vote By Mail	255	107	957	404	0	1	41	362
Precinct 1115 - Election Day	126	33	895	174	0	0	15	159
Precinct 1115 - Vote By Mail	233	99	895	371	0	1	38	332
Precinct 1116 - Election Day	160	46	895	225	0	0	19	206
Precinct 1116 - Vote By Mail	244	96	895	376	0	0	36	340
Precinct 1117 - Election Day	124	35	858	185	0	0	26	159
Precinct 1117 - Vote By Mail	238	79	858	357	0	0	40	317
Precinct 1118 - Election Day	153	43	1,043	213	0	1	16	196
Precinct 1118 - Vote By Mail	301	120	1,043	476	0	0	55	421
Precinct 1119 - Election Day	111	31	791	165	0	0	23	142
Precinct 1119 - Vote By Mail	267	92	791	386	0	0	27	359
Precinct 1121 - Election Day	96	47	691	160	0	0	17	143
Precinct 1121 - Vote By Mail	182	82	691	313	0	1	48	264
Precinct 1122 - Election Day	67	29	632	110	0	1	13	96
Precinct 1122 - Vote By Mail	168	103	632	310	0	0	39	271
Precinct 1123 - Election Day	130	39	915	179	0	0	10	169
Precinct 1123 - Vote By Mail	236	94	915	364	0	0	34	330
Precinct 1124 - Election Day	109	29	819	152	0	0	14	138
Precinct 1124 - Vote By Mail	213	62	819	302	0	0	27	275
Precinct 1125 - Election Day	106	40	1,047	159	0	0	13	146
Precinct 1125 - Vote By Mail	314	121	1,047	466	0	0	31	435
Precinct 1126 - Election Day	145	32	922	191	0	0	14	177
