Subtotal Area	MALIA COHEN	MARK BURNS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	292,973	47,753	500,516	372,848	106	75	31,941	340,726
All Precincts - None	101,688	14,430	500,516	127,886	80	29	11,659	116,118
All Precincts - None	191,285	33,323	500,516	244,962	26	46	20,282	224,608
Precinct 1101 - None	106	10	553	126	0	0	10	116
Precinct 1101 - None	202	46	553	266	0	0	18	248
Precinct 1102 - None	218	28	995	266	0	0	20	246
Precinct 1102 - None	373	83	995	480	0	0	24	456
Precinct 1103 - None	186	33	951	246	1	0	26	219
Precinct 1103 - None	332	87	951	445	0	0	26	419
Precinct 1104/1105 - None	195	33	993	249	0	0	21	228
Precinct 1104/1105 - None	316	67	993	414	0	1	30	383
Precinct 1106 - None	149	25	765	191	0	0	17	174
Precinct 1106 - None	247	63	765	343	0	0	33	310
Precinct 1107 - None	135	15	746	163	0	0	13	150
Precinct 1107 - None	255	51	746	336	0	0	30	306
Precinct 1108 - None	189	21	909	232	0	0	22	210
Precinct 1108 - None	357	54	909	438	0	0	27	411
Precinct 1109 - None	129	22	798	166	0	0	15	151
Precinct 1109 - None	271	61	798	365	0	0	33	332
Precinct 1111 - None	166	17	1,002	205	0	0	22	183
Precinct 1111 - None	341	82	1,002	460	0	0	37	423
Precinct 1112 - None	124	14	769	151	0	0	13	138
Precinct 1112 - None	265	49	769	344	0	0	30	314
Precinct 1113 - None	109	16	746	135	0	1	9	125
Precinct 1113 - None	252	66	746	360	0	0	42	318
Precinct 1114 - None	161	35	957	226	0	0	30	196
Precinct 1114 - None	299	68	957	404	0	0	37	367
Precinct 1115 - None	148	11	895	174	0	0	15	159
Precinct 1115 - None	273	66	895	371	0	1	31	339
Precinct 1116 - None	198	13	895	225	0	0	14	211
Precinct 1116 - None	284	65	895	376	0	0	27	349
Precinct 1117 - None	145	18	858	185	0	0	22	163
Precinct 1117 - None	269	48	858	357	0	0	40	317
Precinct 1118 - None	181	20	1,043	213	0	0	12	201
Precinct 1118 - None	352	82	1,043	476	0	0	42	434
Precinct 1119 - None	134	15	791	165	0	0	16	149
Precinct 1119 - None	305	59	791	386	0	1	21	364
Precinct 1121 - None	108	33	691	160	0	0	19	141
Precinct 1121 - None	218	54	691	313	0	1	40	272
Precinct 1122 - None	84	16	632	110	0	0	10	100
Precinct 1122 - None	205	75	632	310	0	0	30	280
Precinct 1123 - None	152	12	915	179	0	0	15	164
Precinct 1123 - None	279	55	915	364	0	0	30	334
Precinct 1124 - None	120	20	819	152	0	0	12	140
Precinct 1124 - None	247	41	819	302	0	0	14	288
