Subtotal Area	DIANNE FEINSTEIN	KEVIN DE LEON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	226,167	125,954	500,516	372,848	106	374	20,247	352,121
All Precincts - Election Day	76,171	44,726	500,516	127,886	80	147	6,762	120,897
All Precincts - Vote By Mail	149,996	81,228	500,516	244,962	26	227	13,485	231,224
Precinct 1101 - Election Day	73	45	553	126	0	1	7	118
Precinct 1101 - Vote By Mail	135	118	553	266	0	1	12	253
Precinct 1102 - Election Day	152	106	995	266	0	1	7	258
Precinct 1102 - Vote By Mail	284	174	995	480	0	0	22	458
Precinct 1103 - Election Day	155	81	951	246	1	0	9	236
Precinct 1103 - Vote By Mail	235	187	951	445	0	1	22	422
Precinct 1104/1105 - Election Day	143	94	993	249	0	0	12	237
Precinct 1104/1105 - Vote By Mail	229	156	993	414	0	2	27	385
Precinct 1106 - Election Day	120	55	765	191	0	1	15	175
Precinct 1106 - Vote By Mail	203	98	765	343	0	2	40	301
Precinct 1107 - Election Day	119	38	746	163	0	0	6	157
Precinct 1107 - Vote By Mail	205	106	746	336	0	1	24	311
Precinct 1108 - Election Day	141	74	909	232	0	0	17	215
Precinct 1108 - Vote By Mail	297	130	909	438	0	0	11	427
Precinct 1109 - Election Day	92	61	798	166	0	0	13	153
Precinct 1109 - Vote By Mail	225	104	798	365	0	0	36	329
Precinct 1111 - Election Day	113	71	1,002	205	0	0	21	184
Precinct 1111 - Vote By Mail	304	123	1,002	460	0	0	33	427
Precinct 1112 - Election Day	88	49	769	151	0	1	13	137
Precinct 1112 - Vote By Mail	230	92	769	344	0	2	20	322
Precinct 1113 - Election Day	71	56	746	135	0	0	8	127
Precinct 1113 - Vote By Mail	201	118	746	360	0	0	41	319
Precinct 1114 - Election Day	115	90	957	226	0	1	20	205
Precinct 1114 - Vote By Mail	209	157	957	404	0	0	38	366
Precinct 1115 - Election Day	99	67	895	174	0	1	7	166
Precinct 1115 - Vote By Mail	228	121	895	371	0	2	20	349
Precinct 1116 - Election Day	155	61	895	225	0	0	9	216
Precinct 1116 - Vote By Mail	232	105	895	376	0	0	39	337
Precinct 1117 - Election Day	123	47	858	185	0	0	15	170
Precinct 1117 - Vote By Mail	221	110	858	357	0	0	26	331
Precinct 1118 - Election Day	126	76	1,043	213	0	0	11	202
Precinct 1118 - Vote By Mail	261	168	1,043	476	0	1	46	429
Precinct 1119 - Election Day	86	63	791	165	0	0	16	149
Precinct 1119 - Vote By Mail	229	134	791	386	0	4	19	363
Precinct 1121 - Election Day	90	56	691	160	0	0	14	146
Precinct 1121 - Vote By Mail	176	97	691	313	0	2	38	273
Precinct 1122 - Election Day	76	30	632	110	0	0	4	106
Precinct 1122 - Vote By Mail	192	96	632	310	0	0	22	288
Precinct 1123 - Election Day	110	63	915	179	0	0	6	173
Precinct 1123 - Vote By Mail	218	115	915	364	0	0	31	333
Precinct 1124 - Election Day	82	59	819	152	0	1	10	141
Precinct 1124 - Vote By Mail	186	96	819	302	0	1	19	282
Precinct 1125 - Election Day	92	58	1,047	159	0	0	9	150
Precinct 1125 - Vote By Mail	305	135	1,047	466	0	0	26	440
Precinct 1126 - Election Day	119	60	922	191	0	1	11	179
Precinct 1126 - Vote By Mail	262	103	922	400	0	2	33	365
Precinct 1127 - Election Day	116	67	920	200	0	1	16	183
Precinct 1127 - Vote By Mail	231	123	920	382	0	1	27	354
Precinct 1128 - Election Day	94	48	838	154	0	0	12	142
Precinct 1128 - Vote By Mail	221	113	838	362	0	0	28	334
Precinct 1129 - Election Day	128	71	980	227	0	4	24	199
Precinct 1129 - Vote By Mail	249	131	980	416	0	1	35	380
Precinct 1131 - Election Day	74	50	797	132	0	0	8	124
Precinct 1131 - Vote By Mail	239	113	797	371	0	0	19	352
Precinct 1132 - Election Day	104	58	969	179	0	0	17	162
Precinct 1132 - Vote By Mail	241	134	969	427	0	0	52	375
Precinct 1133 - Election Day	104	47	863	161	0	0	10	151
Precinct 1133 - Vote By Mail	255	125	863	410	0	0	30	380
Precinct 1134 - Election Day	101	56	759	170	0	0	13	157
Precinct 1134 - Vote By Mail	194	98	759	318	0	0	26	292
Precinct 1135 - Election Day	48	34	540	87	0	0	5	82
Precinct 1135 - Vote By Mail	180	97	540	295	0	0	18	277
Precinct 1136 - Election Day	85	43	829	144	0	0	16	128
Precinct 1136 - Vote By Mail	245	139	829	412	0	0	28	384
Precinct 1141 - Election Day	134	79	1,041	223	0	0	10	213
Precinct 1141 - Vote By Mail	288	162	1,041	484	0	0	34	450
Precinct 1142 - Election Day	97	66	861	175	0	2	10	163
Precinct 1142 - Vote By Mail	219	145	861	393	0	0	29	364
Precinct 1143 - Election Day	130	89	1,034	229	0	2	8	219
Precinct 1143 - Vote By Mail	239	163	1,034	440	0	2	36	402
Precinct 1144 - Election Day	134	64	907	205	0	1	6	198
Precinct 1144 - Vote By Mail	232	122	907	387	0	1	32	354
Precinct 1145 - Election Day	100	78	888	189	0	1	10	178
Precinct 1145 - Vote By Mail	292	150	888	461	0	1	18	442
Precinct 1146 - Election Day	93	83	1,011	186	0	0	10	176
Precinct 1146 - Vote By Mail	275	146	1,011	454	0	2	31	421
Precinct 1147 - Election Day	111	86	877	210	0	2	11	197
Precinct 1147 - Vote By Mail	223	145	877	396	0	0	28	368
Precinct 1148 - Election Day	100	83	962	196	0	1	12	183
Precinct 1148 - Vote By Mail	269	140	962	444	0	2	33	409
Precinct 1149 - Election Day	118	79	907	210	0	1	12	197
Precinct 1149 - Vote By Mail	247	137	907	407	0	1	22	384
Precinct 1152 - Election Day	100	82	864	198	0	0	16	182
Precinct 1152 - Vote By Mail	260	105	864	388	0	0	23	365
Precinct 1153 - Election Day	132	61	951	210	0	1	16	193
Precinct 1153 - Vote By Mail	239	137	951	415	0	2	37	376
Precinct 7001 - Election Day	97	70	776	176	2	0	7	167
Precinct 7001 - Vote By Mail	242	162	776	429	0	0	25	404
Precinct 7002 - Election Day	99	75	706	176	0	0	2	174
Precinct 7002 - Vote By Mail	187	129	706	332	0	1	15	316
Precinct 7003 - Election Day	133	100	884	238	0	0	5	233
Precinct 7003 - Vote By Mail	298	186	884	498	0	1	13	484
Precinct 7004 - Election Day	153	79	881	241	1	0	8	232
Precinct 7004 - Vote By Mail	312	172	881	496	0	0	12	484
Precinct 7005 - Election Day	153	93	847	253	0	0	7	246
Precinct 7005 - Vote By Mail	303	156	847	480	0	0	21	459
Precinct 7006 - Election Day	111	132	917	254	0	0	11	243
Precinct 7006 - Vote By Mail	212	211	917	442	0	0	19	423
Precinct 7007 - Election Day	180	98	949	283	0	0	5	278
