Subtotal Area	LISA REMMER	NANCY PELOSI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	41,780	275,292	443,570	332,491	87	107	15,225	317,072
All Precincts - Election Day	13,438	95,340	443,570	114,781	67	34	5,902	108,778
All Precincts - Vote By Mail	28,342	179,952	443,570	217,710	20	73	9,323	208,294
Precinct 1141 - Election Day	28	177	1,041	223	0	0	18	205
Precinct 1141 - Vote By Mail	67	397	1,041	484	0	0	20	464
Precinct 1142 - Election Day	21	145	861	175	0	0	9	166
Precinct 1142 - Vote By Mail	54	303	861	393	0	0	36	357
Precinct 1143 - Election Day	13	204	1,034	229	0	0	12	217
Precinct 1143 - Vote By Mail	88	330	1,034	440	0	0	22	418
Precinct 1144 - Election Day	28	163	907	205	0	1	13	191
Precinct 1144 - Vote By Mail	64	302	907	387	0	0	21	366
Precinct 1145 - Election Day	25	152	888	189	0	0	12	177
Precinct 1145 - Vote By Mail	63	377	888	461	0	1	20	440
Precinct 1146 - Election Day	25	147	1,011	186	0	0	14	172
Precinct 1146 - Vote By Mail	74	353	1,011	454	0	1	26	427
Precinct 1147 - Election Day	31	168	877	210	0	0	11	199
Precinct 1147 - Vote By Mail	74	300	877	396	0	0	22	374
Precinct 1148 - Election Day	30	150	962	196	0	0	16	180
Precinct 1148 - Vote By Mail	90	325	962	444	0	2	27	415
Precinct 1149 - Election Day	21	178	907	210	0	0	11	199
Precinct 1149 - Vote By Mail	57	328	907	407	0	0	22	385
Precinct 1152 - Election Day	37	151	864	198	0	0	10	188
Precinct 1152 - Vote By Mail	61	313	864	388	0	0	14	374
Precinct 1153 - Election Day	34	164	951	210	0	1	11	198
Precinct 1153 - Vote By Mail	87	305	951	415	0	0	23	392
Precinct 7001 - Election Day	15	147	776	176	2	0	12	162
Precinct 7001 - Vote By Mail	38	360	776	429	0	1	30	398
Precinct 7002 - Election Day	16	150	706	176	0	0	10	166
Precinct 7002 - Vote By Mail	35	281	706	332	0	0	16	316
Precinct 7003 - Election Day	28	197	884	238	0	0	13	225
Precinct 7003 - Vote By Mail	58	421	884	498	0	0	19	479
Precinct 7004 - Election Day	18	215	881	241	1	0	7	233
Precinct 7004 - Vote By Mail	40	435	881	496	0	0	21	475
Precinct 7005 - Election Day	11	229	847	253	0	0	13	240
Precinct 7005 - Vote By Mail	28	436	847	480	0	1	15	464
Precinct 7006 - Election Day	23	213	917	254	0	0	18	236
Precinct 7006 - Vote By Mail	36	379	917	442	0	0	27	415
Precinct 7007 - Election Day	15	258	949	283	0	0	10	273
Precinct 7007 - Vote By Mail	38	454	949	516	0	0	24	492
Precinct 7008 - Election Day	25	230	932	264	1	0	8	255
Precinct 7008 - Vote By Mail	55	474	932	546	1	0	16	529
Precinct 7009 - Election Day	23	152	905	185	0	0	10	175
Precinct 7009 - Vote By Mail	45	444	905	513	0	0	24	489
Precinct 7011 - Election Day	14	178	985	204	0	0	12	192
Precinct 7011 - Vote By Mail	18	274	985	294	0	0	2	292
Precinct 7012 - Election Day	39	263	1,109	313	0	0	11	302
Precinct 7012 - Vote By Mail	49	520	1,109	594	0	1	24	569
Precinct 7013 - Election Day	29	224	956	267	0	0	14	253
Precinct 7013 - Vote By Mail	48	435	956	501	0	0	18	483
Precinct 7014 - Election Day	35	320	1,460	367	0	0	12	355
Precinct 7014 - Vote By Mail	58	719	1,460	802	0	0	25	777
Precinct 7015 MB - Vote By Mail	3	39	95	44	0	0	2	42
Precinct 7016 - Election Day	16	143	918	171	0	0	12	159
Precinct 7016 - Vote By Mail	37	220	918	280	0	0	23	257
Precinct 7017 - Election Day	13	126	754	149	0	0	10	139
Precinct 7017 - Vote By Mail	15	230	754	252	0	0	7	245
Precinct 7018 - Election Day	21	120	977	155	0	0	14	141
Precinct 7018 - Vote By Mail	61	363	977	448	0	0	24	424
Precinct 7019 - Election Day	13	157	899	182	0	0	12	170
Precinct 7019 - Vote By Mail	51	344	899	413	0	0	18	395
Precinct 7021 - Election Day	15	153	947	184	0	1	15	168
Precinct 7021 - Vote By Mail	23	260	947	305	0	0	22	283
Precinct 7022 - Election Day	11	190	945	215	0	1	13	201
Precinct 7022 - Vote By Mail	33	308	945	352	0	0	11	341
Precinct 7023 - Election Day	8	164	928	178	0	0	6	172
Precinct 7023 - Vote By Mail	37	346	928	400	0	0	17	383
Precinct 7024 - Election Day	7	59	414	70	0	0	4	66
Precinct 7024 - Vote By Mail	13	62	414	78	0	0	3	75
Precinct 7025 - Election Day	3	77	477	85	0	0	5	80
Precinct 7025 - Vote By Mail	10	115	477	128	0	0	3	125
Precinct 7026 - Election Day	19	119	1,011	149	0	0	11	138
Precinct 7026 - Vote By Mail	79	348	1,011	455	0	0	28	427
Precinct 7027 - Election Day	14	167	869	195	0	0	14	181
Precinct 7027 - Vote By Mail	50	285	869	353	0	0	18	335
Precinct 7028 - Election Day	21	180	850	213	0	0	12	201
Precinct 7028 - Vote By Mail	18	255	850	282	0	0	9	273
Precinct 7029 - Election Day	11	158	901	184	0	0	15	169
Precinct 7029 - Vote By Mail	22	217	901	251	0	0	12	239
Precinct 7030 - Election Day	30	85	759	119	0	0	4	115
Precinct 7030 - Vote By Mail	89	236	759	357	0	1	31	325
Precinct 7031 - Election Day	7	80	641	91	0	0	4	87
Precinct 7031 - Vote By Mail	46	250	641	309	0	0	13	296
Precinct 7032 - Election Day	13	140	904	173	1	0	19	153
Precinct 7032 - Vote By Mail	40	260	904	316	0	0	16	300
Precinct 7033 - Election Day	20	153	798	191	0	0	18	173
Precinct 7033 - Vote By Mail	26	217	798	247	0	0	4	243
