Subtotal Area	CRISTINA OSMEÑA	JACKIE SPEIER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts - Total	6,487	31,632	56,946	40,357	19	8	2,211	38,119
All Precincts - Election Day	1,880	10,274	56,946	13,105	13	5	933	12,154
All Precincts - Vote By Mail	4,607	21,358	56,946	27,252	6	3	1,278	25,965
Precinct 1101 - Election Day	13	110	553	126	0	0	3	123
Precinct 1101 - Vote By Mail	41	217	553	266	0	0	8	258
Precinct 1102 - Election Day	23	224	995	266	0	0	19	247
Precinct 1102 - Vote By Mail	85	385	995	480	0	0	10	470
Precinct 1103 - Election Day	27	201	951	246	1	0	17	228
Precinct 1103 - Vote By Mail	75	355	951	445	0	0	15	430
Precinct 1104/1105 - Election Day	34	190	993	249	0	0	25	224
Precinct 1104/1105 - Vote By Mail	68	331	993	414	0	0	15	399
Precinct 1106 - Election Day	25	155	765	191	0	1	10	180
Precinct 1106 - Vote By Mail	65	265	765	343	0	0	13	330
Precinct 1107 - Election Day	13	136	746	163	0	0	14	149
Precinct 1107 - Vote By Mail	42	273	746	336	0	0	21	315
Precinct 1108 - Election Day	18	192	909	232	0	0	22	210
Precinct 1108 - Vote By Mail	39	383	909	438	0	0	16	422
Precinct 1109 - Election Day	18	136	798	166	0	0	12	154
Precinct 1109 - Vote By Mail	47	287	798	365	0	0	31	334
Precinct 1111 - Election Day	21	161	1,002	205	0	0	23	182
Precinct 1111 - Vote By Mail	77	353	1,002	460	0	0	30	430
Precinct 1112 - Election Day	19	115	769	151	0	0	17	134
Precinct 1112 - Vote By Mail	46	281	769	344	0	0	17	327
Precinct 1113 - Election Day	20	108	746	135	0	0	7	128
Precinct 1113 - Vote By Mail	64	260	746	360	0	0	36	324
Precinct 1114 - Election Day	32	161	957	226	0	0	33	193
Precinct 1114 - Vote By Mail	68	301	957	404	0	0	35	369
Precinct 1115 - Election Day	15	142	895	174	0	0	17	157
Precinct 1115 - Vote By Mail	66	280	895	371	0	0	25	346
Precinct 1116 - Election Day	14	191	895	225	0	0	20	205
Precinct 1116 - Vote By Mail	57	292	895	376	0	0	27	349
Precinct 1117 - Election Day	25	139	858	185	0	0	21	164
Precinct 1117 - Vote By Mail	56	274	858	357	0	0	27	330
Precinct 1118 - Election Day	18	176	1,043	213	0	0	19	194
Precinct 1118 - Vote By Mail	76	367	1,043	476	0	0	33	443
Precinct 1119 - Election Day	19	129	791	165	0	0	17	148
Precinct 1119 - Vote By Mail	57	307	791	386	0	0	22	364
Precinct 1121 - Election Day	28	112	691	160	0	1	19	140
Precinct 1121 - Vote By Mail	55	227	691	313	0	0	31	282
Precinct 1122 - Election Day	18	86	632	110	0	0	6	104
Precinct 1122 - Vote By Mail	56	228	632	310	0	0	26	284
Precinct 1123 - Election Day	18	153	915	179	0	0	8	171
Precinct 1123 - Vote By Mail	60	273	915	364	0	0	31	333
