Subtotal Area	DAVID CHIU	ALEJANDRO FERNANDEZ	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted
All Precincts	140,381	45,483	291,063	214,827	62	192	28,709	185,864
All Precincts - Election Day	44,806	18,059	291,063	73,732	46	82	10,739	62,865
All Precincts - Vote By Mail	95,575	27,424	291,063	141,095	16	110	17,970	122,999
Precinct 1141 - Election Day	115	79	1,041	223	0	0	29	194
Precinct 1141 - Vote By Mail	324	111	1,041	484	0	0	49	435
Precinct 1142 - Election Day	94	57	861	175	0	0	24	151
Precinct 1142 - Vote By Mail	231	104	861	393	0	0	58	335
Precinct 1143 - Election Day	114	92	1,034	229	0	2	21	206
Precinct 1143 - Vote By Mail	247	137	1,034	440	0	1	55	384
Precinct 1144 - Election Day	105	81	907	205	0	1	18	186
Precinct 1144 - Vote By Mail	241	93	907	387	0	0	53	334
Precinct 1145 - Election Day	104	58	888	189	0	0	27	162
Precinct 1145 - Vote By Mail	303	106	888	461	0	0	52	409
Precinct 1146 - Election Day	86	64	1,011	186	0	0	36	150
Precinct 1146 - Vote By Mail	289	117	1,011	454	0	2	46	406
Precinct 1147 - Election Day	113	73	877	210	0	1	23	186
Precinct 1147 - Vote By Mail	231	114	877	396	0	0	51	345
Precinct 1148 - Election Day	101	63	962	196	0	0	32	164
Precinct 1148 - Vote By Mail	270	121	962	444	0	3	50	391
Precinct 1149 - Election Day	111	76	907	210	0	1	22	187
Precinct 1149 - Vote By Mail	269	99	907	407	0	0	39	368
Precinct 1152 - Election Day	102	60	864	198	0	0	36	162
Precinct 1152 - Vote By Mail	258	93	864	388	0	0	37	351
Precinct 1153 - Election Day	97	77	951	210	0	1	35	174
Precinct 1153 - Vote By Mail	252	108	951	415	0	2	53	360
Precinct 7001 - Election Day	113	37	776	176	2	0	24	150
Precinct 7001 - Vote By Mail	297	72	776	429	0	0	60	369
Precinct 7002 - Election Day	106	46	706	176	0	0	24	152
Precinct 7002 - Vote By Mail	209	71	706	332	0	0	52	280
Precinct 7003 - Election Day	158	56	884	238	0	0	24	214
Precinct 7003 - Vote By Mail	354	75	884	498	0	1	68	429
Precinct 7004 - Election Day	165	38	881	241	1	0	37	203
Precinct 7004 - Vote By Mail	364	76	881	496	0	0	56	440
Precinct 7005 - Election Day	170	43	847	253	0	0	40	213
Precinct 7005 - Vote By Mail	335	79	847	480	0	0	66	414
Precinct 7006 - Election Day	141	70	917	254	0	0	43	211
Precinct 7006 - Vote By Mail	293	88	917	442	0	0	61	381
Precinct 7007 - Election Day	193	61	949	283	0	0	29	254
Precinct 7007 - Vote By Mail	354	103	949	516	0	0	59	457
Precinct 7008 - Election Day	180	52	932	264	1	0	31	232
Precinct 7008 - Vote By Mail	391	83	932	546	1	0	71	474
Precinct 7009 - Election Day	100	46	905	185	0	0	39	146
Precinct 7009 - Vote By Mail	340	103	905	513	0	1	69	443
Precinct 7011 - Election Day	120	60	985	204	0	0	24	180
Precinct 7011 - Vote By Mail	199	66	985	294	0	1	28	265
Precinct 7012 - Election Day	192	75	1,109	313	0	0	46	267
Precinct 7012 - Vote By Mail	426	102	1,109	594	0	0	66	528
Precinct 7013 - Election Day	160	54	956	267	0	0	53	214
Precinct 7013 - Vote By Mail	344	103	956	501	0	0	54	447
Precinct 7014 - Election Day	226	92	1,460	367	0	0	49	318
Precinct 7014 - Vote By Mail	556	143	1,460	802	0	0	103	699
Precinct 7015 MB - Vote By Mail	25	13	95	44	0	0	6	38
Precinct 7016 - Election Day	93	56	918	171	0	1	21	149
Precinct 7016 - Vote By Mail	175	71	918	280	0	0	34	246
Precinct 7017 - Election Day	77	52	754	149	0	2	18	129
Precinct 7017 - Vote By Mail	160	67	754	252	0	0	25	227
Precinct 7018 - Election Day	97	35	977	155	0	0	23	132
Precinct 7018 - Vote By Mail	325	72	977	448	0	2	49	397
Precinct 7019 - Election Day	109	51	899	182	0	0	22	160
Precinct 7019 - Vote By Mail	289	78	899	413	0	1	45	367
Precinct 7021 - Election Day	97	56	947	184	0	2	29	153
Precinct 7021 - Vote By Mail	204	67	947	305	0	0	34	271
Precinct 7022 - Election Day	132	59	945	215	0	0	24	191
Precinct 7022 - Vote By Mail	257	69	945	352	0	0	26	326
Precinct 7023 - Election Day	117	49	928	178	0	0	12	166
Precinct 7023 - Vote By Mail	282	72	928	400	0	2	44	354
Precinct 7024 - Election Day	37	22	414	70	0	0	11	59
Precinct 7024 - Vote By Mail	51	22	414	78	0	0	5	73
Precinct 7025 - Election Day	54	22	477	85	0	0	9	76
Precinct 7025 - Vote By Mail	84	33	477	128	0	0	11	117
Precinct 7026 - Election Day	89	41	1,011	149	0	1	18	130
Precinct 7026 - Vote By Mail	328	79	1,011	455	0	0	48	407
Precinct 7027 - Election Day	110	57	869	195	0	0	28	167
Precinct 7027 - Vote By Mail	232	77	869	353	0	1	43	309
Precinct 7028 - Election Day	117	69	850	213	0	0	27	186
Precinct 7028 - Vote By Mail	206	54	850	282	0	0	22	260
Precinct 7029 - Election Day	98	56	901	184	0	0	30	154
Precinct 7029 - Vote By Mail	182	51	901	251	0	0	18	233
Precinct 7030 - Election Day	77	33	759	119	0	0	9	110
Precinct 7030 - Vote By Mail	223	73	759	357	0	1	60	296
Precinct 7031 - Election Day	60	22	641	91	0	0	9	82
Precinct 7031 - Vote By Mail	219	68	641	309	0	0	22	287
Precinct 7032 - Election Day	100	46	904	173	1	0	26	146
Precinct 7032 - Vote By Mail	200	80	904	316	0	0	36	280
Precinct 7033 - Election Day	110	58	798	191	0	0	23	168
Precinct 7033 - Vote By Mail	158	72	798	247	0	0	17	230
Precinct 7034 - Election Day	121	51	958	197	0	1	24	172
Precinct 7034 - Vote By Mail	146	38	958	201	0	1	16	184
Precinct 7035 - Election Day	81	35	606	122	0	0	6	116
Precinct 7035 - Vote By Mail	176	69	606	262	0	0	17	245
Precinct 7036 - Election Day	59	36	921	117	0	0	22	95
Precinct 7036 - Vote By Mail	201	88	921	342	0	2	51	289
Precinct 7037 - Election Day	68	37	735	135	0	0	30	105
Precinct 7037 - Vote By Mail	56	30	735	98	0	0	12	86
Precinct 7038 - Election Day	70	44	911	135	0	0	21	114
Precinct 7038 - Vote By Mail	229	88	911	351	0	0	34	317
Precinct 7039 - Election Day	107	57	784	178	0	0	14	164
Precinct 7039 - Vote By Mail	205	66	784	306	0	0	35	271
Precinct 7041 MB - Vote By Mail	17	9	61	33	0	0	7	26
Precinct 7042 - Election Day	66	36	639	118	0	0	16	102
Precinct 7042 - Vote By Mail	169	57	639	258	0	0	32	226
Precinct 7043 - Election Day	96	61	957	176	0	0	19	157
Precinct 7043 - Vote By Mail	273	91	957	404	0	1	39	364
Precinct 7044 - Election Day	79	63	827	167	0	2	23	142
Precinct 7044 - Vote By Mail	110	61	827	193	0	1	21	171
Precinct 7045 - Election Day	62	27	779	120	0	0	31	89
Precinct 7045 - Vote By Mail	222	84	779	344	0	0	38	306
Precinct 7046 - Election Day	43	39	402	94	0	0	12	82
Precinct 7046 - Vote By Mail	123	34	402	175	0	0	18	157
Precinct 7047 - Election Day	65	38	823	119	0	0	16	103
Precinct 7047 - Vote By Mail	269	81	823	388	0	0	38	350
