Subtotal Area	PHIL TING	KEITH BOGDON	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes
All Precincts	125,804	23,238	209,453	158,021	44	37	8,898	149,042
All Precincts - None	42,830	7,488	209,453	54,154	34	12	3,790	50,318
All Precincts - None	82,974	15,750	209,453	103,867	10	25	5,108	98,724
Precinct 1101 - None	107	13	553	126	0	0	6	120
Precinct 1101 - None	224	34	553	266	0	0	8	258
Precinct 1102 - None	227	22	995	266	0	0	17	249
Precinct 1102 - None	388	82	995	480	0	0	10	470
Precinct 1103 - None	200	28	951	246	1	0	17	228
Precinct 1103 - None	357	77	951	445	0	0	11	434
Precinct 1104/1105 - None	197	34	993	249	0	0	18	231
Precinct 1104/1105 - None	343	54	993	414	0	0	17	397
Precinct 1106 - None	154	26	765	191	0	0	11	180
Precinct 1106 - None	263	67	765	343	0	0	13	330
Precinct 1107 - None	141	13	746	163	0	0	9	154
Precinct 1107 - None	271	44	746	336	0	0	21	315
Precinct 1108 - None	196	21	909	232	0	0	15	217
Precinct 1108 - None	389	34	909	438	0	0	15	423
Precinct 1109 - None	127	23	798	166	0	0	16	150
Precinct 1109 - None	287	54	798	365	0	0	24	341
Precinct 1111 - None	157	24	1,002	205	0	0	24	181
Precinct 1111 - None	364	74	1,002	460	0	0	22	438
Precinct 1112 - None	121	13	769	151	0	0	17	134
Precinct 1112 - None	299	35	769	344	0	0	10	334
Precinct 1113 - None	110	16	746	135	0	1	8	126
Precinct 1113 - None	280	51	746	360	0	0	29	331
Precinct 1114 - None	159	33	957	226	0	0	34	192
Precinct 1114 - None	308	67	957	404	0	0	29	375
Precinct 1115 - None	151	12	895	174	0	0	11	163
Precinct 1115 - None	301	47	895	371	0	1	22	348
Precinct 1116 - None	197	10	895	225	0	0	18	207
Precinct 1116 - None	302	50	895	376	0	0	24	352
Precinct 1117 - None	147	18	858	185	0	0	20	165
Precinct 1117 - None	287	44	858	357	0	0	26	331
Precinct 1118 - None	176	20	1,043	213	0	0	17	196
Precinct 1118 - None	385	68	1,043	476	0	0	23	453
Precinct 1119 - None	123	19	791	165	0	0	23	142
Precinct 1119 - None	317	51	791	386	0	0	18	368
Precinct 1121 - None	117	28	691	160	0	1	14	145
Precinct 1121 - None	235	46	691	313	0	1	31	281
Precinct 1122 - None	88	13	632	110	0	0	9	101
Precinct 1122 - None	235	46	632	310	0	0	29	281
Precinct 1123 - None	156	14	915	179	0	0	9	170
Precinct 1123 - None	287	54	915	364	0	0	23	341
Precinct 1124 - None	120	20	819	152	0	1	11	140
Precinct 1124 - None	253	37	819	302	0	1	11	290
Precinct 1125 - None	114	29	1,047	159	0	0	16	143
Precinct 1125 - None	381	71	1,047	466	0	0	14	452
Precinct 1126 - None	152	23	922	191	0	0	16	175
Precinct 1126 - None	332	48	922	400	0	0	20	380
Precinct 1127 - None	151	35	920	200	0	0	14	186
Precinct 1127 - None	297	66	920	382	0	0	19	363
Precinct 1128 - None	124	24	838	154	0	0	6	148
Precinct 1128 - None	290	58	838	362	0	0	14	348
Precinct 1129 - None	168	42	980	227	0	0	17	210
Precinct 1129 - None	334	72	980	416	0	0	10	406
Precinct 1131 - None	107	14	797	132	0	0	11	121
Precinct 1131 - None	279	81	797	371	0	0	11	360
Precinct 1132 - None	149	15	969	179	0	0	15	164
Precinct 1132 - None	333	59	969	427	0	0	35	392
Precinct 1133 - None	131	16	863	161	0	0	14	147
Precinct 1133 - None	309	81	863	410	0	0	20	390
Precinct 1134 - None	128	15	759	170	0	0	27	143
Precinct 1134 - None	252	50	759	318	0	1	15	302
Precinct 1135 - None	67	15	540	87	0	0	5	82
Precinct 1135 - None	235	44	540	295	0	0	16	279
Precinct 1136 - None	113	19	829	144	0	0	12	132
Precinct 1136 - None	337	60	829	412	0	0	15	397
Precinct 9001 MB - None	114	22	273	142	0	0	6	136
Precinct 9101 - None	214	37	888	260	0	1	8	251
Precinct 9101 - None	344	66	888	438	0	1	27	410
Precinct 9102 - None	197	48	985	257	0	0	12	245
Precinct 9102 - None	378	77	985	471	0	0	16	455
Precinct 9103 - None	214	45	954	273	0	0	14	259
Precinct 9103 - None	341	62	954	431	0	0	28	403
Precinct 9104 - None	192	23	988	239	0	0	24	215
Precinct 9104 - None	371	69	988	465	0	0	25	440
Precinct 9105 - None	195	34	919	247	0	0	18	229
Precinct 9105 - None	395	60	919	488	0	0	33	455
Precinct 9106 - None	224	32	937	268	1	0	11	256
Precinct 9106 - None	408	59	937	497	0	1	29	467
Precinct 9107 - None	183	27	849	219	0	0	9	210
