Subtotal Area	MARSHALL TUCK	TONY K. THURMOND	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	97,777	191,332	500,516	372,848	106	1,511	80,051	291,180	2,071
All Precincts - None	33,576	65,245	500,516	127,886	80	444	27,814	99,548	727
All Precincts - None	64,201	126,087	500,516	244,962	26	1,067	52,237	191,632	1,344
Precinct 1101 - None	17	81	553	126	0	1	26	99	1
Precinct 1101 - None	68	148	553	266	0	1	49	216	0
Precinct 1102 - None	69	157	995	266	0	0	38	228	2
Precinct 1102 - None	137	258	995	480	0	8	73	399	4
Precinct 1103 - None	67	130	951	246	1	0	45	200	3
Precinct 1103 - None	128	223	951	445	0	5	84	356	5
Precinct 1104/1105 - None	76	119	993	249	0	1	51	197	2
Precinct 1104/1105 - None	113	228	993	414	0	2	68	344	3
Precinct 1106 - None	47	105	765	191	0	3	34	154	2
Precinct 1106 - None	87	194	765	343	0	2	57	284	3
Precinct 1107 - None	38	92	746	163	0	0	30	133	3
Precinct 1107 - None	99	164	746	336	0	2	69	265	2
Precinct 1108 - None	46	132	909	232	0	1	51	180	2
Precinct 1108 - None	87	262	909	438	0	0	85	353	4
Precinct 1109 - None	36	95	798	166	0	0	35	131	0
Precinct 1109 - None	101	199	798	365	0	1	62	302	2
Precinct 1111 - None	53	108	1,002	205	0	0	42	163	2
Precinct 1111 - None	116	233	1,002	460	0	3	102	355	6
Precinct 1112 - None	42	81	769	151	0	4	24	123	0
Precinct 1112 - None	76	174	769	344	0	2	91	251	1
Precinct 1113 - None	29	73	746	135	0	0	32	103	1
Precinct 1113 - None	97	178	746	360	0	0	81	279	4
Precinct 1114 - None	61	113	957	226	0	0	50	176	2
Precinct 1114 - None	112	222	957	404	0	3	65	336	2
Precinct 1115 - None	48	95	895	174	0	0	30	144	1
Precinct 1115 - None	101	197	895	371	0	3	68	300	2
Precinct 1116 - None	52	135	895	225	0	0	37	188	1
Precinct 1116 - None	109	206	895	376	0	1	57	318	3
Precinct 1117 - None	48	104	858	185	0	0	32	153	1
Precinct 1117 - None	87	196	858	357	0	1	71	285	2
Precinct 1118 - None	57	115	1,043	213	0	0	37	176	4
Precinct 1118 - None	101	276	1,043	476	0	4	91	381	4
Precinct 1119 - None	33	101	791	165	0	0	30	135	1
Precinct 1119 - None	90	236	791	386	0	4	54	328	2
Precinct 1121 - None	53	68	691	160	0	1	36	123	2
Precinct 1121 - None	84	150	691	313	0	3	75	235	1
Precinct 1122 - None	27	63	632	110	0	0	20	90	0
Precinct 1122 - None	88	157	632	310	0	2	63	245	0
Precinct 1123 - None	50	105	915	179	0	1	20	158	3
Precinct 1123 - None	99	181	915	364	0	2	81	281	1
Precinct 1124 - None	36	100	819	152	0	0	16	136	0
Precinct 1124 - None	57	198	819	302	0	1	42	259	4
Precinct 1125 - None	49	79	1,047	159	0	0	29	130	2
Precinct 1125 - None	132	238	1,047	466	0	6	82	378	8
Precinct 1126 - None	69	92	922	191	0	1	27	163	2
Precinct 1126 - None	116	210	922	400	0	1	66	333	7
Precinct 1127 - None	65	98	920	200	0	1	36	163	0
