Subtotal Area	EVA I. CHAO	BRIAN J. LARKIN	JONATHAN LYENS	JANICE LI	MELANIE NUTTER	WILLIAM WALKER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	24,525	16,527	14,688	39,997	23,659	5,070	223,735	166,386	47	1,610	39,920	124,809	343
All Precincts - Election Day	7,731	5,850	4,618	13,086	7,464	2,234	223,735	56,362	39	502	14,713	41,108	125
All Precincts - Vote By Mail	16,794	10,677	10,070	26,911	16,195	2,836	223,735	110,024	8	1,108	25,207	83,701	218
Precinct 1106 - Election Day	23	27	12	41	26	11	765	191	0	3	47	141	1
Precinct 1106 - Vote By Mail	62	27	33	97	41	11	765	343	0	5	67	271	0
Precinct 1107 - Election Day	16	21	12	31	26	16	746	163	0	1	40	122	0
Precinct 1107 - Vote By Mail	57	29	35	75	47	33	746	336	0	0	60	276	0
Precinct 1108 - Election Day	25	20	30	65	21	11	909	232	0	1	59	172	0
Precinct 1108 - Vote By Mail	48	31	53	134	71	14	909	438	0	2	85	351	0
Precinct 1109 - Election Day	28	15	14	35	19	13	798	166	0	2	40	124	0
Precinct 1109 - Vote By Mail	74	37	34	95	46	11	798	365	0	4	64	297	0
Precinct 1111 - Election Day	27	28	15	53	19	15	1,002	205	0	4	43	158	1
Precinct 1111 - Vote By Mail	85	41	28	121	53	21	1,002	460	0	5	101	354	5
Precinct 1112 - Election Day	20	16	19	47	20	5	769	151	0	8	16	127	0
Precinct 1112 - Vote By Mail	76	21	37	87	45	13	769	344	0	7	57	280	1
Precinct 1115 - Election Day	14	24	15	62	19	8	895	174	0	0	32	142	0
Precinct 1115 - Vote By Mail	79	42	35	95	31	13	895	371	0	9	67	295	0
Precinct 1116 - Election Day	27	13	26	55	26	26	895	225	0	1	50	174	1
Precinct 1116 - Vote By Mail	66	37	49	89	42	21	895	376	0	4	67	305	1
Precinct 1117 - Election Day	22	22	17	36	27	16	858	185	0	2	42	141	1
Precinct 1117 - Vote By Mail	53	41	34	81	44	18	858	357	0	3	79	275	4
Precinct 1118 - Election Day	26	29	14	49	18	28	1,043	213	0	4	45	164	0
Precinct 1118 - Vote By Mail	80	44	49	123	57	30	1,043	476	0	7	85	384	1
Precinct 1119 - Election Day	16	20	11	49	13	16	791	165	0	1	39	125	0
Precinct 1119 - Vote By Mail	66	39	30	111	59	10	791	386	0	10	61	315	0
Precinct 1121 - Election Day	25	20	13	20	24	14	691	160	0	3	41	116	0
Precinct 1121 - Vote By Mail	57	32	34	65	31	13	691	313	0	5	75	233	1
Precinct 1122 - Election Day	9	13	13	28	13	9	632	110	0	2	23	85	0
Precinct 1122 - Vote By Mail	70	23	25	88	42	12	632	310	0	3	47	260	0
