Subtotal Area	CARMEN CHU	PAUL BELLAR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	235,187	79,674	500,516	372,848	4,270	411	52,051	0	316,116	1,255
All Precincts - Election Day	73,218	31,388	500,516	127,886	933	109	21,710	0	105,134	528
All Precincts - Vote By Mail	161,969	48,286	500,516	244,962	3,337	302	30,341	0	210,982	727
Precinct 1101 - Election Day	72	37	553	126	0	0	16	0	110	1
Precinct 1101 - Vote By Mail	185	51	553	266	4	1	24	0	237	1
Precinct 1102 - Election Day	176	65	995	266	0	0	25	0	241	0
Precinct 1102 - Vote By Mail	317	125	995	480	1	1	35	0	443	1
Precinct 1103 - Election Day	150	63	951	246	4	1	26	0	215	2
Precinct 1103 - Vote By Mail	304	103	951	445	-2	0	38	0	409	2
Precinct 1104/1105 - Election Day	145	71	993	249	-1	1	15	0	234	18
Precinct 1104/1105 - Vote By Mail	281	90	993	414	2	0	39	0	373	2
Precinct 1106 - Election Day	126	39	765	191	0	1	25	0	165	0
Precinct 1106 - Vote By Mail	237	67	765	343	3	0	36	0	304	0
Precinct 1107 - Election Day	96	22	746	163	34	0	11	0	118	0
Precinct 1107 - Vote By Mail	230	71	746	336	8	2	24	0	302	1
Precinct 1108 - Election Day	154	40	909	232	-1	0	38	0	195	1
Precinct 1108 - Vote By Mail	340	65	909	438	1	0	32	0	405	0
Precinct 1109 - Election Day	102	40	798	166	-1	0	24	0	143	1
Precinct 1109 - Vote By Mail	265	66	798	365	5	0	28	0	332	1
Precinct 1111 - Election Day	117	59	1,002	205	0	0	27	0	178	2
Precinct 1111 - Vote By Mail	327	93	1,002	460	4	0	34	0	422	2
Precinct 1112 - Election Day	94	41	769	151	1	1	14	0	135	0
Precinct 1112 - Vote By Mail	257	51	769	344	3	0	32	0	309	1
Precinct 1113 - Election Day	74	36	746	135	13	1	11	0	110	0
Precinct 1113 - Vote By Mail	258	65	746	360	4	3	30	0	323	0
Precinct 1114 - Election Day	116	67	957	226	0	1	41	0	184	1
Precinct 1114 - Vote By Mail	259	98	957	404	5	0	41	0	358	1
Precinct 1115 - Election Day	110	45	895	174	1	0	18	0	155	0
Precinct 1115 - Vote By Mail	265	73	895	371	6	1	24	0	340	2
Precinct 1116 - Election Day	140	47	895	225	2	1	34	0	188	1
Precinct 1116 - Vote By Mail	266	72	895	376	7	2	28	0	339	1
Precinct 1117 - Election Day	120	41	858	185	-4	0	27	0	162	1
Precinct 1117 - Vote By Mail	237	85	858	357	5	0	30	0	322	0
Precinct 1118 - Election Day	139	47	1,043	213	1	0	24	0	188	2
Precinct 1118 - Vote By Mail	343	82	1,043	476	5	2	44	0	425	0
