Subtotal Area	NICK JOSEFOWITZ	JOHN DENNIS	SCHUYLER HUDAK	CATHERINE STEFANI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	13,617	3,095	4,132	14,378	50,394	40,402	496	76	4,515	0	35,315	93
All Precincts - None	4,758	1,030	1,501	4,428	50,394	13,804	101	18	1,928	0	11,757	40
All Precincts - None	8,859	2,065	2,631	9,950	50,394	26,598	395	58	2,587	0	23,558	53
Precinct 7201 - None	100	15	34	64	936	245	1	0	31	0	213	0
Precinct 7201 - None	174	49	53	187	936	518	2	1	51	0	464	1
Precinct 7202 - None	90	15	24	66	850	227	0	0	32	0	195	0
Precinct 7202 - None	142	41	36	168	850	431	6	1	37	0	387	0
Precinct 7203 - None	116	21	28	77	921	291	3	1	45	0	242	0
Precinct 7203 - None	153	30	43	135	921	423	2	1	58	0	362	1
Precinct 7204 - None	79	14	24	74	918	233	1	0	41	0	191	0
Precinct 7204 - None	178	36	39	222	918	531	8	3	44	0	476	1
Precinct 7205 - None	79	19	22	84	875	251	3	0	44	0	204	0
Precinct 7205 - None	155	47	55	172	875	485	5	2	48	0	430	1
Precinct 7206 - None	41	6	14	53	378	135	1	0	19	0	115	1
Precinct 7206 - None	68	19	24	62	378	191	2	0	16	0	173	0
Precinct 7207 - None	65	12	17	64	812	196	3	0	35	0	158	0
Precinct 7207 - None	143	22	55	155	812	434	9	0	50	0	375	0
Precinct 7208 - None	40	3	7	40	600	111	-1	1	20	0	91	1
Precinct 7208 - None	120	27	26	111	600	328	4	1	37	0	286	2
Precinct 7209 - None	31	11	9	36	626	107	0	2	18	0	87	0
Precinct 7209 - None	148	24	30	170	626	423	5	4	40	0	374	2
Precinct 9201 - None	113	13	36	93	1,004	300	0	0	44	0	256	1
Precinct 9201 - None	212	18	45	148	1,004	475	3	0	48	0	424	1
Precinct 9202 - None	119	17	27	88	971	294	6	0	36	0	252	1
Precinct 9202 - None	165	26	45	146	971	426	1	0	41	0	384	2
Precinct 9203 - None	65	29	32	70	1,002	239	-1	0	42	0	198	2
Precinct 9203 - None	148	71	58	198	1,002	536	12	1	48	0	475	0
Precinct 9204 - None	73	26	44	87	873	273	17	0	25	0	231	1
Precinct 9204 - None	112	48	44	144	873	393	4	0	40	0	349	1
