Subtotal Area	JESSICA HO	ADAM KIM	TUAN NGUYEN	ARTHUR TOM	TREVOR MCNEIL	GORDON MAR	MIKE MURPHY	LOU ANN BASSAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	7,423	511	848	2,435	3,479	10,288	1,176	2,169	42,953	31,699	287	175	2,840	0	28,397	68
All Precincts - None	2,108	139	314	690	1,369	3,673	418	622	42,953	10,755	69	45	1,288	0	9,353	20
All Precincts - None	5,315	372	534	1,745	2,110	6,615	758	1,547	42,953	20,944	218	130	1,552	0	19,044	48
Precinct 9401 - None	43	8	4	9	34	138	9	10	1,012	293	-1	1	38	0	255	0
Precinct 9401 - None	114	13	11	23	66	186	16	21	1,012	484	2	0	28	0	454	4
Precinct 9402 - None	60	2	11	14	29	115	9	9	977	290	0	2	39	0	249	0
Precinct 9402 - None	94	15	14	19	48	169	15	39	977	458	3	2	40	0	413	0
Precinct 9403 - None	37	4	11	11	23	100	9	9	897	240	2	0	34	0	204	0
Precinct 9403 - None	111	7	19	27	55	138	12	16	897	419	4	2	28	0	385	0
Precinct 9404 - None	42	3	4	11	30	77	6	11	930	200	0	1	15	0	184	0
Precinct 9404 - None	97	9	11	37	42	176	13	36	930	462	4	5	32	0	421	0
Precinct 9405 - None	36	3	3	14	39	69	7	17	786	210	8	0	11	0	191	3
Precinct 9405 - None	92	7	14	26	39	122	12	20	786	364	6	1	25	0	332	0
Precinct 9406 - None	45	2	7	12	42	97	6	11	868	244	-1	0	22	0	223	1
Precinct 9406 - None	126	5	10	27	38	147	17	15	868	421	10	2	24	0	385	0
Precinct 9407 - None	52	0	12	15	29	100	5	14	889	253	0	0	26	0	227	0
Precinct 9407 - None	126	10	12	16	43	130	12	30	889	409	1	1	25	0	382	3
Precinct 9408 - None	50	7	2	9	37	100	4	22	886	265	1	2	31	0	231	0
Precinct 9408 - None	108	10	8	8	48	171	19	17	886	415	7	3	16	0	389	0
Precinct 9409 - None	48	2	4	2	26	83	8	3	590	201	-1	0	26	0	176	0
Precinct 9409 - None	54	6	4	8	26	105	8	13	590	252	4	1	23	0	224	0
Precinct 9411 - None	39	3	4	8	32	127	13	8	956	271	2	1	34	0	234	0
Precinct 9411 - None	67	8	8	18	64	177	19	32	956	431	12	1	25	0	393	0
Precinct 9412 - None	40	3	13	7	28	97	19	11	848	245	0	4	22	0	219	1
Precinct 9412 - None	82	3	14	18	21	154	20	38	848	380	1	1	28	0	350	0
Precinct 9413 - None	36	2	6	16	31	88	10	18	894	229	-8	1	29	0	207	0
Precinct 9413 - None	101	10	19	33	41	158	14	28	894	461	5	4	47	0	405	1
Precinct 9414 - None	50	3	6	13	33	61	11	9	916	216	0	1	28	0	187	1
Precinct 9414 - None	112	13	11	30	61	147	17	22	916	463	4	2	43	0	414	1
Precinct 9415 - None	45	0	3	8	22	68	8	9	784	187	2	1	21	0	163	0
Precinct 9415 - None	115	10	10	24	35	123	13	33	784	392	7	0	22	0	363	0
Precinct 9416 - None	55	5	14	12	44	83	15	9	1,008	282	12	3	29	0	238	1
Precinct 9416 - None	110	8	12	45	39	150	22	41	1,008	480	1	2	50	0	427	0
Precinct 9417 - None	41	1	5	11	19	65	3	13	752	175	-1	1	17	0	158	0
Precinct 9417 - None	95	4	12	28	50	119	14	33	752	402	4	1	40	0	357	2
Precinct 9418 - None	37	3	10	18	26	74	12	11	790	211	0	1	19	0	191	0
Precinct 9418 - None	86	3	23	48	41	87	19	24	790	376	10	4	31	0	331	0
Precinct 9419 - None	32	5	4	26	26	70	8	19	924	222	2	1	28	0	191	1
Precinct 9419 - None	106	4	13	44	60	133	25	40	924	468	7	1	34	0	426	1
Precinct 9421 - None	46	5	3	15	35	73	8	14	906	238	1	0	38	0	199	0
Precinct 9421 - None	103	8	8	48	45	145	7	40	906	446	-6	6	39	0	407	3
Precinct 9422 - None	61	3	6	31	26	87	13	18	1,056	283	2	1	33	0	247	2
Precinct 9422 - None	144	6	6	57	45	161	9	33	1,056	513	8	5	39	0	461	0
Precinct 9423 - None	39	2	6	16	30	70	12	6	889	219	1	2	35	0	181	0
Precinct 9423 - None	109	6	16	23	53	151	19	23	889	440	2	5	33	0	400	0
Precinct 9424 - None	49	1	6	16	29	70	11	18	952	224	1	2	19	0	202	2
Precinct 9424 - None	136	2	23	44	41	155	21	39	952	496	6	1	27	0	462	1
Precinct 9425 - None	37	2	6	21	17	69	4	14	933	199	0	1	27	0	171	1
Precinct 9425 - None	115	4	12	38	37	148	15	54	933	465	-1	4	39	0	423	0
Precinct 9426 - None	39	1	8	17	24	57	6	14	823	198	0	2	30	0	166	0
Precinct 9426 - None	97	2	12	43	34	123	15	42	823	408	11	6	20	0	371	3
Precinct 9427 - None	60	1	8	14	18	60	5	13	948	210	5	0	26	0	179	0
Precinct 9427 - None	115	5	7	47	47	124	13	43	948	447	9	3	32	0	403	2
Precinct 9428 - None	39	1	2	9	30	52	7	12	961	183	2	0	29	0	152	0
Precinct 9428 - None	149	10	8	58	51	132	8	47	961	518	4	5	44	0	465	2
Precinct 9429 - None	47	5	9	11	20	62	11	28	899	228	3	1	31	0	193	0
Precinct 9429 - None	99	10	9	61	29	135	19	37	899	432	6	5	22	0	399	0
Precinct 9431 - None	47	2	11	15	44	57	7	11	973	235	22	0	19	0	194	0
Precinct 9431 - None	122	8	13	44	45	140	13	43	973	464	0	4	32	0	428	0
Precinct 9432 - None	45	3	3	13	42	65	8	12	945	214	2	2	19	0	191	0
Precinct 9432 - None	129	5	14	34	48	148	16	25	945	468	9	1	39	0	419	0
Precinct 9433 - None	48	2	1	24	24	59	2	10	945	195	-1	1	25	0	170	0
Precinct 9433 - None	156	4	4	33	43	137	7	37	945	487	8	3	54	0	422	1
Precinct 9434 - None	44	7	10	21	26	89	10	15	979	261	1	2	36	0	222	0
Precinct 9434 - None	116	8	9	42	60	158	17	28	979	481	5	0	36	0	440	2
Precinct 9435 - None	39	2	8	22	27	95	14	18	969	251	0	0	26	0	225	0
Precinct 9435 - None	98	9	18	42	36	132	22	39	969	448	6	5	40	0	397	1
Precinct 9436 - None	55	4	11	18	27	73	4	9	1,006	232	0	0	31	0	201	0
Precinct 9436 - None	139	18	7	47	44	146	15	33	1,006	495	4	0	37	0	454	5
Precinct 9437 - None	54	1	7	12	28	69	7	10	897	219	-2	2	30	0	189	1
Precinct 9437 - None	126	7	8	40	40	121	10	38	897	435	4	4	36	0	391	1
Precinct 9438 - None	37	5	7	17	23	60	9	16	948	202	1	0	27	0	174	0
Precinct 9438 - None	120	14	13	51	56	142	20	44	948	496	1	6	29	0	460	0
Precinct 9439 - None	34	0	3	12	29	63	3	9	879	173	0	0	20	0	153	0
Precinct 9439 - None	129	6	8	46	37	120	16	27	879	425	2	5	29	0	389	0
Precinct 9441 - None	52	0	19	9	27	94	14	17	980	261	0	0	29	0	232	0
Precinct 9441 - None	94	4	11	40	63	160	14	36	980	462	2	3	35	0	422	0
Precinct 9442 - None	42	8	8	16	33	107	16	11	1,008	280	5	1	32	0	242	1
Precinct 9442 - None	118	12	10	35	36	147	30	23	1,008	461	3	1	44	0	413	2
Precinct 9443 - None	38	2	16	14	33	57	13	15	937	220	-2	2	31	0	189	1
Precinct 9443 - None	102	6	22	34	43	148	17	21	937	442	0	4	42	0	396	3
Precinct 9444 - None	38	2	9	11	28	47	6	11	937	190	3	0	34	0	153	1
Precinct 9444 - None	124	4	9	41	44	115	19	48	937	442	6	3	28	0	405	1
Precinct 9445 - None	35	3	5	17	28	87	7	14	981	230	0	1	32	0	197	1
Precinct 9445 - None	128	12	6	43	50	163	16	42	981	493	0	1	31	0	461	1
Precinct 9446 - None	40	3	1	18	28	97	11	12	1,090	240	1	0	29	0	210	0
Precinct 9446 - None	142	10	8	73	48	167	26	52	1,090	564	9	1	26	0	528	2
Precinct 9447 - None	58	3	3	16	32	85	9	14	906	236	0	0	16	0	220	0
Precinct 9447 - None	115	7	4	45	57	144	19	27	906	448	3	4	22	0	419	1
Precinct 9448 - None	60	2	3	10	26	77	4	15	909	232	1	2	32	0	197	0
Precinct 9448 - None	120	6	10	21	43	140	15	31	909	429	6	4	31	0	388	2
Precinct 9449 - None	37	2	3	9	22	52	9	7	830	177	6	0	29	0	142	1
Precinct 9449 - None	134	12	13	55	31	101	13	26	830	428	8	2	33	0	385	0
Precinct 9451 - None	20	2	1	11	13	26	8	6	420	97	0	0	10	0	87	0
Precinct 9451 - None	49	4	5	33	29	41	9	25	420	218	2	3	18	0	195	0
Precinct 9452 - None	45	6	3	29	38	78	10	21	840	259	1	1	26	0	231	1
Precinct 9452 - None	121	6	8	28	40	122	17	26	840	412	6	3	33	0	370	2
