Subtotal Area	CHRISTINE JOHNSON	MATT HANEY	SONJA TRAUSS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	6,237	14,249	4,759	43,321	29,158	286	74	3,460	0	25,338	93
All Precincts - Election Day	1,833	4,251	1,640	43,321	9,326	64	24	1,479	0	7,759	35
All Precincts - Vote By Mail	4,404	9,998	3,119	43,321	19,832	222	50	1,981	0	17,579	58
Precinct 7601 - Election Day	32	92	34	767	191	1	0	29	0	161	3
Precinct 7601 - Vote By Mail	71	160	38	767	290	1	2	16	0	271	2
Precinct 7602 - Election Day	48	106	24	901	213	-1	0	35	0	179	1
Precinct 7602 - Vote By Mail	83	223	48	901	379	5	0	19	0	355	1
Precinct 7603 - Election Day	40	151	34	830	250	2	0	23	0	225	0
Precinct 7603 - Vote By Mail	58	217	64	830	376	2	0	33	0	341	2
Precinct 7604 - Election Day	43	153	32	954	266	2	0	36	0	228	0
Precinct 7604 - Vote By Mail	65	208	57	954	352	2	0	20	0	330	0
Precinct 7605 - Election Day	26	60	16	648	120	0	1	15	0	104	2
Precinct 7605 - Vote By Mail	48	104	26	648	203	0	2	22	0	179	1
Precinct 7606 - Election Day	33	96	44	924	205	3	1	27	0	174	1
Precinct 7606 - Vote By Mail	80	167	49	924	330	4	0	28	0	298	2
Precinct 7607 - Election Day	36	112	35	960	215	1	2	28	0	184	1
Precinct 7607 - Vote By Mail	84	236	56	960	407	5	1	21	0	380	4
Precinct 7608 - Election Day	12	35	9	392	70	0	1	13	0	56	0
Precinct 7608 - Vote By Mail	23	78	17	392	136	1	1	15	0	119	1
Precinct 7609 - Election Day	25	64	11	926	120	0	1	18	0	101	1
Precinct 7609 - Vote By Mail	81	197	37	926	352	6	1	29	0	316	1
Precinct 7611 - Election Day	23	54	18	755	126	1	3	24	0	98	3
Precinct 7611 - Vote By Mail	63	133	44	755	269	1	1	24	0	243	3
Precinct 7612 - Election Day	14	55	9	583	97	0	0	18	0	79	1
Precinct 7612 - Vote By Mail	44	159	28	583	265	4	0	29	0	232	1
Precinct 7613 - Election Day	35	101	35	908	204	1	1	29	0	173	2
Precinct 7613 - Vote By Mail	65	180	62	908	340	2	0	28	0	310	3
Precinct 7614 - Election Day	25	111	41	1,029	223	1	1	44	0	177	0
Precinct 7614 - Vote By Mail	75	200	65	1,029	375	8	1	25	0	341	1
Precinct 7615 - Election Day	39	74	15	762	162	1	2	30	0	129	1
Precinct 7615 - Vote By Mail	55	125	40	762	237	1	0	16	0	220	0
Precinct 7616 - Election Day	55	115	71	1,203	324	1	0	82	0	241	0
Precinct 7616 - Vote By Mail	151	303	150	1,203	686	3	2	75	0	606	2
Precinct 7617 - Election Day	23	48	12	768	102	3	1	15	0	83	0
Precinct 7617 - Vote By Mail	57	138	37	768	261	2	4	23	0	232	0
Precinct 7618 - Election Day	40	88	21	862	168	1	1	17	0	149	0
Precinct 7618 - Vote By Mail	80	224	67	862	407	5	2	28	0	372	1
Precinct 7619 - Election Day	51	116	30	1,063	219	2	0	20	0	197	0
Precinct 7619 - Vote By Mail	108	318	88	1,063	563	1	0	46	0	516	2
Precinct 7621 - Election Day	55	119	71	1,320	287	5	1	35	0	246	1
Precinct 7621 - Vote By Mail	102	332	160	1,320	668	1	1	69	0	597	3
Precinct 7622 - Election Day	49	63	31	988	170	0	1	26	0	143	0
Precinct 7622 - Vote By Mail	80	127	56	988	301	1	3	32	0	265	2
Precinct 7623 - Election Day	26	93	34	746	184	10	0	20	0	154	1
Precinct 7623 - Vote By Mail	62	155	54	746	297	3	0	21	0	273	2
Precinct 7624 - Election Day	29	61	28	859	142	3	1	18	0	120	2
Precinct 7624 - Vote By Mail	48	163	44	859	290	-1	4	31	0	256	1
Precinct 7625 - Election Day	14	28	9	822	66	0	0	14	0	52	1
Precinct 7625 - Vote By Mail	97	254	69	822	475	1	4	50	0	420	0
Precinct 7626 - Election Day	53	84	45	1,114	227	3	2	40	0	182	0
Precinct 7626 - Vote By Mail	134	308	99	1,114	612	2	1	67	0	542	1
Precinct 7627 - Election Day	48	121	40	1,187	267	1	0	57	0	209	0
Precinct 7627 - Vote By Mail	156	247	80	1,187	582	17	0	81	0	484	1
Precinct 7628 - Election Day	38	121	44	960	241	1	1	36	0	203	0
Precinct 7628 - Vote By Mail	85	238	82	960	428	-3	2	23	0	406	1
Precinct 7629 - Election Day	33	98	43	809	208	4	0	30	0	174	0
Precinct 7629 - Vote By Mail	70	181	65	809	343	1	0	23	0	319	3
Precinct 7631 - Election Day	57	113	53	1,155	270	1	0	46	0	223	0
Precinct 7631 - Vote By Mail	125	290	97	1,155	577	5	0	59	0	513	1
Precinct 7632 - Election Day	45	141	54	1,124	289	3	0	46	0	240	0
Precinct 7632 - Vote By Mail	112	289	115	1,124	561	7	0	36	0	518	2
Precinct 7633 - Election Day	26	72	25	741	137	-2	1	14	0	124	1
Precinct 7633 - Vote By Mail	89	192	57	741	392	3	2	48	0	339	1
Precinct 7634 - Election Day	37	82	43	900	195	2	0	31	0	162	0
Precinct 7634 - Vote By Mail	107	225	44	900	421	2	2	40	0	377	1
Precinct 7635 - Election Day	33	71	27	840	158	0	0	25	0	133	2
Precinct 7635 - Vote By Mail	88	189	66	840	382	7	0	31	0	344	1
Precinct 7636 - Election Day	48	99	56	938	251	1	1	46	0	203	0
Precinct 7636 - Vote By Mail	115	214	81	938	465	6	1	46	0	412	2
Precinct 7637 - Election Day	39	83	40	809	193	0	0	30	0	163	1
Precinct 7637 - Vote By Mail	98	201	49	809	404	7	0	48	0	349	1
Precinct 7638 - Election Day	72	114	46	1,467	295	1	0	62	0	232	0
Precinct 7638 - Vote By Mail	204	434	95	1,467	871	24	0	113	0	734	1
Precinct 7639 - Election Day	48	110	34	1,011	242	3	0	46	0	193	1
Precinct 7639 - Vote By Mail	145	245	86	1,011	559	9	2	72	0	476	0
Precinct 7641 - Election Day	54	93	30	972	205	0	1	25	0	179	2
Precinct 7641 - Vote By Mail	152	265	66	972	549	9	1	55	0	484	1
Precinct 7642 - Election Day	41	66	21	937	153	0	0	25	0	128	0
Precinct 7642 - Vote By Mail	80	144	73	937	394	7	0	89	0	298	1
Precinct 7643 - Election Day	35	87	25	920	169	2	0	20	0	147	0
Precinct 7643 - Vote By Mail	110	279	62	920	507	3	0	53	0	451	0
Precinct 7644 - Election Day	64	146	68	1,175	330	0	0	52	0	278	0
Precinct 7644 - Vote By Mail	136	248	98	1,175	554	7	1	64	0	482	0
Precinct 7645 - Election Day	27	51	16	640	120	1	0	23	0	96	2
Precinct 7645 - Vote By Mail	101	177	42	640	377	8	1	47	0	321	1
Precinct 7646 - Election Day	62	96	59	1,100	267	0	0	49	0	218	1
Precinct 7646 - Vote By Mail	141	292	90	1,100	592	9	1	58	0	524	1
Precinct 7647 - Election Day	37	88	54	1,075	205	-2	0	27	0	180	1
Precinct 7647 - Vote By Mail	70	144	46	1,075	283	1	2	20	0	260	0
Precinct 7648 MB - Vote By Mail	0	0	0	1	0	0	0	0	0	0	0
Precinct 7649 - Election Day	37	74	41	891	178	2	0	24	0	152	0
