Subtotal Area	LAWRENCE "STARK" DAGESSE	RAFAEL MANDELMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	3,554	38,292	58,122	48,632	583	37	5,933	0	42,079	233
All Precincts - Election Day	1,428	12,425	58,122	16,634	169	9	2,524	0	13,932	79
All Precincts - Vote By Mail	2,126	25,867	58,122	31,998	414	28	3,409	0	28,147	154
Precinct 7801 - Election Day	25	186	1,001	264	2	0	48	0	214	3
Precinct 7801 - Vote By Mail	35	481	1,001	596	8	1	70	0	517	1
Precinct 7802 - Election Day	16	165	788	230	0	0	49	0	181	0
Precinct 7802 - Vote By Mail	35	352	788	458	3	0	61	0	394	7
Precinct 7803 - Election Day	9	132	828	174	0	0	33	0	141	0
Precinct 7803 - Vote By Mail	41	446	828	552	7	1	55	0	489	2
Precinct 7804 - Election Day	23	197	893	257	1	0	34	0	222	2
Precinct 7804 - Vote By Mail	32	428	893	533	8	0	62	0	463	3
Precinct 7805 - Election Day	17	180	825	228	0	0	30	0	198	1
Precinct 7805 - Vote By Mail	34	394	825	484	7	0	47	0	430	2
Precinct 7806 - Election Day	19	153	716	208	17	0	18	0	173	1
Precinct 7806 - Vote By Mail	31	340	716	407	3	0	33	0	371	0
Precinct 7807 - Election Day	25	219	844	276	0	0	31	0	245	1
Precinct 7807 - Vote By Mail	27	337	844	417	3	0	48	0	366	2
Precinct 7808 - Election Day	23	157	655	211	5	0	25	0	181	1
Precinct 7808 - Vote By Mail	10	276	655	333	7	1	37	0	288	2
Precinct 7809 - Election Day	26	160	781	238	3	0	48	0	187	1
Precinct 7809 - Vote By Mail	32	326	781	405	7	2	38	0	358	0
Precinct 7811 - Election Day	32	188	783	249	2	0	26	0	221	1
Precinct 7811 - Vote By Mail	25	330	783	404	11	0	36	0	357	2
Precinct 7812 - Election Day	20	191	877	257	0	0	44	0	213	2
Precinct 7812 - Vote By Mail	29	366	877	454	4	0	53	0	397	2
Precinct 7813 - Election Day	23	217	1,064	308	4	0	62	0	242	2
Precinct 7813 - Vote By Mail	31	478	1,064	585	13	0	63	0	509	0
Precinct 7814 - Election Day	33	155	936	228	1	0	39	0	188	0
Precinct 7814 - Vote By Mail	26	284	936	341	2	2	25	0	312	2
Precinct 7815 - Election Day	21	179	954	238	-1	0	39	0	200	0
Precinct 7815 - Vote By Mail	28	483	954	573	11	0	47	0	515	4
Precinct 7816 - Election Day	12	190	865	236	0	0	33	0	203	1
Precinct 7816 - Vote By Mail	29	441	865	531	4	2	55	0	470	0
Precinct 7817 - Election Day	21	214	823	277	2	0	39	0	236	1
Precinct 7817 - Vote By Mail	21	381	823	439	3	0	34	0	402	0
Precinct 7818 - Election Day	23	169	860	234	1	0	41	0	192	0
Precinct 7818 - Vote By Mail	33	360	860	452	9	0	46	0	397	4
Precinct 7819 - Election Day	21	135	793	191	0	0	33	0	158	2
Precinct 7819 - Vote By Mail	41	313	793	420	7	0	58	0	355	1
Precinct 7821 - Election Day	25	189	985	248	2	0	31	0	215	1
Precinct 7821 - Vote By Mail	45	532	985	630	10	0	43	0	577	0
Precinct 7822 - Election Day	24	219	908	275	0	1	31	0	243	0
Precinct 7822 - Vote By Mail	36	397	908	480	4	0	42	0	434	1
Precinct 7823 - Election Day	14	211	879	270	26	0	19	0	225	0
Precinct 7823 - Vote By Mail	41	408	879	501	6	0	45	0	450	1
Precinct 7824 - Election Day	29	176	768	247	1	0	41	0	205	0
Precinct 7824 - Vote By Mail	25	310	768	383	7	0	39	0	337	2
Precinct 7825 - Election Day	19	141	597	191	0	1	30	0	160	0
Precinct 7825 - Vote By Mail	26	236	597	302	3	1	33	0	265	3
Precinct 7826 - Election Day	27	185	684	258	6	0	38	0	214	2
Precinct 7826 - Vote By Mail	17	257	684	319	5	0	39	0	275	1
Precinct 7827 - Election Day	33	188	831	261	0	0	40	0	221	0
Precinct 7827 - Vote By Mail	19	289	831	361	7	0	45	0	309	1
Precinct 7828 - Election Day	30	179	1,018	261	1	0	48	0	212	3
Precinct 7828 - Vote By Mail	43	443	1,018	549	4	0	55	0	490	4
Precinct 7829 - Election Day	28	179	907	237	1	0	29	0	207	0
Precinct 7829 - Vote By Mail	37	465	907	557	7	0	47	0	503	1
Precinct 7831 - Election Day	17	191	882	233	-16	0	34	0	215	7
Precinct 7831 - Vote By Mail	37	441	882	544	19	1	43	0	481	3
Precinct 7832 - Election Day	14	131	780	188	16	0	26	0	146	1
Precinct 7832 - Vote By Mail	34	391	780	488	4	1	56	0	427	2
Precinct 7833 - Election Day	16	164	747	230	7	1	42	0	180	0
Precinct 7833 - Vote By Mail	23	338	747	412	-2	0	49	0	365	4
Precinct 7834 - Election Day	19	218	867	277	0	0	40	0	237	0
Precinct 7834 - Vote By Mail	22	365	867	439	8	0	44	0	387	0
Precinct 7835 - Election Day	16	154	847	211	0	0	39	0	172	2
Precinct 7835 - Vote By Mail	43	408	847	505	9	0	43	0	453	2
Precinct 7836 - Election Day	34	179	1,023	260	0	0	46	0	214	1
Precinct 7836 - Vote By Mail	56	482	1,023	623	9	0	72	0	542	4
Precinct 7837 - Election Day	21	208	911	260	1	0	30	0	229	0
Precinct 7837 - Vote By Mail	32	413	911	509	9	0	53	0	447	2
Precinct 7838 - Election Day	23	188	926	239	0	0	28	0	211	0
Precinct 7838 - Vote By Mail	28	452	926	546	9	0	57	0	480	0
Precinct 7839 - Election Day	17	156	842	205	0	0	31	0	174	1
Precinct 7839 - Vote By Mail	23	414	842	515	1	0	76	0	438	1
Precinct 7841 - Election Day	21	225	937	291	1	0	43	0	247	1
Precinct 7841 - Vote By Mail	33	421	937	526	12	0	54	0	460	6
Precinct 7842 - Election Day	17	215	903	283	0	0	50	0	233	1
Precinct 7842 - Vote By Mail	31	347	903	434	4	1	49	0	380	2
