Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	12,845	4,673	2,321	7,470	24,664	125,185	7	495,050	206,085	0	538	28,381	0	177,166	8
All Precincts - Election Day	4,008	1,735	786	2,091	5,676	35,603	4	495,050	59,423	0	105	9,415	0	49,903	4
All Precincts - Vote By Mail	8,837	2,938	1,535	5,379	18,988	89,582	3	495,050	146,662	0	433	18,966	0	127,263	4
Precinct 1101 - Election Day	0	0	1	2	7	33	0	557	54	0	0	11	0	43	0
Precinct 1101 - Vote By Mail	16	2	0	5	39	90	0	557	165	0	0	13	0	152	0
Precinct 1101	16	2	1	7	46	123	0	557	219	0	0	24	0	195	0
Precinct 1102 - Election Day	18	0	1	4	15	80	0	994	145	0	0	27	0	118	0
Precinct 1102 - Vote By Mail	13	9	5	8	56	186	0	994	304	0	1	26	0	277	0
Precinct 1102	31	9	6	12	71	266	0	994	449	0	1	53	0	395	0
Precinct 1103 - Election Day	8	1	0	4	15	70	0	962	111	0	0	13	0	98	0
Precinct 1103 - Vote By Mail	19	2	6	7	58	163	0	962	283	0	0	28	0	255	0
Precinct 1103	27	3	6	11	73	233	0	962	394	0	0	41	0	353	0
Precinct 1104/1105 - Election Day	3	2	4	7	15	62	0	1,012	109	0	0	16	0	93	0
Precinct 1104/1105 - Vote By Mail	16	4	4	9	52	159	0	1,012	271	0	1	26	0	244	0
Precinct 1104/1105	19	6	8	16	67	221	0	1,012	380	0	1	42	0	337	0
Precinct 1106/1107 - Election Day	14	4	3	3	16	117	0	1,505	168	0	0	11	0	157	0
Precinct 1106/1107 - Vote By Mail	32	3	8	12	94	259	0	1,505	435	0	0	27	0	408	0
Precinct 1106/1107	46	7	11	15	110	376	0	1,505	603	0	0	38	0	565	0
Precinct 1108 - Election Day	3	2	1	5	15	63	0	908	95	0	0	6	0	89	0
Precinct 1108 - Vote By Mail	15	6	0	8	60	162	0	908	273	0	1	21	0	251	0
Precinct 1108	18	8	1	13	75	225	0	908	368	0	1	27	0	340	0
Precinct 1109 - Election Day	6	3	1	2	15	57	0	805	93	0	0	9	0	84	0
Precinct 1109 - Vote By Mail	13	6	0	6	57	128	0	805	233	0	1	22	0	210	0
