Subtotal Area	SUZY LOFTUS	LEIF DAUTCH	NANCY TUNG	CHESA BOUDIN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	59,698	26,758	37,022	68,575	495,050	206,117	0	474	13,590	0	192,053	0
All Precincts - Election Day	16,562	6,537	8,090	25,282	495,050	59,423	0	83	2,869	0	56,471	0
All Precincts - Vote By Mail	43,136	20,221	28,932	43,293	495,050	146,694	0	391	10,721	0	135,582	0
Precinct 1101 - Election Day	15	2	10	27	557	54	0	0	0	0	54	0
Precinct 1101 - Vote By Mail	29	24	49	47	557	165	0	2	14	0	149	0
Precinct 1101	44	26	59	74	557	219	0	2	14	0	203	0
Precinct 1102 - Election Day	48	7	15	65	994	145	0	1	9	0	135	0
Precinct 1102 - Vote By Mail	74	35	89	84	994	304	0	2	20	0	282	0
Precinct 1102	122	42	104	149	994	449	0	3	29	0	417	0
Precinct 1103 - Election Day	36	12	20	41	962	111	0	0	2	0	109	0
Precinct 1103 - Vote By Mail	61	44	85	80	962	283	0	0	13	0	270	0
Precinct 1103	97	56	105	121	962	394	0	0	15	0	379	0
Precinct 1104/1105 - Election Day	18	16	25	43	1,012	109	0	0	7	0	102	0
Precinct 1104/1105 - Vote By Mail	54	36	70	92	1,012	271	0	0	19	0	252	0
Precinct 1104/1105	72	52	95	135	1,012	380	0	0	26	0	354	0
Precinct 1106/1107 - Election Day	48	20	32	61	1,505	168	0	0	7	0	161	0
Precinct 1106/1107 - Vote By Mail	116	58	123	110	1,505	435	0	1	27	0	407	0
Precinct 1106/1107	164	78	155	171	1,505	603	0	1	34	0	568	0
Precinct 1108 - Election Day	28	12	20	31	908	95	0	0	4	0	91	0
Precinct 1108 - Vote By Mail	72	30	79	72	908	273	0	1	19	0	253	0
Precinct 1108	100	42	99	103	908	368	0	1	23	0	344	0
Precinct 1109 - Election Day	20	17	18	33	805	93	0	0	5	0	88	0
Precinct 1109 - Vote By Mail	54	28	75	60	805	233	0	2	14	0	217	0
Precinct 1109	74	45	93	93	805	326	0	2	19	0	305	0
Precinct 1111 - Election Day	27	8	26	37	1,025	106	0	0	8	0	98	0
Precinct 1111 - Vote By Mail	59	21	102	81	1,025	300	0	7	30	0	263	0
Precinct 1111	86	29	128	118	1,025	406	0	7	38	0	361	0
Precinct 1112 - Election Day	14	7	13	27	770	65	0	1	3	0	61	0
Precinct 1112 - Vote By Mail	42	24	83	56	770	221	0	0	16	0	205	0
Precinct 1112	56	31	96	83	770	286	0	1	19	0	266	0
Precinct 1114/1113 - Election Day	29	11	29	50	1,741	129	0	1	9	0	119	0
Precinct 1114/1113 - Vote By Mail	77	67	165	143	1,741	498	0	2	44	0	452	0
Precinct 1114/1113	106	78	194	193	1,741	627	0	3	53	0	571	0
Precinct 1115/1116 - Election Day	43	12	34	66	1,838	165	0	0	10	0	155	0
Precinct 1115/1116 - Vote By Mail	102	52	161	122	1,838	467	0	0	30	0	437	0
Precinct 1115/1116	145	64	195	188	1,838	632	0	0	40	0	592	0
Precinct 1117/1123 - Election Day	32	8	29	74	1,771	155	0	0	12	0	143	0
Precinct 1117/1123 - Vote By Mail	104	50	124	120	1,771	442	0	2	42	0	398	0
Precinct 1117/1123	136	58	153	194	1,771	597	0	2	54	0	541	0
Precinct 1118 - Election Day	29	7	12	47	1,057	99	0	0	4	0	95	0
Precinct 1118 - Vote By Mail	83	39	90	77	1,057	320	0	0	31	0	289	0
Precinct 1118	112	46	102	124	1,057	419	0	0	35	0	384	0
Precinct 1119 - Election Day	11	5	17	29	771	67	0	1	4	0	62	0
Precinct 1119 - Vote By Mail	56	17	61	76	771	226	0	0	16	0	210	0
Precinct 1119	67	22	78	105	771	293	0	1	20	0	272	0
Precinct 1122 - Election Day	12	1	14	17	638	49	0	0	5	0	44	0
