Subtotal Area	JOSÉ CISNEROS	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	152,685	495,050	206,085	0	31	53,368	0	152,686	1
All Precincts - Election Day	45,044	495,050	59,395	0	7	14,344	0	45,044	0
All Precincts - Vote By Mail	107,624	495,050	146,662	0	24	39,013	0	107,625	1
Precinct 1101 - Election Day	43	557	54	0	0	11	0	43	0
Precinct 1101 - Vote By Mail	139	557	165	0	0	26	0	139	0
Precinct 1101	182	557	219	0	0	37	0	182	0
Precinct 1102 - Election Day	110	994	145	0	0	35	0	110	0
Precinct 1102 - Vote By Mail	229	994	304	0	0	75	0	229	0
Precinct 1102	339	994	449	0	0	110	0	339	0
Precinct 1103 - Election Day	88	962	111	0	0	23	0	88	0
Precinct 1103 - Vote By Mail	219	962	283	0	0	64	0	219	0
Precinct 1103	307	962	394	0	0	87	0	307	0
Precinct 1104/1105 - Election Day	84	1,012	109	0	0	25	0	84	0
Precinct 1104/1105 - Vote By Mail	207	1,012	271	0	0	64	0	207	0
Precinct 1104/1105	291	1,012	380	0	0	89	0	291	0
Precinct 1106/1107 - Election Day	130	1,505	168	0	0	38	0	130	0
Precinct 1106/1107 - Vote By Mail	314	1,505	435	0	0	121	0	314	0
Precinct 1106/1107	444	1,505	603	0	0	159	0	444	0
Precinct 1108 - Election Day	82	908	95	0	0	13	0	82	0
Precinct 1108 - Vote By Mail	199	908	273	0	0	74	0	199	0
Precinct 1108	281	908	368	0	0	87	0	281	0
Precinct 1109 - Election Day	70	805	93	0	0	23	0	70	0
Precinct 1109 - Vote By Mail	166	805	233	0	0	67	0	166	0
Precinct 1109	236	805	326	0	0	90	0	236	0
Precinct 1111 - Election Day	81	1,025	106	0	0	25	0	81	0
Precinct 1111 - Vote By Mail	205	1,025	300	0	0	95	0	205	0
Precinct 1111	286	1,025	406	0	0	120	0	286	0
Precinct 1112 - Election Day	49	770	65	0	0	16	0	49	0
Precinct 1112 - Vote By Mail	172	770	221	0	0	49	0	172	0
Precinct 1112	221	770	286	0	0	65	0	221	0
Precinct 1114/1113 - Election Day	101	1,741	129	0	0	28	0	101	0
Precinct 1114/1113 - Vote By Mail	365	1,741	498	0	0	133	0	365	0
Precinct 1114/1113	466	1,741	627	0	0	161	0	466	0
Precinct 1115/1116 - Election Day	115	1,838	165	0	0	50	0	115	0
Precinct 1115/1116 - Vote By Mail	340	1,838	467	0	0	127	0	340	0
Precinct 1115/1116	455	1,838	632	0	0	177	0	455	0
Precinct 1117/1123 - Election Day	121	1,771	155	0	0	34	0	121	0
Precinct 1117/1123 - Vote By Mail	326	1,771	442	0	0	116	0	326	0
Precinct 1117/1123	447	1,771	597	0	0	150	0	447	0
Precinct 1118 - Election Day	77	1,057	99	0	0	22	0	77	0
Precinct 1118 - Vote By Mail	232	1,057	320	0	0	88	0	232	0
Precinct 1118	309	1,057	419	0	0	110	0	309	0
Precinct 1119 - Election Day	47	771	67	0	0	20	0	47	0
Precinct 1119 - Vote By Mail	166	771	226	0	0	60	0	166	0
Precinct 1119	213	771	293	0	0	80	0	213	0
Precinct 1122 - Election Day	42	638	49	0	0	7	0	42	0
Precinct 1122 - Vote By Mail	130	638	188	0	0	58	0	130	0
Precinct 1122	172	638	237	0	0	65	0	172	0
Precinct 1124 - Election Day	49	812	64	0	0	15	0	49	0
Precinct 1124 - Vote By Mail	150	812	188	0	0	38	0	150	0
Precinct 1124	199	812	252	0	0	53	0	199	0
Precinct 1125 - Election Day	34	1,064	48	0	0	14	0	34	0
Precinct 1125 - Vote By Mail	212	1,064	270	0	0	58	0	212	0
Precinct 1125	246	1,064	318	0	0	72	0	246	0
Precinct 1126/1121 - Election Day	107	1,676	122	0	0	15	0	107	0
Precinct 1126/1121 - Vote By Mail	335	1,676	441	0	0	106	0	335	0
Precinct 1126/1121	442	1,676	563	0	0	121	0	442	0
Precinct 1127/1128 - Election Day	120	1,827	157	0	0	37	0	120	0
Precinct 1127/1128 - Vote By Mail	363	1,827	489	0	0	126	0	363	0
Precinct 1127/1128	483	1,827	646	0	0	163	0	483	0
Precinct 1129 - Election Day	70	1,018	86	0	0	16	0	70	0
Precinct 1129 - Vote By Mail	194	1,018	253	0	0	59	0	194	0
Precinct 1129	264	1,018	339	0	0	75	0	264	0
Precinct 1131 - Election Day	40	836	49	0	0	9	0	40	0
Precinct 1131 - Vote By Mail	173	836	227	0	0	54	0	173	0
Precinct 1131	213	836	276	0	0	63	0	213	0
Precinct 1132 - Election Day	40	1,010	47	0	0	7	0	40	0
Precinct 1132 - Vote By Mail	217	1,010	312	0	0	95	0	217	0
Precinct 1132	257	1,010	359	0	0	102	0	257	0
Precinct 1133 - Election Day	40	857	49	0	0	9	0	40	0
Precinct 1133 - Vote By Mail	191	857	255	0	0	64	0	191	0
Precinct 1133	231	857	304	0	0	73	0	231	0
Precinct 1134 - Election Day	53	762	70	0	0	17	0	53	0
Precinct 1134 - Vote By Mail	156	762	215	0	0	59	0	156	0
Precinct 1134	209	762	285	0	0	76	0	209	0
Precinct 1135 - Election Day	39	554	46	0	0	7	0	39	0
Precinct 1135 - Vote By Mail	140	554	195	0	0	55	0	140	0
Precinct 1135	179	554	241	0	0	62	0	179	0
Precinct 1136 - Election Day	38	847	53	0	0	15	0	38	0
Precinct 1136 - Vote By Mail	175	847	246	0	0	71	0	175	0
Precinct 1136	213	847	299	0	0	86	0	213	0
Precinct 1141 - Election Day	74	1,042	103	0	0	29	0	74	0
Precinct 1141 - Vote By Mail	242	1,042	308	0	0	66	0	242	0
Precinct 1141	316	1,042	411	0	0	95	0	316	0
Precinct 1143 - Election Day	89	1,024	110	0	0	21	0	89	0
Precinct 1143 - Vote By Mail	187	1,024	256	0	0	69	0	187	0
Precinct 1143	276	1,024	366	0	0	90	0	276	0
Precinct 1144/1142 - Election Day	136	1,804	177	0	0	41	0	136	0
Precinct 1144/1142 - Vote By Mail	349	1,804	513	0	0	164	0	349	0
Precinct 1144/1142	485	1,804	690	0	0	205	0	485	0
Precinct 1145 - Election Day	61	894	83	0	0	22	0	61	0
Precinct 1145 - Vote By Mail	217	894	296	0	0	79	0	217	0
Precinct 1145	278	894	379	0	0	101	0	278	0
Precinct 1146 - Election Day	66	1,008	84	0	0	18	0	66	0
Precinct 1146 - Vote By Mail	213	1,008	275	0	0	62	0	213	0
Precinct 1146	279	1,008	359	0	0	80	0	279	0
Precinct 1147 - Election Day	66	868	89	0	0	23	0	66	0
Precinct 1147 - Vote By Mail	184	868	235	0	0	51	0	184	0
Precinct 1147	250	868	324	0	0	74	0	250	0
Precinct 1148 - Election Day	73	1,002	100	0	0	27	0	73	0
Precinct 1148 - Vote By Mail	208	1,002	268	0	0	60	0	208	0
Precinct 1148	281	1,002	368	0	0	87	0	281	0
Precinct 1149 - Election Day	71	911	90	0	0	19	0	71	0
Precinct 1149 - Vote By Mail	175	911	239	0	0	64	0	175	0
Precinct 1149	246	911	329	0	0	83	0	246	0
Precinct 1152/1153 - Election Day	125	1,815	155	0	0	30	0	125	0
Precinct 1152/1153 - Vote By Mail	372	1,815	497	0	0	125	0	372	0
Precinct 1152/1153	497	1,815	652	0	0	155	0	497	0
Precinct 7001 - Election Day	46	752	59	0	0	13	0	46	0
Precinct 7001 - Vote By Mail	174	752	230	0	0	56	0	174	0
Precinct 7001	220	752	289	0	0	69	0	220	0
Precinct 7002 - Election Day	50	659	61	0	0	11	0	50	0
Precinct 7002 - Vote By Mail	107	659	151	0	0	44	0	107	0
Precinct 7002	157	659	212	0	0	55	0	157	0
Precinct 7003/7004 - Election Day	170	1,755	233	0	0	63	0	170	0
Precinct 7003/7004 - Vote By Mail	443	1,755	606	0	0	163	0	443	0
Precinct 7003/7004	613	1,755	839	0	0	226	0	613	0
Precinct 7005 - Election Day	98	850	124	0	0	26	0	98	0
Precinct 7005 - Vote By Mail	193	850	280	0	0	87	0	193	0
Precinct 7005	291	850	404	0	0	113	0	291	0
Precinct 7006 - Election Day	97	921	135	0	0	38	0	97	0
Precinct 7006 - Vote By Mail	177	921	264	0	0	87	0	177	0
Precinct 7006	274	921	399	0	0	125	0	274	0
Precinct 7007/7008 - Election Day	212	1,821	269	0	0	57	0	212	0
Precinct 7007/7008 - Vote By Mail	444	1,821	607	0	0	163	0	444	0
Precinct 7007/7008	656	1,821	876	0	0	220	0	656	0
Precinct 7009 - Election Day	53	874	74	0	0	21	0	53	0
Precinct 7009 - Vote By Mail	231	874	316	0	0	85	0	231	0
Precinct 7009	284	874	390	0	0	106	0	284	0
