Subtotal Area	PAUL MIYAMOTO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	146,611	495,050	206,085	0	37	59,435	0	146,613	2
All Precincts - Election Day	42,527	495,050	59,423	0	10	16,885	0	42,528	1
All Precincts - Vote By Mail	104,084	495,050	146,662	0	27	42,550	0	104,085	1
Precinct 1101 - Election Day	44	557	54	0	0	10	0	44	0
Precinct 1101 - Vote By Mail	137	557	165	0	0	28	0	137	0
Precinct 1101	181	557	219	0	0	38	0	181	0
Precinct 1102 - Election Day	105	994	145	0	0	40	0	105	0
Precinct 1102 - Vote By Mail	223	994	304	0	0	81	0	223	0
Precinct 1102	328	994	449	0	0	121	0	328	0
Precinct 1103 - Election Day	77	962	111	0	0	34	0	77	0
Precinct 1103 - Vote By Mail	209	962	283	0	0	74	0	209	0
Precinct 1103	286	962	394	0	0	108	0	286	0
Precinct 1104/1105 - Election Day	80	1,012	109	0	0	29	0	80	0
Precinct 1104/1105 - Vote By Mail	191	1,012	271	0	0	80	0	191	0
Precinct 1104/1105	271	1,012	380	0	0	109	0	271	0
Precinct 1106/1107 - Election Day	129	1,505	168	0	1	38	0	129	0
Precinct 1106/1107 - Vote By Mail	307	1,505	435	0	0	128	0	307	0
Precinct 1106/1107	436	1,505	603	0	1	166	0	436	0
Precinct 1108 - Election Day	79	908	95	0	0	16	0	79	0
Precinct 1108 - Vote By Mail	186	908	273	0	0	87	0	186	0
Precinct 1108	265	908	368	0	0	103	0	265	0
Precinct 1109 - Election Day	67	805	93	0	0	26	0	67	0
Precinct 1109 - Vote By Mail	165	805	233	0	0	68	0	165	0
Precinct 1109	232	805	326	0	0	94	0	232	0
Precinct 1111 - Election Day	76	1,025	106	0	0	30	0	76	0
Precinct 1111 - Vote By Mail	197	1,025	300	0	0	103	0	197	0
Precinct 1111	273	1,025	406	0	0	133	0	273	0
Precinct 1112 - Election Day	46	770	65	0	0	19	0	46	0
Precinct 1112 - Vote By Mail	171	770	221	0	0	50	0	171	0
Precinct 1112	217	770	286	0	0	69	0	217	0
Precinct 1114/1113 - Election Day	89	1,741	129	0	0	40	0	89	0
Precinct 1114/1113 - Vote By Mail	346	1,741	498	0	1	151	0	346	0
Precinct 1114/1113	435	1,741	627	0	1	191	0	435	0
Precinct 1115/1116 - Election Day	112	1,838	165	0	0	53	0	112	0
Precinct 1115/1116 - Vote By Mail	340	1,838	467	0	0	127	0	340	0
Precinct 1115/1116	452	1,838	632	0	0	180	0	452	0
Precinct 1117/1123 - Election Day	115	1,771	155	0	0	40	0	115	0
Precinct 1117/1123 - Vote By Mail	321	1,771	442	0	1	120	0	321	0
Precinct 1117/1123	436	1,771	597	0	1	160	0	436	0
Precinct 1118 - Election Day	74	1,057	99	0	0	25	0	74	0
Precinct 1118 - Vote By Mail	229	1,057	320	0	1	90	0	229	0
Precinct 1118	303	1,057	419	0	1	115	0	303	0
Precinct 1119 - Election Day	46	771	67	0	0	21	0	46	0
Precinct 1119 - Vote By Mail	163	771	226	0	0	63	0	163	0
Precinct 1119	209	771	293	0	0	84	0	209	0
Precinct 1122 - Election Day	39	638	49	0	0	10	0	39	0
Precinct 1122 - Vote By Mail	125	638	188	0	0	63	0	125	0
Precinct 1122	164	638	237	0	0	73	0	164	0
Precinct 1124 - Election Day	44	812	64	0	0	20	0	44	0
Precinct 1124 - Vote By Mail	146	812	188	0	0	42	0	146	0
Precinct 1124	190	812	252	0	0	62	0	190	0
Precinct 1125 - Election Day	33	1,064	48	0	0	15	0	33	0
Precinct 1125 - Vote By Mail	219	1,064	270	0	0	51	0	219	0
