Subtotal Area	IVY LEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	157,858	495,050	206,340	0	55	48,427	157,858	0
All Precincts - Election Day	47,035	495,050	59,414	0	12	12,367	47,035	0
All Precincts - Vote By Mail	110,823	495,050	146,926	0	43	36,060	110,823	0
Precinct 1101 - Election Day	38	557	54	0	0	16	38	0
Precinct 1101 - Vote By Mail	135	557	166	0	0	31	135	0
Precinct 1101	173	557	220	0	0	47	173	0
Precinct 1102 - Election Day	115	994	145	0	0	30	115	0
Precinct 1102 - Vote By Mail	250	994	304	0	0	54	250	0
Precinct 1102	365	994	449	0	0	84	365	0
Precinct 1103 - Election Day	88	962	111	0	0	23	88	0
Precinct 1103 - Vote By Mail	223	962	283	0	0	60	223	0
Precinct 1103	311	962	394	0	0	83	311	0
Precinct 1104/1105 - Election Day	83	1,012	109	0	0	26	83	0
Precinct 1104/1105 - Vote By Mail	210	1,012	271	0	0	61	210	0
Precinct 1104/1105	293	1,012	380	0	0	87	293	0
Precinct 1106/1107 - Election Day	132	1,505	168	0	0	36	132	0
Precinct 1106/1107 - Vote By Mail	335	1,505	435	0	0	100	335	0
Precinct 1106/1107	467	1,505	603	0	0	136	467	0
Precinct 1108 - Election Day	78	908	95	0	0	17	78	0
Precinct 1108 - Vote By Mail	201	908	272	0	0	71	201	0
Precinct 1108	279	908	367	0	0	88	279	0
Precinct 1109 - Election Day	77	805	93	0	0	16	77	0
Precinct 1109 - Vote By Mail	179	805	233	0	0	54	179	0
Precinct 1109	256	805	326	0	0	70	256	0
Precinct 1111 - Election Day	82	1,025	106	0	1	23	82	0
Precinct 1111 - Vote By Mail	230	1,025	303	0	0	73	230	0
Precinct 1111	312	1,025	409	0	1	96	312	0
Precinct 1112 - Election Day	48	770	65	0	0	17	48	0
Precinct 1112 - Vote By Mail	183	770	217	0	0	34	183	0
Precinct 1112	231	770	282	0	0	51	231	0
Precinct 1114/1113 - Election Day	106	1,741	129	0	0	23	106	0
Precinct 1114/1113 - Vote By Mail	391	1,741	501	0	0	110	391	0
Precinct 1114/1113	497	1,741	630	0	0	133	497	0
Precinct 1115/1116 - Election Day	126	1,838	165	0	0	39	126	0
Precinct 1115/1116 - Vote By Mail	377	1,838	467	0	1	89	377	0
Precinct 1115/1116	503	1,838	632	0	1	128	503	0
Precinct 1117/1123 - Election Day	126	1,771	155	0	0	29	126	0
Precinct 1117/1123 - Vote By Mail	342	1,771	443	0	0	101	342	0
Precinct 1117/1123	468	1,771	598	0	0	130	468	0
Precinct 1118 - Election Day	86	1,057	99	0	0	13	86	0
Precinct 1118 - Vote By Mail	245	1,057	319	0	0	74	245	0
Precinct 1118	331	1,057	418	0	0	87	331	0
Precinct 1119 - Election Day	49	771	66	0	0	17	49	0
Precinct 1119 - Vote By Mail	174	771	226	0	0	52	174	0
Precinct 1119	223	771	292	0	0	69	223	0
Precinct 1122 - Election Day	39	638	48	0	0	9	39	0
Precinct 1122 - Vote By Mail	141	638	188	0	0	47	141	0
Precinct 1122	180	638	236	0	0	56	180	0
Precinct 1124 - Election Day	51	812	64	0	0	13	51	0
Precinct 1124 - Vote By Mail	152	812	188	0	0	36	152	0
Precinct 1124	203	812	252	0	0	49	203	0
Precinct 1125 - Election Day	35	1,064	48	0	0	13	35	0
Precinct 1125 - Vote By Mail	225	1,064	271	0	0	46	225	0
Precinct 1125	260	1,064	319	0	0	59	260	0
Precinct 1126/1121 - Election Day	100	1,676	121	0	0	21	100	0
