Subtotal Area	DENNIS J. HERRERA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts	161,369	495,050	206,117	0	55	44,693	0	161,369	0
All Precincts - None	48,109	495,050	59,423	0	14	11,300	0	48,109	0
All Precincts - None	113,260	495,050	146,694	0	41	33,393	0	113,260	0
Precinct 1101 - None	45	557	54	0	0	9	0	45	0
Precinct 1101 - None	138	557	165	0	0	27	0	138	0
Precinct 1101	183	557	219	0	0	36	0	183	0
Precinct 1102 - None	121	994	145	0	0	24	0	121	0
Precinct 1102 - None	234	994	304	0	0	70	0	234	0
Precinct 1102	355	994	449	0	0	94	0	355	0
Precinct 1103 - None	88	962	111	0	0	23	0	88	0
Precinct 1103 - None	220	962	283	0	0	63	0	220	0
Precinct 1103	308	962	394	0	0	86	0	308	0
Precinct 1104/1105 - None	87	1,012	109	0	0	22	0	87	0
Precinct 1104/1105 - None	209	1,012	271	0	0	62	0	209	0
Precinct 1104/1105	296	1,012	380	0	0	84	0	296	0
Precinct 1106/1107 - None	139	1,505	168	0	0	29	0	139	0
Precinct 1106/1107 - None	320	1,505	435	0	0	115	0	320	0
Precinct 1106/1107	459	1,505	603	0	0	144	0	459	0
Precinct 1108 - None	82	908	95	0	0	13	0	82	0
Precinct 1108 - None	204	908	273	0	0	69	0	204	0
Precinct 1108	286	908	368	0	0	82	0	286	0
Precinct 1109 - None	72	805	93	0	0	21	0	72	0
Precinct 1109 - None	175	805	233	0	0	58	0	175	0
Precinct 1109	247	805	326	0	0	79	0	247	0
Precinct 1111 - None	81	1,025	106	0	0	25	0	81	0
Precinct 1111 - None	210	1,025	300	0	0	90	0	210	0
Precinct 1111	291	1,025	406	0	0	115	0	291	0
Precinct 1112 - None	52	770	65	0	0	13	0	52	0
Precinct 1112 - None	175	770	221	0	0	46	0	175	0
Precinct 1112	227	770	286	0	0	59	0	227	0
Precinct 1114/1113 - None	104	1,741	129	0	0	25	0	104	0
Precinct 1114/1113 - None	379	1,741	498	0	0	119	0	379	0
Precinct 1114/1113	483	1,741	627	0	0	144	0	483	0
Precinct 1115/1116 - None	128	1,838	165	0	0	37	0	128	0
Precinct 1115/1116 - None	359	1,838	467	0	0	108	0	359	0
Precinct 1115/1116	487	1,838	632	0	0	145	0	487	0
Precinct 1117/1123 - None	125	1,771	155	0	0	30	0	125	0
Precinct 1117/1123 - None	334	1,771	442	0	0	108	0	334	0
Precinct 1117/1123	459	1,771	597	0	0	138	0	459	0
Precinct 1118 - None	87	1,057	99	0	0	12	0	87	0
Precinct 1118 - None	251	1,057	320	0	0	69	0	251	0
Precinct 1118	338	1,057	419	0	0	81	0	338	0
Precinct 1119 - None	50	771	67	0	0	17	0	50	0
Precinct 1119 - None	172	771	226	0	0	54	0	172	0
Precinct 1119	222	771	293	0	0	71	0	222	0
Precinct 1122 - None	38	638	49	0	0	11	0	38	0
Precinct 1122 - None	124	638	188	0	0	64	0	124	0
Precinct 1122	162	638	237	0	0	75	0	162	0
Precinct 1124 - None	48	812	64	0	0	16	0	48	0
Precinct 1124 - None	156	812	188	0	0	32	0	156	0
Precinct 1124	204	812	252	0	0	48	0	204	0
Precinct 1125 - None	39	1,064	48	0	0	9	0	39	0
Precinct 1125 - None	212	1,064	270	0	0	58	0	212	0
Precinct 1125	251	1,064	318	0	0	67	0	251	0
Precinct 1126/1121 - None	105	1,676	122	0	0	17	0	105	0
Precinct 1126/1121 - None	341	1,676	441	0	0	100	0	341	0
Precinct 1126/1121	446	1,676	563	0	0	117	0	446	0
Precinct 1127/1128 - None	131	1,827	157	0	0	26	0	131	0
Precinct 1127/1128 - None	364	1,827	489	0	0	125	0	364	0
Precinct 1127/1128	495	1,827	646	0	0	151	0	495	0
Precinct 1129 - None	67	1,018	86	0	0	19	0	67	0
Precinct 1129 - None	212	1,018	253	0	1	40	0	212	0
Precinct 1129	279	1,018	339	0	1	59	0	279	0
Precinct 1131 - None	40	836	49	0	0	9	0	40	0
Precinct 1131 - None	179	836	227	0	1	47	0	179	0
Precinct 1131	219	836	276	0	1	56	0	219	0
Precinct 1132 - None	39	1,010	47	0	0	8	0	39	0
Precinct 1132 - None	231	1,010	312	0	0	81	0	231	0
Precinct 1132	270	1,010	359	0	0	89	0	270	0
Precinct 1133 - None	41	857	49	0	0	8	0	41	0
Precinct 1133 - None	200	857	255	0	0	55	0	200	0
Precinct 1133	241	857	304	0	0	63	0	241	0
Precinct 1134 - None	57	762	70	0	0	13	0	57	0
Precinct 1134 - None	160	762	215	0	0	55	0	160	0
Precinct 1134	217	762	285	0	0	68	0	217	0
Precinct 1135 - None	39	554	46	0	0	7	0	39	0
Precinct 1135 - None	145	554	195	0	0	50	0	145	0
Precinct 1135	184	554	241	0	0	57	0	184	0
Precinct 1136 - None	41	847	53	0	0	12	0	41	0
Precinct 1136 - None	178	847	246	0	1	67	0	178	0
Precinct 1136	219	847	299	0	1	79	0	219	0
Precinct 1141 - None	84	1,042	103	0	0	19	0	84	0
Precinct 1141 - None	239	1,042	308	0	0	69	0	239	0
Precinct 1141	323	1,042	411	0	0	88	0	323	0
Precinct 1143 - None	94	1,024	110	0	0	16	0	94	0
Precinct 1143 - None	184	1,024	256	0	0	72	0	184	0
Precinct 1143	278	1,024	366	0	0	88	0	278	0
Precinct 1144/1142 - None	144	1,804	177	0	0	33	0	144	0
Precinct 1144/1142 - None	372	1,804	514	0	0	142	0	372	0
Precinct 1144/1142	516	1,804	691	0	0	175	0	516	0
Precinct 1145 - None	69	894	83	0	0	14	0	69	0
Precinct 1145 - None	229	894	296	0	0	67	0	229	0
Precinct 1145	298	894	379	0	0	81	0	298	0
Precinct 1146 - None	71	1,008	84	0	0	13	0	71	0
Precinct 1146 - None	216	1,008	275	0	0	59	0	216	0
Precinct 1146	287	1,008	359	0	0	72	0	287	0
Precinct 1147 - None	70	868	89	0	0	19	0	70	0
Precinct 1147 - None	186	868	235	0	0	49	0	186	0
Precinct 1147	256	868	324	0	0	68	0	256	0
Precinct 1148 - None	74	1,002	100	0	0	26	0	74	0
Precinct 1148 - None	208	1,002	269	0	0	61	0	208	0
Precinct 1148	282	1,002	369	0	0	87	0	282	0
Precinct 1149 - None	74	911	90	0	0	16	0	74	0
Precinct 1149 - None	186	911	239	0	0	53	0	186	0
Precinct 1149	260	911	329	0	0	69	0	260	0
Precinct 1151 MB - None	0	0	0	0	0	0	0	0	0
Precinct 1151 MB - None	0	0	0	0	0	0	0	0	0
Precinct 1151 MB	0	0	0	0	0	0	0	0	0
Precinct 1152/1153 - None	128	1,815	155	0	0	27	0	128	0
Precinct 1152/1153 - None	377	1,815	497	0	0	120	0	377	0
Precinct 1152/1153	505	1,815	652	0	0	147	0	505	0
Precinct 1154 MB - None	0	0	0	0	0	0	0	0	0
Precinct 1154 MB - None	0	0	0	0	0	0	0	0	0
Precinct 1154 MB	0	0	0	0	0	0	0	0	0
Precinct 7001 - None	53	752	59	0	0	6	0	53	0
Precinct 7001 - None	186	752	231	0	0	45	0	186	0
Precinct 7001	239	752	290	0	0	51	0	239	0
Precinct 7002 - None	52	659	61	0	0	9	0	52	0
Precinct 7002 - None	119	659	151	0	0	32	0	119	0
Precinct 7002	171	659	212	0	0	41	0	171	0
Precinct 7003/7004 - None	192	1,755	233	0	0	41	0	192	0
Precinct 7003/7004 - None	479	1,755	606	0	0	127	0	479	0
Precinct 7003/7004	671	1,755	839	0	0	168	0	671	0
Precinct 7005 - None	112	850	124	0	0	12	0	112	0
Precinct 7005 - None	213	850	280	0	0	67	0	213	0
Precinct 7005	325	850	404	0	0	79	0	325	0
Precinct 7006 - None	109	921	135	0	0	26	0	109	0
Precinct 7006 - None	205	921	264	0	0	59	0	205	0
Precinct 7006	314	921	399	0	0	85	0	314	0
Precinct 7007/7008 - None	228	1,821	269	0	0	41	0	228	0
Precinct 7007/7008 - None	467	1,821	607	0	0	140	0	467	0
Precinct 7007/7008	695	1,821	876	0	0	181	0	695	0
Precinct 7009 - None	55	874	74	0	0	19	0	55	0
Precinct 7009 - None	248	874	316	0	0	68	0	248	0
Precinct 7009	303	874	390	0	0	87	0	303	0
Precinct 7011 - None	73	951	85	0	0	12	0	73	0
Precinct 7011 - None	135	951	168	0	0	33	0	135	0
Precinct 7011	208	951	253	0	0	45	0	208	0
Precinct 7012 - None	128	1,165	149	0	0	21	0	128	0
Precinct 7012 - None	287	1,165	363	0	0	76	0	287	0
Precinct 7012	415	1,165	512	0	0	97	0	415	0
Precinct 7013 - None	74	1,033	93	0	0	19	0	74	0
Precinct 7013 - None	227	1,033	283	0	0	56	0	227	0
Precinct 7013	301	1,033	376	0	0	75	0	301	0
Precinct 7014/7056 - None	120	1,388	136	0	0	16	0	120	0
Precinct 7014/7056 - None	327	1,388	416	0	0	89	0	327	0
Precinct 7014/7056	447	1,388	552	0	0	105	0	447	0
Precinct 7015 MB - None	1	104	1	0	0	0	0	1	0
Precinct 7015 MB - None	25	104	25	0	0	0	0	25	0
Precinct 7015 MB	26	104	26	0	0	0	0	26	0
Precinct 7016 - None	58	912	75	0	0	17	0	58	0
Precinct 7016 - None	129	912	173	0	0	44	0	129	0
Precinct 7016	187	912	248	0	0	61	0	187	0
Precinct 7017 - None	40	781	49	0	0	9	0	40	0
Precinct 7017 - None	115	781	142	0	0	27	0	115	0
Precinct 7017	155	781	191	0	0	36	0	155	0
Precinct 7019/7018 - None	101	1,908	121	0	1	19	0	101	0
Precinct 7019/7018 - None	448	1,908	554	0	0	106	0	448	0
Precinct 7019/7018	549	1,908	675	0	1	125	0	549	0
Precinct 7021 - None	72	955	96	0	0	24	0	72	0
Precinct 7021 - None	169	955	212	0	0	43	0	169	0
Precinct 7021	241	955	308	0	0	67	0	241	0
Precinct 7022 - None	78	943	94	0	0	16	0	78	0
Precinct 7022 - None	159	943	216	0	0	57	0	159	0
Precinct 7022	237	943	310	0	0	73	0	237	0
Precinct 7024 - None	26	448	39	0	0	13	0	26	0
Precinct 7024 - None	28	448	34	0	0	6	0	28	0
Precinct 7024	54	448	73	0	0	19	0	54	0
Precinct 7025 - None	25	473	34	0	0	9	0	25	0
Precinct 7025 - None	38	473	58	0	0	20	0	38	0
Precinct 7025	63	473	92	0	0	29	0	63	0
Precinct 7026 - None	45	1,009	57	0	0	12	0	45	0
Precinct 7026 - None	217	1,009	301	0	0	84	0	217	0
Precinct 7026	262	1,009	358	0	0	96	0	262	0
Precinct 7027 - None	72	883	85	0	0	13	0	72	0
Precinct 7027 - None	174	883	230	0	0	56	0	174	0
Precinct 7027	246	883	315	0	0	69	0	246	0
Precinct 7028 - None	91	849	114	0	0	23	0	91	0
Precinct 7028 - None	135	849	169	0	0	34	0	135	0
Precinct 7028	226	849	283	0	0	57	0	226	0
Precinct 7029/7023 - None	120	1,812	146	0	0	26	0	120	0
Precinct 7029/7023 - None	313	1,812	385	0	0	72	0	313	0
Precinct 7029/7023	433	1,812	531	0	0	98	0	433	0
Precinct 7030 - None	39	787	54	0	0	15	0	39	0
Precinct 7030 - None	178	787	242	0	0	64	0	178	0
Precinct 7030	217	787	296	0	0	79	0	217	0
Precinct 7031 - None	32	680	37	0	0	5	0	32	0
Precinct 7031 - None	149	680	211	0	0	62	0	149	0
Precinct 7031	181	680	248	0	0	67	0	181	0
Precinct 7032 - None	45	876	70	0	0	25	0	45	0
Precinct 7032 - None	166	876	212	0	0	46	0	166	0
Precinct 7032	211	876	282	0	0	71	0	211	0
Precinct 7033 - None	70	770	88	0	0	18	0	70	0
Precinct 7033 - None	139	770	164	0	0	25	0	139	0
Precinct 7033	209	770	252	0	0	43	0	209	0
Precinct 7034 - None	50	954	64	0	0	14	0	50	0
Precinct 7034 - None	91	954	119	0	0	28	0	91	0
Precinct 7034	141	954	183	0	0	42	0	141	0
Precinct 7035 - None	41	681	46	0	0	5	0	41	0
Precinct 7035 - None	137	681	180	0	0	43	0	137	0
Precinct 7035	178	681	226	0	0	48	0	178	0
Precinct 7037/7036 - None	62	1,676	80	0	0	18	0	62	0
Precinct 7037/7036 - None	216	1,676	268	0	2	50	0	216	0
Precinct 7037/7036	278	1,676	348	0	2	68	0	278	0
Precinct 7038 - None	36	924	49	0	0	13	0	36	0
Precinct 7038 - None	181	924	243	0	1	61	0	181	0
Precinct 7038	217	924	292	0	1	74	0	217	0
Precinct 7039 - None	68	830	84	0	0	16	0	68	0
Precinct 7039 - None	141	830	197	0	0	56	0	141	0
Precinct 7039	209	830	281	0	0	72	0	209	0
Precinct 7041 MB - None	0	60	0	0	0	0	0	0	0
Precinct 7041 MB - None	10	60	13	0	0	3	0	10	0
Precinct 7041 MB	10	60	13	0	0	3	0	10	0
Precinct 7042/7046 - None	71	1,069	92	0	0	21	0	71	0
Precinct 7042/7046 - None	205	1,069	265	0	0	60	0	205	0
Precinct 7042/7046	276	1,069	357	0	0	81	0	276	0
Precinct 7043 - None	52	961	61	0	0	9	0	52	0
Precinct 7043 - None	168	961	226	0	0	58	0	168	0
Precinct 7043	220	961	287	0	0	67	0	220	0
Precinct 7044 - None	27	844	42	0	0	15	0	27	0
Precinct 7044 - None	87	844	115	0	0	28	0	87	0
Precinct 7044	114	844	157	0	0	43	0	114	0
Precinct 7045 - None	34	783	49	0	0	15	0	34	0
Precinct 7045 - None	172	783	242	0	1	69	0	172	0
Precinct 7045	206	783	291	0	1	84	0	206	0
Precinct 7047/7051 - None	73	1,727	102	0	0	29	0	73	0
Precinct 7047/7051 - None	370	1,727	507	0	0	137	0	370	0
Precinct 7047/7051	443	1,727	609	0	0	166	0	443	0
Precinct 7048 - None	44	870	53	0	0	9	0	44	0
Precinct 7048 - None	166	870	209	0	0	43	0	166	0
Precinct 7048	210	870	262	0	0	52	0	210	0
Precinct 7049 - None	52	815	68	0	0	16	0	52	0
Precinct 7049 - None	141	815	200	0	0	59	0	141	0
Precinct 7049	193	815	268	0	0	75	0	193	0
Precinct 7052 - None	77	878	87	0	0	10	0	77	0
Precinct 7052 - None	182	878	247	0	0	65	0	182	0
Precinct 7052	259	878	334	0	0	75	0	259	0
Precinct 7053 - None	27	568	38	0	0	11	0	27	0
Precinct 7053 - None	112	568	145	0	0	33	0	112	0
Precinct 7053	139	568	183	0	0	44	0	139	0
Precinct 7054 - None	66	1,111	87	0	0	21	0	66	0
Precinct 7054 - None	188	1,111	243	0	0	55	0	188	0
Precinct 7054	254	1,111	330	0	0	76	0	254	0
Precinct 7055 - None	29	799	37	0	0	8	0	29	0
Precinct 7055 - None	157	799	227	0	0	70	0	157	0
Precinct 7055	186	799	264	0	0	78	0	186	0
Precinct 7101 MB - None	1	152	1	0	0	0	0	1	0
Precinct 7101 MB - None	66	152	77	0	0	11	0	66	0
Precinct 7101 MB	67	152	78	0	0	11	0	67	0
Precinct 7202/7201 - None	127	1,747	156	0	0	29	0	127	0
Precinct 7202/7201 - None	372	1,747	482	0	0	110	0	372	0
Precinct 7202/7201	499	1,747	638	0	0	139	0	499	0
Precinct 7203 - None	78	867	103	0	0	25	0	78	0
Precinct 7203 - None	156	867	203	0	0	47	0	156	0
Precinct 7203	234	867	306	0	0	72	0	234	0
Precinct 7204 - None	79	890	100	0	0	21	0	79	0
Precinct 7204 - None	243	890	294	0	0	51	0	243	0
Precinct 7204	322	890	394	0	0	72	0	322	0
Precinct 7205 - None	87	862	108	0	0	21	0	87	0
Precinct 7205 - None	212	862	268	0	0	56	0	212	0
Precinct 7205	299	862	376	0	0	77	0	299	0
Precinct 7207/7209 - None	100	1,483	126	0	0	26	0	100	0
Precinct 7207/7209 - None	431	1,483	551	0	0	120	0	431	0
Precinct 7207/7209	531	1,483	677	0	0	146	0	531	0
Precinct 7208 - None	36	560	48	0	0	12	0	36	0
Precinct 7208 - None	128	560	159	0	0	31	0	128	0
Precinct 7208	164	560	207	0	0	43	0	164	0
Precinct 7301/7304 - None	151	1,993	200	0	0	49	0	151	0
Precinct 7301/7304 - None	425	1,993	553	0	0	128	0	425	0
Precinct 7301/7304	576	1,993	753	0	0	177	0	576	0
Precinct 7302 - None	76	838	98	0	0	22	0	76	0
Precinct 7302 - None	244	838	312	0	0	68	0	244	0
Precinct 7302	320	838	410	0	0	90	0	320	0
Precinct 7305/7307 - None	179	1,633	223	0	0	44	0	179	0
Precinct 7305/7307 - None	365	1,633	494	0	0	129	0	365	0
Precinct 7305/7307	544	1,633	717	0	0	173	0	544	0
Precinct 7306/7303 - None	163	2,083	208	0	0	45	0	163	0
Precinct 7306/7303 - None	396	2,083	533	0	0	137	0	396	0
Precinct 7306/7303	559	2,083	741	0	0	182	0	559	0
