Subtotal Area	RYAN LAM	DEAN PRESTON	NOMVULA O'MEARA	VALLIE BROWN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Total Votes	Write-in Votes
All Precincts - Total	918	11,119	265	11,171	51,976	24,765	0	39	1,253	0	23,473	0
All Precincts - Election Day	223	4,249	109	3,354	51,976	8,348	0	8	405	0	7,935	0
All Precincts - Vote By Mail	695	6,870	156	7,817	51,976	16,417	0	31	848	0	15,538	0
Precinct 7502 - Election Day	6	26	4	31	779	70	0	0	3	0	67	0
Precinct 7502 - Vote By Mail	19	93	4	118	779	248	0	2	12	0	234	0
Precinct 7502	25	119	8	149	779	318	0	2	15	0	301	0
Precinct 7503 - Election Day	2	40	1	32	725	79	0	0	4	0	75	0
Precinct 7503 - Vote By Mail	24	65	3	96	725	204	0	0	16	0	188	0
Precinct 7503	26	105	4	128	725	283	0	0	20	0	263	0
Precinct 7504/7501 - Election Day	8	29	1	71	1,019	121	0	0	12	0	109	0
Precinct 7504/7501 - Vote By Mail	18	98	8	161	1,019	308	0	1	22	0	285	0
Precinct 7504/7501	26	127	9	232	1,019	429	0	1	34	0	394	0
Precinct 7505 - Election Day	4	27	3	59	851	101	0	0	8	0	93	0
Precinct 7505 - Vote By Mail	30	97	2	197	851	363	0	0	37	0	326	0
Precinct 7505	34	124	5	256	851	464	0	0	45	0	419	0
Precinct 7506/7507 - Election Day	8	93	2	63	1,913	188	0	1	21	0	166	0
Precinct 7506/7507 - Vote By Mail	44	203	2	221	1,913	514	0	2	42	0	470	0
Precinct 7506/7507	52	296	4	284	1,913	702	0	3	63	0	636	0
Precinct 7508 - Election Day	11	37	1	39	720	96	0	0	8	0	88	0
Precinct 7508 - Vote By Mail	46	91	5	128	720	286	0	0	16	0	270	0
Precinct 7508	57	128	6	167	720	382	0	0	24	0	358	0
Precinct 7509/7511 - Election Day	7	58	2	45	914	128	0	0	16	0	112	0
Precinct 7509/7511 - Vote By Mail	27	112	8	124	914	287	0	2	14	0	271	0
Precinct 7509/7511	34	170	10	169	914	415	0	2	30	0	383	0
Precinct 7512 - Election Day	4	32	2	28	588	78	0	0	12	0	66	0
Precinct 7512 - Vote By Mail	14	82	3	90	588	207	0	0	18	0	189	0
Precinct 7512	18	114	5	118	588	285	0	0	30	0	255	0
Precinct 7513 - Election Day	4	44	2	43	784	101	0	0	8	0	93	0
Precinct 7513 - Vote By Mail	31	79	2	64	784	194	0	2	16	0	176	0
Precinct 7513	35	123	4	107	784	295	0	2	24	0	269	0
Precinct 7514 - Election Day	0	19	1	57	901	87	0	0	10	0	77	0
Precinct 7514 - Vote By Mail	30	87	8	88	901	234	0	3	18	0	213	0
Precinct 7514	30	106	9	145	901	321	0	3	28	0	290	0
Precinct 7515 - Election Day	4	33	3	51	852	97	0	0	6	0	91	0
Precinct 7515 - Vote By Mail	8	81	4	127	852	241	0	1	20	0	220	0
Precinct 7515	12	114	7	178	852	338	0	1	26	0	311	0
Precinct 7516 - Election Day	6	38	6	56	906	112	0	0	6	0	106	0
Precinct 7516 - Vote By Mail	34	121	3	165	906	359	0	0	36	0	323	0
Precinct 7516	40	159	9	221	906	471	0	0	42	0	429	0
Precinct 7518/7517 - Election Day	8	199	2	108	1,754	328	0	0	11	0	317	0
Precinct 7518/7517 - Vote By Mail	13	262	5	253	1,754	563	0	0	30	0	533	0
Precinct 7518/7517	21	461	7	361	1,754	891	0	0	41	0	850	0
Precinct 7519 - Election Day	2	66	1	44	709	116	0	0	3	0	113	0
Precinct 7519 - Vote By Mail	4	88	1	99	709	204	0	1	11	0	192	0
Precinct 7519	6	154	2	143	709	320	0	1	14	0	305	0
Precinct 7521 - Election Day	0	59	1	65	761	135	0	0	10	0	125	0
Precinct 7521 - Vote By Mail	5	110	0	126	761	248	0	0	7	0	241	0
Precinct 7521	5	169	1	191	761	383	0	0	17	0	366	0
