Subtotal Area	MANOHAR "MANO" RAJU	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	158,560	495,050	206,117	0	34	47,523	0	158,560	0
All Precincts - Election Day	47,916	495,050	59,423	0	6	11,501	0	47,916	0
All Precincts - Vote By Mail	110,644	495,050	146,694	0	28	36,022	0	110,644	0
Precinct 1101 - Election Day	44	557	54	0	0	10	0	44	0
Precinct 1101 - Vote By Mail	139	557	165	0	0	26	0	139	0
Precinct 1101	183	557	219	0	0	36	0	183	0
Precinct 1102 - Election Day	121	994	145	0	0	24	0	121	0
Precinct 1102 - Vote By Mail	225	994	304	0	0	79	0	225	0
Precinct 1102	346	994	449	0	0	103	0	346	0
Precinct 1103 - Election Day	84	962	111	0	0	27	0	84	0
Precinct 1103 - Vote By Mail	212	962	283	0	0	71	0	212	0
Precinct 1103	296	962	394	0	0	98	0	296	0
Precinct 1104/1105 - Election Day	83	1,012	109	0	0	26	0	83	0
Precinct 1104/1105 - Vote By Mail	205	1,012	271	0	0	66	0	205	0
Precinct 1104/1105	288	1,012	380	0	0	92	0	288	0
Precinct 1106/1107 - Election Day	139	1,505	168	0	0	29	0	139	0
Precinct 1106/1107 - Vote By Mail	307	1,505	435	0	0	128	0	307	0
Precinct 1106/1107	446	1,505	603	0	0	157	0	446	0
Precinct 1108 - Election Day	80	908	95	0	0	15	0	80	0
Precinct 1108 - Vote By Mail	197	908	273	0	0	76	0	197	0
Precinct 1108	277	908	368	0	0	91	0	277	0
Precinct 1109 - Election Day	71	805	93	0	0	22	0	71	0
Precinct 1109 - Vote By Mail	170	805	233	0	0	63	0	170	0
Precinct 1109	241	805	326	0	0	85	0	241	0
Precinct 1111 - Election Day	83	1,025	106	0	0	23	0	83	0
Precinct 1111 - Vote By Mail	208	1,025	300	0	0	92	0	208	0
Precinct 1111	291	1,025	406	0	0	115	0	291	0
Precinct 1112 - Election Day	48	770	65	0	0	17	0	48	0
Precinct 1112 - Vote By Mail	171	770	221	0	0	50	0	171	0
Precinct 1112	219	770	286	0	0	67	0	219	0
Precinct 1114/1113 - Election Day	105	1,741	129	0	0	24	0	105	0
Precinct 1114/1113 - Vote By Mail	361	1,741	498	0	0	137	0	361	0
Precinct 1114/1113	466	1,741	627	0	0	161	0	466	0
Precinct 1115/1116 - Election Day	128	1,838	165	0	0	37	0	128	0
Precinct 1115/1116 - Vote By Mail	356	1,838	467	0	0	111	0	356	0
Precinct 1115/1116	484	1,838	632	0	0	148	0	484	0
Precinct 1117/1123 - Election Day	125	1,771	155	0	0	30	0	125	0
Precinct 1117/1123 - Vote By Mail	333	1,771	442	0	0	109	0	333	0
Precinct 1117/1123	458	1,771	597	0	0	139	0	458	0
Precinct 1118 - Election Day	85	1,057	99	0	0	14	0	85	0
Precinct 1118 - Vote By Mail	240	1,057	320	0	0	80	0	240	0
Precinct 1118	325	1,057	419	0	0	94	0	325	0
Precinct 1119 - Election Day	50	771	67	0	0	17	0	50	0
Precinct 1119 - Vote By Mail	171	771	226	0	0	55	0	171	0
Precinct 1119	221	771	293	0	0	72	0	221	0
Precinct 1122 - Election Day	39	638	49	0	0	10	0	39	0
Precinct 1122 - Vote By Mail	130	638	188	0	0	58	0	130	0
Precinct 1122	169	638	237	0	0	68	0	169	0
Precinct 1124 - Election Day	51	812	64	0	0	13	0	51	0
Precinct 1124 - Vote By Mail	146	812	188	0	0	42	0	146	0
Precinct 1124	197	812	252	0	0	55	0	197	0
Precinct 1125 - Election Day	38	1,064	48	0	0	10	0	38	0
Precinct 1125 - Vote By Mail	211	1,064	270	0	0	59	0	211	0
Precinct 1125	249	1,064	318	0	0	69	0	249	0
Precinct 1126/1121 - Election Day	104	1,676	122	0	0	18	0	104	0
Precinct 1126/1121 - Vote By Mail	330	1,676	441	0	0	111	0	330	0
Precinct 1126/1121	434	1,676	563	0	0	129	0	434	0
Precinct 1127/1128 - Election Day	125	1,827	157	0	0	32	0	125	0
Precinct 1127/1128 - Vote By Mail	369	1,827	489	0	0	120	0	369	0
Precinct 1127/1128	494	1,827	646	0	0	152	0	494	0
Precinct 1129 - Election Day	69	1,018	86	0	0	17	0	69	0
Precinct 1129 - Vote By Mail	207	1,018	253	0	0	46	0	207	0
Precinct 1129	276	1,018	339	0	0	63	0	276	0
Precinct 1131 - Election Day	42	836	49	0	0	7	0	42	0
Precinct 1131 - Vote By Mail	169	836	227	0	0	58	0	169	0
Precinct 1131	211	836	276	0	0	65	0	211	0
Precinct 1132 - Election Day	42	1,010	47	0	0	5	0	42	0
Precinct 1132 - Vote By Mail	219	1,010	312	0	0	93	0	219	0
Precinct 1132	261	1,010	359	0	0	98	0	261	0
Precinct 1133 - Election Day	39	857	49	0	0	10	0	39	0
Precinct 1133 - Vote By Mail	190	857	255	0	0	65	0	190	0
Precinct 1133	229	857	304	0	0	75	0	229	0
Precinct 1134 - Election Day	56	762	70	0	0	14	0	56	0
Precinct 1134 - Vote By Mail	156	762	215	0	0	59	0	156	0
Precinct 1134	212	762	285	0	0	73	0	212	0
Precinct 1135 - Election Day	40	554	46	0	0	6	0	40	0
Precinct 1135 - Vote By Mail	138	554	195	0	0	57	0	138	0
Precinct 1135	178	554	241	0	0	63	0	178	0
Precinct 1136 - Election Day	39	847	53	0	0	14	0	39	0
Precinct 1136 - Vote By Mail	171	847	246	0	0	75	0	171	0
Precinct 1136	210	847	299	0	0	89	0	210	0
Precinct 1141 - Election Day	84	1,042	103	0	0	19	0	84	0
Precinct 1141 - Vote By Mail	232	1,042	308	0	0	76	0	232	0
Precinct 1141	316	1,042	411	0	0	95	0	316	0
Precinct 1143 - Election Day	97	1,024	110	0	0	13	0	97	0
Precinct 1143 - Vote By Mail	186	1,024	256	0	0	70	0	186	0
Precinct 1143	283	1,024	366	0	0	83	0	283	0
Precinct 1144/1142 - Election Day	145	1,804	177	0	0	32	0	145	0
Precinct 1144/1142 - Vote By Mail	372	1,804	514	0	1	141	0	372	0
Precinct 1144/1142	517	1,804	691	0	1	173	0	517	0
Precinct 1145 - Election Day	71	894	83	0	0	12	0	71	0
Precinct 1145 - Vote By Mail	220	894	296	0	0	76	0	220	0
Precinct 1145	291	894	379	0	0	88	0	291	0
Precinct 1146 - Election Day	71	1,008	84	0	0	13	0	71	0
Precinct 1146 - Vote By Mail	216	1,008	275	0	0	59	0	216	0
Precinct 1146	287	1,008	359	0	0	72	0	287	0
Precinct 1147 - Election Day	72	868	89	0	0	17	0	72	0
Precinct 1147 - Vote By Mail	184	868	235	0	0	51	0	184	0
Precinct 1147	256	868	324	0	0	68	0	256	0
Precinct 1148 - Election Day	79	1,002	100	0	0	21	0	79	0
Precinct 1148 - Vote By Mail	206	1,002	269	0	0	63	0	206	0
Precinct 1148	285	1,002	369	0	0	84	0	285	0
Precinct 1149 - Election Day	71	911	90	0	0	19	0	71	0
Precinct 1149 - Vote By Mail	176	911	239	0	0	63	0	176	0
Precinct 1149	247	911	329	0	0	82	0	247	0
Precinct 1152/1153 - Election Day	123	1,815	155	0	0	32	0	123	0
Precinct 1152/1153 - Vote By Mail	367	1,815	497	0	0	130	0	367	0
Precinct 1152/1153	490	1,815	652	0	0	162	0	490	0
Precinct 7001 - Election Day	53	752	59	0	0	6	0	53	0
Precinct 7001 - Vote By Mail	185	752	231	0	0	46	0	185	0
Precinct 7001	238	752	290	0	0	52	0	238	0
Precinct 7002 - Election Day	55	659	61	0	0	6	0	55	0
Precinct 7002 - Vote By Mail	118	659	151	0	0	33	0	118	0
Precinct 7002	173	659	212	0	0	39	0	173	0
Precinct 7003/7004 - Election Day	192	1,755	233	0	0	41	0	192	0
