Subtotal Area	JENNY LAM	KIRSTEN STROBEL	ROBERT K. COLEMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Ballots Counted	Writein Votes
All Precincts	121,139	26,034	17,391	495,050	206,312	0	639	41,107	164,566	2
All Precincts - Election Day	31,352	9,516	6,219	495,050	59,419	0	104	12,228	47,087	0
All Precincts - Vote By Mail	89,787	16,518	11,172	495,050	146,893	0	535	28,879	117,479	2
Precinct 1101 - Election Day	24	9	3	557	54	0	0	18	36	0
Precinct 1101 - Vote By Mail	101	32	10	557	166	0	0	23	143	0
Precinct 1101	125	41	13	557	220	0	0	41	179	0
Precinct 1102 - Election Day	75	28	11	994	145	0	1	30	114	0
Precinct 1102 - Vote By Mail	192	47	31	994	304	0	3	31	270	0
Precinct 1102	267	75	42	994	449	0	4	61	384	0
Precinct 1103 - Election Day	60	13	16	962	111	0	0	22	89	0
Precinct 1103 - Vote By Mail	165	46	28	962	283	0	0	44	239	0
Precinct 1103	225	59	44	962	394	0	0	66	328	0
Precinct 1104/1105 - Election Day	47	21	23	1,012	109	0	0	18	91	0
Precinct 1104/1105 - Vote By Mail	149	46	20	1,012	271	0	3	53	215	0
Precinct 1104/1105	196	67	43	1,012	380	0	3	71	306	0
Precinct 1106/1107 - Election Day	88	26	19	1,505	168	0	1	34	133	0
Precinct 1106/1107 - Vote By Mail	277	69	34	1,505	435	0	0	55	380	0
Precinct 1106/1107	365	95	53	1,505	603	0	1	89	513	0
Precinct 1108 - Election Day	53	21	9	908	95	0	0	12	83	0
Precinct 1108 - Vote By Mail	168	37	23	908	272	0	0	44	228	0
Precinct 1108	221	58	32	908	367	0	0	56	311	0
Precinct 1109 - Election Day	46	20	10	805	93	0	1	16	76	0
Precinct 1109 - Vote By Mail	142	38	20	805	233	0	0	33	200	0
Precinct 1109	188	58	30	805	326	0	1	49	276	0
Precinct 1111 - Election Day	43	22	18	1,025	106	0	1	22	83	0
Precinct 1111 - Vote By Mail	179	38	21	1,025	303	0	2	63	238	0
Precinct 1111	222	60	39	1,025	409	0	3	85	321	0
Precinct 1112 - Election Day	25	15	10	770	65	0	0	15	50	0
Precinct 1112 - Vote By Mail	147	29	17	770	217	0	0	24	193	0
Precinct 1112	172	44	27	770	282	0	0	39	243	0
Precinct 1114/1113 - Election Day	61	29	15	1,741	129	0	0	24	105	0
Precinct 1114/1113 - Vote By Mail	309	65	43	1,741	501	0	4	80	417	0
Precinct 1114/1113	370	94	58	1,741	630	0	4	104	522	0
Precinct 1115/1116 - Election Day	86	29	23	1,838	165	0	0	27	138	0
Precinct 1115/1116 - Vote By Mail	274	60	40	1,838	467	0	6	87	374	0
Precinct 1115/1116	360	89	63	1,838	632	0	6	114	512	0
Precinct 1117/1123 - Election Day	70	37	30	1,771	155	0	1	17	137	0
Precinct 1117/1123 - Vote By Mail	251	59	50	1,771	443	0	5	78	360	0
Precinct 1117/1123	321	96	80	1,771	598	0	6	95	497	0
Precinct 1118 - Election Day	55	18	12	1,057	99	0	0	14	85	0
Precinct 1118 - Vote By Mail	215	34	19	1,057	319	0	0	51	268	0
Precinct 1118	270	52	31	1,057	418	0	0	65	353	0
Precinct 1119 - Election Day	30	12	6	771	66	0	2	16	48	0
Precinct 1119 - Vote By Mail	138	32	24	771	226	0	1	31	194	0
Precinct 1119	168	44	30	771	292	0	3	47	242	0
Precinct 1122 - Election Day	30	9	3	638	48	0	0	6	42	0
Precinct 1122 - Vote By Mail	120	20	12	638	188	0	0	36	152	0
Precinct 1122	150	29	15	638	236	0	0	42	194	0
Precinct 1124 - Election Day	31	11	11	812	64	0	1	10	53	0
