Subtotal Area	DAVID ROLDE	HOWIE HAWKINS	DARIO HUNTER	DENNIS LAMBERT	SEDINAM MOYOWASIFZA-CURRY	KENT MESPLAY	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	22	208	152	86	115	0	503,899	1,042	0	0	412	630	47
All Precincts - Election Day	14	51	52	33	47	0	101,053	296	0	0	52	244	47
All Precincts - Vote By Mail	8	157	100	53	68	0	402,846	746	0	0	360	386	0
Precinct 1101 - Vote By Mail	0	0	0	0	0	0	448	0	0	0	0	0	0
Precinct 1101 - Election Day	0	0	0	0	0	0	114	0	0	0	0	0	0
Precinct 1101	0	0	0	0	0	0	562	0	0	0	0	0	0
Precinct 1102 - Vote By Mail	0	0	0	0	0	0	774	1	0	0	1	0	0
Precinct 1102 - Election Day	0	0	0	0	0	0	230	0	0	0	0	0	0
Precinct 1102	0	0	0	0	0	0	1,004	1	0	0	1	0	0
Precinct 1103 - Vote By Mail	0	1	1	1	0	0	749	3	0	0	0	3	0
Precinct 1103 - Election Day	0	0	0	0	0	0	222	0	0	0	0	0	0
Precinct 1103	0	1	1	1	0	0	971	3	0	0	0	3	0
Precinct 1104/1105 - Vote By Mail	0	0	0	0	1	0	751	2	0	0	1	1	0
Precinct 1104/1105 - Election Day	0	0	0	0	1	0	267	1	0	0	0	1	0
Precinct 1104/1105	0	0	0	0	2	0	1,018	3	0	0	1	2	0
Precinct 1106 - Vote By Mail	0	1	0	0	0	0	598	1	0	0	0	1	0
Precinct 1106 - Election Day	0	0	0	0	0	0	173	0	0	0	0	0	0
Precinct 1106	0	1	0	0	0	0	771	1	0	0	0	1	0
Precinct 1107 - Vote By Mail	0	0	0	0	0	0	612	0	0	0	0	0	0
Precinct 1107 - Election Day	0	0	0	0	0	0	139	1	0	0	0	1	1
Precinct 1107	0	0	0	0	0	0	751	1	0	0	0	1	1
Precinct 1108 - Vote By Mail	0	1	0	0	0	0	725	2	0	0	1	1	0
Precinct 1108 - Election Day	0	0	0	0	0	0	198	1	0	0	1	0	0
Precinct 1108	0	1	0	0	0	0	923	3	0	0	2	1	0
Precinct 1109 - Vote By Mail	0	0	0	1	0	0	653	2	0	0	1	1	0
Precinct 1109 - Election Day	0	0	1	0	0	0	169	1	0	0	0	1	0
Precinct 1109	0	0	1	1	0	0	822	3	0	0	1	2	0
Precinct 1111 - Vote By Mail	0	0	0	0	0	0	849	0	0	0	0	0	0
Precinct 1111 - Election Day	0	0	0	0	0	0	197	1	0	0	1	0	0
Precinct 1111	0	0	0	0	0	0	1,046	1	0	0	1	0	0
Precinct 1112 - Vote By Mail	0	0	0	0	0	0	643	0	0	0	0	0	0
Precinct 1112 - Election Day	0	0	0	0	0	0	159	0	0	0	0	0	0
Precinct 1112	0	0	0	0	0	0	802	0	0	0	0	0	0
Precinct 1113 - Vote By Mail	0	0	0	0	0	0	675	0	0	0	0	0	0
Precinct 1113 - Election Day	0	0	0	0	0	0	120	0	0	0	0	0	0
Precinct 1113	0	0	0	0	0	0	795	0	0	0	0	0	0
Precinct 1114 - Vote By Mail	0	2	1	0	0	0	769	4	0	0	1	3	0
Precinct 1114 - Election Day	0	0	0	0	0	0	222	0	0	0	0	0	0
Precinct 1114	0	2	1	0	0	0	991	4	0	0	1	3	0
Precinct 1115 - Vote By Mail	0	0	0	0	0	0	743	0	0	0	0	0	0
Precinct 1115 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 1115	0	0	0	0	0	0	936	0	0	0	0	0	0
Precinct 1116 - Vote By Mail	0	0	1	0	0	0	715	1	0	0	0	1	0
Precinct 1116 - Election Day	0	0	0	0	0	0	216	0	0	0	0	0	0
Precinct 1116	0	0	1	0	0	0	931	1	0	0	0	1	0
Precinct 1117 - Vote By Mail	0	0	0	0	0	0	665	0	0	0	0	0	0
Precinct 1117 - Election Day	0	0	0	0	0	0	181	0	0	0	0	0	0
Precinct 1117	0	0	0	0	0	0	846	0	0	0	0	0	0
Precinct 1118 - Vote By Mail	0	0	0	0	0	0	846	0	0	0	0	0	0
Precinct 1118 - Election Day	0	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 1118	0	0	0	0	0	0	1,065	0	0	0	0	0	0
Precinct 1119 - Vote By Mail	0	0	0	0	0	0	659	0	0	0	0	0	0
Precinct 1119 - Election Day	0	0	0	0	1	0	138	1	0	0	0	1	0
Precinct 1119	0	0	0	0	1	0	797	1	0	0	0	1	0
Precinct 1121 - Vote By Mail	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 1121 - Election Day	0	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 1121	0	0	0	0	0	0	705	0	0	0	0	0	0
Precinct 1122 - Vote By Mail	0	0	0	0	1	0	519	1	0	0	0	1	0
Precinct 1122 - Election Day	0	0	0	0	0	0	118	0	0	0	0	0	0
Precinct 1122	0	0	0	0	1	0	637	1	0	0	0	1	0
Precinct 1123 - Vote By Mail	0	0	0	0	0	0	730	0	0	0	0	0	0
Precinct 1123 - Election Day	0	0	0	0	0	0	208	0	0	0	0	0	0
Precinct 1123	0	0	0	0	0	0	938	0	0	0	0	0	0
Precinct 1124 - Vote By Mail	0	0	0	0	1	0	630	1	0	0	0	1	0
Precinct 1124 - Election Day	1	0	0	0	0	0	199	1	0	0	0	1	0
Precinct 1124	1	0	0	0	1	0	829	2	0	0	0	2	0
Precinct 1125 - Vote By Mail	0	0	0	0	0	0	919	1	0	0	1	0	0
Precinct 1125 - Election Day	1	0	0	1	0	0	178	2	0	0	0	2	0
Precinct 1125	1	0	0	1	0	0	1,097	3	0	0	1	2	0
Precinct 1126 - Vote By Mail	0	0	0	0	0	0	812	0	0	0	0	0	0
Precinct 1126 - Election Day	0	0	0	0	0	0	200	0	0	0	0	0	0
Precinct 1126	0	0	0	0	0	0	1,012	0	0	0	0	0	0
Precinct 1127 - Vote By Mail	0	0	0	0	0	0	743	0	0	0	0	0	0
Precinct 1127 - Election Day	0	0	0	0	0	0	222	0	0	0	0	0	0
Precinct 1127	0	0	0	0	0	0	965	0	0	0	0	0	0
Precinct 1128 - Vote By Mail	0	0	0	0	0	0	734	0	0	0	0	0	0
Precinct 1128 - Election Day	0	0	0	0	0	0	145	0	0	0	0	0	0
Precinct 1128	0	0	0	0	0	0	879	0	0	0	0	0	0
Precinct 1129 - Vote By Mail	0	0	0	0	0	0	790	0	0	0	0	0	0
Precinct 1129 - Election Day	0	0	0	0	0	0	246	1	0	0	1	0	0
Precinct 1129	0	0	0	0	0	0	1,036	1	0	0	1	0	0
Precinct 1131 - Vote By Mail	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 1131 - Election Day	0	0	0	0	0	0	166	0	0	0	0	0	0
Precinct 1131	0	0	0	0	0	0	860	0	0	0	0	0	0
Precinct 1132 - Vote By Mail	0	0	0	0	0	0	839	0	0	0	0	0	0
Precinct 1132 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 1132	0	0	0	0	0	0	1,032	0	0	0	0	0	0
Precinct 1133 - Vote By Mail	0	0	0	0	0	0	716	0	0	0	0	0	0
Precinct 1133 - Election Day	0	0	0	0	0	0	159	0	0	0	0	0	0
Precinct 1133	0	0	0	0	0	0	875	0	0	0	0	0	0
Precinct 1134 - Vote By Mail	0	0	0	0	0	0	585	1	0	0	1	0	0
Precinct 1134 - Election Day	0	0	0	0	0	0	182	0	0	0	0	0	0
Precinct 1134	0	0	0	0	0	0	767	1	0	0	1	0	0
Precinct 1135 - Vote By Mail	0	0	0	0	0	0	465	0	0	0	0	0	0
Precinct 1135 - Election Day	0	0	0	0	0	0	91	0	0	0	0	0	0
Precinct 1135	0	0	0	0	0	0	556	0	0	0	0	0	0
Precinct 1136 - Vote By Mail	0	0	0	0	0	0	710	0	0	0	0	0	0
Precinct 1136 - Election Day	0	0	0	1	0	0	157	1	0	0	0	1	0
Precinct 1136	0	0	0	1	0	0	867	1	0	0	0	1	0
Precinct 1141 - Vote By Mail	0	0	2	0	0	0	836	2	0	0	0	2	0
Precinct 1141 - Election Day	0	0	0	0	0	0	220	0	0	0	0	0	0
Precinct 1141	0	0	2	0	0	0	1,056	2	0	0	0	2	0
Precinct 1142 - Vote By Mail	0	0	0	0	0	0	721	0	0	0	0	0	0
Precinct 1142 - Election Day	0	0	0	0	0	0	175	0	0	0	0	0	0
Precinct 1142	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 1143 - Vote By Mail	0	0	1	0	0	0	824	2	0	0	1	1	0
Precinct 1143 - Election Day	0	0	0	0	0	0	225	0	0	0	0	0	0
Precinct 1143	0	0	1	0	0	0	1,049	2	0	0	1	1	0
Precinct 1144 - Vote By Mail	0	0	0	0	0	0	727	0	0	0	0	0	0
Precinct 1144 - Election Day	0	0	0	0	0	0	220	0	0	0	0	0	0
Precinct 1144	0	0	0	0	0	0	947	0	0	0	0	0	0
Precinct 1145 - Vote By Mail	0	1	0	0	0	0	753	3	0	0	2	1	0
Precinct 1145 - Election Day	0	0	0	0	0	0	152	1	0	0	1	0	0
Precinct 1145	0	1	0	0	0	0	905	4	0	0	3	1	0
Precinct 1146 - Vote By Mail	0	0	1	0	0	0	839	1	0	0	0	1	0
Precinct 1146 - Election Day	1	0	0	0	0	0	215	1	0	0	0	1	0
Precinct 1146	1	0	1	0	0	0	1,054	2	0	0	0	2	0
Precinct 1147 - Vote By Mail	0	3	0	0	0	0	673	3	0	0	0	3	0
Precinct 1147 - Election Day	0	0	0	0	0	0	212	1	0	0	0	1	1
Precinct 1147	0	3	0	0	0	0	885	4	0	0	0	4	1
Precinct 1148 - Vote By Mail	0	0	0	0	0	0	804	1	0	0	1	0	0
Precinct 1148 - Election Day	0	0	0	0	0	0	224	1	0	0	1	0	0
Precinct 1148	0	0	0	0	0	0	1,028	2	0	0	2	0	0
Precinct 1149 - Vote By Mail	0	0	1	0	0	0	710	1	0	0	0	1	0
Precinct 1149 - Election Day	0	0	0	0	0	0	229	0	0	0	0	0	0
Precinct 1149	0	0	1	0	0	0	939	1	0	0	0	1	0
Precinct 1152 - Vote By Mail	0	1	0	0	0	0	710	1	0	0	0	1	0
Precinct 1152 - Election Day	0	0	0	0	0	0	180	0	0	0	0	0	0
Precinct 1152	0	1	0	0	0	0	890	1	0	0	0	1	0
Precinct 1153 - Vote By Mail	0	0	0	0	0	0	730	0	0	0	0	0	0
Precinct 1153 - Election Day	0	0	0	0	0	0	210	0	0	0	0	0	0
Precinct 1153	0	0	0	0	0	0	940	0	0	0	0	0	0
Precinct 7001 - Vote By Mail	0	0	0	0	0	0	632	2	0	0	2	0	0
Precinct 7001 - Election Day	0	0	0	0	0	0	141	0	0	0	0	0	0
Precinct 7001	0	0	0	0	0	0	773	2	0	0	2	0	0
Precinct 7002 - Vote By Mail	0	0	0	0	0	0	598	0	0	0	0	0	0
Precinct 7002 - Election Day	0	0	0	0	0	0	116	0	0	0	0	0	0
Precinct 7002	0	0	0	0	0	0	714	0	0	0	0	0	0
Precinct 7003 - Vote By Mail	0	0	0	0	1	0	759	1	0	0	0	1	0
Precinct 7003 - Election Day	0	0	0	0	0	0	147	2	0	0	1	1	1
Precinct 7003	0	0	0	0	1	0	906	3	0	0	1	2	1
Precinct 7004 - Vote By Mail	0	0	1	0	0	0	764	3	0	0	2	1	0
Precinct 7004 - Election Day	0	0	0	0	0	0	149	0	0	0	0	0	0
Precinct 7004	0	0	1	0	0	0	913	3	0	0	2	1	0
Precinct 7005 - Vote By Mail	0	0	0	0	0	0	698	0	0	0	0	0	0
Precinct 7005 - Election Day	0	0	0	0	0	0	161	0	0	0	0	0	0
Precinct 7005	0	0	0	0	0	0	859	0	0	0	0	0	0
Precinct 7006 - Vote By Mail	0	1	0	0	0	0	729	2	0	0	1	1	0
Precinct 7006 - Election Day	0	0	1	0	0	0	203	1	0	0	0	1	0
Precinct 7006	0	1	1	0	0	0	932	3	0	0	1	2	0
Precinct 7007 - Vote By Mail	1	0	0	0	0	0	777	2	0	0	1	1	0
Precinct 7007 - Election Day	0	0	0	0	0	0	180	0	0	0	0	0	0
Precinct 7007	1	0	0	0	0	0	957	2	0	0	1	1	0
Precinct 7008 - Vote By Mail	0	0	0	0	0	0	732	0	0	0	0	0	0
Precinct 7008 - Election Day	0	0	0	0	0	0	177	1	0	0	0	1	1
Precinct 7008	0	0	0	0	0	0	909	1	0	0	0	1	1
Precinct 7009 - Vote By Mail	0	0	0	0	1	0	752	2	0	0	1	1	0
Precinct 7009 - Election Day	0	0	0	0	0	0	119	0	0	0	0	0	0
Precinct 7009	0	0	0	0	1	0	871	2	0	0	1	1	0
Precinct 7011 - Vote By Mail	0	1	0	0	0	0	704	1	0	0	0	1	0
Precinct 7011 - Election Day	0	0	0	0	0	0	269	0	0	0	0	0	0
Precinct 7011	0	1	0	0	0	0	973	1	0	0	0	1	0
Precinct 7012 - Vote By Mail	0	0	0	0	0	0	999	2	0	0	2	0	0
Precinct 7012 - Election Day	0	0	0	0	0	0	227	0	0	0	0	0	0
Precinct 7012	0	0	0	0	0	0	1,226	2	0	0	2	0	0
Precinct 7013 - Vote By Mail	0	0	0	0	0	0	984	0	0	0	0	0	0
Precinct 7013 - Election Day	0	0	1	0	0	0	155	1	0	0	0	1	0
Precinct 7013	0	0	1	0	0	0	1,139	1	0	0	0	1	0
Precinct 7014 - Vote By Mail	0	0	0	0	0	0	610	1	0	0	1	0	0
Precinct 7014 - Election Day	0	0	0	0	0	0	109	0	0	0	0	0	0
Precinct 7014	0	0	0	0	0	0	719	1	0	0	1	0	0
Precinct 7015 MB - Vote By Mail	0	0	0	0	0	0	128	0	0	0	0	0	0
Precinct 7015 MB - Election Day	0	0	0	0	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	0	0	0	0	0	0	110	0	0	0	0	0	0
Precinct 7016 - Vote By Mail	0	0	0	0	0	0	655	0	0	0	0	0	0
Precinct 7016 - Election Day	0	0	0	0	0	0	277	0	0	0	0	0	0
Precinct 7016	0	0	0	0	0	0	932	0	0	0	0	0	0
Precinct 7017 - Vote By Mail	0	0	0	1	0	0	543	1	0	0	0	1	0
Precinct 7017 - Election Day	0	0	0	0	0	0	238	0	0	0	0	0	0
Precinct 7017	0	0	0	1	0	0	781	1	0	0	0	1	0
Precinct 7018 - Vote By Mail	0	0	0	0	0	0	847	0	0	0	0	0	0
Precinct 7018 - Election Day	0	0	0	0	0	0	200	0	0	0	0	0	0
Precinct 7018	0	0	0	0	0	0	1,047	0	0	0	0	0	0
Precinct 7019 - Vote By Mail	0	2	0	0	0	0	734	3	0	0	1	2	0
Precinct 7019 - Election Day	0	0	0	0	0	0	166	1	0	0	0	1	1
Precinct 7019	0	2	0	0	0	0	900	4	0	0	1	3	1
Precinct 7021 - Vote By Mail	0	0	0	0	0	0	679	2	0	0	2	0	0
Precinct 7021 - Election Day	0	0	0	0	0	0	288	0	0	0	0	0	0
Precinct 7021	0	0	0	0	0	0	967	2	0	0	2	0	0
Precinct 7022 - Vote By Mail	0	0	0	0	0	0	770	1	0	0	1	0	0
Precinct 7022 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7022	0	0	0	0	0	0	963	1	0	0	1	0	0
Precinct 7023 - Vote By Mail	0	0	0	0	0	0	687	0	0	0	0	0	0
Precinct 7023 - Election Day	0	0	0	0	0	0	233	0	0	0	0	0	0
Precinct 7023	0	0	0	0	0	0	920	0	0	0	0	0	0
Precinct 7024 - Vote By Mail	0	0	0	0	0	0	251	0	0	0	0	0	0
Precinct 7024 - Election Day	0	0	0	0	0	0	190	0	0	0	0	0	0
Precinct 7024	0	0	0	0	0	0	441	0	0	0	0	0	0
Precinct 7025 - Vote By Mail	0	0	0	0	0	0	316	0	0	0	0	0	0
Precinct 7025 - Election Day	0	0	0	0	0	0	167	0	0	0	0	0	0
Precinct 7025	0	0	0	0	0	0	483	0	0	0	0	0	0
Precinct 7026 - Vote By Mail	0	0	1	0	0	0	819	1	0	0	0	1	0
Precinct 7026 - Election Day	0	0	0	0	0	0	191	0	0	0	0	0	0
Precinct 7026	0	0	1	0	0	0	1,010	1	0	0	0	1	0
Precinct 7027 - Vote By Mail	0	0	0	0	0	0	677	0	0	0	0	0	0
Precinct 7027 - Election Day	0	0	0	0	0	0	219	0	0	0	0	0	0
Precinct 7027	0	0	0	0	0	0	896	0	0	0	0	0	0
Precinct 7028 - Vote By Mail	0	0	0	0	0	0	585	2	0	0	2	0	0
Precinct 7028 - Election Day	0	0	0	0	0	0	271	0	0	0	0	0	0
Precinct 7028	0	0	0	0	0	0	856	2	0	0	2	0	0
Precinct 7029 - Vote By Mail	0	0	0	0	0	0	642	0	0	0	0	0	0
Precinct 7029 - Election Day	0	0	0	0	0	0	267	0	0	0	0	0	0
Precinct 7029	0	0	0	0	0	0	909	0	0	0	0	0	0
Precinct 7030 - Vote By Mail	0	0	0	0	0	0	654	0	0	0	0	0	0
Precinct 7030 - Election Day	0	0	0	0	0	0	141	0	0	0	0	0	0
Precinct 7030	0	0	0	0	0	0	795	0	0	0	0	0	0
Precinct 7031 - Vote By Mail	0	0	0	0	0	0	622	0	0	0	0	0	0
Precinct 7031 - Election Day	0	0	0	0	0	0	72	0	0	0	0	0	0
Precinct 7031	0	0	0	0	0	0	694	0	0	0	0	0	0
Precinct 7032 - Vote By Mail	0	0	0	0	0	0	643	0	0	0	0	0	0
Precinct 7032 - Election Day	0	0	0	0	1	0	238	1	0	0	0	1	0
Precinct 7032	0	0	0	0	1	0	881	1	0	0	0	1	0
Precinct 7033 - Vote By Mail	0	0	0	0	0	0	549	0	0	0	0	0	0
Precinct 7033 - Election Day	0	0	0	0	0	0	229	0	0	0	0	0	0
Precinct 7033	0	0	0	0	0	0	778	0	0	0	0	0	0
Precinct 7034 - Vote By Mail	0	0	0	0	0	0	620	0	0	0	0	0	0
Precinct 7034 - Election Day	0	0	0	0	0	0	318	0	0	0	0	0	0
Precinct 7034	0	0	0	0	0	0	938	0	0	0	0	0	0
Precinct 7035 - Vote By Mail	0	1	0	0	0	0	567	2	0	0	1	1	0
Precinct 7035 - Election Day	0	0	0	0	0	0	152	0	0	0	0	0	0
Precinct 7035	0	1	0	0	0	0	719	2	0	0	1	1	0
Precinct 7036 - Vote By Mail	0	0	0	0	0	0	781	0	0	0	0	0	0
Precinct 7036 - Election Day	0	0	0	0	0	0	193	0	0	0	0	0	0
Precinct 7036	0	0	0	0	0	0	974	0	0	0	0	0	0
Precinct 7037 - Vote By Mail	0	0	0	0	0	0	434	0	0	0	0	0	0
Precinct 7037 - Election Day	0	0	0	0	0	0	312	0	0	0	0	0	0
Precinct 7037	0	0	0	0	0	0	746	0	0	0	0	0	0
Precinct 7038 - Vote By Mail	1	0	0	0	0	0	758	2	0	0	1	1	0
Precinct 7038 - Election Day	0	0	0	0	0	0	203	0	0	0	0	0	0
Precinct 7038	1	0	0	0	0	0	961	2	0	0	1	1	0
Precinct 7039 - Vote By Mail	0	0	0	0	0	0	636	0	0	0	0	0	0
Precinct 7039 - Election Day	0	0	0	0	0	0	201	0	0	0	0	0	0
Precinct 7039	0	0	0	0	0	0	837	0	0	0	0	0	0
Precinct 7041 MB - Vote By Mail	0	0	0	0	0	0	70	0	0	0	0	0	0
Precinct 7041 MB - Election Day	0	0	0	0	0	0	-4	0	0	0	0	0	0
Precinct 7041 MB	0	0	0	0	0	0	66	0	0	0	0	0	0
Precinct 7042 - Vote By Mail	0	0	0	0	0	0	514	0	0	0	0	0	0
Precinct 7042 - Election Day	0	0	0	0	0	0	146	0	0	0	0	0	0
Precinct 7042	0	0	0	0	0	0	660	0	0	0	0	0	0
Precinct 7043 - Vote By Mail	0	0	1	0	0	0	754	2	0	0	1	1	0
Precinct 7043 - Election Day	0	0	0	0	0	0	224	0	0	0	0	0	0
Precinct 7043	0	0	1	0	0	0	978	2	0	0	1	1	0
Precinct 7044 - Vote By Mail	0	0	0	0	0	0	586	0	0	0	0	0	0
Precinct 7044 - Election Day	0	0	0	0	0	0	266	0	0	0	0	0	0
Precinct 7044	0	0	0	0	0	0	852	0	0	0	0	0	0
Precinct 7045 - Vote By Mail	0	0	0	0	0	0	632	0	0	0	0	0	0
Precinct 7045 - Election Day	0	0	0	0	0	0	154	0	0	0	0	0	0
Precinct 7045	0	0	0	0	0	0	786	0	0	0	0	0	0
Precinct 7046 - Vote By Mail	0	0	0	0	0	0	334	0	0	0	0	0	0
Precinct 7046 - Election Day	0	0	0	0	0	0	96	0	0	0	0	0	0
Precinct 7046	0	0	0	0	0	0	430	0	0	0	0	0	0
