Subtotal Area	HOWIE HAWKINS	GLORIA LA RIVA	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	78	174	1,531	366	0	0	114	252	0
All Precincts - None	19	70	338	120	0	0	31	89	0
All Precincts - None	59	104	1,193	246	0	0	83	163	0
Precinct 1101 - None	0	0	1	1	0	0	1	0	0
Precinct 1101 - None	0	0	0	0	0	0	0	0	0
Precinct 1101	0	0	1	1	0	0	1	0	0
Precinct 1102 - None	0	0	2	1	0	0	1	0	0
Precinct 1102 - None	0	0	0	0	0	0	0	0	0
Precinct 1102	0	0	2	1	0	0	1	0	0
Precinct 1103 - None	0	0	4	1	0	0	1	0	0
Precinct 1103 - None	0	0	0	0	0	0	0	0	0
Precinct 1103	0	0	4	1	0	0	1	0	0
Precinct 1104/1105 - None	2	0	4	2	0	0	0	2	0
Precinct 1104/1105 - None	0	0	1	0	0	0	0	0	0
Precinct 1104/1105	2	0	5	2	0	0	0	2	0
Precinct 1106 - None	0	1	1	1	0	0	0	1	0
Precinct 1106 - None	0	0	1	0	0	0	0	0	0
Precinct 1106	0	1	2	1	0	0	0	1	0
Precinct 1107 - None	0	0	1	0	0	0	0	0	0
Precinct 1107 - None	0	0	1	0	0	0	0	0	0
Precinct 1107	0	0	2	0	0	0	0	0	0
Precinct 1108 - None	0	0	1	0	0	0	0	0	0
Precinct 1108 - None	0	0	2	0	0	0	0	0	0
Precinct 1108	0	0	3	0	0	0	0	0	0
Precinct 1109 - None	1	1	5	3	0	0	1	2	0
Precinct 1109 - None	0	0	0	0	0	0	0	0	0
Precinct 1109	1	1	5	3	0	0	1	2	0
Precinct 1111 - None	0	0	4	1	0	0	1	0	0
Precinct 1111 - None	0	0	3	0	0	0	0	0	0
Precinct 1111	0	0	7	1	0	0	1	0	0
Precinct 1112 - None	0	1	2	1	0	0	0	1	0
Precinct 1112 - None	0	0	1	0	0	0	0	0	0
Precinct 1112	0	1	3	1	0	0	0	1	0
Precinct 1113 - None	0	0	6	0	0	0	0	0	0
Precinct 1113 - None	0	0	0	1	0	0	1	0	0
Precinct 1113	0	0	6	1	0	0	1	0	0
Precinct 1114 - None	0	0	2	0	0	0	0	0	0
Precinct 1114 - None	0	0	0	0	0	0	0	0	0
Precinct 1114	0	0	2	0	0	0	0	0	0
Precinct 1115 - None	0	0	3	0	0	0	0	0	0
Precinct 1115 - None	0	0	0	0	0	0	0	0	0
Precinct 1115	0	0	3	0	0	0	0	0	0
Precinct 1116 - None	0	1	4	1	0	0	0	1	0
Precinct 1116 - None	0	1	0	1	0	0	0	1	0
Precinct 1116	0	2	4	2	0	0	0	2	0
Precinct 1117 - None	0	0	3	1	0	0	1	0	0
Precinct 1117 - None	0	0	1	0	0	0	0	0	0
Precinct 1117	0	0	4	1	0	0	1	0	0
Precinct 1118 - None	0	0	2	0	0	0	0	0	0
Precinct 1118 - None	0	0	0	0	0	0	0	0	0
Precinct 1118	0	0	2	0	0	0	0	0	0
Precinct 1119 - None	1	1	6	3	0	0	1	2	0
Precinct 1119 - None	0	0	0	0	0	0	0	0	0
Precinct 1119	1	1	6	3	0	0	1	2	0
Precinct 1121 - None	0	1	8	2	0	0	1	1	0
Precinct 1121 - None	0	0	0	1	0	0	1	0	0
Precinct 1121	0	1	8	3	0	0	2	1	0
Precinct 1122 - None	0	0	2	0	0	0	0	0	0
Precinct 1122 - None	0	1	0	1	0	0	0	1	0
Precinct 1122	0	1	2	1	0	0	0	1	0
Precinct 1123 - None	0	1	5	2	0	0	1	1	0
Precinct 1123 - None	0	0	1	0	0	0	0	0	0
Precinct 1123	0	1	6	2	0	0	1	1	0
Precinct 1124 - None	0	0	9	1	0	0	1	0	0
Precinct 1124 - None	0	1	1	1	0	0	0	1	0
Precinct 1124	0	1	10	2	0	0	1	1	0
Precinct 1125 - None	0	0	3	0	0	0	0	0	0
Precinct 1125 - None	0	0	0	0	0	0	0	0	0
Precinct 1125	0	0	3	0	0	0	0	0	0
Precinct 1126 - None	0	0	2	0	0	0	0	0	0
Precinct 1126 - None	0	0	1	0	0	0	0	0	0
Precinct 1126	0	0	3	0	0	0	0	0	0
Precinct 1127 - None	0	2	6	3	0	0	1	2	0
Precinct 1127 - None	0	1	0	1	0	0	0	1	0
Precinct 1127	0	3	6	4	0	0	1	3	0
Precinct 1128 - None	1	1	5	2	0	0	0	2	0
Precinct 1128 - None	0	1	0	1	0	0	0	1	0
Precinct 1128	1	2	5	3	0	0	0	3	0
Precinct 1129 - None	0	1	3	1	0	0	0	1	0
Precinct 1129 - None	0	0	1	0	0	0	0	0	0
Precinct 1129	0	1	4	1	0	0	0	1	0
Precinct 1131 - None	1	0	3	1	0	0	0	1	0
Precinct 1131 - None	0	0	-1	0	0	0	0	0	0
Precinct 1131	1	0	2	1	0	0	0	1	0
