Subtotal Area	KEN ARMSTRONG	MAX ABRAMSON	SAM ROBB	KIM RUFF	STEVEN A RICHEY	JACOB HORNBERGER	SOURAYA FAAS	KEENAN WALLACE DUNHAM	ADAM KOKESH	VERMIN SUPREME	JO JORGENSEN	DAN BEHRMAN	ERIK CHASE GERHARDT	NICHOLAS D'ARTAGNAN DUMAS	GEBY EVA ESPINOSA	JAMES ORLANDO OGLE	SORINNE ARDELEANU	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Writein Votes
All Precincts	39	19	18	38	21	83	23	9	19	42	39	18	18	0	0	0	0	503,899	618	0	7	189	422	36
All Precincts - Election Day	23	7	5	16	7	38	8	6	8	15	17	6	11	0	0	0	0	503,899	250	0	1	46	203	36
All Precincts - Vote By Mail	16	12	13	22	14	45	15	3	11	27	22	12	7	0	0	0	0	503,899	368	0	6	143	219	0
Precinct 1101 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0
Precinct 1101 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0
Precinct 1101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	0	0
Precinct 1102 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,004	0	0	0	0	0	0
Precinct 1102 - Election Day	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1,004	1	0	0	0	1	0
Precinct 1102	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1,004	1	0	0	0	1	0
Precinct 1103 - Vote By Mail	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	971	1	0	0	0	1	0
Precinct 1103 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	971	0	0	0	0	0	0
Precinct 1103	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	971	1	0	0	0	1	0
Precinct 1104/1105 - Vote By Mail	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1,018	1	0	0	0	1	0
Precinct 1104/1105 - Election Day	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1,018	1	0	0	0	1	0
Precinct 1104/1105	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1,018	2	0	0	0	2	0
Precinct 1106 - Vote By Mail	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	771	1	0	0	0	1	0
Precinct 1106 - Election Day	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	771	1	0	0	0	1	0
Precinct 1106	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	771	2	0	0	0	2	0
Precinct 1107 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0
Precinct 1107 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0
Precinct 1107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	0	0	0	0	0	0
Precinct 1108 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0	0
Precinct 1108 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0	0
Precinct 1108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	923	0	0	0	0	0	0
Precinct 1109 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0	0	0	0
Precinct 1109 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0	0	0	0
Precinct 1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	0	0	0	0	0	0
Precinct 1111 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1,046	1	0	0	0	1	0
Precinct 1111 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1,046	0	0	0	0	0	0
Precinct 1111	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1,046	1	0	0	0	1	0
Precinct 1112 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	802	1	0	0	0	1	0
Precinct 1112 - Election Day	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	802	1	0	0	0	1	0
Precinct 1112	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	802	2	0	0	0	2	0
Precinct 1113 - Vote By Mail	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795	1	0	0	1	0	0
Precinct 1113 - Election Day	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	795	1	0	0	0	1	0
