Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	4,336	19,107	178,214	3,433	30,681	4,460	445,848	252,353	0	584	11,475	240,294	63
All Precincts - Election Day	1,019	4,445	55,254	1,016	10,652	1,563	90,254	77,529	0	83	3,434	74,012	63
All Precincts - Vote By Mail	3,317	14,662	122,960	2,417	20,029	2,897	355,594	174,824	0	501	8,041	166,282	0
Precinct 1141 - Vote By Mail	17	28	279	5	34	14	836	393	0	2	14	377	0
Precinct 1141 - Election Day	5	4	82	1	22	4	220	124	0	0	6	118	0
Precinct 1141	22	32	361	6	56	18	1,056	517	0	2	20	495	0
Precinct 1142 - Vote By Mail	10	34	199	3	52	6	721	324	0	2	18	304	0
Precinct 1142 - Election Day	1	5	62	0	13	5	175	87	0	0	1	86	0
Precinct 1142	11	39	261	3	65	11	896	411	0	2	19	390	0
Precinct 1143 - Vote By Mail	25	33	222	6	44	6	824	360	0	3	21	336	0
Precinct 1143 - Election Day	3	2	80	1	19	6	225	116	0	0	5	111	0
Precinct 1143	28	35	302	7	63	12	1,049	476	0	3	26	447	0
Precinct 1144 - Vote By Mail	15	41	203	2	45	5	727	326	0	1	14	311	0
Precinct 1144 - Election Day	1	9	78	1	18	8	220	121	0	0	6	115	0
Precinct 1144	16	50	281	3	63	13	947	447	0	1	20	426	0
Precinct 1145 - Vote By Mail	12	31	286	5	44	8	753	411	0	0	25	386	0
Precinct 1145 - Election Day	2	4	77	3	19	4	152	114	0	0	4	110	1
Precinct 1145	14	35	363	8	63	12	905	525	0	0	29	496	1
Precinct 1146 - Vote By Mail	19	30	247	4	40	7	839	364	0	2	15	347	0
Precinct 1146 - Election Day	2	5	64	7	23	5	215	110	0	0	4	106	0
Precinct 1146	21	35	311	11	63	12	1,054	474	0	2	19	453	0
Precinct 1147 - Vote By Mail	11	31	202	6	38	8	673	309	0	2	11	296	0
Precinct 1147 - Election Day	4	5	75	3	19	1	212	108	0	0	1	107	0
Precinct 1147	15	36	277	9	57	9	885	417	0	2	12	403	0
Precinct 1148 - Vote By Mail	24	33	232	12	43	4	804	368	0	3	17	348	0
Precinct 1148 - Election Day	6	10	74	3	23	0	224	119	0	0	3	116	0
Precinct 1148	30	43	306	15	66	4	1,028	487	0	3	20	464	0
Precinct 1149 - Vote By Mail	18	26	205	10	37	5	710	319	0	1	17	301	0
Precinct 1149 - Election Day	4	11	74	2	17	7	229	119	0	0	3	116	1
Precinct 1149	22	37	279	12	54	12	939	438	0	1	20	417	1
Precinct 1152 - Vote By Mail	9	29	216	3	34	8	710	313	0	1	13	299	0
Precinct 1152 - Election Day	3	13	48	1	19	3	180	87	0	0	0	87	0
Precinct 1152	12	42	264	4	53	11	890	400	0	1	13	386	0
Precinct 1153 - Vote By Mail	10	39	196	2	19	6	730	285	0	2	11	272	0
Precinct 1153 - Election Day	6	9	83	0	12	2	210	117	0	1	4	112	0
Precinct 1153	16	48	279	2	31	8	940	402	0	3	15	384	0
Precinct 7001 - Vote By Mail	2	12	230	5	55	3	632	329	0	2	20	307	0
Precinct 7001 - Election Day	2	1	69	1	25	2	141	105	0	0	5	100	0
Precinct 7001	4	13	299	6	80	5	773	434	0	2	25	407	0
