Subtotal Area	BARBARA LEE	NIKKA PITERMAN	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Writein Votes
All Precincts	0	0	0	0	0	0	0	0	0
All Precincts - Election Day	0	0	0	0	0	0	0	0	0
All Precincts - Vote By Mail	0	0	0	0	0	0	0	0	0
Precinct 9900 MB - Vote By Mail	0	0	0	0	0	0	0	0	0
Precinct 9900 MB - Election Day	0	0	0	0	0	0	0	0	0
Precinct 9900 MB	0	0	0	0	0	0	0	0	0
Assembly District 17 - Vote By Mail	0	0	232,212	0	0	0	0	0	0
Assembly District 17 - Election Day	0	0	60,210	0	0	0	0	0	0
Assembly District 17	0	0	292,422	0	0	0	0	0	0
Supervisorial District 10 - Vote By Mail	0	0	33,679	0	0	0	0	0	0
Supervisorial District 10 - Election Day	0	0	9,434	0	0	0	0	0	0
Supervisorial District 10	0	0	43,113	0	0	0	0	0	0
Bayview/Hunters Point - Vote By Mail	0	0	15,417	0	0	0	0	0	0
Bayview/Hunters Point - Election Day	0	0	5,068	0	0	0	0	0	0
Bayview/Hunters Point	0	0	20,485	0	0	0	0	0	0
