Subtotal Area	JACKIE SPEIER	RAN S. PETEL	CRISTOS GOODROW	ERIC TAYLOR	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	21,275	3,924	1,012	869	58,051	29,420	0	63	2,230	27,127	47
All Precincts - Election Day	5,375	618	258	201	10,799	7,055	0	5	551	6,499	47
All Precincts - Vote By Mail	15,900	3,306	754	668	47,252	22,365	0	58	1,679	20,628	0
Precinct 1101 - Vote By Mail	166	23	7	4	448	215	0	0	15	200	0
Precinct 1101 - Election Day	49	3	3	3	114	61	0	0	3	58	0
Precinct 1101	215	26	10	7	562	276	0	0	18	258	0
Precinct 1102 - Vote By Mail	262	57	10	15	774	369	0	1	24	344	0
Precinct 1102 - Election Day	129	6	4	2	230	162	0	0	19	143	2
Precinct 1102	391	63	14	17	1,004	531	0	1	43	487	2
Precinct 1103 - Vote By Mail	262	54	14	20	749	371	0	1	20	350	0
Precinct 1103 - Election Day	115	3	12	1	222	144	0	0	12	132	1
Precinct 1103	377	57	26	21	971	515	0	1	32	482	1
Precinct 1104/1105 - Vote By Mail	249	35	19	16	751	343	0	3	21	319	0
Precinct 1104/1105 - Election Day	93	6	4	7	267	122	0	0	11	111	1
Precinct 1104/1105	342	41	23	23	1,018	465	0	3	32	430	1
Precinct 1106 - Vote By Mail	180	42	6	7	598	255	0	0	20	235	0
Precinct 1106 - Election Day	76	8	2	4	173	97	0	0	6	91	1
Precinct 1106	256	50	8	11	771	352	0	0	26	326	1
Precinct 1107 - Vote By Mail	211	30	7	12	612	287	0	2	25	260	0
Precinct 1107 - Election Day	68	2	1	4	139	76	0	0	1	75	0
Precinct 1107	279	32	8	16	751	363	0	2	26	335	0
Precinct 1108 - Vote By Mail	273	32	11	9	725	360	0	0	35	325	0
Precinct 1108 - Election Day	92	8	3	2	198	116	0	0	9	107	2
Precinct 1108	365	40	14	11	923	476	0	0	44	432	2
Precinct 1109 - Vote By Mail	189	43	11	22	653	284	0	0	19	265	0
Precinct 1109 - Election Day	76	9	3	1	169	99	0	0	9	90	1
Precinct 1109	265	52	14	23	822	383	0	0	28	355	1
Precinct 1111 - Vote By Mail	236	54	10	14	849	354	0	1	39	314	0
Precinct 1111 - Election Day	88	6	8	7	197	118	0	0	9	109	0
Precinct 1111	324	60	18	21	1,046	472	0	1	48	423	0
Precinct 1112 - Vote By Mail	192	35	12	8	643	278	0	5	26	247	0
Precinct 1112 - Election Day	63	4	2	2	159	79	0	0	8	71	0
Precinct 1112	255	39	14	10	802	357	0	5	34	318	0
Precinct 1113 - Vote By Mail	180	42	12	16	675	286	0	1	35	250	0
Precinct 1113 - Election Day	53	3	2	3	120	65	0	0	4	61	0
Precinct 1113	233	45	14	19	795	351	0	1	39	311	0
Precinct 1114 - Vote By Mail	222	45	15	13	769	328	0	3	30	295	0
Precinct 1114 - Election Day	65	8	5	3	222	98	0	0	15	83	2
Precinct 1114	287	53	20	16	991	426	0	3	45	378	2
Precinct 1115 - Vote By Mail	194	50	13	12	743	295	0	1	25	269	0
Precinct 1115 - Election Day	77	3	0	0	193	89	0	0	8	81	1
Precinct 1115	271	53	13	12	936	384	0	1	33	350	1
Precinct 1116 - Vote By Mail	208	46	12	13	715	308	0	0	29	279	0
Precinct 1116 - Election Day	96	6	5	4	216	119	0	0	6	113	2
Precinct 1116	304	52	17	17	931	427	0	0	35	392	2
Precinct 1117 - Vote By Mail	185	33	15	11	665	258	0	0	14	244	0
Precinct 1117 - Election Day	53	4	6	2	181	72	0	0	5	67	2
Precinct 1117	238	37	21	13	846	330	0	0	19	311	2
Precinct 1118 - Vote By Mail	268	48	15	13	846	357	0	0	13	344	0
Precinct 1118 - Election Day	77	6	10	2	219	106	0	0	10	96	1
Precinct 1118	345	54	25	15	1,065	463	0	0	23	440	1
Precinct 1119 - Vote By Mail	230	27	15	9	659	303	0	1	21	281	0
Precinct 1119 - Election Day	58	3	4	1	138	75	0	0	8	67	1
Precinct 1119	288	30	19	10	797	378	0	1	29	348	1
Precinct 1121 - Vote By Mail	171	39	13	13	556	268	0	2	30	236	0
Precinct 1121 - Election Day	58	6	3	8	149	87	0	0	11	76	1
Precinct 1121	229	45	16	21	705	355	0	2	41	312	1
Precinct 1122 - Vote By Mail	151	48	11	8	519	245	0	0	27	218	0
Precinct 1122 - Election Day	51	8	4	1	118	71	0	0	6	65	1
Precinct 1122	202	56	15	9	637	316	0	0	33	283	1
Precinct 1123 - Vote By Mail	178	35	6	9	730	257	0	4	25	228	0
