Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	141,429	27,339	81,421	503,899	275,013	0	224	24,400	250,389	200
All Precincts - Election Day	38,138	6,170	26,779	101,053	78,221	0	32	6,902	71,287	200
All Precincts - Vote By Mail	103,291	21,169	54,642	402,846	196,792	0	192	17,498	179,102	0
Precinct 1101 - Vote By Mail	98	27	78	448	214	0	0	11	203	0
Precinct 1101 - Election Day	25	5	29	114	60	0	0	1	59	0
Precinct 1101	123	32	107	562	274	0	0	12	262	0
Precinct 1102 - Vote By Mail	177	57	116	774	368	0	0	18	350	0
Precinct 1102 - Election Day	58	10	78	230	159	0	0	13	146	0
Precinct 1102	235	67	194	1,004	527	0	0	31	496	0
Precinct 1103 - Vote By Mail	168	55	134	749	371	0	0	14	357	0
Precinct 1103 - Election Day	72	6	57	222	142	0	1	6	135	0
Precinct 1103	240	61	191	971	513	0	1	20	492	0
Precinct 1104/1105 - Vote By Mail	166	37	117	751	343	0	0	23	320	0
Precinct 1104/1105 - Election Day	46	9	57	267	120	0	0	6	114	2
Precinct 1104/1105	212	46	174	1,018	463	0	0	29	434	2
Precinct 1106 - Vote By Mail	103	44	88	598	255	0	0	20	235	0
Precinct 1106 - Election Day	47	10	33	173	96	0	0	6	90	0
Precinct 1106	150	54	121	771	351	0	0	26	325	0
Precinct 1107 - Vote By Mail	124	41	93	612	287	0	0	29	258	0
Precinct 1107 - Election Day	30	5	34	139	76	0	0	6	70	1
Precinct 1107	154	46	127	751	363	0	0	35	328	1
Precinct 1108 - Vote By Mail	185	37	103	725	360	0	0	35	325	0
Precinct 1108 - Election Day	53	8	45	198	115	0	0	9	106	0
Precinct 1108	238	45	148	923	475	0	0	44	431	0
Precinct 1109 - Vote By Mail	128	49	90	653	284	0	0	17	267	0
Precinct 1109 - Election Day	54	7	31	169	97	0	0	5	92	0
Precinct 1109	182	56	121	822	381	0	0	22	359	0
Precinct 1111 - Vote By Mail	154	58	115	849	354	0	1	26	327	0
Precinct 1111 - Election Day	42	10	56	197	118	0	0	10	108	0
Precinct 1111	196	68	171	1,046	472	0	1	36	435	0
Precinct 1112 - Vote By Mail	106	43	108	643	276	0	2	17	257	0
Precinct 1112 - Election Day	27	2	40	159	77	0	0	7	70	1
Precinct 1112	133	45	148	802	353	0	2	24	327	1
Precinct 1113 - Vote By Mail	129	39	80	675	286	0	0	38	248	0
Precinct 1113 - Election Day	25	7	28	120	65	0	0	5	60	0
Precinct 1113	154	46	108	795	351	0	0	43	308	0
Precinct 1114 - Vote By Mail	158	43	106	769	328	0	1	20	307	0
Precinct 1114 - Election Day	42	8	34	222	97	0	0	13	84	0
Precinct 1114	200	51	140	991	425	0	1	33	391	0
Precinct 1115 - Vote By Mail	120	49	100	743	295	0	2	24	269	0
Precinct 1115 - Election Day	38	2	41	193	86	0	1	4	81	0
Precinct 1115	158	51	141	936	381	0	3	28	350	0
Precinct 1116 - Vote By Mail	132	45	99	715	308	0	0	32	276	0
Precinct 1116 - Election Day	54	9	47	216	118	0	1	7	110	0
Precinct 1116	186	54	146	931	426	0	1	39	386	0
Precinct 1117 - Vote By Mail	109	35	94	665	257	0	0	19	238	0
Precinct 1117 - Election Day	26	5	34	181	71	0	0	6	65	0
Precinct 1117	135	40	128	846	328	0	0	25	303	0
Precinct 1118 - Vote By Mail	170	47	120	846	356	0	0	19	337	0
Precinct 1118 - Election Day	45	6	47	219	104	0	0	5	99	1
Precinct 1118	215	53	167	1,065	460	0	0	24	436	1
Precinct 1119 - Vote By Mail	136	27	120	659	303	0	0	20	283	0
