Subtotal Area	JOHN P. MCDONNELL	PHIL TING	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	19,774	90,580	211,477	127,854	0	25	17,293	110,536	182
All Precincts - Election Day	5,860	30,739	41,408	45,016	0	11	8,224	36,781	182
All Precincts - Vote By Mail	13,914	59,841	170,069	82,838	0	14	9,069	73,755	0
Precinct 1101 - Vote By Mail	30	176	448	216	0	0	10	206	0
Precinct 1101 - Election Day	12	63	114	93	0	0	18	75	0
Precinct 1101	42	239	562	309	0	0	28	281	0
Precinct 1102 - Vote By Mail	71	270	774	370	0	0	29	341	0
Precinct 1102 - Election Day	17	156	230	209	0	0	36	173	0
Precinct 1102	88	426	1,004	579	0	0	65	514	0
Precinct 1103 - Vote By Mail	65	284	749	372	0	0	23	349	0
Precinct 1103 - Election Day	17	149	222	193	0	0	26	167	1
Precinct 1103	82	433	971	565	0	0	49	516	1
Precinct 1104/1105 - Vote By Mail	49	263	751	343	0	0	31	312	0
Precinct 1104/1105 - Election Day	27	106	267	169	0	0	35	134	1
Precinct 1104/1105	76	369	1,018	512	0	0	66	446	1
Precinct 1106 - Vote By Mail	54	173	598	255	0	0	28	227	0
Precinct 1106 - Election Day	16	111	173	148	0	0	21	127	0
Precinct 1106	70	284	771	403	0	0	49	354	0
Precinct 1107 - Vote By Mail	32	225	612	288	0	0	31	257	0
Precinct 1107 - Election Day	12	92	139	124	0	0	18	106	2
Precinct 1107	44	317	751	412	0	0	49	363	2
Precinct 1108 - Vote By Mail	47	278	725	360	0	0	35	325	0
Precinct 1108 - Election Day	19	112	198	158	0	0	27	131	0
Precinct 1108	66	390	923	518	0	0	62	456	0
Precinct 1109 - Vote By Mail	42	219	653	285	0	0	24	261	0
Precinct 1109 - Election Day	19	94	169	140	0	0	27	113	0
Precinct 1109	61	313	822	425	0	0	51	374	0
Precinct 1111 - Vote By Mail	69	246	849	354	0	0	39	315	0
Precinct 1111 - Election Day	23	129	197	187	0	0	35	152	0
Precinct 1111	92	375	1,046	541	0	0	74	467	0
Precinct 1112 - Vote By Mail	42	211	643	280	0	0	27	253	0
Precinct 1112 - Election Day	11	81	159	118	0	0	25	93	1
Precinct 1112	53	292	802	398	0	0	52	346	1
Precinct 1113 - Vote By Mail	46	208	675	286	0	0	32	254	0
Precinct 1113 - Election Day	12	69	120	108	0	0	26	82	1
Precinct 1113	58	277	795	394	0	0	58	336	1
Precinct 1114 - Vote By Mail	55	238	769	328	0	1	34	293	0
Precinct 1114 - Election Day	15	99	222	166	0	0	52	114	0
Precinct 1114	70	337	991	494	0	1	86	407	0
Precinct 1115 - Vote By Mail	51	221	743	295	0	0	23	272	0
Precinct 1115 - Election Day	6	97	193	131	0	0	25	106	3
Precinct 1115	57	318	936	426	0	0	48	378	3
Precinct 1116 - Vote By Mail	54	216	715	309	0	0	39	270	0
Precinct 1116 - Election Day	21	139	216	195	0	0	33	162	2
Precinct 1116	75	355	931	504	0	0	72	432	2
Precinct 1117 - Vote By Mail	34	205	665	259	0	0	20	239	0
Precinct 1117 - Election Day	19	104	181	146	0	0	23	123	0
Precinct 1117	53	309	846	405	0	0	43	362	0
Precinct 1118 - Vote By Mail	49	280	846	365	0	0	36	329	0
Precinct 1118 - Election Day	16	118	219	163	0	0	29	134	0
Precinct 1118	65	398	1,065	528	0	0	65	463	0
Precinct 1119 - Vote By Mail	46	227	659	305	0	0	32	273	0
Precinct 1119 - Election Day	15	79	138	117	0	0	23	94	0
Precinct 1119	61	306	797	422	0	0	55	367	0
Precinct 1121 - Vote By Mail	58	175	556	269	0	0	36	233	0
Precinct 1121 - Election Day	15	87	149	123	0	0	20	103	1
Precinct 1121	73	262	705	392	0	0	56	336	1
Precinct 1122 - Vote By Mail	58	165	519	247	0	0	24	223	0
Precinct 1122 - Election Day	14	67	118	96	0	0	15	81	0
Precinct 1122	72	232	637	343	0	0	39	304	0
Precinct 1123 - Vote By Mail	45	183	730	258	0	0	30	228	0
Precinct 1123 - Election Day	13	117	208	149	0	0	19	130	0
Precinct 1123	58	300	938	407	0	0	49	358	0
Precinct 1124 - Vote By Mail	41	183	631	246	0	0	22	224	0
Precinct 1124 - Election Day	18	83	198	120	0	1	18	101	0
Precinct 1124	59	266	829	366	0	1	40	325	0
Precinct 1125 - Vote By Mail	67	265	919	365	0	0	33	332	0
Precinct 1125 - Election Day	14	68	178	113	0	0	28	85	3
Precinct 1125	81	333	1,097	478	0	0	61	417	3
Precinct 1126 - Vote By Mail	35	262	812	308	0	0	11	297	0
Precinct 1126 - Election Day	24	68	200	108	0	0	15	93	1
Precinct 1126	59	330	1,012	416	0	0	26	390	1
Precinct 1127 - Vote By Mail	60	211	743	295	0	0	24	271	0
Precinct 1127 - Election Day	25	98	222	148	0	0	25	123	0
Precinct 1127	85	309	965	443	0	0	49	394	0
Precinct 1128 - Vote By Mail	73	189	734	287	0	0	25	262	0
Precinct 1128 - Election Day	17	75	145	108	0	0	16	92	0
Precinct 1128	90	264	879	395	0	0	41	354	0
Precinct 1129 - Vote By Mail	70	218	790	314	0	0	26	288	0
Precinct 1129 - Election Day	28	93	246	144	0	0	22	122	1
Precinct 1129	98	311	1,036	458	0	0	48	410	1
Precinct 1131 - Vote By Mail	62	195	694	280	0	0	23	257	0
Precinct 1131 - Election Day	12	72	166	111	0	0	26	85	1
Precinct 1131	74	267	860	391	0	0	49	342	1
Precinct 1132 - Vote By Mail	63	276	838	370	0	0	31	339	0
Precinct 1132 - Election Day	20	64	194	103	0	0	18	85	1
Precinct 1132	83	340	1,032	473	0	0	49	424	1
Precinct 1133 - Vote By Mail	63	242	716	336	0	0	31	305	0
Precinct 1133 - Election Day	17	80	159	113	0	0	14	99	2
Precinct 1133	80	322	875	449	0	0	45	404	2
Precinct 1134 - Vote By Mail	51	213	585	293	0	0	29	264	0
Precinct 1134 - Election Day	10	95	182	127	0	0	22	105	0
Precinct 1134	61	308	767	420	0	0	51	369	0
Precinct 1135 - Vote By Mail	47	161	465	220	0	0	12	208	0
Precinct 1135 - Election Day	5	49	91	60	0	0	4	56	2
Precinct 1135	52	210	556	280	0	0	16	264	2
Precinct 1136 - Vote By Mail	69	247	710	342	0	0	26	316	0
Precinct 1136 - Election Day	29	67	157	116	0	1	18	97	1
Precinct 1136	98	314	867	458	0	1	44	413	1
Precinct 9001 MB - Vote By Mail	14	80	314	101	0	0	7	94	0
Precinct 9001 MB - Election Day	0	2	-30	7	0	0	5	2	0
Precinct 9001 MB	14	82	284	108	0	0	12	96	0
Precinct 9101 - Vote By Mail	75	262	712	380	0	0	43	337	0
Precinct 9101 - Election Day	38	137	201	210	0	0	35	175	0
Precinct 9101	113	399	913	590	0	0	78	512	0
Precinct 9102 - Vote By Mail	58	289	788	394	0	0	47	347	0
Precinct 9102 - Election Day	26	148	204	201	0	0	26	175	1
Precinct 9102	84	437	992	595	0	0	73	522	1
Precinct 9103 - Vote By Mail	64	273	719	382	0	0	45	337	0
Precinct 9103 - Election Day	31	144	238	225	0	0	49	176	1
Precinct 9103	95	417	957	607	0	0	94	513	1
Precinct 9104 - Vote By Mail	68	273	810	383	0	0	42	341	0
Precinct 9104 - Election Day	25	132	220	205	0	0	48	157	0
Precinct 9104	93	405	1,030	588	0	0	90	498	0
Precinct 9105 - Vote By Mail	60	298	719	413	0	0	55	358	0
Precinct 9105 - Election Day	29	176	199	241	0	0	36	205	0
Precinct 9105	89	474	918	654	0	0	91	563	0
Precinct 9106 - Vote By Mail	57	290	748	399	0	0	52	347	0
Precinct 9106 - Election Day	33	183	198	268	0	0	51	217	1
Precinct 9106	90	473	946	667	0	0	103	564	1
Precinct 9107 - Vote By Mail	48	225	636	305	0	0	32	273	0
Precinct 9107 - Election Day	19	128	208	187	0	0	40	147	0
Precinct 9107	67	353	844	492	0	0	72	420	0
Precinct 9108 - Vote By Mail	47	257	610	338	0	0	34	304	0
Precinct 9108 - Election Day	22	140	200	197	0	0	34	163	1
Precinct 9108	69	397	810	535	0	0	68	467	1
Precinct 9109 - Vote By Mail	25	239	672	300	0	0	36	264	0
Precinct 9109 - Election Day	31	134	211	213	0	0	46	167	2
Precinct 9109	56	373	883	513	0	0	82	431	2
Precinct 9111 - Vote By Mail	46	233	639	318	0	0	39	279	0
Precinct 9111 - Election Day	21	132	195	196	0	0	41	155	2
Precinct 9111	67	365	834	514	0	0	80	434	2
Precinct 9112 - Vote By Mail	38	266	742	351	0	0	47	304	0
Precinct 9112 - Election Day	21	160	219	218	0	0	36	182	1
Precinct 9112	59	426	961	569	0	0	83	486	1
Precinct 9113 - Vote By Mail	44	290	797	372	0	0	38	334	0
Precinct 9113 - Election Day	30	180	207	263	0	0	52	211	1
Precinct 9113	74	470	1,004	635	0	0	90	545	1
Precinct 9114 - Vote By Mail	47	218	659	294	0	0	29	265	0
Precinct 9114 - Election Day	18	141	231	201	0	0	42	159	0
Precinct 9114	65	359	890	495	0	0	71	424	0
Precinct 9115 - Vote By Mail	40	248	699	325	0	0	37	288	0
Precinct 9115 - Election Day	20	131	182	198	0	0	47	151	0
Precinct 9115	60	379	881	523	0	0	84	439	0
Precinct 9116 - Vote By Mail	41	260	782	347	0	0	46	301	0
Precinct 9116 - Election Day	37	145	179	225	0	1	41	183	1
Precinct 9116	78	405	961	572	0	1	87	484	1
Precinct 9117 - Vote By Mail	47	242	629	328	0	0	39	289	0
Precinct 9117 - Election Day	28	149	171	207	0	0	30	177	0
Precinct 9117	75	391	800	535	0	0	69	466	0
Precinct 9118 - Vote By Mail	51	244	742	341	0	0	46	295	0
Precinct 9118 - Election Day	30	166	242	254	0	0	56	198	2
Precinct 9118	81	410	984	595	0	0	102	493	2
Precinct 9119 - Vote By Mail	62	279	703	389	0	0	48	341	0
Precinct 9119 - Election Day	13	119	197	171	0	0	38	133	1
Precinct 9119	75	398	900	560	0	0	86	474	1
Precinct 9121 - Vote By Mail	45	261	735	336	0	0	30	306	0
