Subtotal Area	DAVID CHIU	Starchild	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
All Precincts	112,083	32	292,422	162,193	0	2	49,208	112,983	900
All Precincts - Election Day	31,916	2	59,635	47,539	0	2	14,751	32,786	870
All Precincts - Vote By Mail	80,167	30	232,787	114,654	0	0	34,457	80,197	30
Precinct 1141 - Vote By Mail	294	0	836	393	0	0	99	294	0
Precinct 1141 - Election Day	85	0	220	124	0	0	30	94	9
Precinct 1141	379	0	1,056	517	0	0	129	388	9
Precinct 1142 - Vote By Mail	208	0	721	324	0	0	116	208	0
Precinct 1142 - Election Day	65	0	175	87	0	0	19	68	3
Precinct 1142	273	0	896	411	0	0	135	276	3
Precinct 1143 - Vote By Mail	242	0	824	360	0	0	118	242	0
Precinct 1143 - Election Day	78	0	225	116	0	0	32	84	6
Precinct 1143	320	0	1,049	476	0	0	150	326	6
Precinct 1144 - Vote By Mail	215	0	727	326	0	0	111	215	0
Precinct 1144 - Election Day	77	0	220	121	0	0	42	79	2
Precinct 1144	292	0	947	447	0	0	153	294	2
Precinct 1145 - Vote By Mail	280	0	753	411	0	0	131	280	0
Precinct 1145 - Election Day	81	0	152	114	0	0	32	82	1
Precinct 1145	361	0	905	525	0	0	163	362	1
Precinct 1146 - Vote By Mail	267	0	839	364	0	0	97	267	0
Precinct 1146 - Election Day	73	0	215	110	0	0	34	76	3
Precinct 1146	340	0	1,054	474	0	0	131	343	3
Precinct 1147 - Vote By Mail	222	0	673	309	0	0	87	222	0
Precinct 1147 - Election Day	72	0	212	108	0	0	33	75	3
Precinct 1147	294	0	885	417	0	0	120	297	3
Precinct 1148 - Vote By Mail	260	0	804	368	0	0	108	260	0
Precinct 1148 - Election Day	76	0	224	119	0	0	40	79	3
Precinct 1148	336	0	1,028	487	0	0	148	339	3
Precinct 1149 - Vote By Mail	216	0	710	319	0	0	103	216	0
Precinct 1149 - Election Day	78	0	229	119	0	0	40	79	1
Precinct 1149	294	0	939	438	0	0	143	295	1
Precinct 1152 - Vote By Mail	225	0	710	313	0	0	88	225	0
Precinct 1152 - Election Day	54	0	180	87	0	0	29	58	4
Precinct 1152	279	0	890	400	0	0	117	283	4
Precinct 1153 - Vote By Mail	208	0	730	285	0	0	77	208	0
Precinct 1153 - Election Day	80	0	210	117	0	0	36	81	1
Precinct 1153	288	0	940	402	0	0	113	289	1
Precinct 7001 - Vote By Mail	229	0	632	329	0	0	100	229	0
Precinct 7001 - Election Day	69	0	141	105	0	0	34	71	2
Precinct 7001	298	0	773	434	0	0	134	300	2
Precinct 7002 - Vote By Mail	180	0	598	267	0	0	87	180	0
Precinct 7002 - Election Day	65	0	116	90	0	0	23	67	2
Precinct 7002	245	0	714	357	0	0	110	247	2
Precinct 7003 - Vote By Mail	294	0	759	432	0	0	138	294	0
Precinct 7003 - Election Day	96	0	147	144	0	0	45	99	3
Precinct 7003	390	0	906	576	0	0	183	393	3
Precinct 7004 - Vote By Mail	283	1	764	416	0	0	132	284	1
Precinct 7004 - Election Day	86	0	149	146	0	0	56	90	4
Precinct 7004	369	1	913	562	0	0	188	374	5
Precinct 7005 - Vote By Mail	250	0	698	350	0	0	100	250	0
Precinct 7005 - Election Day	111	0	161	163	0	0	49	114	3
Precinct 7005	361	0	859	513	0	0	149	364	3
Precinct 7006 - Vote By Mail	230	0	729	360	0	0	130	230	0
Precinct 7006 - Election Day	86	0	203	153	0	0	63	90	4
Precinct 7006	316	0	932	513	0	0	193	320	4
Precinct 7007 - Vote By Mail	306	0	777	437	0	0	131	306	0
Precinct 7007 - Election Day	109	0	180	174	0	0	62	112	3
Precinct 7007	415	0	957	611	0	0	193	418	3
Precinct 7008 - Vote By Mail	244	0	732	367	0	0	123	244	0
Precinct 7008 - Election Day	131	0	177	194	0	0	56	138	7
Precinct 7008	375	0	909	561	0	0	179	382	7
Precinct 7009 - Vote By Mail	269	0	752	390	0	0	121	269	0
Precinct 7009 - Election Day	54	0	119	95	0	0	38	57	3
Precinct 7009	323	0	871	485	0	0	159	326	3
Precinct 7011 - Vote By Mail	153	0	704	231	0	0	78	153	0
Precinct 7011 - Election Day	75	0	269	88	0	0	13	75	0
Precinct 7011	228	0	973	319	0	0	91	228	0
Precinct 7012 - Vote By Mail	352	0	999	487	0	0	135	352	0
Precinct 7012 - Election Day	146	0	227	209	0	0	56	153	7
Precinct 7012	498	0	1,226	696	0	0	191	505	7
Precinct 7013 - Vote By Mail	308	0	984	427	0	0	119	308	0
Precinct 7013 - Election Day	112	0	155	157	0	0	44	113	1
Precinct 7013	420	0	1,139	584	0	0	163	421	1
Precinct 7014 - Vote By Mail	218	0	610	303	0	0	85	218	0
Precinct 7014 - Election Day	82	0	109	115	0	0	33	82	0
Precinct 7014	300	0	719	418	0	0	118	300	0
Precinct 7015 MB - Vote By Mail	30	0	128	40	0	0	10	30	0
Precinct 7015 MB - Election Day	0	0	-18	0	0	0	0	0	0
Precinct 7015 MB	30	0	110	40	0	0	10	30	0
Precinct 7016 - Vote By Mail	162	0	655	239	0	0	77	162	0
Precinct 7016 - Election Day	53	0	277	79	0	0	22	57	4
Precinct 7016	215	0	932	318	0	0	99	219	4
Precinct 7017 - Vote By Mail	137	0	543	180	0	0	43	137	0
Precinct 7017 - Election Day	32	0	238	53	0	0	21	32	0
Precinct 7017	169	0	781	233	0	0	64	169	0
Precinct 7018 - Vote By Mail	258	0	847	357	0	0	99	258	0
Precinct 7018 - Election Day	47	0	200	56	0	0	8	48	1
Precinct 7018	305	0	1,047	413	0	0	107	306	1
Precinct 7019 - Vote By Mail	256	0	734	355	0	0	99	256	0
Precinct 7019 - Election Day	50	0	166	74	0	0	23	51	1
Precinct 7019	306	0	900	429	0	0	122	307	1
Precinct 7021 - Vote By Mail	182	0	679	271	0	0	89	182	0
Precinct 7021 - Election Day	68	0	288	108	0	0	33	75	7
